term english,term translation,term alternate,term hebrew,term hebrew alternate,hebrew description,english description,,
Ovyut,opacity,Opacity,עׇבְיוּת,,,"<i>Ovyut</i> denotes thickness, materiality, or darkness, as opposed to purity, clarity, and spirituality. In kabbalistic terminology, it expresses the quality of the vessel, which is the will to receive. It is considered thick and dark because it is the antithesis of the eternal divine light, the essence of which is entirely giving. A greater will to receive is regarded as having greater opacity, while a vessel that contains a lesser will to receive is regarded as being more pure. This is because the greater the will to receive that a vessel acquires, the more it is distanced from the Creator and His light and the more material and dark it becomes.",111,
Panim Masbirot,,,פָּנִים מַסְבִּירוֹת,,,"<i>Panim Masbirot</i> is a wide-ranging commentary by the Ba’al HaSulam on the writings of the Arizal, Rabbi Yitzḥak Luria Ashkenazi. <i>Panim Masbirot</i> is an expansive, in-depth work, accompanied by a shorter commentary called <i>Panim Me’irot</i>. <i>Panim Masbirot</i> was published between 1927 and 1930.",43,
Talmud Eser HaSefirot,,Talmud Eser Sefirot,תַּלְמוּד עֶשֶׂר הסְפִירוֹת ,תלמוד עשר ספירות,,"<i>Talmud Eser HaSefirot</i> is the Ba’al HaSulam’s masterwork. It presents an orderly and systematic collection from among the writings of the Arizal, in sixteen volumes, with a relatively short commentary called <i>Or Penimi</i> and a broad, comprehensive commentary called <i>Histaklut Penimit</i>. At the end of every volume there is a question-and-answer section that provides a clear summary of its concepts and ideas. <i>Talmud Eser HaSefirot</i> was published between 1933 and 1937.",71,
Shefa,,,שֶׁפַע,,,"Often translated as bounty, flow, or abundance, <i>shefa</i> comes from the Hebrew word <i>hashpa’a</i>, which in this context means to give. Rays of sunlight, for example, can be described as the sun’s <i>shefa</i>. The rays constitute a “flow” of light from the sun that provides light and sustenance to the earth in bountiful abundance. In kabbalistic thought, <i>shefa </i> refers to different forms of light that flow from God's essence or from the <<<i>sefirot</i>>> and the like. Additionally, <i>shefa</i> can be used to refer both to God’s giving to creation, as well as the giving of created beings to each other.",101,
Yesh Miyesh,,,יֵשׁ מִיֶּשׁ,,,"Literally, “something from something,” or an entity that emanates from something that already exists, <i>yesh miyesh</i> is used to refer to the <<<i>shefa</i>>> that is drawn from the Creator’s essence to all created beings. This is in contrast to the creation of the will to receive, which is a creation ex nihilo, or <<<i>yesh me’ayin</i>>>, literally, “something from nothing.” Since the will to receive is meaningless in relation to God Himself, as He lacks nothing and has no need to receive anything, the will to receive is considered a creation ex nihilo, an entirely new creation.",96,
Yesh Me'ayin,ex nihilo,,יֵשׁ מֵאַיִן,,"בריאת ""יש מאין"" היא התהוות של משהו חדש לגמרי. דבר זה נאמר על בריאת הרצון לקבל, שהוא חומר המציאות, הכלי שעל ידו מתגלה שפע האור הא-להי. בריאת הרצון לקבל נקראת ""יש מאין"", מפני שבבורא עצמו אין מקום לדבר על רצון לקבל, שהרי אין בו חסרון או צורך כל שהוא. לעומת זאת, השפע שנמשך מן הבורא לנבראים נחשב ""יש מיש"", שהרי הוא נמשך מן הישות של הבורא.","Literally, “something from nothing,” <i>yesh me’ayin</i> refers to the formation of the will to receive, an entity that is entirely new and has never existed before. More specifically, this term is used in reference to the creation of the will to receive, which is the raw material of existence and the vessel through which the supernal light that emanates from the Creator’s essence is received and becomes manifest. Since the will to receive is meaningless in relation to God, who lacks nothing and has no need to receive anything, the will to receive is considered a creation ex nihilo, an entirely new creation. By contrast, the <<<i>shefa</i>>> that emanates from the Creator to the created beings is referred to as <i>yesh miyesh</i>, literally, “something from something,” since it is drawn from the Creator’s essence.",134,
Asiya,Actualization,,עֲשִׂיָּה,,"העולם התחתון מבין ארבעת העולמות, המשתלשלים זה מזה בתהליך הבריאה. הוא נקרא בשם ""עשיה"" מפני שבו נעשים ויוצאים בפועל כל הרצונות והכוחות שיש בעולמות שמעליו . הדרגה התחתונה של עולם העשיה היא העולם הגשמי שלנו, <<עולם הזה>>. עולם העשיה מקביל בעניינו לספירת ה<<מלכות>> או ל<<בחינה ד'>>. הישויות של עולם העשיה נקראות ""אופנים"", מעין מלאכים בדרגה נמוכה, שהם השורשים הרוחניים של כל הנמצא בעולם הזה.","The lowest of the four worlds (planes, or <<levels>> of reality), the world of <i>Asiya</i> parallels the <<</i>sefira</i>>> of <<</i>Malkhut</i>>>. Accordingly, it is also correlated with the “fourth <<level>>” of a given structure of reality, like <<</i>Malkhut</i>>>, which is the fourth <<level>> of the five main <<</i>sefirot</i>>> (<<</i>Keter</i>>> is the root <<level>>, followed by the next four, hence, the final <<</i>sefira</i>>> of <<</i>Malkhut</i>>> is considered “fourth,” as is the plane of <i>Asiya</i>). It is called <i>Asiya</i>, or “Actualization,” because it is where all the wills and forces that descend from the worlds above it are actualized (<i>na’asim</i>), or materialized, within it. The lowest <<level>> of the world of <i>Asiya</i> is our material world that we refer to as “this world.” The spiritual entities that exist in the world of <i>Asiya</i> are called <i>ofanim</i>, which are the spiritual roots of all that exists in the physical reality of this world.",149,
,Devolvement,"devolve, devolves, devolvement",הִשְׁתַּלְּשְׁלוּת,,,"The Hebrew word for devolvement, <i>hishtalshelut</i>, has the same root as the Hebrew word <i>leshalshel</i>, which means to lower, and <i>shalshelet</i>, chain. The devolvement, or <i>hishtalshelut</i>, represents the <<levels>> or stages of the creation of the world, beginning from the source, <<</i>Ein Sof</i>>> Himself, and culminating with the physical world. This series of stages is compared to a linked metal chain, in which each link is connected to its adjoining links above and beneath it. Similarly, each <<</i>level</i>>> of reality is linked with the <<</i>level</i>>> above it, as well as the <<</i>level</i>>> below it, like a series of links in a chain.",102,
Sefira,emanation,"sefirot, vessel",סְפִירָה,סְפִירוֹת,,"The <i>sefirot</i> represent ten ways through which the Creator reveals Himself in the creation, with each <i>sefira</i> representing a different degree of revelation. The term <i>sefira</i> itself has the same root as the word sapir, which means sapphire or radiance, indicating that the divine light is contained within the <i>sefirot</i> and illuminates the creation through them.<br>Generally, there are ten <i>sefirot</i>: <<</i>Keter</i>>>, <<</i>Ḥokhma</i>>>, <<</i>Bina</i>>>, <<</i>Ḥesed</i>>>, <<</i>Gevura</i>>>, <<</i>Tiferet</i>>>, <<</i>Netzaḥ</i>>>, <<</i>Hod</i>>>, <<</i>Yesod</i>>>, and <<</i>Malkhut</i>>>. But in essence there are five primary <i>sefirot</i>: <<</i>Keter</i>>>, <<</i>Ḥokhma</i>>>, <<</i>Bina</i>>>, <<</i>Tiferet</i>>>, and <<</i>Malkhut</i>>>. Additionally, each of these five <i>sefirot</i> are themselves composed of the other <i>sefirot</i>, since everything in reality is formed out of <i>sefirot</i>. Thus, for example, the <i>sefira</i> of <<</i>Keter</i>>> contains the <<</i>levels</i>>> of <<</i>Ḥokhma</i>>>, <<</i>Bina</i>>>, <<</i>Tiferet</i>>>, and <<</i>Malkhut</i>>>.<br>As for the five remaining <i>sefirot</i>, <<</i>Ḥesed</i>>>, <<</i>Gevura</i>>>, <<</i>Netzaḥ</i>>>, <<</i>Hod</i>>>, and <<</i>Yesod</i>>>, they are encompassed within the <i>sefira</i> of <<</i>Tiferet</i>>>. Like the other <i>sefirot</i>, the <i>sefira</i> of <<</i>Tiferet</i>>> contains all five <i>sefirot</i>, but in this case they are called by different names: In this context, they are called <<</i>Ḥesed</i>>>, <<</i>Gevura</i>>>, <<</i>Tiferet</i>>>, <<</i>Netzaḥ</i>>> and <<</i>Hod</i>>>. The reason the sefirot are given different names is that a different kind of light from that of the other <i>sefirot</i>, called the “light of giving,” is revealed through <<</i>Tiferet</i>>>. Although they are named differently, they are still, in a sense, the same five <i>sefirot</i> mentioned above. Thus, <<</i>Ḥesed</i>>> is referred to as the <<</i>Keter</i>>> of <<</i>Tiferet</i>>>, <<</i>Gevura</i>>> as the <<</i>Ḥokhma</i>>> of <<</i>Tiferet</i>>>, <<</i>Tiferet</i>>> as the <<</i>Bina</i>>> of <<</i>Tiferet</i>>>, <<</i>Netzaḥ</i>>> as the <<</i>Tiferet</i>>> of <<</i>Tiferet</i>>>, and <<</i>Hod</i>>> as the <<</i>Malkhut</i>>> of <<</i>Tiferet</i>>>. In addition to these five, there is another <i>sefira</i> that incorporates all the <<</i>levels</i>>> of <<</i>Tiferet</i>>> called <<</i>Yesod</i>>>.",276,
Keter,Crown,,כֶּתֶר,,,"<i>Keter</i> is the name of the first and highest <<sefira>> of the ten <<sefirot>>. However, <i>Keter</i> is not always counted as one of the ten <<sefirot>>. Just as a crown, a <i>keter</i>, on a person’s head encompasses him but is not part of his body, so too the <<sefira>> of <i>Keter</i>, due to its lofty status, can be considered above the ten <<sefirot>>. When <i>Keter</i> is regarded as part of the system, it is the highest part of the <<head>>, which is comprised of the first three <<levels>>: <i>Keter</i>, <<Ḥokhma>>, and <<<i>Bina</i>>>. When <i>Keter</i> is not included in the list of <<sefirot>>, it is substituted by <i>Da’at</i>, a structure that can be considered a pseudo-<i>sefira</i>.",115,
