"Mekhilta DeRabbi Yishmael, Tractate Pischa 6:20-21",Zevachim 36a:3
"Mekhilta DeRabbi Yishmael, Tractate Pischa 6:21-24",Temurah 4b:13
"Mekhilta DeRabbi Yishmael, Tractate Pischa 7:24-26",Mekhilta d'Rabbi Yishmael Old 12:11:1
"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 2:9-10",Mekhilta d'Rabbi Yishmael Old 12:12:2
"Mekhilta DeRabbi Yishmael, Tractate Pischa 7:17-20",Sanhedrin 21a:24
"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:16",Mekhilta d'Rabbi Yishmael Old 12:13:1
"Mekhilta DeRabbi Yishmael, Tractate Pischa 7:24-26",Shemot Rabbah 15:4
"Mekhilta DeRabbi Yishmael, Tractate Pischa 7:27",Pesikta Rabbati 15:1
"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:1-2","Sifra, Kedoshim, Chapter 6 1"
"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:4-6",Sifrei Bamidbar 114:1
"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:16-10:1",Mekhilta d'Rabbi Yishmael Old 12:15:3
"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:4-6","Otzar Midrashim, Maaseh Beraishit & Maaseh Merkavah, Seder Rabbah d'Beraishit d'Merkavah 3"
"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:7-9",Menachot 66a:2
"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",Pesachim 27b:8
"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",Sanhedrin 63a:20-21
"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:9",Mekhilta d'Rabbi Yishmael Old 12:15:5
"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",Pesachim 95a:9
"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:1-3","Sifra, Emor, Section 9 5-6"
"Mekhilta DeRabbi Yishmael, Tractate Bachodesh 7:10",Mekhilta d'Rabbi Yishmael Old 12:18:1
"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:17-18",Mekhilta d'Rabbi Yishmael Old 12:19:1
"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:3","Sifra, Emor, Chapter 7 11"
"Mekhilta DeRabbi Yishmael, Tractate Kaspa 1:19-21",Mekhilta d'Rabbi Yishmael Old 12:19:1
"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:4","Sifra, Shemini, Section 2 10"
"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:4","Sifra, Tzav, Chapter 15 7"
