"['Makkot 7b:2', 'Mishneh Torah, Murderer and the Preservation of Life 6:10']"
"['Makkot 8a:2', 'Mishneh Torah, Murderer and the Preservation of Life 6:6']"
"['Deuteronomy 19:5', 'Makkot 8a:5']"
"['Leviticus 25:26', 'Makkot 8a:6']"
"['Makkot 8a:7', 'Proverbs 29:17']"
"['Mishnah Mikvaot 2:2', 'Niddah 2b:2']"
"['Chidushei Halachot on Niddah 60a:2', 'Niddah 60a:12']"
"['Chidushei Halachot on Niddah 68b:2', 'Niddah 68b:12']"
"['Sanhedrin 5b', 'Sefer HaMitzvot, Positive Commandments 209:1']"
"['Pirkei Avot 4', 'Sefer HaMitzvot, Positive Commandments 209:1']"
"['Exodus 20:2', 'Sefer HaMitzvot, Positive Commandments 1:1']"
"['Mishneh Torah, Foundations of the Torah 1', 'Sefer HaMitzvot, Positive Commandments 1:1']"
"['Deuteronomy 6:4', 'Sefer HaMitzvot, Positive Commandments 2:1']"
"['Deuteronomy 6:5', 'Sefer HaMitzvot, Positive Commandments 3:1']"
"['Deuteronomy 10:20', 'Sefer HaMitzvot, Positive Commandments 4:1']"
"['Deuteronomy 10:20', 'Sefer HaMitzvot, Positive Commandments 5:1']"
"['Mishneh Torah, Prayer and the Priestly Blessing 1', 'Sefer HaMitzvot, Positive Commandments 5:1']"
"['Deuteronomy 10:20', 'Sefer HaMitzvot, Positive Commandments 6:1']"
"['Deuteronomy 10:20', 'Sefer HaMitzvot, Positive Commandments 7:1']"
"['Mishneh Torah, Oaths 11', 'Sefer HaMitzvot, Positive Commandments 7:1']"
"['Leviticus 22:32', 'Sefer HaMitzvot, Positive Commandments 9:1']"
"['Mishneh Torah, Foundations of the Torah 5', 'Sefer HaMitzvot, Positive Commandments 9:1']"
"['Deuteronomy 6:7', 'Sefer HaMitzvot, Positive Commandments 11:1']"
"['Deuteronomy 6:8', 'Sefer HaMitzvot, Positive Commandments 12:1']"
"['Deuteronomy 6:8', 'Sefer HaMitzvot, Positive Commandments 13:1']"
"['Numbers 15:38', 'Sefer HaMitzvot, Positive Commandments 14:1']"
"['Deuteronomy 6:9', 'Sefer HaMitzvot, Positive Commandments 15:1']"
"['Deuteronomy 31:12', 'Sefer HaMitzvot, Positive Commandments 16:1']"
"['Leviticus 19:30', 'Sefer HaMitzvot, Positive Commandments 21:1']"
"['Numbers 18:4', 'Sefer HaMitzvot, Positive Commandments 22:1']"
"['Numbers 18:23', 'Sefer HaMitzvot, Positive Commandments 23:1']"
"['Exodus 30:19', 'Sefer HaMitzvot, Positive Commandments 24:1']"
"['Exodus 27:21', 'Sefer HaMitzvot, Positive Commandments 25:1']"
"['Exodus 25:30', 'Sefer HaMitzvot, Positive Commandments 27:1']"
"['Exodus 30:7', 'Sefer HaMitzvot, Positive Commandments 28:1']"
"['Leviticus 6:6', 'Sefer HaMitzvot, Positive Commandments 29:1']"
"['Leviticus 21:8', 'Sefer HaMitzvot, Positive Commandments 32:1']"
"['Exodus 28:4', 'Sefer HaMitzvot, Positive Commandments 33:1']"
"['Numbers 7:9', 'Sefer HaMitzvot, Positive Commandments 34:1']"
"['Exodus 30:25', 'Sefer HaMitzvot, Positive Commandments 35:1']"
"['Deuteronomy 18:6', 'Sefer HaMitzvot, Positive Commandments 36:1']"
"['Leviticus 21:13', 'Sefer HaMitzvot, Positive Commandments 38:1']"
"['Leviticus 6:13', 'Sefer HaMitzvot, Positive Commandments 40:1']"
"['Numbers 28:9', 'Sefer HaMitzvot, Positive Commandments 41:1']"
"['Leviticus 23:8', 'Sefer HaMitzvot, Positive Commandments 43:1']"
"['Leviticus 23:10', 'Sefer HaMitzvot, Positive Commandments 44:1']"
"['Leviticus 16:3', 'Sefer HaMitzvot, Positive Commandments 49:1']"
"['Leviticus 23:36', 'Sefer HaMitzvot, Positive Commandments 50:1']"
"['Leviticus 23:36', 'Sefer HaMitzvot, Positive Commandments 51:1']"
"['Deuteronomy 16:16', 'Sefer HaMitzvot, Positive Commandments 53:1']"
"['Mishneh Torah, Festival Offering 1', 'Sefer HaMitzvot, Positive Commandments 53:1']"
"['Deuteronomy 16:14', 'Sefer HaMitzvot, Positive Commandments 54:1']"
"['Exodus 12:6', 'Sefer HaMitzvot, Positive Commandments 55:1']"
"['Mishneh Torah, Paschal Offering 1', 'Sefer HaMitzvot, Positive Commandments 55:1']"
"['Exodus 12:8', 'Sefer HaMitzvot, Positive Commandments 56:1']"
"['Numbers 9:11', 'Sefer HaMitzvot, Positive Commandments 58:1']"
"['Leviticus 22:27', 'Sefer HaMitzvot, Positive Commandments 60:1']"
"['Leviticus 22:21', 'Sefer HaMitzvot, Positive Commandments 61:1']"
"['Leviticus 2:13', 'Sefer HaMitzvot, Positive Commandments 62:1']"
"['Leviticus 1:3', 'Sefer HaMitzvot, Positive Commandments 63:1']"
"['Leviticus 6:18', 'Sefer HaMitzvot, Positive Commandments 64:1']"
"['Leviticus 7:1', 'Sefer HaMitzvot, Positive Commandments 65:1']"
"['Leviticus 4:27', 'Sefer HaMitzvot, Positive Commandments 69:1']"
"['Leviticus 12:6', 'Sefer HaMitzvot, Positive Commandments 76:1']"
"['Leviticus 14:10', 'Sefer HaMitzvot, Positive Commandments 77:1']"
"['Leviticus 27:32', 'Sefer HaMitzvot, Positive Commandments 78:1']"
"['Exodus 13:2', 'Sefer HaMitzvot, Positive Commandments 79:1']"
"['Numbers 18:15', 'Sefer HaMitzvot, Positive Commandments 80:1']"
"['Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 12', 'Sefer HaMitzvot, Positive Commandments 81:1']"
"['Exodus 13:13', 'Sefer HaMitzvot, Positive Commandments 82:1']"
"['Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 12', 'Sefer HaMitzvot, Positive Commandments 82:1']"
"['Deuteronomy 12:14', 'Sefer HaMitzvot, Positive Commandments 84:1']"
"['Deuteronomy 12:26', 'Sefer HaMitzvot, Positive Commandments 85:1']"
"['Deuteronomy 12:15', 'Sefer HaMitzvot, Positive Commandments 86:1']"
"['Leviticus 27:10', 'Sefer HaMitzvot, Positive Commandments 87:1']"
"['Leviticus 6:9', 'Sefer HaMitzvot, Positive Commandments 88:1']"
"['Exodus 29:33', 'Sefer HaMitzvot, Positive Commandments 89:1']"
"['Leviticus 7:19', 'Sefer HaMitzvot, Positive Commandments 90:1']"
"['Leviticus 7:17', 'Sefer HaMitzvot, Positive Commandments 91:1']"
"['Numbers 6:5', 'Sefer HaMitzvot, Positive Commandments 92:1']"
"['Mishneh Torah, Nazariteship 8', 'Sefer HaMitzvot, Positive Commandments 93:1']"
