Text with Addition,Ref,New Text,Our Text,Difference
Our Text,Esther 9:6,וּבְשׁוּשַׁ֣ן הַבִּירָ֗ה הָרְג֤וּ הַיְּהוּדִים֙ וְאַבֵּ֔ד חֲמֵ֥שׁ מֵא֖וֹת אִֽישׁ׃        ,וּבְשׁוּשַׁ֣ן הַבִּירָ֗ה הָרְג֤וּ הַיְּהוּדִים֙ וְאַבֵּ֔ד חֲמֵ֥שׁ מֵא֖וֹת אִֽישׁ׃ <span>{ס}</span>        ,span>{ס}</span> 
Our Text,Esther 9:7,וְאֵ֧ת& <small>׀</small>& פַּרְשַׁנְדָּ֛<small>תָ</small>א         וְאֵ֥ת& <small>׀</small>& דַּֽלְפ֖וֹן         וְאֵ֥ת& <small>׀</small>& אַסְפָּֽתָא׃        ,וְאֵ֧ת <small>׀</small> פַּרְשַׁנְדָּ֛<small>תָ</small>א <span>{ס}</span>         וְאֵ֥ת <small>׀</small> דַּֽלְפ֖וֹן <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אַסְפָּֽתָא׃ <span>{ס}</span>        ,span>{ס}</span> 
Our Text,Esther 9:7,וְאֵ֧ת& <small>׀</small>& פַּרְשַׁנְדָּ֛<small>תָ</small>א         וְאֵ֥ת& <small>׀</small>& דַּֽלְפ֖וֹן         וְאֵ֥ת& <small>׀</small>& אַסְפָּֽתָא׃        ,וְאֵ֧ת <small>׀</small> פַּרְשַׁנְדָּ֛<small>תָ</small>א <span>{ס}</span>         וְאֵ֥ת <small>׀</small> דַּֽלְפ֖וֹן <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אַסְפָּֽתָא׃ <span>{ס}</span>        ,span>{ס}</span> 
Our Text,Esther 9:7,וְאֵ֧ת& <small>׀</small>& פַּרְשַׁנְדָּ֛<small>תָ</small>א         וְאֵ֥ת& <small>׀</small>& דַּֽלְפ֖וֹן         וְאֵ֥ת& <small>׀</small>& אַסְפָּֽתָא׃        ,וְאֵ֧ת <small>׀</small> פַּרְשַׁנְדָּ֛<small>תָ</small>א <span>{ס}</span>         וְאֵ֥ת <small>׀</small> דַּֽלְפ֖וֹן <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אַסְפָּֽתָא׃ <span>{ס}</span>        ,span>{ס}</span> 
Our Text,Esther 9:8,וְאֵ֧ת& <small>׀</small>& פּוֹרָ֛תָא         וְאֵ֥ת& <small>׀</small>& אֲדַלְיָ֖א         וְאֵ֥ת& <small>׀</small>& אֲרִידָֽתָא׃        ,וְאֵ֧ת <small>׀</small> פּוֹרָ֛תָא <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲדַלְיָ֖א <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲרִידָֽתָא׃ <span>{ס}</span>        ,<span>{ס}</span>
Our Text,Esther 9:8,וְאֵ֧ת& <small>׀</small>& פּוֹרָ֛תָא         וְאֵ֥ת& <small>׀</small>& אֲדַלְיָ֖א         וְאֵ֥ת& <small>׀</small>& אֲרִידָֽתָא׃        ,וְאֵ֧ת <small>׀</small> פּוֹרָ֛תָא <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲדַלְיָ֖א <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲרִידָֽתָא׃ <span>{ס}</span>        ,<span>{ס}</span>
Our Text,Esther 9:8,וְאֵ֧ת& <small>׀</small>& פּוֹרָ֛תָא         וְאֵ֥ת& <small>׀</small>& אֲדַלְיָ֖א         וְאֵ֥ת& <small>׀</small>& אֲרִידָֽתָא׃        ,וְאֵ֧ת <small>׀</small> פּוֹרָ֛תָא <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲדַלְיָ֖א <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲרִידָֽתָא׃ <span>{ס}</span>        ,span>{ס}</span> 
Our Text,Esther 9:9,"וְאֵ֤ת& <small>׀</small>& פַּרְמַ֙<small>שְׁ</small>תָּא֙         וְאֵ֣ת& <small>׀</small>& אֲרִיסַ֔י         וְאֵ֥ת& <small>׀</small>& אֲרִדַ֖י<sup>*</sup><i class=""footnote"">(בספרים אחרים אֲרִידַ֖י וכך כתוב במגילות רבות)</i>         וְאֵ֥ת& <small>׀</small>& <big>וַ</big>יְ<small>זָֽ</small>תָא׃        ","וְאֵ֤ת <small>׀</small> פַּרְמַ֙<small>שְׁ</small>תָּא֙ <span>{ס}</span>         וְאֵ֣ת <small>׀</small> אֲרִיסַ֔י <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲרִדַ֖י<sup>*</sup><i class=""footnote"">(בספרים אחרים אֲרִידַ֖י וכך כתוב במגילות רבות)</i> <span>{ס}</span>         וְאֵ֥ת <small>׀</small> <big>וַ</big>יְ<small>זָֽ</small>תָא׃ <span>{ס}</span>        ",span>{ס}</span> 
Our Text,Esther 9:9,"וְאֵ֤ת& <small>׀</small>& פַּרְמַ֙<small>שְׁ</small>תָּא֙         וְאֵ֣ת& <small>׀</small>& אֲרִיסַ֔י         וְאֵ֥ת& <small>׀</small>& אֲרִדַ֖י<sup>*</sup><i class=""footnote"">(בספרים אחרים אֲרִידַ֖י וכך כתוב במגילות רבות)</i>         וְאֵ֥ת& <small>׀</small>& <big>וַ</big>יְ<small>זָֽ</small>תָא׃        ","וְאֵ֤ת <small>׀</small> פַּרְמַ֙<small>שְׁ</small>תָּא֙ <span>{ס}</span>         וְאֵ֣ת <small>׀</small> אֲרִיסַ֔י <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲרִדַ֖י<sup>*</sup><i class=""footnote"">(בספרים אחרים אֲרִידַ֖י וכך כתוב במגילות רבות)</i> <span>{ס}</span>         וְאֵ֥ת <small>׀</small> <big>וַ</big>יְ<small>זָֽ</small>תָא׃ <span>{ס}</span>        ",<span>{ס}</span>
Our Text,Esther 9:9,"וְאֵ֤ת& <small>׀</small>& פַּרְמַ֙<small>שְׁ</small>תָּא֙         וְאֵ֣ת& <small>׀</small>& אֲרִיסַ֔י         וְאֵ֥ת& <small>׀</small>& אֲרִדַ֖י<sup>*</sup><i class=""footnote"">(בספרים אחרים אֲרִידַ֖י וכך כתוב במגילות רבות)</i>         וְאֵ֥ת& <small>׀</small>& <big>וַ</big>יְ<small>זָֽ</small>תָא׃        ","וְאֵ֤ת <small>׀</small> פַּרְמַ֙<small>שְׁ</small>תָּא֙ <span>{ס}</span>         וְאֵ֣ת <small>׀</small> אֲרִיסַ֔י <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲרִדַ֖י<sup>*</sup><i class=""footnote"">(בספרים אחרים אֲרִידַ֖י וכך כתוב במגילות רבות)</i> <span>{ס}</span>         וְאֵ֥ת <small>׀</small> <big>וַ</big>יְ<small>זָֽ</small>תָא׃ <span>{ס}</span>        ",span>{ס}</span> 
Our Text,Esther 9:9,"וְאֵ֤ת& <small>׀</small>& פַּרְמַ֙<small>שְׁ</small>תָּא֙         וְאֵ֣ת& <small>׀</small>& אֲרִיסַ֔י         וְאֵ֥ת& <small>׀</small>& אֲרִדַ֖י<sup>*</sup><i class=""footnote"">(בספרים אחרים אֲרִידַ֖י וכך כתוב במגילות רבות)</i>         וְאֵ֥ת& <small>׀</small>& <big>וַ</big>יְ<small>זָֽ</small>תָא׃        ","וְאֵ֤ת <small>׀</small> פַּרְמַ֙<small>שְׁ</small>תָּא֙ <span>{ס}</span>         וְאֵ֣ת <small>׀</small> אֲרִיסַ֔י <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲרִדַ֖י<sup>*</sup><i class=""footnote"">(בספרים אחרים אֲרִידַ֖י וכך כתוב במגילות רבות)</i> <span>{ס}</span>         וְאֵ֥ת <small>׀</small> <big>וַ</big>יְ<small>זָֽ</small>תָא׃ <span>{ס}</span>        ",span>{ס}</span> 
New Text,Psalms 4:2,בְּקׇרְאִ֡י עֲנֵ֤נִי& <b>׀</b> אֱלֹ֘הֵ֤י צִדְקִ֗י בַּ֭צָּר הִרְחַ֣בְתָּ לִּ֑י חׇ֝נֵּ֗נִי וּשְׁמַ֥ע תְּפִלָּתִֽי׃,בְּקׇרְאִ֡י עֲנֵ֤נִי <b>׀</b> אֱלֹ֘הֵ֤י צִדְקִ֗י בַּ֭צָּר הִרְחַ֣בְתָּ לִּ֑י חָ֝נֵּ֗נִי וּשְׁמַ֥ע תְּפִלָּתִֽי׃,ׇ
