Can't Find,Rashi on Shabbat 3a:2:3,"מורסא - קויסטור""א:"
Bad Order,Rashi on Shabbat 3b:3:2,"כרה""ר לא דמיא מידו דעני - דקתני"
Bad Order,Rashi on Shabbat 3b:3:3,"וכרה""י לא דמיא - אם פשוטה לרשות"
Bad Order,Rashi on Shabbat 3b:3:4,"מידו דבע""ה - דקתני נטל עני מתוכה"
Bad Order,Rashi on Shabbat 3b:4:1,בעי אביי - השתא דחזינן דלאו בתר
Bad Order,Rashi on Shabbat 3b:4:2,מי קנסוה - הואיל והתחיל בה באיסור:
Bad Order,Rashi on Shabbat 3b:6:1,"למטה מי' - רה""ר הוא קנסוה רבנן"
Bad Order,Rashi on Shabbat 3b:6:2,למעלה מי' - דאויר מקום פטור הוא
Bad Order,Rashi on Shabbat 3b:7:1,ואיבעית אימא אידי ואידי למטה מי' טפחים
Bad Order,Rashi on Shabbat 3b:7:2,"כאן מבע""י - הושיטה מבע""י מחזירה משתחשך"
Bad Order,Rashi on Shabbat 3b:7:3,כאן משתחשך - הושיטה משחשיכה קנסוה ולא
Bad Order,Rashi on Shabbat 3b:8:1,"מבע""י דאי שדי ליה - כלומר היכא"
Bad Order,Rashi on Shabbat 3b:9:1,הדביק פת בתנור - בשבת בשוגג ונזכר
Bad Order,Rashi on Shabbat 3b:9:2,התירו לו - את האיסור מדבריהם וירדנה
Bad Order,Rashi on Shabbat 3b:11:1,בשוגג לא קנסוה רבנן כו' - ודרב
Can't Find,Rashi on Shabbat 7a:7:1,"היזמי - דורצא""י:"
Can't Find,Rashi on Shabbat 7a:7:2,"היגי - איגלטי""ר:"
Bad Order,Rashi on Shabbat 9a:7:1,רשות לעצמה - ואין מטלטלין בה אפילו
Bad Order,Rashi on Shabbat 9b:4:2,לכולא מילתא דמרחץ - לחוף ראשו ולהשתטף
Can't Find,Rashi on Shabbat 14b:1:1,הא תו למה לי - הך מי
Can't Find,Rashi on Shabbat 14b:1:2,אלא הא גזור ברישא - דסתם ידים
Can't Find,Rashi on Shabbat 20b:5:3,הכי גרסינן נחום אומר מדליקין בחלב מבושל
Can't Find,Rashi on Shabbat 21a:2:2,"לנר - קרויז""ל:"
Can't Find,Rashi on Shabbat 21a:8:1,"חלב מהותך - פונד""ר בלע""ז:"
Can't Find,Rashi on Shabbat 23a:5:3,"שרף - גומ""א:"
Can't Find,Rashi on Shabbat 23a:5:4,"קטף - פרוניי""ל של יער כמו שאנו"
Can't Find,Rashi on Shabbat 25b:3:1,הדלקת נר בשבת. שלא היה לו ממה
Bad Order,Rashi on Shabbat 26a:3:2,עד רמתא - שם מקום:
Can't Find,Rashi on Shabbat 27a:1:1,מנא ליה - לרבי שמעון שום טומאה
Can't Find,Rashi on Shabbat 28b:1:1,שאינה מטמאה בנגעים - דהא צמר ופשתים
Can't Find,Rashi on Shabbat 29b:1:2,"במגוד - קביל""א דגרע מקופסא ועדיף מאחורי"
Can't Find,Rashi on Shabbat 29b:12:6,"הנר - קרוייזי""ל:"
Bad Order,Rashi on Shabbat 30a:3:7,כי לכלב חי - כלומר גדולים החיים
Bad Order,Rashi on Shabbat 30a:3:8,אן היא - אנה הלכה:
Bad Order,Rashi on Shabbat 30a:6:1,"ד""א ושבח אני את המתים - הראשונים"
Bad Order,Rashi on Shabbat 30b:11:1,בר - כמו לשבור בר (בראשית מב)
Bad Order,Rashi on Shabbat 32b:7:5,והפקדתי - כמו לא נפקד ממנו איש
Can't Find,Rashi on Shabbat 33a:11:1,"תפוח - שייני""ס נפוח עורו על בשרו"
Bad Order,Rashi on Shabbat 33a:11:3,של עבירה עבה - הבאה בשביל עבירה
Bad Order,Rashi on Shabbat 33b:10:2,שלם בתורתו - שלא שכח תלמודו מפני
Can't Find,Rashi on Shabbat 37a:10:1,"נעורת - ארישט""ש:"
Can't Find,Rashi on Shabbat 37b:7:5,מיחא - קמח:
Bad Order,Rashi on Shabbat 40b:12:7,הא - דאסיר:
Can't Find,Rashi on Shabbat 45a:4:4,"אפרסקין - פירסיק""י בלע""ז:"
Can't Find,Rashi on Shabbat 45a:6:3,"חבושין - קויינ""ץ:"
Can't Find,Rashi on Shabbat 51b:7:2,"אפסר - קבישטר""א:"
Can't Find,Rashi on Shabbat 51b:7:3,"נאקה - דרומי""ל:"
Can't Find,Rashi on Shabbat 51b:15:4,"בסוגר - קולא""ר של חבל כדמתרגמינן ויתנהו"
Bad Order,Rashi on Shabbat 52b:11:1,כי קאמר ליה איהו נמי - דא
Can't Find,Rashi on Shabbat 52b:15:2,עוקצה - פונטא:
Can't Find,Rashi on Shabbat 52b:16:1,"חלודה - רואיירא""ה:"
Can't Find,Rashi on Shabbat 53a:13:5,"זוג - אישקלי""ט:"
Can't Find,Rashi on Shabbat 53a:13:6,"עינבל - בטדי""ל:"
Bad Order,Rashi on Shabbat 54a:5:2,מכבנין - על שעושין כמין קרסי מתכת
Bad Order,Rashi on Shabbat 54a:17:2,אי נימא כלאים דאדם - דכי כריך
Can't Find,Rashi on Shabbat 54b:2:1,"מתני' בזוג - אישקליט""א:"
Can't Find,Rashi on Shabbat 54b:8:1,"לגיזרא - אנטורטלייר""י בלעז בהמ' שפסיעותיה קצרים"
Bad Order,Rashi on Shabbat 56a:3:1,חלקם שאלו בפיהם - מעשר ראשון הראוי
Bad Order,Rashi on Shabbat 57a:12:3,וכולן בראשי הבנות שנינו - לא תימא
Can't Find,Rashi on Shabbat 57b:11:1,"אפוזייני - פרונטי""ל של זהב:"
Can't Find,Rashi on Shabbat 57b:11:2,"שבכה - קופיי""ה דאי שלפא ליה מיגליא"
Bad Order,Rashi on Shabbat 58a:8:3,זוג - לנוי עביד:
Bad Order,Rashi on Shabbat 58a:8:4,ולא בזוג שבצוארו אבל יוצא הוא בזוג
Can't Find,Rashi on Shabbat 59b:14:4,"מפרחייתא - פינדצ""א בלע""ז:"
Can't Find,Rashi on Shabbat 62a:6:1,"זרדא - ברוני""א:"
Can't Find,Rashi on Shabbat 62a:7:2,"פלייטון - בלסמ""א משחא דאפרסמא:"
Can't Find,Rashi on Shabbat 62a:17:1,"מכבנתא - נושקא""ה ע""ש שמכבנת וקושרת מפתחי"
Can't Find,Rashi on Shabbat 62b:20:2,"צלצול - בנדי""ל נאה:"
Can't Find,Rashi on Shabbat 62b:20:8,"כיבא - קיוטור""א ליחה כמו שיחנא וכיבי"
Bad Order,Rashi on Shabbat 62b:22:2,יערה - כמו ותער כדה (בראשית כד):
Can't Find,Rashi on Shabbat 62b:23:5,"פת עמילה - ברייאיא""ה בלע""ז:"
Bad Order,Rashi on Shabbat 63a:18:1,עושר וכבוד ליכא - בתמיה כיון דאיכא
Can't Find,Rashi on Shabbat 64a:16:1,מופנה - צריך שתהא גזירה שוה זו
Bad Order,Rashi on Shabbat 65a:6:4,הא דמיהדק - דר' יוחנן היה תוחב
Can't Find,Rashi on Shabbat 65a:7:2,זנגבילא - גינזירו:
Can't Find,Rashi on Shabbat 66a:5:1,"לוקטמין - טלמשק""א נעשין לשחוק להבעית תינוקות:"
Can't Find,Rashi on Shabbat 66b:5:3,פרמי - טלמוסא הנקשרת על הפרצוף להבעית
Can't Find,Rashi on Shabbat 66b:8:2,ה' - קשרים:
Can't Find,Rashi on Shabbat 66b:11:1,"געגועין - ברמור""ט מגעגע עליו ואינו יכול"
Can't Find,Rashi on Shabbat 67a:3:1,"ליחרוק - אישקרני""ר כמו דמיבלע חירקייהו דאלו"
Can't Find,Rashi on Shabbat 67a:6:1,"לסימטא - שחין קרו""ג בלע""ז:"
Can't Find,Rashi on Shabbat 67a:7:1,"לכיפה - אונפול""ש אבעבועות כך לשון רבי"
Can't Find,Rashi on Shabbat 73a:7:3,"המנפצו - קרפי""ר בלע""ז:"
Can't Find,Rashi on Shabbat 73a:7:4,"המיסך - אורדי""ר:"
Bad Order,Rashi on Shabbat 75b:1:3,צובע בשר במאי ניחא ליה - להאי
Can't Find,Rashi on Shabbat 77b:6:1,"שבלול - לימצ""א:"
Can't Find,Rashi on Shabbat 77b:6:5,"סממית - אייראניא""ה בלע""ז:"
Can't Find,Rashi on Shabbat 78b:3:5,"סיב - ודילי""ת שגדל סביב הדקל כעין"
Can't Find,Rashi on Shabbat 78b:3:11,"כדור - פלוט""א:"
Bad Order,Rashi on Shabbat 78b:4:1,"שתי אותיות - קס""ד שתי אותיות דידן"
Can't Find,Rashi on Shabbat 79a:5:4,סטיס - וישודא:
Can't Find,Rashi on Shabbat 79a:5:5,"פואה - וורנצ""א:"
Bad Order,Rashi on Shabbat 80a:8:1,של יין - למעוטי שמן ודבש שהיין
Can't Find,Rashi on Shabbat 80b:6:1,"מתני' אדמה - ארזילי""י:"
Can't Find,Rashi on Shabbat 81a:8:1,"תחתוניות - פיג""ש:"
Can't Find,Rashi on Shabbat 81b:5:2,ומפספס - קרפיר:
Can't Find,Rashi on Shabbat 87a:7:2,"וישב ויגד וכי מה אמר הקב""ה למשה"
Bad Order,Rashi on Shabbat 88b:2:1,לבבתני - קרבתני:
Bad Order,Rashi on Shabbat 88b:2:7,נתן - עזב ריחו הטוב לאחרים:
Bad Order,Rashi on Shabbat 89a:6:2,בא השטן - הוא יצר הרע המחטיא
Can't Find,Rashi on Shabbat 89b:7:4,"סטיס - קרו""ג"":"
Can't Find,Rashi on Shabbat 89b:7:5,"פואה - וורנצ""א:"
Can't Find,Rashi on Shabbat 90a:4:2,"החלביצין - לטרו""ן:"
Can't Find,Rashi on Shabbat 91a:7:4,"שיעורן כגרוגרת - אם הוציאן לרה""ר בשבת:"
Can't Find,Rashi on Shabbat 91a:7:5,ואמאי לימא - בכזית מיחייב דהא חשיבה
Can't Find,Rashi on Shabbat 92a:5:2,"מרפקו - איישיל""א:"
Bad Order,Rashi on Shabbat 94a:4:3,בן בתירא ור' נתן אמרו דבר אחד
Bad Order,Rashi on Shabbat 94a:4:4,רמות רוחא - גסות הא דלא מסגו
Bad Order,Rashi on Shabbat 94a:4:5,פרדשכא - סרדיוט:
Bad Order,Rashi on Shabbat 97b:11:1,ולאו היינו דבעי מיניה כו' ואמר ליה
Can't Find,Rashi on Shabbat 100b:2:2,"רקק - גרביל""א:"
Bad Order,Rashi on Shabbat 101b:7:5,ואמר שמואל והוא שקשרה בשלשלת של ברזל
Can't Find,Rashi on Shabbat 102b:1:10,"קורנס - מרטי""ל:"
Bad Order,Rashi on Shabbat 103b:7:3,המגרר - כלונסות או קלפים דהויא תולדה
Bad Order,Rashi on Shabbat 103b:14:5,"סתומין - מ""ם סתומה:"
Can't Find,Rashi on Shabbat 104b:3:1,"גמ' סמא - אורפימינ""ט:"
Can't Find,Rashi on Shabbat 104b:4:6,"שיחור - אדרמינ""ט:"
Bad Order,Rashi on Shabbat 106a:1:3,דמת גדול - יש לדאוג הואיל ושלטה
Can't Find,Rashi on Shabbat 106a:7:2,וצבי - ניצוד משהכניסו לביתו ונעל בפניו
Bad Order,Rashi on Shabbat 106b:2:1,"אין צדין מהן בי""ט - אלמא לאו"
Can't Find,Rashi on Shabbat 107b:7:1,הטפויין - שירוץ הטפויין וביצי כינים מתניתא
Can't Find,Rashi on Shabbat 107b:12:3,כשותא - הומלון וגדל מתוך ההיזמי מריח
Bad Order,Rashi on Shabbat 108a:6:2,ועכירי - ענין צער משום צערו שאף
Can't Find,Rashi on Shabbat 108a:13:1,"מתני' הילמי - שלמוייר""א:"
Can't Find,Rashi on Shabbat 108b:12:2,"קילורין - לוזי""א בלע""ז:"
Can't Find,Rashi on Shabbat 109a:2:3,"כוסברתא - אלייאנדר""א:"
Can't Find,Rashi on Shabbat 109a:2:5,"גרגירא - אורוג""א:"
Can't Find,Rashi on Shabbat 109b:2:2,"חטטין - מאלנ""ץ:"
Bad Order,Rashi on Shabbat 109b:10:5,רבעא - לוג:
Can't Find,Rashi on Shabbat 110a:4:13,"צבתא - איטנליי""ש:"
Can't Find,Rashi on Shabbat 110a:8:2,"גביא גילא - אלו""ם בלע""ז:"
Can't Find,Rashi on Shabbat 110b:4:2,אהלא - אלויין:
Can't Find,Rashi on Shabbat 111b:8:3,"סבכה - קוייפ""א:"
Can't Find,Rashi on Shabbat 112b:10:1,"שלאכא - ברצו""ן:"
Can't Find,Rashi on Shabbat 113a:8:6,"העמודים - טריור""ש בלע""ז אותם המנוקבות שאורגין"
Bad Order,Rashi on Shabbat 114a:5:1,תנן התם - במסכת מקוואות ונקט לה
Bad Order,Rashi on Shabbat 115b:2:2,הברכות - מטבע ברכות שטבעו חכמים כגון
Bad Order,Rashi on Shabbat 116a:5:5,שבתחלת הספר ושבסוף הספר - שכולן היו
Bad Order,Rashi on Shabbat 116a:11:1,פילוסופא - מין:
Bad Order,Rashi on Shabbat 119a:9:9,הייא - מהר:
Bad Order,Rashi on Shabbat 120a:3:1,לחצר המעורבת - ואפי' הכי טובא לא
Can't Find,Rashi on Shabbat 120a:8:1,"מקטורן - מנטי""ל :"
Can't Find,Rashi on Shabbat 120a:8:4,"קלבוס - נביי""ש:"
Can't Find,Rashi on Shabbat 120a:8:5,"חלוק - קמי""שא על בשרו:"
Can't Find,Rashi on Shabbat 120a:8:9,"אנפילייאות - קלצנו""ש של צמר:"
Can't Find,Rashi on Shabbat 120a:8:10,"פרגוד - גניליי""ש ובלשון אשכנז קני הוז""ן:"
Bad Order,Rashi on Shabbat 121a:2:5,ר' יוסי אומר מן המנחה ולמעלה -
Can't Find,Rashi on Shabbat 122b:5:1,"קורנס - מרטי""ל:"
Can't Find,Rashi on Shabbat 122b:5:5,"מגריפה - וודי""ל:"
Can't Find,Rashi on Shabbat 122b:6:1,"רחת - פאל""א:"
Can't Find,Rashi on Shabbat 122b:6:5,"כרכר - ראי""ל:"
Can't Find,Rashi on Shabbat 123a:11:2,"עוקצה - פויינט""א:"
Can't Find,Rashi on Shabbat 123b:7:3,"חצינא - דולויר""א כל הני קפדי עלייהו"
Can't Find,Rashi on Shabbat 124b:3:2,"מר - פושי""ר:"
Bad Order,Rashi on Shabbat 124b:22:3,היא - המגופה:
Can't Find,Rashi on Shabbat 128a:14:2,"פיגם - רוד""א:"
Can't Find,Rashi on Shabbat 128a:14:3,"ניניא - מינטא""י:"
Can't Find,Rashi on Shabbat 128a:14:5,"אברתא - אישני""א:"
Can't Find,Rashi on Shabbat 128a:15:1,"חשי - שדריא""ה וללשון הראשון לא פורש:"
Bad Order,Rashi on Shabbat 129a:16:5,עד דקפי טחליה - טחול שלו צף
Can't Find,Rashi on Shabbat 129b:17:2,"מלפפין - אנמליו""ן בלע""ז ולאו היינו אסובי"
Can't Find,Rashi on Shabbat 136a:14:2,"שפיהק - ביילי""ר בלע""ז כלומר לאחר לידתו"
Can't Find,Rashi on Shabbat 139a:15:3,כשותא - הימלון שגדל על ההגא מהו
Can't Find,Rashi on Shabbat 139b:6:1,"מטילין - ברשיי""ר בלע""ז:"
Can't Find,Rashi on Shabbat 139b:11:2,"אינומלין - פושו""ן:"
Can't Find,Rashi on Shabbat 140a:2:1,"ממחו - דישטיפדי""ר בלע""ז במים או ביין:"
Can't Find,Rashi on Shabbat 141b:10:1,"אימוס - פורמ""ה:"
Can't Find,Rashi on Shabbat 143a:2:1,"אוד - פורגו""ן דסתם עצים להסקה ניתנו"
Can't Find,Rashi on Shabbat 143a:4:4,"אפונין - ייש""ש:"
Can't Find,Rashi on Shabbat 143b:8:2,שדם מגפתה - של אשה אם נגף
Can't Find,Rashi on Shabbat 143b:8:3,יטמא חלב הבהמה שלא לרצון - בתמיה
Can't Find,Rashi on Shabbat 144b:1:2,"ופרשין - קויידונ""ץ"
Can't Find,Rashi on Shabbat 144b:1:3,"ובעוזרדין - קורמ""ש דלאו אורחייהו בהכי ואין"
Can't Find,Rashi on Shabbat 144b:5:1,"קוצים - קרדונ""ש:"
Can't Find,Rashi on Shabbat 145a:1:1,טמא מת שסחט זיתים וענבים כביצה מכוונת
Bad Order,Rashi on Shabbat 145b:14:3,לטבריה - לבוז ולהטיל עליהם עול ולא
Can't Find,Rashi on Shabbat 145b:14:4,קומטין - לעז היא שלטון:
Bad Order,Rashi on Shabbat 145b:15:6,ציצין - צמחין:
Can't Find,Rashi on Shabbat 146a:8:1,"למיברז - לתחוב פויינדור""א בלע""ז:"
Can't Find,Rashi on Shabbat 147b:16:1,"לפופי - אונמלוטי""א כמו שעושי' לקטן שיתיישבו"
Can't Find,Rashi on Shabbat 148a:1:2,"אדא דיילא - מנשטר""ל ממונה:"
Bad Order,Rashi on Shabbat 148b:1:1,ואתי לידי סחיטה - ודקאמר במסכת ביצה
Bad Order,Rashi on Shabbat 149a:4:3,גודא - כותל:
Bad Order,Rashi on Shabbat 149b:2:3,להלוות - משלו:
Can't Find,Rashi on Shabbat 152a:2:1,"הכסלים - ליפלאנק""ש:"
Can't Find,Rashi on Shabbat 152a:4:4,"חילפי - אורטיא""ש:"
Bad Order,Rashi on Shabbat 156a:5:3,מהו לפרק - לתת מתוך כלי שלפני
Bad Order,Rashi on Shabbat 156a:5:4,חדא קמי חדא - מילתא באפי נפשה
Bad Order,Rashi on Shabbat 156a:5:5,אבל תלתא קמי תרתי - הואיל ובחול
Can't Find,Rashi on Shabbat 156b:4:3,"למכבנתא - [אישפינגלי""ז בלע""ז] נושקא של זהב"
Can't Find,Rashi on Shabbat 156b:5:1,"ריסתנאי - אמנשטריישו""ן:"
