Bad Order,Rashi on Arakhin 3a:13:2,דמסברי ליה וסבר - הלכות נגעים:
Bad Order,Rashi on Arakhin 3b:9:1,"קמ""ל - דאע""ג דלא אפשר להו כעין"
Can't Find,Rashi on Arakhin 4a:1:1,וגואלין לעולם - אם מכרו שדה גואלין
Can't Find,Rashi on Arakhin 6b:18:4,"לחזרת עמידת ב""ד - שאין אתה יכול"
Bad Order,Rashi on Arakhin 7b:11:3,מת אסור בהנאה - דכתיב ותמת שם
Can't Find,Rashi on Arakhin 12b:1:1,כיבש יהויקים - לאו גלות הוא דלא
Can't Find,Rashi on Arakhin 13b:18:1,נאה שבישראל - שוה מאה מנה אין
Can't Find,Rashi on Arakhin 14a:19:1,תלמוד לומר וכו' שדה שאינה ראויה להיות
Can't Find,Rashi on Arakhin 14a:20:1,"ואח""כ הקדישה - דבשעת הקדש הויא שדה"
Bad Order,Rashi on Arakhin 19a:8:1,שמכי - בצלים:
Bad Order,Rashi on Arakhin 31a:12:1,מתני' ר' יהודה היא - דאמר צד
Can't Find,Rashi on Arakhin 31b:19:2,"בעל כרחו - שהטילתם בביתו כי ה""ג"
