Bad Order,Rashi on Avodah Zarah 3b:14:3,חוט של חסד - נותן חינו בעיני
Bad Order,Rashi on Avodah Zarah 5a:8:1,לאותם - בנים שהיו כבר בעמידתם בסיני:
Can't Find,Rashi on Avodah Zarah 9b:1:2,תנא תוספאה - קורא מקרא שלם בתוספת
Bad Order,Rashi on Avodah Zarah 19b:3:2,על הלומד ועל המלמד - שאסור ללמד
Bad Order,Rashi on Avodah Zarah 24b:12:1,כלו בבית - לשון בית הכלא (מלכים
Bad Order,Rashi on Avodah Zarah 29a:14:5,אפר מקלה - דמכות פרק בתרא לא
Bad Order,Rashi on Avodah Zarah 29a:14:6,וגבינה - הכא בפירקא (דף לה:) אמר
Bad Order,Rashi on Avodah Zarah 29a:15:1,מתניתין ומתניתא - הנך דאיתמר אפירושא דמתני'
Bad Order,Rashi on Avodah Zarah 29a:15:2,מתני' מלכתא - היא דמותבינן מינה לאמורא
Bad Order,Rashi on Avodah Zarah 29a:15:3,מאי בינייהו - בין רב פפא לרב
Bad Order,Rashi on Avodah Zarah 31a:11:5,וזגדור - כותים:
Bad Order,Rashi on Avodah Zarah 31b:10:4,מלקי - מזיק:
Bad Order,Rashi on Avodah Zarah 31b:11:1,זוקאני - נפוחים:
Bad Order,Rashi on Avodah Zarah 32b:7:1,לתרפות - לבקש טעותן למקום אחר:
Bad Order,Rashi on Avodah Zarah 34a:8:1,דורדיא - שמרים:
Can't Find,Rashi on Avodah Zarah 36a:1:1,זליפתן - פליטתן שפולטין ומזיעין שמנונית איסור
Bad Order,Rashi on Avodah Zarah 39a:8:1,קדש נונא - שם דגים שבים:
Bad Order,Rashi on Avodah Zarah 39b:5:3,שמואל כו' - שמואל לא פליג אדרב
Bad Order,Rashi on Avodah Zarah 39b:5:4,ושמואל - אמר לך חתיכת דג היינו
Bad Order,Rashi on Avodah Zarah 39b:5:6,אי משום איחלופי כו' - מאי איכא
Bad Order,Rashi on Avodah Zarah 39b:5:7,כי הדדי - שמא יש עמו הדומה
Can't Find,Rashi on Avodah Zarah 40a:13:5,"חלמון - מויו""ל:"
Bad Order,Rashi on Avodah Zarah 42b:11:3,שעל המכובדים - שעל כלים מכובדים שתשמישן
Bad Order,Rashi on Avodah Zarah 42b:12:1,גמ' לשם הרים - לשר הממונה על
Can't Find,Rashi on Avodah Zarah 42b:12:2,שילשול - תולעת. אלמא אורחייהו למיפלחינהו ומסתמא
Bad Order,Rashi on Avodah Zarah 42b:13:1,אמר אביי מיפלח לכל דמשכחי פלחי -
Bad Order,Rashi on Avodah Zarah 42b:13:2,ציירי להו ופלחי להו - הלכך ציירי
Can't Find,Rashi on Avodah Zarah 43b:20:1,גמ' ואת חטאתכם וגו' - מואכות אותו
Bad Order,Rashi on Avodah Zarah 44a:4:4,ומועלין בהם - לאו קרבן מעילה קאמר
Can't Find,Rashi on Avodah Zarah 44a:14:2,ובא איתי וביטלה - והדר וישאם דוד.
Bad Order,Rashi on Avodah Zarah 44a:19:1,דכתיב ויעש לו - דמשמע שהיו משונים:
Bad Order,Rashi on Avodah Zarah 44b:13:1,ואני אומר אינה גנובה - מילתא דרבי
Bad Order,Rashi on Avodah Zarah 45b:3:1,ר' יוסי בר' יהודה סבר אילן שנטעו
Bad Order,Rashi on Avodah Zarah 46a:18:1,ולמאן - אליבא דמאן קבעי חזקיה למילתיה
Can't Find,Rashi on Avodah Zarah 46b:1:1,"נעבד - דבעלי חיים אסור לגבוה ואע""ג"
Bad Order,Rashi on Avodah Zarah 52b:17:2,אסיפא - דמתניתין:
Can't Find,Rashi on Avodah Zarah 61b:16:1,הדרן עלך רבי ישמעאל:
Can't Find,Rashi on Avodah Zarah 61b:16:2,מסקנא דמילתא - מגע עובד כוכבים כיון
Bad Order,Rashi on Avodah Zarah 64b:16:1,קורבנא - תשורה:
Can't Find,Rashi on Avodah Zarah 71b:16:2,ולא ניתן להישבון - ולא מחייב לאהדורה
Can't Find,Rashi on Avodah Zarah 71b:16:3,אמאי נהרג - הא לא קניא להך
Can't Find,Rashi on Avodah Zarah 71b:17:1,ומשני האי דנהרג <big>משום צעריה דישראל<big>:</big></big>
Bad Order,Rashi on Avodah Zarah 75b:13:1,בלקוחין - שנחלטו ביד ישראל:
Bad Order,Rashi on Avodah Zarah 75b:13:2,וכמעשה שהיה - במדין שהיו חלוטין להם
Bad Order,Rashi on Avodah Zarah 76a:4:1,גבי קדשים השפוד והאסכלא - שצלה בהן
Bad Order,Rashi on Avodah Zarah 76a:18:1,דודא - קלחת:
Bad Order,Rashi on Avodah Zarah 76b:3:2,דצה - נעצה:
