Can't Find,Rashi on Bava Batra 4b:17:1,ור' יוסי סבר - דוקא גדרה ניקף
Bad Order,Rashi on Bava Batra 6b:7:3,אוזינקא - יציאה:
Can't Find,Rashi on Bava Batra 7a:1:1,איבנייה אנא - משלי:
Can't Find,Rashi on Bava Batra 7a:1:2,אמר ליה - עליון לית לי דוכתא
Can't Find,Rashi on Bava Batra 7a:1:3,לא קא מתדר לי - איני יכול
Bad Order,Rashi on Bava Batra 14a:10:1,אין [מיעוט אחר מיעוט] - אך ורק
Bad Order,Rashi on Bava Batra 16b:12:2,אבל אין לו פה - שהוא יושב
Can't Find,Rashi on Bava Batra 18b:6:2,לא משכחת ליה - הדבורה לפי שהוא
Can't Find,Rashi on Bava Batra 18b:6:3,ואי בטרפא - ואם יאכל העלה:
Can't Find,Rashi on Bava Batra 18b:6:4,הדר פארי - חוזר וצומח:
Bad Order,Rashi on Bava Batra 25a:14:1,כשעיר - שד:
