Megillah		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
2a.2		מגילה וחנוכה	1.4	עשין דרבנן ד	1	א"ח	688.1	א"ח	688	http://www.sefaria.org/Megillah.2a.2	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.4	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.688.1	sefaria.org/Tur,_Orach_Chaim.688		Megillah.2a.2	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.4	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.688.1	Tur,_Orach_Chaim.688
2a.2		מגילה וחנוכה	1.9			א"ח	688.1	א"ח	688	http://www.sefaria.org/Megillah.2a.2	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.9		sefaria.org/Shulchan_Arukh,_Orach_Chayim.688.1	sefaria.org/Tur,_Orach_Chaim.688		Megillah.2a.2	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.9		Shulchan_Arukh,_Orach_Chayim.688.1	Tur,_Orach_Chaim.688
2a.2		מגילה וחנוכה	1.6	עשין דרבנן ד	1				0	http://www.sefaria.org/Megillah.2a.2	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.6	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1				Megillah.2a.2	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.6	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1		
2a.2		מגילה וחנוכה	1.7						0	http://www.sefaria.org/Megillah.2a.2	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.7					Megillah.2a.2	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.7			
2a.18		ממרים	2.2						0	http://www.sefaria.org/Megillah.2a.18	sefaria.org/Mishneh_Torah,_Rebels.2.2					Megillah.2a.18	Mishneh_Torah,_Rebels.2.2			
2a.31		תעניות	5.5			א"ח	686.2	א"ח	686	http://www.sefaria.org/Megillah.2a.31	sefaria.org/Mishneh_Torah,_Fasts.5.5		sefaria.org/Shulchan_Arukh,_Orach_Chayim.686.2	sefaria.org/Tur,_Orach_Chaim.686		Megillah.2a.31	Mishneh_Torah,_Fasts.5.5		Shulchan_Arukh,_Orach_Chayim.686.2	Tur,_Orach_Chaim.686
2a.51		מגילה וחנוכה	1.9						0	http://www.sefaria.org/Megillah.2a.51	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.9					Megillah.2a.51	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.9			
2b.4		מגילה וחנוכה	1.6						0	http://www.sefaria.org/Megillah.2b.4	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.6					Megillah.2b.4	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.6			
2b.31		מגילה וחנוכה	1.4	עשין דרבנן ד	1	א"ח	688.2	א"ח	688	http://www.sefaria.org/Megillah.2b.31	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.4	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.688.2	sefaria.org/Tur,_Orach_Chaim.688		Megillah.2b.31	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.4	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.688.2	Tur,_Orach_Chaim.688
