Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments	Talmud	Rambam	SMG	ShuA	Tur
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
2a:2		נזקי ממון	1.10	עשין	67	ח"מ	389.1	ח"מ	389	http://www.sefaria.org/Bava_Kamma.2a:2	sefaria.org/Mishneh_Torah,_Damages_to_Property.1.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.1	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.2a:2	Mishneh_Torah,_Damages_to_Property.1.10	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.389.1	Tur,_Choshen_Mishpat.389
2a:2		נזקי ממון	13.2	עשין	68	ח"מ	410.1	ח"מ	410	http://www.sefaria.org/Bava_Kamma.2a:2	sefaria.org/Mishneh_Torah,_Damages_to_Property.13.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.68	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.410.1	sefaria.org/Tur,_Choshen_Mishpat.410		Bava_Kamma.2a:2	Mishneh_Torah,_Damages_to_Property.13.2	Sefer_Mitzvot_Gadol,_Volume_Two.68	Shulchan_Arukh,_Choshen_Mishpat.410.1	Tur,_Choshen_Mishpat.410
2a:2		נזקי ממון	12.1						0	http://www.sefaria.org/Bava_Kamma.2a:2	sefaria.org/Mishneh_Torah,_Damages_to_Property.12.1					Bava_Kamma.2a:2	Mishneh_Torah,_Damages_to_Property.12.1			
2a:2		נזקי ממון	14.1	עשין	69	ח"מ	418.1	ח"מ	418	http://www.sefaria.org/Bava_Kamma.2a:2	sefaria.org/Mishneh_Torah,_Damages_to_Property.14.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.69	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.418.1	sefaria.org/Tur,_Choshen_Mishpat.418		Bava_Kamma.2a:2	Mishneh_Torah,_Damages_to_Property.14.1	Sefer_Mitzvot_Gadol,_Volume_Two.69	Shulchan_Arukh,_Choshen_Mishpat.418.1	Tur,_Choshen_Mishpat.418
2a:6		נזקי ממון	1.2	עשין	67	ח"מ	369.1	ח"מ	369	http://www.sefaria.org/Bava_Kamma.2a:6	sefaria.org/Mishneh_Torah,_Damages_to_Property.1.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.369.1	sefaria.org/Tur,_Choshen_Mishpat.369		Bava_Kamma.2a:6	Mishneh_Torah,_Damages_to_Property.1.2	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.369.1	Tur,_Choshen_Mishpat.369
2a:6		נזקי ממון	8.9			ח"מ	369.2	ח"מ	369	http://www.sefaria.org/Bava_Kamma.2a:6	sefaria.org/Mishneh_Torah,_Damages_to_Property.8.9		sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.369.2	sefaria.org/Tur,_Choshen_Mishpat.369		Bava_Kamma.2a:6	Mishneh_Torah,_Damages_to_Property.8.9		Shulchan_Arukh,_Choshen_Mishpat.369.2	Tur,_Choshen_Mishpat.369
2a:6						ח"מ	419.1	ח"מ	419	http://www.sefaria.org/Bava_Kamma.2a:6			sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.419.1	sefaria.org/Tur,_Choshen_Mishpat.419		Bava_Kamma.2a:6			Shulchan_Arukh,_Choshen_Mishpat.419.1	Tur,_Choshen_Mishpat.419
2a:7		נזקי ממון	2.1	עשין	67	ח"מ	389.18	ח"מ	389	http://www.sefaria.org/Bava_Kamma.2a:7	sefaria.org/Mishneh_Torah,_Damages_to_Property.2.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.18	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.2a:7	Mishneh_Torah,_Damages_to_Property.2.1	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.389.18	Tur,_Choshen_Mishpat.389
2a:10		שבת	16.1	לאוין	65				0	http://www.sefaria.org/Bava_Kamma.2a:10	sefaria.org/Mishneh_Torah,_Sabbath.16.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.65				Bava_Kamma.2a:10	Mishneh_Torah,_Sabbath.16.1	Sefer_Mitzvot_Gadol,_Volume_One.65		
