Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
2a.1		חגיגה	2.1	עשין	229				0	http://www.sefaria.org/Chagigah.2a.1	sefaria.org/Mishneh_Torah,_Festival_Offering.2.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.2a.1	Mishneh_Torah,_Festival_Offering.2.1	Sefer_Mitzvot_Gadol,_Volume_Two.229		
2a.4		חגיגה	2.3						0	http://www.sefaria.org/Chagigah.2a.4	sefaria.org/Mishneh_Torah,_Festival_Offering.2.3					Chagigah.2a.4	Mishneh_Torah,_Festival_Offering.2.3			
2a.8		חגיגה	1.2	עשין	229				0	http://www.sefaria.org/Chagigah.2a.8	sefaria.org/Mishneh_Torah,_Festival_Offering.1.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.2a.8	Mishneh_Torah,_Festival_Offering.1.2	Sefer_Mitzvot_Gadol,_Volume_Two.229		
2a.12		חגיגה	2.1						0	http://www.sefaria.org/Chagigah.2a.12	sefaria.org/Mishneh_Torah,_Festival_Offering.2.1					Chagigah.2a.12	Mishneh_Torah,_Festival_Offering.2.1			
2a.14		חגיגה	1.7	עשין	229				0	http://www.sefaria.org/Chagigah.2a.14	sefaria.org/Mishneh_Torah,_Festival_Offering.1.7	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.2a.14	Mishneh_Torah,_Festival_Offering.1.7	Sefer_Mitzvot_Gadol,_Volume_Two.229		
2a.18		חגיגה	2.1	עשין	229				0	http://www.sefaria.org/Chagigah.2a.18	sefaria.org/Mishneh_Torah,_Festival_Offering.2.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.2a.18	Mishneh_Torah,_Festival_Offering.2.1	Sefer_Mitzvot_Gadol,_Volume_Two.229		
2b.4		עבדים	7.7	עשין	87	י"ד	267.62	י"ד	267	http://www.sefaria.org/Chagigah.2b.4	sefaria.org/Mishneh_Torah,_Slaves.7.7	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.87	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.267.62	sefaria.org/Tur,_Yoreh_Deah.267		Chagigah.2b.4	Mishneh_Torah,_Slaves.7.7	Sefer_Mitzvot_Gadol,_Volume_Two.87	Shulchan_Arukh,_Yoreh_De'ah.267.62	Tur,_Yoreh_Deah.267
2b.12		אישות	2.26			אה"ע	121.6	אה"ע	121	http://www.sefaria.org/Chagigah.2b.12	sefaria.org/Mishneh_Torah,_Marriage.2.26		sefaria.org/Shulchan_Arukh,_Even_HaEzer.121.6	sefaria.org/Tur,_Even_HaEzer.121		Chagigah.2b.12	Mishneh_Torah,_Marriage.2.26		Shulchan_Arukh,_Even_HaEzer.121.6	Tur,_Even_HaEzer.121
2b.12		גירושין	2.16			ח"מ	235.18	ח"מ	235	http://www.sefaria.org/Chagigah.2b.12	sefaria.org/Mishneh_Torah,_Divorce.2.16		sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.235.18	sefaria.org/Tur,_Choshen_Mishpat.235		Chagigah.2b.12	Mishneh_Torah,_Divorce.2.16		Shulchan_Arukh,_Choshen_Mishpat.235.18	Tur,_Choshen_Mishpat.235
2b.12		מכירה	29.2			א"ח	55.8			http://www.sefaria.org/Chagigah.2b.12	sefaria.org/Mishneh_Torah,_Sales.29.2		sefaria.org/Shulchan_Arukh,_Orach_Chayim.55.8			Chagigah.2b.12	Mishneh_Torah,_Sales.29.2		Shulchan_Arukh,_Orach_Chayim.55.8	
2b.12		מכירה	29.3						0	http://www.sefaria.org/Chagigah.2b.12	sefaria.org/Mishneh_Torah,_Sales.29.3					Chagigah.2b.12	Mishneh_Torah,_Sales.29.3			
2b.18		חגיגה	2.1	עשין	229				0	http://www.sefaria.org/Chagigah.2b.18	sefaria.org/Mishneh_Torah,_Festival_Offering.2.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.2b.18	Mishneh_Torah,_Festival_Offering.2.1	Sefer_Mitzvot_Gadol,_Volume_Two.229		
2b.23		חגיגה	2.4	עשין	229				0	http://www.sefaria.org/Chagigah.2b.23	sefaria.org/Mishneh_Torah,_Festival_Offering.2.4	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.2b.23	Mishneh_Torah,_Festival_Offering.2.4	Sefer_Mitzvot_Gadol,_Volume_Two.229		
3a.4		חגיגה	3.2						0	http://www.sefaria.org/Chagigah.3a.4	sefaria.org/Mishneh_Torah,_Festival_Offering.3.2					Chagigah.3a.4	Mishneh_Torah,_Festival_Offering.3.2			
3a.16		חגיגה	2.1	עשין	229				0	http://www.sefaria.org/Chagigah.3a.16	sefaria.org/Mishneh_Torah,_Festival_Offering.2.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.3a.16	Mishneh_Torah,_Festival_Offering.2.1	Sefer_Mitzvot_Gadol,_Volume_Two.229		
3a.24		חגיגה	2.1	עשין	229				0	http://www.sefaria.org/Chagigah.3a.24	sefaria.org/Mishneh_Torah,_Festival_Offering.2.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.3a.24	Mishneh_Torah,_Festival_Offering.2.1	Sefer_Mitzvot_Gadol,_Volume_Two.229		
3b.30		מתנות עניים	6.5	עשין	161	י"ד	331.19	י"ד	331	http://www.sefaria.org/Chagigah.3b.30	sefaria.org/Mishneh_Torah,_Gifts_to_the_Poor.6.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.161	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.331.19	sefaria.org/Tur,_Yoreh_Deah.331		Chagigah.3b.30	Mishneh_Torah,_Gifts_to_the_Poor.6.5	Sefer_Mitzvot_Gadol,_Volume_Two.161	Shulchan_Arukh,_Yoreh_De'ah.331.19	Tur,_Yoreh_Deah.331
