txt file line,Perek running counter,page running counter,Daf,Line,Rambam,Semag,Tur Shulchan Arukh,original,problem
1,﻿א,א,2a,2,"[u'Mishneh Torah, Those Who Defile Bed or Seat 3:4', u'Mishneh Torah, Forbidden Intercourse 9:3']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']",,"﻿א א מיי' פ""ג מהלכות מטמאי משכב ומושב הלכה ד ופ""ט מהלכות איסורי ביאה הלכה ג סמג לאוין קיא",FALSE
2,ב,ב,2a,3,"[u'Mishneh Torah, Forbidden Intercourse 9:4', u'Mishneh Torah, Those Who Defile Bed or Seat 3:5']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']",,"ב ב מיי' פ""ט מהלכות איסורי ביאה הלכה ד ופ""ג מהלכות משכב ומושב הלכה ה סמג שם",FALSE
3,ג,ג,2a,3,"[u'Mishneh Torah, Those Who Defile Bed or Seat 3:4']",,,"ג ג מיי' פ""ג מהלכות משכב ומושב הלכ' ד",FALSE
4,ד,ד,2a,5,"[u'Mishneh Torah, Forbidden Intercourse 9:3']",,,"ד ד מיי' פ""ט מהלכות איסורי ביאה הלכה ג",FALSE
5,ה,א,2b,2,"[u'Mishneh Torah, Immersion Pools 10:6']","[u'Sefer Mitzvot Gadol, Positive Commandments 248']","[u'Tur, Yoreh Deah 201', u""Shulchan Arukh, Yoreh De'ah 201:71""]","ה א מיי' פ""י מהלכות מקואות הלכה ו סמג עשין רמח שו""ע י""ד סימן רא סעיף עא",FALSE
6,ו,ב,2b,9,"[u'Mishneh Torah, Heave Offerings 5:24']",,,"ו ב מיי' פ""ה מהלכות תרומות הלכה כד",FALSE
7,ז,א,3b,13,"[u'Mishneh Torah, Other Sources of Defilement 17:2']",,,"ז א ב ג מיי' פי""ז מהל' שאר אבות הטומאה הלכה ב",
7,ז,ב,3b,14,"[u'Mishneh Torah, Other Sources of Defilement 17:2']",,,"ז א ב ג מיי' פי""ז מהל' שאר אבות הטומאה הלכה ב",
7,ז,ג,3b,15,"[u'Mishneh Torah, Other Sources of Defilement 17:2']",,,"ז א ב ג מיי' פי""ז מהל' שאר אבות הטומאה הלכה ב",FALSE
8,ח,ד,3b,16,"[u'Mishneh Torah, Other Sources of Defilement 17:1']",,,ח ד ה מיי' שם הלכה א,
8,ח,ה,3b,16,"[u'Mishneh Torah, Other Sources of Defilement 17:1']",,,ח ד ה מיי' שם הלכה א,FALSE
9,ט,א,4a,1,"[u'Mishneh Torah, Other Sources of Defilement 17:2']",,,"ט א ב ג ד מיי' פי""ז מהלכות שאר אבות הטומאה הלכה ב",
9,ט,ב,4a,3,"[u'Mishneh Torah, Other Sources of Defilement 17:2']",,,"ט א ב ג ד מיי' פי""ז מהלכות שאר אבות הטומאה הלכה ב",
9,ט,ג,4a,6,"[u'Mishneh Torah, Other Sources of Defilement 17:2']",,,"ט א ב ג ד מיי' פי""ז מהלכות שאר אבות הטומאה הלכה ב",
9,ט,ד,4a,6,"[u'Mishneh Torah, Other Sources of Defilement 17:2']",,,"ט א ב ג ד מיי' פי""ז מהלכות שאר אבות הטומאה הלכה ב",FALSE
10,י,ה,4a,8,"[u'Mishneh Torah, Other Sources of Defilement 18:14']",,,"י ה מיי' שם פי""ח הלכ' יד",FALSE
11,יא,ו,4a,9,"[u'Mishneh Torah, Other Sources of Defilement 18:14', u'Mishneh Torah, Other Sources of Defilement 15:6', u'Mishneh Torah, Other Sources of Defilement 15:10']",,,"יא ו מיי' שם ופט""ו הלכה ו והלכה י",FALSE
12,יב,ז,4a,10,"[u'Mishneh Torah, Other Sources of Defilement 17:2']",,,"יב ז מיי' שם פי""ז הלכ' ב",FALSE
13,יג,ח,4a,11,"[u'Mishneh Torah, Other Sources of Defilement 15:10']",,,"יג ח ט מיי' שם פט""ו הלכה י",
13,יג,ט,4a,12,"[u'Mishneh Torah, Other Sources of Defilement 15:10']",,,"יג ח ט מיי' שם פט""ו הלכה י",FALSE
14,יד,י,4a,14,"[u'Mishneh Torah, Other Sources of Defilement 16:7']",,,"יד י כ מיי' פט""ז שם הלכה ז",
14,יד,כ,4a,15,"[u'Mishneh Torah, Other Sources of Defilement 16:7']",,,"יד י כ מיי' פט""ז שם הלכה ז",FALSE
15,טו,א,4b,3,"[u'Mishneh Torah, Other Sources of Defilement 15:8']",,,"טו א מיי' פט""ו מהל' שאר אבות הטומאה הלכה ח",FALSE
16,טז,ב,4b,3,"[u'Mishneh Torah, Other Sources of Defilement 16:2', u'Mishneh Torah, Other Sources of Defilement 15:8']",,,"טז ב מיי' שם פט""ז הלכה ב ופט""ו הלכה ח",FALSE
17,יז,ג,4b,4,"[u'Mishneh Torah, Those Who Defile Bed or Seat 6:3']",,,"יז ג מיי' פ""ו מהלכות משכב ומושב הלכה ג",FALSE
18,יח,ד,4b,7,"[u'Mishneh Torah, Those Who Defile Bed or Seat 3:4']",,,"יח ד מיי' שם פ""ג הלכה ד",FALSE
19,יט,ה,4b,11,"[u'Mishneh Torah, Those Who Defile Bed or Seat 4:7']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']",,"יט ה מיי' פ""ד מהלכות משכב ומושב הלכה ז סמג לאוין קיא",FALSE
20,כ,א,5a,6,"[u'Mishneh Torah, Forbidden Intercourse 9:3', u'Mishneh Torah, Those Who Defile Bed or Seat 3:7']",,,"כ א מיי' פ""ט מהלכות איסורי ביאה הלכה ג ופ""ג מהלכות משכב ומושב הלכה ז",FALSE
21,כא,ב,5a,6,"[u'Mishneh Torah, Forbidden Intercourse 9:5', u'Mishneh Torah, Those Who Defile Bed or Seat 3:8']",,,"כא ב מיי' פ""ט מהלכות איסורי ביאה הלכה ה ופ""ג מהל' משכב ומושב הלכה ח",FALSE
22,כב,ג,5a,9,"[u'Mishneh Torah, Forbidden Intercourse 9:5']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']","[u'Tur, Yoreh Deah 190', u""Shulchan Arukh, Yoreh De'ah 190:2""]","כב ג מיי' פ""ט מהל' איסורי ביאה הלכה ה סמג לאוין קיא טוש""ע י""ד סימן קצ סעיף ב",FALSE
23,כג,ד,5a,9,"[u'Mishneh Torah, Forbidden Intercourse 9:5', u'Mishneh Torah, Marriage 2:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']","[u""Shulchan Arukh, Yoreh De'ah 190:2"", u'Tur, Yoreh Deah 190', u'Tur, Yoreh Deah 190', u""Shulchan Arukh, Yoreh De'ah 190:2"", u'Tur, Yoreh Deah 189', u""Shulchan Arukh, Yoreh De'ah 189:27""]","כג ד מיי' שם ופ""ב מהלכות אישות הלכה א סמג שם טוש""ע שם וסימן קפט סעיף כז",FALSE
24,כד,ה,5a,10,"[u'Mishneh Torah, Those Who Defile Bed or Seat 3:4']",,,"כד ה מיי' פ""ג מהל' משכב ומושב הלכ' ד",FALSE
25,כה,ו,5a,15,"[u'Mishneh Torah, Forbidden Intercourse 4:16']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']","[u'Tur, Yoreh Deah 186', u""Shulchan Arukh, Yoreh De'ah 186:1"", u""Shulchan Arukh, Yoreh De'ah 186:2""]","כה ו מיי' פ""ד מהלכות איסורי ביאה הלכה טז סמג לאוין קיא טוש""ע י""ד סימן קפו סעיף א ב",FALSE
26,כו,א,5b,4,"[u'Mishneh Torah, Those Who Defile Bed or Seat 3:8']",,,"כו א מיי' פ""ג מהלכות משכב ומושב הלכה ח",FALSE
27,כז,ב,5b,6,"[u'Mishneh Torah, Other Sources of Defilement 16:6']",,,"כז ב ג ד מיי' פט""ז מהלכות שאר אבות הטומאה הלכה ו",
27,כז,ג,5b,8,"[u'Mishneh Torah, Other Sources of Defilement 16:6']",,,"כז ב ג ד מיי' פט""ז מהלכות שאר אבות הטומאה הלכה ו",
27,כז,ד,5b,11,"[u'Mishneh Torah, Other Sources of Defilement 16:6']",,,"כז ב ג ד מיי' פט""ז מהלכות שאר אבות הטומאה הלכה ו",FALSE
