txt file line,Perek running counter,page running counter,Daf,Line,Rambam,Semag,Tur Shulchan Arukh,original,problem
1,א,א,2a,3,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:15']","[u'Sefer Mitzvot Gadol, Positive Commandments 19']","[u'Tur, Orach Chaim 114', u'Shulchan Arukh, Orach Chayim 114:1']","א א ב ג מיי' פ""ב מהלכות תפלה הלכה טו סמג עשין יט טוש""ע א""ח סי' קיד סעיף א",
1,א,ב,2a,3,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:15']","[u'Sefer Mitzvot Gadol, Positive Commandments 19']","[u'Tur, Orach Chaim 114', u'Shulchan Arukh, Orach Chayim 114:1']","א א ב ג מיי' פ""ב מהלכות תפלה הלכה טו סמג עשין יט טוש""ע א""ח סי' קיד סעיף א",
1,א,ג,2a,5,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:15']","[u'Sefer Mitzvot Gadol, Positive Commandments 19']","[u'Tur, Orach Chaim 114', u'Shulchan Arukh, Orach Chayim 114:1']","א א ב ג מיי' פ""ב מהלכות תפלה הלכה טו סמג עשין יט טוש""ע א""ח סי' קיד סעיף א",FALSE
2,ב,ד,2a,5,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:16']","[u'Sefer Mitzvot Gadol, Positive Commandments 19']","[u'Tur, Orach Chaim 117', u'Shulchan Arukh, Orach Chayim 117:1']","ב ד מיי' שם הלכה טז וסמג שם טוש""ע א""ח סי' קיז סעיף א",FALSE
3,ג,ה,2a,5,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:12']","[u'Sefer Mitzvot Gadol, Positive Commandments 19']","[u'Tur, Orach Chaim 294', u'Shulchan Arukh, Orach Chayim 294:1']","ג ה מיי' שם הלכה יב וסמג שם טוש""ע א""ח סי' רצד סעיף א",FALSE
4,ד,א,2b,4,"[u'Mishneh Torah, Sacrificial Procedure 4:5']",,,"ד א מיי' פ""ד מהלכות מעשה הקרבנות הלכה ה",FALSE
5,ה,א,3a,3,"[u'Mishneh Torah, Daily Offerings and Additional Offerings 10:6']","[u'Sefer Mitzvot Gadol, Positive Commandments 205']",,"ה א מיי' פ""י מהלכות תמידין הלכה ו סמג עשין רה",FALSE
6,ו,ב,3a,7,"[u'Mishneh Torah, Sabbatical Year and the Jubilee 3:5']",,,"ו ב מיי' פ""ג מהלכות שמיטה ויובל הלכה ה",FALSE
7,ז,ג,3a,7,"[u'Mishneh Torah, Shofar, Sukkah and Lulav 7:20']",,,"ז ג מיי' פ""ז מהלכות לולב הלכה כ",FALSE
8,ח,ד,3a,7,"[u'Mishneh Torah, Daily Offerings and Additional Offerings 10:6']",,,"ח ד מיי' פ""י מהלכות תמידין הלכה ו",FALSE
9,ט,ה,3a,13,"[u'Mishneh Torah, Prayer and the Priestly Blessing 10:8']","[u'Sefer Mitzvot Gadol, Positive Commandments 19']","[u'Tur, Orach Chaim 114', u'Shulchan Arukh, Orach Chayim 114:3']","ט ה מיי' פ""י מהלכות תפלה הלכה ח סמג עשין יט טוש""ע א""ח סי' קיד סעיף ג",FALSE
10,י,א,3b,3,"[u'Mishneh Torah, Prayer and the Priestly Blessing 10:8']","[u'Sefer Mitzvot Gadol, Positive Commandments 19']","[u'Tur, Orach Chaim 114', u'Shulchan Arukh, Orach Chayim 114:3', u'Shulchan Arukh, Orach Chayim 114:4', u'Shulchan Arukh, Orach Chayim 114:5']","י א מיי' פ""י מהלכות תפלה הלכה ח סמג עשין יט טוש""ע א""ח סימן קיד סעיף ג ד ה",FALSE
11,יא,א,4b,12,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:16']","[u'Sefer Mitzvot Gadol, Positive Commandments 19']","[u'Tur, Orach Chaim 117', u'Shulchan Arukh, Orach Chayim 117:1']","יא א מיי' פ""ב מהל' תפלה הל' טז סמג עשין יט טוש""ע א""ח סי' קיז סעיף א",FALSE
12,יב,א,5a,2,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:15']",,"[u'Tur, Orach Chaim 114', u'Shulchan Arukh, Orach Chayim 114:1']","יב א ב מיי' פ""ב מהל' תפלה הל' טו טוש""ע א""ח סימן קיד סעיף א",
12,יב,ב,5a,2,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:15']",,"[u'Tur, Orach Chaim 114', u'Shulchan Arukh, Orach Chayim 114:1']","יב א ב מיי' פ""ב מהל' תפלה הל' טו טוש""ע א""ח סימן קיד סעיף א",FALSE
13,יג,א,6a,10,"[u'Mishneh Torah, Vows 10:11', u'Mishneh Torah, Gifts to the Poor 1:11']","[u'Sefer Mitzvot Gadol, Negative Commandments 242']","[u'Tur, Yoreh Deah 220', u""Shulchan Arukh, Yoreh De'ah 220:18""]","יג א מיי' פ""י מהלכות נדרים הל' יא ופ""א מהלכות מתנות עניים הלכה יא סמג לאוין רמב טוש""ע י""ד סי' רכ סעיף יח",FALSE
14,יד,ב,6a,11,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:16']","[u'Sefer Mitzvot Gadol, Positive Commandments 19']","[u'Tur, Orach Chaim 117', u'Shulchan Arukh, Orach Chayim 117:1']","יד ב מיי' פ""ב מהלכות תפלה הלכה טז סמג עשין יט טוש""ע א""ח סי' קיז סעיף א",FALSE
15,טו,א,6b,1,"[u'Mishneh Torah, Vows 10:11']","[u'Sefer Mitzvot Gadol, Negative Commandments 242']","[u'Tur, Yoreh Deah 220', u""Shulchan Arukh, Yoreh De'ah 220:18""]","טו א מיי' פ""י מהלכות נדרים הלכה יא סמג לאוין רמב טוש""ע י""ד סימן רכ סעיף יח",FALSE
16,טז,ב,6b,2,"[u'Mishneh Torah, Gifts to the Poor 1:11']",,,"טז ב מיי' פ""א מהלכות מתנות עניים הלכה יא",FALSE
17,יז,ג,6b,4,"[u'Mishneh Torah, Damages to Property 5:4']",,"[u'Tur, Choshen Mishpat 274']","יז ג מיי' פ""ה מהלכות נזקי ממון הלכה ד טור ח""מ סי' רעד",FALSE
18,יח,ד,6b,6,"[u'Mishneh Torah, Sabbatical Year and the Jubilee 7:1']","[u'Sefer Mitzvot Gadol, Positive Commandments 148']",,"יח ד מיי' פ""ז מהלכות שמטה ויובל הל' א סמג עשין קמח",FALSE
19,יט,ה,6b,15,"[u'Mishneh Torah, Blessings 10:6']","[u'Sefer Mitzvot Gadol, Positive Commandments 27']","[u'Tur, Orach Chaim 221', u'Shulchan Arukh, Orach Chayim 221:1']","יט ה מיי' פ""י מהלכות ברכות הלכה ו סמג עשין כז טוש""ע א""ח סי' רכא סעיף א",FALSE
20,כ,ו,6b,16,"[u'Mishneh Torah, Blessings 10:5']",,"[u'Tur, Orach Chaim 221', u'Shulchan Arukh, Orach Chayim 221:2']","כ ו ז מיי' שם הלכה ה טוש""ע שם סעיף ב",
20,כ,ז,6b,17,"[u'Mishneh Torah, Blessings 10:5']",,"[u'Tur, Orach Chaim 221', u'Shulchan Arukh, Orach Chayim 221:2']","כ ו ז מיי' שם הלכה ה טוש""ע שם סעיף ב",FALSE
21,כא,א,7a,14,"[u'Mishneh Torah, Torah Study 4:1']",,"[u'Tur, Yoreh Deah 246', u""Shulchan Arukh, Yoreh De'ah 246:7""]","כא א מיי' פ""ד מהל' ת""ת הל' א טוש""ע י""ד סימן רמו סעיף ז",FALSE
22,כב,ב,7a,15,"[u'Mishneh Torah, Torah Study 3:9']",,,"כב ב מיי' שם פ""ג הלכה ט",FALSE
23,כג,א,8b,7,,,"[u'Tur, Orach Chaim 576', u'Shulchan Arukh, Orach Chayim 576:15']","כג א ב טוש""ע א""ח סי' תקעו סעיף טו",
23,כג,ב,8b,7,,,"[u'Tur, Orach Chaim 576', u'Shulchan Arukh, Orach Chayim 576:15']","כג א ב טוש""ע א""ח סי' תקעו סעיף טו",FALSE
24,כד,ג,8b,9,,,"[u'Tur, Orach Chaim 571', u'Shulchan Arukh, Orach Chayim 571:3']","כד ג טוש""ע א""ח שם סימן תקעא סעיף ג",FALSE
25,כה,ד,8b,14,"[u'Mishneh Torah, Blessings 10:22']","[u'Sefer Mitzvot Gadol, Positive Commandments 26']","[u'Tur, Orach Chaim 230', u'Shulchan Arukh, Orach Chayim 230:2']","כה ד מיי' פ""י מהל' ברכות הלכה כב סמג עשין כו טוש""ע א""ח סימן רל סעיף ב",FALSE
26,כו,א,10a,11,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:16']","[u'Sefer Mitzvot Gadol, Positive Commandments 19']","[u'Tur, Orach Chaim 117', u'Shulchan Arukh, Orach Chayim 117:1']","כו א ב ג מיי' פ""ב מהלכות תפלה הלכה טז סמג עשין יט טור ש""ע א""ח סי' קיז סעיף א",
