EY comment,EY current paragraph
<b>זה שאמר הכתוב כו'.</b> כוונת הדורש שדבור זה היה לגדל את ישראל לכן פרסם הכתוב באיזה מקום ובאיזה עת היה ומביא סמוכים לזה מקרא צדקתך כהררי אל ומשפטיך תהום רבה. וכיון שמביא הקרא דריש ליה בדרש אחר בתחלה.,Bemidbar Rabbah 1:1
"<b>זה שאמר הכתוב צדקתך כהררי אל משפטיך תהום רבה.</b> כצ""ל דריש דרישא מיירי בצדיקים וסיפא ברשעים. ואמר משל את הצדיקים בדירתם פירוש המשיל ודימה את שכר הצדיקים לדירתן. שכמו שדירתן בהרי ישראל הטובים כענין שנאמר במרעה טוב ארעה אותם ובהרי מרום ישראל יהיה נויהם. כי ההרים הוא אויר טוב ויפה. כן רמז הפלגת הצדקה הנעשית להם כהררי אל.",Bemidbar Rabbah 1:1
<b>ומשל את הרשעים בדירתן.</b> והמשיל הפלגת עונש הרשעים לעומק התהום כדמיון דירתן בגיהנם המכוסה בתהום שהיא חושך.,Bemidbar Rabbah 1:1
<b>ביום רדתו שאולה כו'.</b> דכתיב התם כי כולם נתנו למות אל ארץ תחתית וגו' אל יורדי בור. וכתיב בתריה ביום רדתו שאולה וגו' ומפרש דמאמר ביום רדתו הוא מוסב אל יורדי בור הנזכר מקודם ביום רדתו אל הבור הוא הקבר אז שאול הובלתי (ומפרש האבלתי כאילו כתיב הובלתי). שמיד אחר רדתו לקבר הולכתיו לגיהנם. והיינו דכתיב בתריה כסיתי עליו את התהום כלומר כסיתי עליו בגיהנם את התהום. ואהא מפרש טעמא לפי שאין עושין כיסוי לגיגית של חרס אלא מחרס כפי מינה. כך הרשעים חשך כדכתיב והיה במחשך מעשיהם. וכן כיוצא בו הגיהנם ארץ עיפתה. וכן התהום וחשך על פני תהום.,Bemidbar Rabbah 1:1
"<b>ממהו בה.</b> פי' ממה שהיא נעשה בה מכסין אותה והא""א גרס מינה ובה.",Bemidbar Rabbah 1:1
"<b>צדקה שאתה מביא לעולם.</b> זהו פירוש אחר על פסוק צדקתך כהררי אל וגו'. ונראה שצ""ל דבר אחר צדקתך כהררי אל צדקה כו'.",Bemidbar Rabbah 1:1
"<b>אבל מי שהוא בא.</b> צ""ל אבל כשהוא בא (א""א).",Bemidbar Rabbah 1:1
<b>אופטיאה.</b> בלשון יוני שררה ושלטון של שני שרים רומיים הנבררים מידי שנה בשנה למשול. ובכל ספרי זכרונות היו כותבין בשנת שררת פלוני פלוני לכוון הזמן לקבוע מנינו. והמעריך פי' אפטי' מעשה.,Bemidbar Rabbah 1:1
"<b>דבר אחר וידבר כו'.</b> זה שאמר הכתוב כו' שגילה לן הכתוב שבמדבר היה. לפי שקלסה להקב""ה לכן פרסם הכתוב מדבר זה ומביא סמוכים לזה מפסוק הדור אתם ראו דבר ה' כדמסיק זה שאמר הכתוב הדור אתם ראו כו'.",Bemidbar Rabbah 1:2
<b>בסיגמטין</b> בלשון יוני מיני מצעות (מוסף הערוך).,Bemidbar Rabbah 1:2
"<b>רבוצין על מטותיהם.</b> דרש ויסב לשון הסיבה על מטות סביב השולחן וחשב כאן ב' ענינים חומרי ורוחני. שעל הרוב מקום מדבר מונע מן שלימות הנפשי. וע""כ הסיבן להיות בשלוה ומנוחה. וכן מקום אין זרע לאוכל המטרתי מן לפניכם שהיה בו ב' שלימות רוחני וגשמי. כי היה נבלע באברים ועוזר להכוחות הגופניים ולחם שמלאכי השרת אוכלין אותה שזהו מזון הנפש.",Bemidbar Rabbah 1:2
<b>שנאמר ויאכילך כו'.</b> אין מזה ראיה שהיה בזכות משה אלא מביא מזה הפסוק ראיה שהמן לא ראו אבותיהם הקדושים. ובסמוך דייק דהמן היה בזכות משה מדפסק המן כשמת משה.,Bemidbar Rabbah 1:2
<b>שנאמר פרש ענן למסך.</b> זה לראיה שהקיף אותם בעננים. אבל מה שהיה בזכות אהרן למד לקמן מדנסתלקו כשמת אהרן.,Bemidbar Rabbah 1:2
<b>לארבע רוחות.</b> בגין דלא ישלוט בהן עינא בישא.,Bemidbar Rabbah 1:2
<b>ואחד מלמעלן.</b> בגין דלא ישלוט בהן שרבא ושמשא ואוף לא מטרא ברדא.,Bemidbar Rabbah 1:2
"<b>ואחד מלמטן.</b> די הוה מסובר יתהון היכמא דמסובר תורבינא ית ינקא בעטפיה ת""י בשיר השירים פסוק שמאלו.",Bemidbar Rabbah 1:2
<b>משואיהם.</b> משא שלהם להנהיגם ולהדריכם בכל דבר צרכם.,Bemidbar Rabbah 1:2
<b>היו מתנהגים.</b> בכל דבר צרכם. והכוונה ששלח לנו אנשים שכל זכותינו נובע רק מהם. אף שאין אנו זכאים רק בזכותם.,Bemidbar Rabbah 1:2
"<b>וישבות המן ממחרת.</b> באכלם מעבור הארץ וגו'. אלמא דעד ט""ז ניסן הוה להו לישראל מן. ומה תלמוד לומר (שמות טז) ובני ישראל אכלו את המן וגו' עד בואם אל ארץ נושבת היינו ארץ סיחון ועוג. אלא יום שמת משה פסק המן מלירד. ועדיין היו אוכלין את המן שבכליהם עד שעברו את הירדן. ואז וישבות המן ממחרת הפסח. ונמצא שאכלו עד ט""ז בניסן ומסיים בס""ע הרי מ' שנה חסר ל' יום. ול' יום שהיו אוכלים עוגה שהוציאו בידם ממצרים שהיה יפה להם כמן. לכן כתיב ובני ישראל אכלו את המן מ' שנה.",Bemidbar Rabbah 1:2
<b>קופחת עליהם.</b> פי' מכה עליהם.,Bemidbar Rabbah 1:2
<b>כוורת.</b> פי' כלי להכניס בתוכו נחיל של דבורים. ופעמים שעושים כלי כמין כוורת ומכניסין לתוכו דברים אחרים (מוסף הערוך).,Bemidbar Rabbah 1:2
<b>שמא כמדבר נהגתי עמכם.</b> כן הוא בדפוסים ישנים.,Bemidbar Rabbah 1:2
<b>אלא אם ארץ מאפליה.</b> כלומר לאו דוקא לא כמדבר. אלא אפילו אם הייתי להם כארץ מאפליה בתמיה. ומפרש מאפליה לשון אופל וחשך. ובתנחומא ליתא תיבת אלא.,Bemidbar Rabbah 1:2
"<b>בידי הייתי מאיר לכם.</b> הכוונה על אור הרוחני להשראת השכינה. ואור הגשמי ג""כ המאיר להם הדרך.",Bemidbar Rabbah 1:2
"<b>מהו מאפליה.</b> ר""ל מהו מ""ם של מאפליה.",Bemidbar Rabbah 1:2
"<b>שמא אמרתי לכם כו' והלקשתי אותה.</b> וה""ק אם מדבר הייתי לישראל אין מקום זרע מאומה. או עכ""פ ארץ מאפלת את תבואתה ומאחרת אותה. והכוונה אם לא הכינותי להם כל טוב והכל כאשר הבטחתים כן באה להם כדכתיב ולא נפל.",Bemidbar Rabbah 1:2
<b> כי אפילות הנה.</b> פי' מאוחרות היו שעדיין לא היו קשים ועומדין בפני הרך ובפני הקשה.,Bemidbar Rabbah 1:2
<b>לשון משנה הוא.</b> תרומות פרק י משנה ג. מכשירין פרק ג משנה ג.,Bemidbar Rabbah 1:2
<b>הרודה פת חמה.</b> הוצאת הפת מן התנור נקראת רדייה.,Bemidbar Rabbah 1:2
<b>כשהפת נתבשלה בתנור כו'.</b> שתנורים שלהם פיהם למעלה ומדביקים הפת בכותלי התנור. וכשהיה נאפה היו מקפלים ומסירים הפת מן כותלי התנור. ולא היה באפשר עוד להדביקו לתנור.,Bemidbar Rabbah 1:2
<b>ואנו היינו בירושלים כבתנור.</b> כן הוא בתנחומא וכן הוא במדרשים ישנים.,Bemidbar Rabbah 1:2
<b>ומה את מבקש ממני עוד.</b> וזהו דכתיב שם רדנו לא נבא עוד אליך. כי דימו שהירידה טובה להם שנסתלקה השכינה ולא יענשו ככה בחטאתם.,Bemidbar Rabbah 1:2
"<b>כי הוא רודה בכל כו'.</b> פי' רדנו ביטול הממשלה כד""א לדשנו שפירושו הסרת הדשן.",Bemidbar Rabbah 1:2
"<b>אמרו לו נתצת לנו את.</b> כצ""ל וכן הוא בתנחומא.",Bemidbar Rabbah 1:2
<b>ומי יתן לי והייתי במדבר היכן כו'.</b> ולכן מסיים המדבר הייתי וגו' הלואי הייתי במדבר אשר שם הכירוני וייראו ממני.,Bemidbar Rabbah 1:2
<b>היכן שהייתי מתקלס שנאמר ישאו מדבר כו'.</b> כי בעת התגלות כבוד שכינה למטה באורה הגדול ונורא. אז גם אור הגשמי מתראה כידוע. וזה שאמר ישאו מדבר וגו' ירונו יושבי סלע.,Bemidbar Rabbah 1:2
<b>כאן אני בונה אסנאי כאן כו'.</b> וכן הוא בתנחומא ובילקוט.,Bemidbar Rabbah 1:2
"<b>וכן ההרים רקדו כאילים.</b> כשבא הקב""ה לים. ועיין מ""ש בתנחומא.",Bemidbar Rabbah 1:2
"<b>התחילו שמחים שהקב""ה דר בתוכו.</b> ושאו את ראש קאי על משה ועל המדבר שישאו ראשם של ישראל וישאו לפניהם רינה (ש""ך על התורה).",Bemidbar Rabbah 1:2
"<b>דבר אחר וידבר כו'.</b> בתנחומא ובילקוט ליתא ד""א. וכן נ""ל שמיותר.",Bemidbar Rabbah 1:3
"<b>ודבר עמו בסיני שנאמר וידבר ה' כו' בהר סיני.</b> כצ""ל.",Bemidbar Rabbah 1:3
"<b>יפה הוא הצניעות.</b> ר""ל שהשראת השכינה תהיה בצניעות למען תהיה באימה וביראה.",Bemidbar Rabbah 1:3
"<b>כל כבודה של התורה.</b> שהיא בתה של משה. שהיה מלך שהוקם על של תורה. והוקם על פרעה ועל ביתו. ראוי להיות פנימה בצניעות באהל מועד. ששם היה נכנס אהרן במשבצות זהב. ומכפרים על כמה עבירות כדאיתא בויקרא רבה פ""י.",Bemidbar Rabbah 1:3
<b>ה' עוז לעמו יתן.</b> וכתיב בי מלכים ימלוכו. לפיכך כל כו'. כן הוא בבחיי.,Bemidbar Rabbah 1:3
<b>מכאן אמרו אשה כו'.</b> זהו דרש אחר על פסוק כל כבודה בת מלך וגו' ומביאו כאן להראות מעלת הצניעות.,Bemidbar Rabbah 1:3
<b>קסטיריות</b> בלשון רומיי מבצר ומחנה של אנשי המלחמה. תרגום יונתן בחצריהם ובטירותם בכפרניהון ובקסטרוותהון.,Bemidbar Rabbah 1:3
"<b>אם היה ראוי לא היה נותן לו כו'.</b> לפי שישראל מכיר להקב""ה ויודע שהיכולת בידו ואם אין תפלתו נשמעת תולה בעצמו ובחטאתו. אבל עכו""ם קורא תגר ואומר בית ששמו הולך מסוף העולם ועד סופו נתיגעתי בכמה דרכים ובאתי והתפללתי בתוכו ולא מצאתי בו ממש. ולפיכך ועשית ככל אשר יקרא אליך הנכרי.",Bemidbar Rabbah 1:3
"<b>ולא היה מטר יורד.</b> כמ""ש בבראשית רבה פל""ט הגשמים בזכותך כו'.",Bemidbar Rabbah 1:3
<b>ולעולם הבא.</b> פי' לימות המשיח.,Bemidbar Rabbah 1:3
<b>אשר יחזיקו עשרה אנשים.</b> עיין במס' שבת דף לב.,Bemidbar Rabbah 1:3
<b>בשרר.</b> פי' בטבור.,Bemidbar Rabbah 1:4
"<b>שלא היו חסרים אחד משלישתן.</b> כצ""ל וכן הוא בתנחומא. ופי' שלא היו חסרים מכ""ג שהוא השליש מסנהדרין של ע'. שג' פעמים כ""ג הוא ס""ט ועם מופלא ב""ד הם ע'. וכן הוא בהדיא בשיר השירים רבה.",Bemidbar Rabbah 1:4
"<b>מי שהוא מזוג כראוי כו'.</b> היינו דוקא ביין השרוני כדאיתא בשיר השירים רבה. אבל לא בשאר יינות כדאמרו שבת דף עז כל חמרא דלא דרי על חד תלת מיא לאו חמרא הוא. וכמ""ש התוס' שם ובעירובין דף כט.",Bemidbar Rabbah 1:4
"<b>ובמנין.</b> כן ישראל נמנין כי הם נחשבים כדבר שבמנין. והעכו""ם מכונים בתבן וקש שאינו עיקר הפרי. רק הוכן לשמירת הפרי.",Bemidbar Rabbah 1:4
"<b>וידבר ה' אל משה במדבר סיני זש""ה.</b> כצ""ל.",Bemidbar Rabbah 1:5
<b>משל למלך.</b> מצייר לנו יקרת ענין האומה שהקפיד ה' למנותם ולכתוב עניינם ומקומם.,Bemidbar Rabbah 1:5
<b>בת אבות.</b> כלומר בת טובים.,Bemidbar Rabbah 1:5
<b>לשושבינו.</b> ולאמנון רע תרגום ולאמנון שושבינא.,Bemidbar Rabbah 1:5
<b>איפרכיא.</b> פי' מקום ושכונה ובבראשית רבה ומבית אביך זה איפרכיא שלך.,Bemidbar Rabbah 1:5
<b>תלוי ראש.</b> שאו דרש לשון התנשאות ותלוי ראש.,Bemidbar Rabbah 1:5
"<b>באהל מועד הרי מדינה.</b> או שצ""ל הרי עיר. או שלעיל צ""ל ובאיזה מדינה רוממתי קרנם.",Bemidbar Rabbah 1:5
<b>אופטיאה.</b> פירשתי לעיל.,Bemidbar Rabbah 1:5
<b>למה שאו את ראש.</b> ולא קאמר ספור.,Bemidbar Rabbah 1:5
"<b>אשריו של משה.</b> משום דכאן כתיב במדבר סיני ששם היו כל ישראל עומדים ועכ""ז דיבר רק אתו. וזה אשוריו ותהלותיו שנבחר מכל במעלתו.",Bemidbar Rabbah 1:6
<b>למה במדבר סיני.</b> כלומר למה ליה לכתוב שהיה הדבור במדבר.,Bemidbar Rabbah 1:7
<b>הוי כל צמא לכו למים.</b> וגו' ואשר אין לו כסף לכו שברו ואכלו ולכו שברו בלא כסף ובלא מחיר יין וחלב. וכל הכתוב מיירי בתורה. שהתורה נמשלה למים ויין וחלב ולחם ונתנה בג' דברים אלו. שיורו באש על צורך דקות השכל. ובמים בחריצות ופחז כמים. ובמדבר על התמדה וקיום בהתבודדות. ושמירתו הצריכה.,Bemidbar Rabbah 1:7
<b>מה אלו חנם לכל באי עולם.</b> כי נמצאים הם בכל מקום. המים בכל מקום. האש נקל להשיגה מחמת שהיא מתרבה והולכת תמיד. ומדבר שהוא מקום לא זרע. לכן הוא חנם לכל.,Bemidbar Rabbah 1:7
"<b>כמדבר הפקר.</b> ר""ל שאינו חושש לגופו מרוב התמדתו בתורה. שצריך האדם להמית את עצמו על דברי תורה. ולהיות שפל ועניו ללמוד מכל וללמד לכל כי אין התורה נמצאת בגסי הרוח.",Bemidbar Rabbah 1:7
<b>ששה שמות נקראו לו.</b> הכא לא חשיב אלא שמות דהר גופא אבל צין וקדש ופארן וקדמות אינו אלא שמות המדבר שאצלו.,Bemidbar Rabbah 1:8
"<b>הר מוריה.</b> בתנחומא גרס הר חמד במקום הר המוריה. וטעות נפל בספרינו וכמ""ש לקמן בסמוך הר חמד שחמד הקב""ה כו' ולא מפרש למה נקרא הר המוריה.",Bemidbar Rabbah 1:8
"<b>שישב בו אלהים בדין.</b> שכן שם אלהים מורה על מדת הדין. שישב בו אלהים בדין פי' שדן ואמר אם מקבלים התורה מוטב ואם לאו אכפה להם ההר. ומה שהוכיח מאלה המשפטים היינו דסמך משפטים להר סיני (יפ""ת בש""ר).",Bemidbar Rabbah 1:8
"<b>שבא שם.</b> ר""ל התגלות ה' פנים בפנים. ודרש בשן נוטריקון בא שם. ובירושלמי שכיח מאד להחליף נו""ן במ""ם. ונקרא כן להודיע ענותנותו של הקב""ה שהניח ההרים הרמים. ושכן שכינתו בשפל.",Bemidbar Rabbah 1:8
"<b>גבן כו'.</b> הרי שגבן לשון פסול הוא. והכוונה שעל כל ההרים נעבדה עכו""ם ונפסלו בזה כבעל מום שפסול להקרבה לגבוה. אבל הר סיני לא נעבד בו עכו""ם (יפ""ת).",Bemidbar Rabbah 1:8
"<b>שחמד הקב""ה כו'.</b> ר""ל שאין בכחנו לדעת סבת הבחירה וחמדה להר ההוא דוקא.",Bemidbar Rabbah 1:8
<b>שעליו נשמטה החרב.</b> בתנחומא גרס נמשכה החרב. והיא היא שנשמטה פי' נשמטה מתערה. והכוונה שמעת קבלת התורה נגזר על עובריה מיתה בידי אדם או בידי שמים.,Bemidbar Rabbah 1:8
"<b>נשנאו העכו""ם.</b> הכוונה על האמונה האמתית באחדותו יתברך ועבודתו. כי במצות המעשיות אין החיוב עליהם. כי הכל זכר לקורותינו כמו שהאריכו הספרים ובראשם הכוזרי. אבל עיקרו הדת המה ראוים להיות כוללים כל אומה ולשון. אך המה אז לא קיבלוה ולכן כל העכו""ם שעבדו אז אלילים נחרבו ונאבדו מן העולם המה עם אמונותיהם.",Bemidbar Rabbah 1:8
"<b>נשנאו כו'.</b> דריש סיני שנאה דאותיות זסשר""ץ מתחלפות.",Bemidbar Rabbah 1:8
<b>אפופסין.</b> גזר דין (ערוך).,Bemidbar Rabbah 1:8
"<b>אמר רבי אבא ב""כ כו'.</b> לא דריש זה על הר סיני אלא על הר חורב. ועיין בשיר השירים רבה פ""ב סי' ו.",Bemidbar Rabbah 1:8
<b>מחורב.</b> מהר חורב.,Bemidbar Rabbah 1:8
<b>לך ה' הגדולה וגו'.</b> לך ה' הממלכה והמתנשא לכל ראש. לכך נאמר שאו את ראש.,Bemidbar Rabbah 1:9
<b>ויהיו כל הפקודים שש מאות אלף וגו'.</b> ושלשת אלפים וחמש מאות וחמשים.,Bemidbar Rabbah 1:10
"<b>וכסף פקודי העדה.</b> מאת ככר ואלף ושבע מאות וחמשה ושבעים שקל בשקל הקודש בקע לגלגלת מחצית השקל בשקל הקדש לכל העובר על הפקודים מבן עשרים שנה ומעלה לשש מאות אלף ושלשת אלפים וחמש מאות וחמשים. ופרש""י כך היו ישראל וכך עלה מנינם אחר שהוקם המשכן בספר וידבר. ואף עתה בנדבת המשכן כך היו. ומנין חצאי השקלים של שש מאות אלף עולה מאת ככר כל אחד של שלשת אלפים שקלים ע""ש ברש""י.",Bemidbar Rabbah 1:10
<b>והוא היה בשנה ראשונה.</b> למחרת יום הכפורים שאז נצטוו על מעשה המשכן.,Bemidbar Rabbah 1:10
<b>ולשני בקרים הביאו כו'.</b> מייתי ראיה שהביאו כל השקלים תיכף ממחרת יום הכפורים כשנצטוו עליה.,Bemidbar Rabbah 1:10
"<b>שהוא ראש השנה לברייתו של אדם הראשון.</b> וכמו שפרש""י בסדר כי תשא אצל שנות האנשים בשנה אחת נמנו. אבל למנין יציאת מצרים היו שתי שנים לפי שליציאת מצרים מונין מניסן כמו ששנינו במס' ר""ה ונבנה המשכן בראשונה והוקם בשניה שנתחדשה שנה באחד בניסן. אבל שמות האנשים מנויין למנין שנות עולם המתחילים מתשרי. נמצאו שני המנינים בשנה אחת המנין האחד היה בתשרי לאחר יום הכפורים שנתרצה המקום לישראל לסלוח להם. ונצטוו על המשכן. והשני באחד באייר. ועי' מזרחי כי תשא.",Bemidbar Rabbah 1:10
"<b>בא הכתוב לומר לפי כו'.</b> דק""ל למה לא מנה משה את הלוים כיון שלא אמר לו הקב""ה שלא ימנה את הלוים.",Bemidbar Rabbah 1:11
"<b>ולא היה יודע אם ימנה.</b> כצ""ל. כלומר אם ימנה אותם לעתיד. או אם לא ימנה אותם כל עיקר.",Bemidbar Rabbah 1:11
<b> קיסטנר.</b> ההורג את המחוייבי מיתה.,Bemidbar Rabbah 1:11
<b>סב רישיה דפלן.</b> קח ראשו של פלוני. כלומר שיהרגנו.,Bemidbar Rabbah 1:11
