id,he_name,en_name,שם המחבר,שנות חיי המחבר,שנת הדפוס,סוג הביאור
57,בן אריה,Ben Aryeh,"מר' זאב ב""ר אריה אב""ד גאלדינגען וטעלז","נלב""ע תרי""ח","תש""ז (מהדו' האחים שולזינגר)","חידושים וציונים ומ""מ לדברי הרמב""ם"
85,דברי ירמיהו,Divrei Yirmiyahu,"מר' ירמיהו ב""ר בנימין מאוהעל","נלב""ע תרל""ד","תרל""ה","ספר הלכתי גדול האיכות על ספר מדע, אהבה וזמנים."
140,חידושי מים חיים,Chidushei Mayim Chayim,"מהגאון בעל פרי חדש זצ""ל","תי""ט-תנ""ח","תש""ז (מהדו' האחים שולזינגר)","ביאורים על לשונות הרמב""ם והמ""מ והכ""מ"
148,חידושים מהגאון בעל מחנה אפרים,Chidushim of Machaneh Ephraim,מר' אפרים נבון,"תל""ז-תצ""ה","תש""ז (מהדו' האחים שולזינגר)","חידושים וציונים על ספרי הי""ד"
165,יד איתן,Yad Eitan,"מר' אברהם בעמ""ח משכיל לאיתן","תקמ""ח-תר""ח","תש""ז (מהדו' האחים שולזינגר)","הגאות והערות וחידושים על רוב הי""ד"
182,יקר תפארת,Yekar Tiferet,"הרדב""ז",,"תש""ז (מהדו' האחים שולזינגר)","פירוש הרדב""ז על הלכות שלוחין ושותפין, והלכות עבדים"
197,לב שלם,Lev Shalem,"מר' שלמה ב""ר יחיאל שלם מאמסטרדאם","נלב""ע תקמ""א","תקל""ג",הערות וציונים קצרים על כל הלכה והלכה מהלכות יסודי התורה עד הלכות שחיטה.
230,מלאכת שלמה,Melechet Shlomo,מר' שלמה חכים,"נלב""ע תקצ""ח","תרכ""ג","ביאורים קצרים על רוב ספרי הי""ד. [הלכות זכייה ומתנה, מלוה ולוה וטוען ונטען מבוארים ביתר אריכות]."
263,נחל איתן,Nachal Eitan,"מר' אברהם ב""ר יהודה לייב","תקמ""ח-תר""ח","תרט""ו","ביאורים על ספר מדע, אהבה, זמנים, נשים וקדושה."
360,שקל הקודש,Shekel HaKodesh,הרב חיים קנייבסקי,,"תשנ""ז",פירוש על הלכות שקלים וקדוש החדש.
