Title	Year Composed	Year Margin of Error	Place Composed	
Agadat Bereshit	900	50	Middle-Age Italy	
Alshich	1593	1	Safed	
Arvei HaNachal	1812	1	Safed	
Avot d’Rabbi Natan	600	300	Talmudic Israel	
Ba’al HaTurim	1300	50	Middle-Age Spain	
Bereshit Raba	450	50	Talmudic Israel	
Bereshit Rabati	1200	100	Narbonne	Guess
Chomat Anach	1810		Livorno, Italy	
Devarim Raba	650	100	Talmudic Israel	
Eicha Raba	500	50	Talmudic Israel	
Eliyahu Raba	600	300	Talmudic Babylon	
Esther Raba	550	50	Talmudic Israel	
“The Day of the Foundation of Gd’s Temple According to the Prophecies of Haggai and Zechariah” by R. Yoel Bin Nun	2004	1	Alon Shvut	
HaKatav v’HaKabalah	1839	1	Kalingrad	
Josephus Antiquities	94	1	Rome, Italy	
Malbim	1862	17	Warsaw	Warsaw is a proxy for "eastern europe"
Masechet Semachot	750	100	Talmudic Israel/Babylon	
Midrash Tehillim	1250	200	Narbonne	
Midrash Agadah	1000	300	Talmudic Babylon/Italy/Israel	S Buber
Midrash Shmuel	1000	300	Talmudic Babylon/Italy/Israel	S Buber
Midrash Tana’im	1000	300	Talmudic Babylon/Italy/Israel	
Midrash Tanchuma	550	150	Talmudic Israel	
Midrash Shir Hshirim Zuta	1000	300	Talmudic Babylon/Italy/Israel	S Buber
Midrash Eicha Zuta	1050	50	Talmudic Babylon/Italy/Israel	
Pesikta Rabati	750	150	Talmudic Israel	
Pesikta Zutra	1097	1	Kastoria	
R’ Shimshon Raphael Hirsch	1878	1	Frankfurt am Main, Germany	
Rabbenu Bechaya	1300	40	Saragossa	
Radak	1200	40	Narbonne	
Rivah	1313	1	Troyes, France	
Ruth Raba	600	100	Talmudic Israel	
Shelah HaKodesh	1625	1	Tiberias	
Sifre D’Agadata Ester Midrash Panim Acherim	1000	300	Talmudic Babylon/Italy/Israel	guess
Sifre Devarim	250	50	Talmudic Israel	
Sifre Zuta Bemidbar	1000	300	Talmudic Babylon/Italy/Israel	guess
Targum Yonatan Isaiah	50	50	Talmudic Israel	
Targum Yerushalmi Bereshit	300	450	Talmudic Israel	
Vayikra Raba	600	100	Talmudic Israel	
