,,,,,,,
"Required - Must match a title of a book record on the ""Works"" tab",Required - Name of the version.,Required - Any information about the source of the data for this version - copied from which printing? Manually?  OCR?.  ,Required - Location within the book,"Required - the text itself.  Can be split into paragraphs.  (If we need more than a few paragraphs for any work, let's be in touch.)",,,
Title,Version Name,Version Source,Location,Text,Attributed,Dynasty,
JER NLI MS HEB 8°5198,,manually,fol. 13b,"ועשית לך שתי חצוצרת של כסף ופיר' ז""ל חצי צרות פי' שיהי' לאדם שתי צורות א' שלו היא כח החיוני והוא הצורה של החומר שלו וצורה א' לבוש בדיבורים של תפילה ששם ילבש כל כוחת בדיבור ויחשוב כל העולמו' אומרים זה הדיבור עמו. והצורה הב' נק' ז""א והמה כמו חצי צורות ויהי' של כסף שיכסף לאביו בדיבורים וחשקות.",,,
JER NLI MS HEB 8°3282,,manually,fol. 44b,"עשה לך שתי חצוצרות כסף פי' שתי חצי צורת ע""ד על  הכסא כדמות מראה אדם עליו מלמעלה כי האדם הוא רק ד"" מ""ם (חסר כאן) הדיבור שורה בו וכשמתדבק בהקב""ה שהוא אלופו של עולם נעשה אדם והקב""ה עשה כמה צמצומים דרך עולמו' כדי שיהא אחדות עם אדם שלא הי' יכול לסבול בהירותו ואדם צריך לפרוש א""ע מכל הגשמיות כ""כ עד שיעלה דרך העולמו' ויהא אחדות עם הקב""ה עד שיבטל ממציאות ואז יקרא אדם וזהו על דמות הכסא שהוא י""ת מכוסה שם ע""ד וענן מתלקחת וענן כי קודם החשכות שורה אצל כל אדם שאין יכול להתפלל בהתלהבו' ואח""כ ואש מתלקחת שהיא התלהבו' שהוא י""ת מכוסה כמו מראה אדם שנתעורר בו כך עליו מלמעלה כך נתעורר למעלה אצלו י""ת אם נתעורר בהצדיק אה' נתעורר בכל העולמו' אהבה וכן כל המדות וזהו כשמביא א""ע בהזדככות גדול למעלה מכל העולמות ויהא אחדות עמו שהוא י""ת אינו חושב רק להטיב אל האדם כמ""ש כל העולם לא נברא אלא לשמשיני וכל העולמו' העליונ' וכל המדות ברשותו והוא בהם כמלך בגדוד וכמ""ש דה""מע""ה וחסידך ירננ ואי' בזוהר הלא לוויך ירננו כו' אך הוא רוצה בכ? רצה הקב""ה ואפי' ביאת האמורים באבות היא תורה שלימה דהא כתובים בתורה ואלו נחסור ויבוא גם אל רחל וגו' או יעקב את רחל הי' הס""ת פסולה (נחסור כמה תיבו') [נ""א תיבות פסולה בהכנס ואת הקב""ה בהם גם זה הנוסח אינו מובן להקב""ה תענוג בהם ואורייתא וקב""ה כולא חד ואעפ""י שהוא גשמיות גדולה נתענג הקב""ה מהם וזהו שתי חצוצרות פ' שהאדם הוא חצי צורה שהיא רק דם ואות אלף לחודא כביכול גם כן אינו צורה שלימה אמנם כשמתדבקין יחד צורה שלימה כסף לשון תאוה שתהא תמיד מתאוה להק""ה וקב""ה יאהב אותך׃",,,
JER NLI MS HEB 8°5979,,manually,fol. 28b-29a,"עשה לך שתי חצוצר' כסף ע""ד ועל דמות הכסא כמראה אדם דאדם הוא רק ד""מ ד' מלכות שהדיבו' שורה בו וכשמתדבק להקב""ה שהוא אלופו של עולם נעשה אדם וקב""ה עשה כמ' צימצו' דרך כמה עולמות שיהי' אחדות עם אדם שבלתי זה לא הי' אפשר לסבול בהירותו והאדם צריך לפרוש עצמו מגשמיו' כ""כ עד שיעלה דרך כל העולמ' ויתבטל ממציאו' ויהי' אחדו' עם הקב""ה ואז נק' אדם וזהו ועל דמות כסא שהוא י""ת מכוסה שם ע""ד ענן ואש מתלקחת מקודם החשכו' שורה באדם שא""י להתפלל בהתלהבו' וזהו ענן ואח""כ אש מתלקחת כשבא להתלהבו' וזהו דמות הכסא שהוא ית' מכוסה כמרא' אדם כמו שמתעורר בו כך מתעורר עליו מלמעלה אצלו ית' אם נתעורר בצדיק אהב' כן נתעור' למעלה אהב' וכן כל המדו' וזהו כשמבי' עצמו בהתדבקותו למעלה מכל העולמ' ויה' אחד' עמו י""ת כמו שהוא י""ת אינו חושב רק את האדם דכל מה שחושב אינו אלא בשביל האדם כמו שאי' כל העולמות נבראו בשביל אדם וכל העולמו' וכל המלאכי' והמדו' הם ברשותו הוא בהם כמלך בגדוד וכמ""ש דוד וחסדיך ירננו ולוי' ירננו מבעי' לי' אך כך רצה הקב""ה ואפי' ביאת האבו' הכתובים ואלו נחסר בתורה ויאהב יעקב את רחל היתה ס""ת פסולה דהכניסו הקב""ה בהם והי' הקב""ה מתענג מהם ואורי'' וקב""ה חד ואע""פ שהי' גשמי' גדולה נתענג הקב""ה ממנו וזהו שתי חצוצר' שתי חצי צורו' נעשה שלימ' שהאדם הוא חצי צורה שהוא רק דם ואלוף לחוד כ""י ג""כ אינה צורה שלימ' אמנם כשמתדבקי' יחד נעשה צורה שלימ' כסף לשון תאוה שתהא אתה מתאוה להש""י והש""י יאהב אותך׃",,,
MOS RSL 182:353,,manually,unpaginated,"עשה לך שתי חצוצרות כסף ע""ד ועל דמות הכסא דמות כמראה אדם דאדם הוא רק מ"" ד"" מלכות שהדבור שור' בו וכשהוא מתדבק להקב""ה שהוא אלופו של עולם נעשה אדם וקב""ה עשה כמה צימצומים דרך העולמות שיהי' אחדות עם האדם שבלתי זה לא הי' אפשר לסבול בהירתו והאדם צריך לפרוס עצמו מגשמיות כ""כ עד שיעלה דרך כל העולמות ויתבטל ממציאותו ויהיו אחדים עם הקב""ה ואז נק"" אדם וזהו ועל דמות כסא שהוא י""ת מכוסה שם ע""ד ענן ואש מתלקחת מקדם החשכו' שורה באדם שא""י להתפלל בהתלהבות וזהו ענן ואח""כ אש מתלקחת כשבא להתלהבות וזהו דמות הכסא שהוא י""ת מכוס' כמראה אדם כמו שמתעורר בו כך מתעורר עליו למעלה אצלו ית' אם נתעורר בצדיק אהבה כן נתעורר למעלה אהבה וכן כל המדות וזהו כשמביא עצמו בהתדבקותו למעלה מכל העולמות ויהי' אחדות עמו י""ת כמו שהוא י""ת אינו חושב רק את האדם דכל מה שחושב אינו אלא בשביל האדם כמו שאי' כל העולמות נבראו בשביל אדם וכל העולמות וכל המלכי' הם ברשותו הוא בהם כמלך בגדוד וכמ""ש דוד וחסדך ירננו ולווי' ירננו מב""ל אך כך רצה הקב""ה ואפי' ביאת האבות הכתובים בתורה ואלו נחסר בתורה ויאהב יעקוב את רחל היתה הס""ת פסולה דהכניסוה הקב""ה בהם והי' הקב""ה מתענג מהם ואורית' וקב""ה חד ואע""פ שהיא גשמית גדולה נתענג הקב""ה ממנו וזהו שתי חצוצרות שתי חצי צורות ועשה שלימה שהאדם הוא חצי צורה שהוא רק ד""ם ואלו""ף לחוד כ""י ג""כ אינו צורה שלימה אמנם כשמתדבקי' יחד נעשה צורה שלימה כסף לשון תאווה תהא אתה מתאוו' להש""י והש""י יאהב אותך",,,
Maggid Devarav le-Ya'akov,"Koretz, 1781",manually,fol. 4b,"עשה לך שתי חצוצרות כסף פירש שתי חצי צורות אדם עליו מלמעלה כי האדם הוא רק דל""ת מ""ם והדיבור שורה בו וכשמתדבק בהקב""ה שהוא אלופו של עולם נעשה אדם. והקב""ה עשה כמה צמצומים דרך כמה עולמות כדי שיהי' אחדות עם אדם, שלא הי' יכול לסבול בהירותו ואדם צריך לפרוש את עצמו מכל הגשמיות כ""כ עד שיעלה דרך כל העולמות ויהא אחדות עם הקב""ה עד שיבוטל ממציאות ואז יקרא אדם. וזהו על דמות הכסא שהוא י""ת מכוסה שם ע""ד וענן ואש מתלקחת וענן כי מקודם חשכות שורה באדם שאין יכול להתפלל בהתלהבות ואח""כ ואש מתלקחת שהוא התלהבות וזהו דמות הכסא שהוא ית' מכוסה דמות מראה אדם ר""ל כפי שנתעורר בו כך נתעורר למעלה אצלו י""ת אם נתעורר בהצדיק אהבה נתעורר בכל העולמות אהבה וכן כל המדות וזהו כשמביא את עצמו בהזדככות גדול למעלה מכל העולמות ויהא אחדות עמו שהוא ית' אינו חושב רק להטיב על האדם כמ""ש כל העולם לא נברא אלא לשמשיני וכל העולמות עליונים וכל המדות הם ברשותו והוא בהם כמלך בגדוד, וכמ""ש דוד המלך עליו השלום וחסידיך ירננו, ואיתא בזוהר הלא לויך ירננו אלא כמו שהצדיק רוצה כך רוצה הקב""ה ואפילו ביאות האמורים באבות היא תורה שלימה דהא כתובים בתורה ואלו נחסר ויבוא גם אל רחל וגו' או ויאהב יעקב את רחל, הי' הס""ת פסולה כי עשו הכל בדביקות הש""י והי' להקב""ה תענוג בהם ונעשה מזה תורה, ואורייתא וקב""ה כולה חד ואע""פי שהוא גשמיות גדולה מתענג הקב""ה מהם וזהו שתי חצוצרות כסף שהאדם הוא חצי צורה שהוא רק דם והקב""ה נקרא אלופו של עולם אמנם כשמתדבקים יחד נעשה צורה שלימה כסף לשון תאוה שתהא תמיד מתאוה להקב""ה והקב""ה יאהב אותך.",,,
Or Torah,,manually,"Beha'alotcha, 2","עשה לך שתי חצוצרות כסף. פי' ב' חצי צורות ע""ד על דמות הכסא דמות כמראה אדם עליו מלמעל' כי האדם הוא רק ד' מ' דיבו""ר מלכו""ת שורה בו. וכשמתדבק בהקב""ה שהוא אלופו של עולם נעשה אד""ם והקב""ה עשה כמה צמצומי' דרך כמה עולמות כדי שיהיה אחדות עם האדם, שלא יכול לסבול את בהירתו. והאדם צריך לפרוש א""ע מכל הגשמיות עד שיעלה דרך כל העולמות ויהי' אחדות עם הקב""ה עד שיבוטל ממציאות. ואז יקרא אדם וזהו על דמות הכס""א, שהוא ית' מכוסה שם ע""ד וענן ואש מתלקחת. וענן פי' מקודם החשכות שורה באד שאינו יכול להתפלל בהתלהבו' ואח""כ ואש מתלקחת שבא להתלהבות. וזהו דמות הכסא שהוא ית' מכוסה כמו מרא""ה אדם כמו שנתעורר בו כך נתעורר אצלו ית' אם נתעורר בצדיק אהבה נתעורר למעל' אהבה וכן כל המדו. וזהו כשמביא א""ע בהזדככות גדול למעל' מכל העולמות ויהי' אחדות עמו ית' כמו שהוא ית' אינו חושב רק את האדם שכל מה שחושב אינו אלא בשביל האדם. ע""ד כל העולם כולו לא נברא אלא לשמשני. (הגה""ה כל העולם לא נברא אלא בשביל ישראל שיקבלו את התור') וכל העולמות וכל המלאכים הם ברשותו והוא בהם כמלך בגדוד וכמ""ש דוד המע""ה וחסידיך ירננו ואיתא בזוהר לויך ירננו הוה ליה למיכתב, אך כמו שהוא רצה כך רצה הקב""ה. ואפי' זיווג האבות היא תורה שלימה ואילו נחסר ויבוא גם אל רחל ויאהב יעקב את רחל הי' הס""ת פסולה שהכניס הקב""ה בהם והי' להקב""ה תענוג בהם. ואורייתא וקב""ה חד. ואף על פי שהוא גשמיות גדול' נתענג הקב""ה בהם. וזהו שתי חצוצרות כסף. שהאדם הוא חצי צורה שהוא רק ד""ם. ואל""ף לבד כביכול ג""כ אינו צורה שלימ' אמנם כשיתדבקו יחד נעשה צורה שלימ'. כס""ף לשון תאוה שתהא אתה מתאו' להקב""ה. והקב""ה יאהב אותך.",,,
Or ha-Emet,"Zhitomir, 1900",manually,fol. 10b,"עשה לך שתי חצוצרת כסף. ע""ד ועל דמות הכסא דמות כמראה אדם עליו מלמעלה דהאדם הוא רק דם דל""ת מ""ם הדיבור שורה בו. וכשמתדבק בהקב""ה שהוא אלופו של עולם נעשה אד""ם. והקב""ה עשה כמה צמצומים דרך כמה עולמות כדי שיהא אחדות עם האדם, שלא היה יכול לסבול את בהירתו. והאדם צריך לפרוש עצמו מהגשמיות כל כך עד שיעלה דרך כל העולמות ויהיא אחדות עם הקדוש ברוך הוא עד שיבוטל ממציאות ואם נקרא אדם לא יהיה יודע וזה ועל דמות הכסא, שהוא יתברך מכוסה ע""ד וענן אש מתלקחת וענן פי' מקודם החשכות שורה באדם שאינו יכול להתפלל בהתלהבות. ואח""כ ואש מתלקחת שבא להתלהבות. וזהו דמות הכסא, שהוא יתברך מכוסה. דמות כמראה אדם כמו שנתעורר בו כך נתעורר אצלו יתברך. אם נתעורר בצדיק אהבה נתעורר למעלה אהבה וכן כל המדות. וזהו כשמביא עצמו בהזדככות למעלה מכל העולמות ויהא אחדות עמו ית' כמו שהוא יתברך אינו חושב רק את האדם דכל מה שחושב אינו אלא בשביל האדם ע""ד כל העולם כולו לא נברא אלא לשמשני. (הגה כל העולם לא נברא אלא בשביל ישראל שיקבלו את התורה. וכל העולמות וכל המלאכים וכל המדות הם ברשות. והוא כמלך בגדוד, וכמ""ש דוד המלך ע""ה וחסידך ירננו, ואיתא בזוהר לויך ירננו הוי ליה למכתב, אך כמו שהוא רוצה כך הקב""ה רוצה. ואפילו זיווג האבות הוא תורה שלימה ואלו נחסר ויאהב יעקב את רחל, היה הס""ת פסול, שהכניסו הקב""ה בהם והיה להקב""ה תענוג בהם ואורייתא וקוב""ה כולו חד. ואף על פי שהוא גשמיות גדולה יש להקדוש ב""ה תענוג בהם) וזהו שתי חצוצרות שהאדם הוא חצי צורה שהוא רק דם, ואלוף לחוד ג""כ אינה שלימה. אמנם כשיתדבקו יחד נעשו צורה שלימה. כסף. לשון תאוה שתהא אתה מתאוה להקב""ה, והקב""ה יאהב אותך.",,,
Degel Mahane Efrayim,"Koretz, 1810",manually,fol. 72b.,"שמעתי בשם הרב המגיד המנוח מו""ה דוב בער זללה""ה חצוצרות הוא לשון חצי צורות ודברי פי חכם חן.",,,
