Haftarah of Bereshit,Isaiah 42:5-21
Haftarah of Noach,Isaiah 54:1-10
Haftarah of Lech Lecha,Isaiah 40:27-41:16
Haftarah of Vayera,II Kings 4:1-23
Haftarah of Chayei Sara,I Kings 1:1-1:31
Haftarah of Toldot,Malachi 1:1-14
Haftarah of Vayetzei,Hosea 11:7-12:12
Haftarah of Vayishlach,Obadiah 1:1-1:21
Haftarah of Vayeshev,Amos 2:6-3:8
Haftarah of Miketz,I Kings 3:15-4:1
Haftarah of Vayigash,Ezekiel 37:15-37:28
Haftarah of Vayechi,I Kings 2:1-2:12
Haftarah of Shemot,Jeremiah 1:1-2:3
Haftarah of Vaera,Ezekiel 28:25-29:21
Haftarah of Bo,Jeremiah 46:13-46:28
Haftarah of Beshalach,Judges 5:1-31
Haftarah of Yitro,Isaiah 6:1-13
Haftarah of Mishpatim,Jeremiah 34:8-22
Haftarah of Terumah,I Kings 5:26-6:13
Haftarah of Tetzaveh,Ezekiel 43:10-27
Haftarah of Ki Tisa,I Kings 18:20-39
Haftarah of Vayakhel,I Kings 7:13-26
Haftarah of Pekudei,I Kings 7:40-50
Haftarah of Vayikra,Isaiah 43:21-44:23
Haftarah of Tzav,Jeremiah 7:21-9:23
Haftarah of Shmini,II Samuel 6:1-19
Haftarah of Tazria,II Kings 4:42-5:18
Haftarah of Metzora,II Kings 7:3-20
Haftarah of Achrei Mot Kedoshim,Ezekiel 20:1-20
Haftarah of Emor,Ezekiel 44:15-44:31
Haftarah of Behar,Jeremiah 32:6-32:27
Haftarah of Bechukotai,Jeremiah 16:19-17:14
Haftarah of Bamidbar,Hosea 2:1-2:22
Haftarah of Nasso,Judges 13:2-13:25
Haftarah of Beha'alotcha,Zechariah 2:14-4:7
Haftarah of Sh'lach,Joshua 2:1-2:24
Haftarah of Korach,I Samuel 11:14-12:22
Haftarah of Chukat,Judges 11:1-11:33
Haftarah of Balak,Micah 5:6-6:8
Haftarah of Pinchas,I Kings 18:46-19:21
Haftarah of Matot Masei,Jeremiah 2:4-28
Haftarah of Devarim,Isaiah 1:1-1:27
Haftarah of Vaetchanan,Isaiah 40:1-40:26
Haftarah of Eikev,Isaiah 49:14-51:3
Haftarah of Re'eh,Isaiah 54:11-55:5
Haftarah of Shoftim,Isaiah 51:12-52:12
Haftarah of Ki Teitzei,Isaiah 54:1-54:10
Haftarah of Ki Tavo,Isaiah 60:1-60:22
Haftarah of Nitzavim,Isaiah 61:10-63:9
Haftarah of Vayeilech,Hosea 14:2-10
Haftarah of Ha'Azinu,II Samuel 22:1-51
Haftarah for Shabbat Rosh Chodesh,Isaiah 66:1-24
Haftarah for Shabbat Erev Rosh Chodesh,I Samuel 20:18-42
Haftorah of Shekalim,II Kings 12:1-17
Haftarah of Zachor,I Samuel 15:1-34
Haftarah of Parah,Ezekiel 36:17-38
Haftarah of HaChodesh,Ezekiel 45:18-46:18
Haftarah for Shabbat HaGadol,Malachi 3:4-24
Haftarah for the First Day of Pesach,Joshua 5:2-6:1
Haftarah for the Second Day of Pesach,II Kings 23:1-30
Haftarah for Shabbat Chol HaMoed Pesach,Ezekiel 36:37-37:14
Haftarah for the Seventh Day of Pesach,II Samuel 22:1-51
Haftarah for the Eighth Day of Pesach,Isaiah 10:32-12:6
Haftarah for the Second Day of Shavuot,Habakkuk 2:20-3:19
Haftarah for Tisha BeAv,Jeremiah 8:13-9:23
Haftarah for the First Day of Rosh Hashanah,I Samuel 1:1-2:10
Haftarah for the Second Day of Rosh Hashanah,Jeremiah 31:2-20
Haftarah for Yom Kippur,Isaiah 57:14-58:14
Haftarah for Minchah of Yom Kippur,Jonah 1:1-4:11
Haftarah for the First Day of Sukkot,Zechariah 14:1-21
Haftarah for the Second Day of Sukkot,I Kings 7:51-8:21
Haftarah for Shabbat Chol HaMoed Sukkot,Ezekiel 38:1-39:16
Haftarah for Shemini Atzeret,I Kings 8:54-9:1
Haftarah for Simchat Torah,Joshua 1:1-18
