Reference,Sefaria's Text,Mechaber Text
Yoreh De'ah 6,(ושן וצפורן יחידי),ושן וצפורן יחידי)
Yoreh De'ah 9,ויש מכשירין,ויש מכשירין (
Yoreh De'ah 9,(אם ידע שהיא,אם ידע שהיא
Yoreh De'ah 10,שהשחיזו ברחיים שלו,שהשחיזו ברחים שלו
Yoreh De'ah 11,שחיטתו כשרה,שחיטתו כשרה (
Yoreh De'ah 11,(וב' נרות חשובים,וב' נרות חשובים
Yoreh De'ah 13,(או שהיה בו,או שהיה בו
Yoreh De'ah 14,לילד והוציא,המקשה לילד והוציא
Yoreh De'ah 16,לוקה,לוקה:
Yoreh De'ah 17,(בגערה או במקל),בגערה או במקל)
Yoreh De'ah 17,(ולמשוך עד אחר,ולמשוך עד אחר
Yoreh De'ah 19,(וכן עיקר ועיין,וכן עיקר ועיין
Yoreh De'ah 20,(ולכתחלה ישחוט למטה,ולכתחלה ישחוט למטה
Yoreh De'ah 21,(ויודע שלא ניקב,ויודע שלא ניקב
Yoreh De'ah 30,או חיה,בהמה או חיה
Yoreh De'ah 31,(והכי,והכי
Yoreh De'ah 32,רוב היקף עור,רוב הקף עור
Yoreh De'ah 32,חוששין,חוששין:
Yoreh De'ah 33,(אם אין עליו,אם אין עליו
Yoreh De'ah 34,אסורה,אסורה:
Yoreh De'ah 36,אפילו סימפון,אפילו סימפון אחר
Yoreh De'ah 39,צריך לבדוק,אין צריך לבדוק
Yoreh De'ah 41,הכבד טריפה,ניטל הכבד טריפה
Yoreh De'ah 42,שניקבה טריפה,מרה שניקבה טריפה
Yoreh De'ah 42,(ואף,ואף
Yoreh De'ah 44,(מכת חרב דינו,מכת חרב דינו
Yoreh De'ah 46,הדקין טריפה,ניקבו הדקין טריפה
Yoreh De'ah 46,מקרום שעל הלב וחלב,מקרום שעל חלב
Yoreh De'ah 47,(וכן עיקר) (ב"י,וכן עיקר) (ב"י
Yoreh De'ah 48,(קיבה הוא כיס,קיבה הוא כיס
Yoreh De'ah 53,ידי הבהמה,נשמטו ידי הבהמה
Yoreh De'ah 55,(וי"א דוקא כשעור,וי"א דוקא כשעור
Yoreh De'ah 56,נחתך העב לבדו,הנחתך העב לבדו
Yoreh De'ah 60,דם והמעושנת,אחוזת דם והמעושנת
Yoreh De'ah 61,(ויש חולקין דאפי',ויש חולקין דאפי'
Yoreh De'ah 62,אבר מן החי.,אבר מן החי
Yoreh De'ah 64,(וחלב נפל אסור,וחלב נפל אסור
Yoreh De'ah 65,גיד הנשה מותר,%גיד הנשה מותר
Yoreh De'ah 65,שמא לא השלים,%שמא לא השלים
Yoreh De'ah 66,חייבים עליו אבל,%חייבים עליו אבל
Yoreh De'ah 66,מותר לאכלם ובלבד,%מותר לאכלם ובלבד
Yoreh De'ah 66,מותר,מותר:
Yoreh De'ah 67,ונבלע במקום אחר,%ונבלע במקום אחר
Yoreh De'ah 67,לחתכו ולמולחו אף,לחתכו ולמולחו %אף
Yoreh De'ah 67,לאכלו חי,לאכלו חי:
Yoreh De'ah 68,תרנגולת ברמץ (פי' אפר,תרנגולת ברמץ אפר
Yoreh De'ah 68,שידיח בית,שידיח יח בית
Yoreh De'ah 69,ויש אוסרין: הגה וכן,ויש אוסרין: וכן
Yoreh De'ah 69,דאין מליחה,דאין מליחה (עא)
Yoreh De'ah 70,ודג תפל,ודג תפל (ד)
Yoreh De'ah 73,כנגד הכבד: הגה ואין,כנגד הכבד: ואין
Yoreh De'ah 75,שומן הכנתא,שומן הכנתא ש
Yoreh De'ah 76,קודם צלייה: הגה וי"א,קודם צלייה: וי"א
Yoreh De'ah 76,אין נותנין,אין נותנין בלי
Yoreh De'ah 83,מלוחות ביחד: הגה ואם,מלוחות ביחד: ואם
Yoreh De'ah 83,כולכית (פי' הערוך דג,כולכית הערוך דג
Yoreh De'ah 83,אסור (ל' רמב"ם פ"א,אסור רמב"ם פ"א
Yoreh De'ah 85,מותר,מותר :
Yoreh De'ah 86,אם היא,אם היא (ט)
Yoreh De'ah 90,בפני עצמו (וכ"ש אם,בפני עצמו אם
Yoreh De'ah 91,מותר (ובמקום שהבשר,מותר ובמקום שהבשר
Yoreh De'ah 93,(וצריך לשער נגד,וצריך לשער נגד
Yoreh De'ah 94,מה שנתחב,מה ?(א) שנתחב
Yoreh De'ah 96,או סילקא,צנון או סילקא
Yoreh De'ah 96,אפי' אינו,אפי' (יג) אינו
Yoreh De'ah 97,לשין עיסה,אין לשין עיסה
Yoreh De'ah 98,אם נודע,אם (ו) נודע
Yoreh De'ah 98,אסור ואם,אסור (ח) ואם
Yoreh De'ah 99,(ואסורים למכרו גם,ואסורים למכרו גם
Yoreh De'ah 100,דהיינו כגון,בריה דהיינו כגון
Yoreh De'ah 102,בטלה בס' (טור וש"ד,בטלה בס' וש"ד
Yoreh De'ah 102,וכל כיוצא בזה):,וכל כיוצא בזה)
Yoreh De'ah 105,כדי קליפה (וע"ל סימן,כדי קליפה סימן
Yoreh De'ah 105,לכתחילה (וע"ל סי' ס"ח,לכתחילה סי' ס"ח
Yoreh De'ah 106,(וכן עיקר,וכן עיקר
Yoreh De'ah 106,אין חילוק בין,אין חלוק בין
Yoreh De'ah 108,מיהו כשאינה בת,מיהו בשאינה בת
