Chapter,Segment #,English,Hebrew 
100,1,"All the tzaddikim in each generation are holy and have God with them. Why then do we see that while some tzaddikim are very good-natured and well-liked by everyone, there is a true tzaddik who by temperament and nature is not amiable with people, and who sometimes even displays &lt;much&gt; anger and irritability?","הִנֵּה הַצַּדִּיקִים אֲשֶׁר בְּכָל דּוֹר וָדוֹר, כֻּלָּם קְדוֹשִׁים וּבְתוֹכָם ה', וּמַדּוּעַ אָנוּ רוֹאִין בְּחוּשׁ הָרְאוּת, שֶׁיֵּשׁ בָּהֶם צַדִּיקִים אֲשֶׁר מִזְגָּם וְטִבְעָם טוֹבָה מְאֹד, וְטוֹבִים הֵמָּה לַכֹּל. וְיֵשׁ אֲשֶׁר הוּא צַדִּיק אֱמֶת, וְאֵין מִזְגּוֹ וְטִבְעוֹ נוֹחָה עִם הֲמוֹן עַם, וְלִפְעָמִים נִרְאֶה מִמֶּנּוּ כַּעַס וּקְפִידָה.  "
100,2,"Now, it is known that the tzaddikim derive all their righteousness from the light of the Torah. She is &lt;his&gt; guide, and he gets his righteousness from her. When a tzaddik has attained great illumination from the Torah’s light, and his &lt;good&gt; deeds are &lt;exactly&gt; on a par &lt;with&gt; his perception of Torah, then his righteousness and Torah are in amicable accord &lt;with each other&gt;. He therefore gets along with people.","הִנֵּה יָדוּעַ, שֶׁכָּל צִדְקַת הַצַּדִּיקִים הוּא לוֹקֵחַ מֵאוֹר הַתּוֹרָה, כִּי הִיא הַמּוֹרֵה דֶּרֶךְ, וּמִמֶּנָּה לֻקְּחָה צִדְקָתוֹ. וְהִנֵּה הַצַּדִּיק אֲשֶׁר הִשִּׂיג מָאוֹר גָּדוֹל מִמְּאוֹר הַתּוֹרָה, וּמַעֲשָׂיו גַּם כֵּן בְּשָׁוְיָם לְפִי הַשָּׂגָתוֹ בַּתּוֹרָה, אֲזַי צִדְקָתוֹ וְתוֹרָתוֹ שְׁנֵיהֶם מִתְיַשְּׁבִים בְּשׁוּבָה וָנַחַת, לְפִיכָךְ דַּעְתּוֹ נוֹחָה עִם הַבְּרִיּוֹת. "
100,3,"But when a tzaddik’s perception of the Torah’s wisdom greatly surpasses his deeds, the Torah &lt;boils&gt; inside him—&lt;that is, the great&gt;, holy fire of the Torah &lt;burns inside him&gt;. Thus, it is impossible for him to get along with others and be involved with people, similar to the aforementioned tzaddik.","וְהַצַּדִּיק אֲשֶׁר אוֹר חָכְמַת הַתּוֹרָה שֶׁהִשִּׂיג גָּדְלָה מְאֹד מִמַּעֲשָׁיו, אֲזַי הַתּוֹרָה מַרְתַּחַת בּוֹ הָאֵשׁ הַקְּדוֹשָׁה שֶׁל הַתּוֹרָה, וְאִי אֶפְשָׁר שֶׁתְּהֵא דַּעְתּוֹ נוֹחָה עִם הַבְּרִיּוֹת, וּמְעוֹרֶבֶת עִם הֲמוֹן עַם, כְּמוֹ הַצַּדִּיק הַנַּ""ל.  "
100,4,"This is as our Sages, of blessed memory, taught: When a young rabbinical student becomes heated, it is the Torah that is causing him to become heated (Taanit 4a). This is because his Torah has increased greatly, as explained above.","וְזֶה שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (תענית ד): הַאי צוֹרְבָא מֵרַבָּנָן דְּרָתַח, אוֹרַיְתָא דְּקָא מְרַתְחָא בֵּהּ, לְפִי שֶׁגָּדְלָה תּוֹרָתוֹ מְאֹד כַּנַּ""ל: "
101,1,"“<i>Bikrov Alaiy Mrei’im</i> (When Evildoers Come Close) to consume my flesh—it is they, my foes and my enemies, who stumble and fall.” (Psalms 27:2)",בִּקְרוֹב עָלַי מְרֵעִים לֶאֱכֹל אֶת בְּשָׂרִי צָרַי וְאֹיְבַי לִי הֵמָּה כָּשְׁלוּ וְנָפָלוּ. 
101,2,"The matter is as follows: “For with <i>YaH,</i> God formed the worlds” (Isaiah 26:4). This is “<i>Bereishit</i> [God] created” (Genesis 1:1), since with the Torah, which is called <i>reishit,</i> [God] created &lt;and formed&gt; worlds (Bereishit Rabbah 1:1).","הָעִנְיָן הוּא כָּךְ, כִּי בְּיָהּ ה' צוּר עוֹלָמִים (ישעיה כו) – הַיְנוּ בְּרֵאשִׁית בָּרָא, כִּי בַּתּוֹרָה שֶׁנִּקְרֵאת רֵאשִׁית בָּרָא עוֹלָמִים (ב""ר פ""א). "
101,3,"The <i>Yod</i> signifies the wisdom of the Torah. The <i>Heh</i> signifies the letters of the Torah, namely, the Five Books of Scripture &lt;and the five&gt; articulators. This is the meaning of “with <i>Y-H</i> God formed the worlds”—i.e., with the Torah, which is <i>Y-H,</i> as explained, [God] created all the worlds.","כִּי יוּ""ד הוּא הַשֵּׂכֶל שֶׁל הַתּוֹרָה, וְהֵא הוּא אוֹתִיּוֹת שֶׁל הַתּוֹרָה, שֶׁהוּא חֲמִשָּׁה חֻמְּשֵׁי תּוֹרָה, בְּחִינַת חֲמֵשֶׁת מוֹצָאוֹת הַפֶּה. וְהַיְנוּ בְּיָ""הּ ה' צוּר עוֹלָמִים, הַיְנוּ בְּהַתּוֹרָה שֶׁהִיא בְּחִינַת י""ק כַּנַּ""ל, בָּרָא כָּל הָעוֹלָמִים כַּנַּ""ל. "
101,4,"<b>2.</b> It is also written, “you are <i>adam</i>” (Ezekiel 34:31), and our Rabbis, of blessed memory, expounded: you are referred to as “<i>adam,</i>” but idolaters are not referred to as “<i>adam</i>” (Yevamot 61a). For there are seventy shining countenances and seventy darkened countenances.","וּכְתִיב (יחזקאל לד): אָדָם אַתֶּם, וְדָרְשׁוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (יבמות סא): אַתֶּם קְרוּיִין אָדָם, וְאֵין עַכּוּ""ם קְרוּיִין אָדָם. כִּי יֵשׁ ע' אַנְפִּין נְהִירִין, וְיֵשׁ ע' אַנְפִּין חֲשׁוּכִין. "
101,5,"Now, &lt;the Torah&gt; carries a dual potential. As our Sages, of blessed memory, expounded the verse: “This is the Torah that Moshe <i>sam</i> (set)…” (Deuteronomy 4:44)—if one is deserving, it becomes a <i>sam</i> (elixir) of life for him; if one is not deserving, it becomes a <i>sam</i> (potion) of death for him (Yoma 72b). An elixir of life refers to a shining countenance. A potion of death refers to a darkened countenance, as it is written (Lamentations 3:6), “He has made me dwell in darkened places, like those long dead.” And from the &lt;seventy&gt; darkened countenances, the &lt;seventy nations&gt; are sustained.","כִּי יֵשׁ שְׁנֵי כֹּחוֹת, כְּמוֹ שֶׁדָּרְשׁוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (יומא עב:) עַל פָּסוּק: וְזֹאת הַתּוֹרָה אֲשֶׁר שָׂם מֹשֶׁה: זָכָה – נַעֲשֶׂה לוֹ סַם חַיִּים, לֹא זָכָה – נַעֲשֶׂה לוֹ סַם מָוֶת. סַם חַיִּים, הוּא אַנְפִּין נְהִירִין. סַם מָוֶת, הוּא אַנְפִּין חֲשׁוּכִין, כְּמוֹ שֶׁכָּתוּב (איכה ג): בְּמַחֲשַׁכִּים הוֹשִׁיבַנִי כְּמֵתֵי עוֹלָם. וּמִן אַנְפִּין חֲשׁוּכִין, יֵשׁ לָעַכּוּ""ם יְנִיקָה. "
101,6,"Although all idolaters possess the entire range of evil traits, each nation is tied to one particular trait more than all the others. This is “He appeared from Mount Paran…” (Deuteronomy 33:2)—that the Holy Blessed One wanted to give the Torah to &lt;the nations&gt;, yet none wanted to accept it because they heard that the Torah forbids the particular trait to which they were tied (Sifri, VeZot HaBerakhah 2; Zohar III, p.193a). <b>{Whoever takes upon himself the yoke of Torah, has removed from him the yoke of government and the yoke of <i>derekh eretz</i> (worldly responsibilities). But whoever throws off the yoke of Torah, has placed upon him the yoke of government and the yoke of <i>derekh eretz</i> (</b>Avot <b>3:5).}</b>","וְכָל עַכּוּ""ם יֵשׁ לָהֶם כָּל הַמִּדּוֹת רָעוֹת, רַק כָּל אֻמָּה וְאֻמָּה כָּרוּךְ אֶל מִדָּה אַחַת יוֹתֵר מִכָּל הַמִּדּוֹת. וְזֶה (דברים לג): הוֹפִיעַ מֵהַר פָּארָן וְכוּ', שֶׁרָצָה הַקָּדוֹשׁ־בָּרוּךְ־הוּא לִתֵּן הַתּוֹרָה לְכָל הַבְּרוּאִים, וְכָל אֶחָד וְאֶחָד לֹא רָצָה לְקַבְּלָהּ, מֵחֲמַת שֶׁשָּׁמְעוּ שֶׁאוֹתָהּ מִדָּה שֶׁהֵם כְּרוּכִים אַחֲרֶיהָ אָסְרָה תּוֹרָה (ספרי פ' וזאת הברכה, עי' זוהר בלק קצג). "
