Chapter,Segment,English,Hebrew
51,1,"<i>Amar Rebbi Akiva</i> (Rabbi Akiva said): When you approach pure marble stone, do not say, “Water! Water!” as it is said (Psalms 101:7), “He who speaks falsely will not be sustained before My eyes.” (Chagigah 14b)","אָמַר רַבִּי עֲקִיבָא: כְּשֶׁאַתֶּם מַגִּיעִין לְאַבְנֵי שַׁיִשׁ טָהוֹר, אַל תֹּאמְרוּ מַיִם מַיִם, שֶׁנֶּאֱמַר: דֹּבֵר שְׁקָרִים לֹא יִכּוֹן לְנֶגֶד עֵינָי: (חגיגה יד) "
51,2,"Falsehood is harmful to the eyes, physically and spiritually, in the aspect of “The eyes deceive” (Isaiah 3:16). For when the eyes are dimmed, they create false impressions. They do not show a thing as it really is; for example, a large object appears small, and one [object appears] as if it were two—the very opposite of the truth.","כִּי הַשֶּׁקֶר מַזִּיק לָעֵינַיִם בְּגַשְׁמִיּוּת וּבְרוּחָנִיּוּת, בִּבְחִינַת (ישעיה ג): וּמְשַׂקְּרוֹת עֵינַיִם; כִּי כְּשֶׁהָעֵינַיִם כֵּהוֹת הֵם מְשַׁקְּרִין, שֶׁאֵינָם מַרְאִין הַדָּבָר כְּמוֹת שֶׁהוּא, כְּגוֹן: עַל דָּבָר גָּדוֹל מַרְאֶה שֶׁהוּא קָטָן, וְעַל אֶחָד שֶׁהוּא שְׁנַיִם, הֶפֶךְ מִן הָאֱמֶת. "
51,3,"This is because the eyes become dimmed by tears. As our Sages taught: “The clouds return after the rain” (Ecclesia st es 12:2)—this refers to the vision, which is diminished after crying (Shabbat 151b). Tears stem from excess melancholy, which nature expels by way of the eyes. And melancholy stems from polluted blood.","כִּי הָעֵינַיִם נַעֲשׂוּ כֵּהוֹת מִן הַדְּמָעוֹת, כְּמַאֲמַר חֲכָמֵינוּ זִכְרוֹנָם לִבְרָכָה (שבת קנא:): וְשָׁבוּ הֶעָבִים אַחַר הַגֶּשֶׁם – זֶה הָרְאוּת, שֶׁהוֹלֵךְ אַחַר הַבֶּכִי. וּדְמָעוֹת הֵן מִמּוֹתְרֵי הַמָּרָה שְׁחוֹרָה, שֶׁהַטֶּבַע דּוֹחֶה אוֹתָם לַחוּץ דֶּרֶךְ הָעֵינַיִם. וְהַמָּרָה שְׁחוֹרָה הִיא שׁוֹאֶבֶת מֵעֲכִירַת הַדָּמִים. "
51,4,"And the blood is polluted by falsehood. It is impossible for a person to speak falsely unless he has already polluted his blood, just as it is impossible to speak truthfully unless he first purifies the blood. This is because the essence of speech is the soul, as is written (Song of Songs 5:6), “My soul went out when he spoke.” And the soul is the blood, as is written (Deuteronomy 12:23), “for the blood is [associated with] the soul.” We see then that when a person speaks falsely, his blood is polluted. It is this that gives rise to melancholy. And from the excess melancholy, tears are formed, causing the eyes to become dimmed.","וַעֲכִירַת הַדָּמִים הוּא עַל־יְדֵי הַשֶּׁקֶר, כִּי אִי אֶפְשָׁר לְדַבֵּר שֶׁקֶר, עַד שֶׁיְּעַכֵּר אֶת דָּמָיו, וֶאֱמֶת אִי אֶפְשָׁר לְדַבֵּר, כִּי־אִם כְּשֶׁמְּזַכֵּךְ מִקֹּדֶם אֶת הַדָּמִים. כִּי עִקַּר הַדִּבּוּר הוּא הַנֶּפֶשׁ, כְּמוֹ שֶׁכָּתוּב (שה""ש ה): נַפְשִׁי יָצְאָה בְדַבְּרוֹ; וְהַנֶּפֶשׁ הוּא הַדָּם, כְּמוֹ שֶׁכָּתוּב (ויקרא יז): כִּי הַדָּם הוּא הַנֶּפֶשׁ. נִמְצָא, כְּשֶׁאוֹמֵר שֶׁקֶר, יֵשׁ לוֹ עֲכִירַת הַדָּמִים, וּמִזֶּה בָּאָה הַמָּרָה שְׁחוֹרָה, וּמִמּוֹתְרֵי הַמָּרָה שְׁחוֹרָה נִתְהַוּוּ הַדְּמָעוֹת, וְעַל־יְדֵי־זֶה הָעֵינַיִם כֵּהוֹת. "
51,5,"This corresponds to “They pluck the saltwort from the <i>SIaCh</i> (shrubs)” (Job 30:4). “Saltwort” is the aspect of tears, which are the salty water that comes from <i>SIChah</i> (speaking).","וְזֶה בְּחִינַת (איוב ל): הַקֹּטְפִים מַלּוּחַ עֲלֵי שִׂיחַ. מַלּוּחַ, זֶה בְּחִינַת דְּמָעוֹת, שֶׁהֵם מַיִם מְלוּחִים, שֶׁבָּא עַל־יְדֵי שִׂיחָה. "
51,6,"This also corresponds to “Do not say, ‘Water! Water!’”—a warning against falsehood. {As is concluded there: “as it is said, ‘He who speaks falsely will not be sustained before My eyes.’”} ","וְזֶה בְּחִינַת: אַל תֹּאמְרוּ מַיִם מַיִם, שֶׁהוּא אַזְהָרָה עַל שֶׁקֶר, (כְּמוֹ שֶׁסִּיֵּם שָׁם שֶׁנֶּאֱמַר: דֹּבֵר שְׁקָרִים לֹא יִכּוֹן וְכוּ'). "
51,7,"“Water! Water!” is the aspect of falsehood, which is the aspect of tears, salty water. For when a person drinks water, he quenches his thirst. Yet when he drinks salty water, not only does he not relieve his thirst, but he increases it. He then has to drink other water in order to quench his thirst. This is why falsehood is referred to as “Water! Water!”","מַיִם מַיִם, הֵם בְּחִינַת שֶׁקֶר, שֶׁהוּא בְּחִינַת דְּמָעוֹת, שֶׁהֵם מַיִם מְלוּחִים. כִּי הַשּׁוֹתֶה מַיִם, מַרְוֶה צִמְאוֹנוֹ, אַךְ הַשּׁוֹתֶה מַיִם מְלוּחִים, לֹא דַּי שֶׁאֵינוֹ מַרְוֶה צִמְאוֹנוֹ, אֶלָּא שֶׁמּוֹסִיף צִמָּאוֹן עַל צִמְאוֹנוֹ, עַד שֶׁצָּרִיךְ לִשְׁתּוֹת מַיִם אֲחֵרִים, לְכַבּוֹת צִמְאוֹנוֹ. וְעַל־כֵּן נִקְרָא הַשֶּׁקֶר, מַיִם מַיִם. "
51,8,"This is the explanation of “Do not say, ‘Water! Water!’” which is falsehood, “as it is said, ‘He who speaks falsely will not be sustained before My eyes.’”","וְזֶהוּ: אַל תֹּאמְרוּ מַיִם מַיִם, שֶׁהוּא הַשֶּׁקֶר, שֶׁנֶּאֱמַר: דֹּבֵר שְׁקָרִים לֹא יִכּוֹן לְנֶגֶד עֵינָי: "
51,9,"<b>2.</b> The emergence of falsehood, which is evil, which is impurity, results from a distancing from oneness.","וְהִתְהַוּוּת הַשֶּׁקֶר, שֶׁהוּא הָרָע, שֶׁהוּא הַטֻּמְאָה, הוּא מֵחֲמַת הָרִחוּק מֵאֶחָד, "
51,10,"This is because evil is a contrariety; as, for example, whatever is contrary to a man’s will [he sees as] evil. But in a state of oneness, contrariety has no place. Rather, everything is good.","כִּי הָרָע הוּא נֶגְדִּיּוּת, לְמָשָׁל: כָּל מַה שֶּׁהוּא נֶגֶד רְצוֹנוֹ שֶׁל אָדָם הוּא רַע. וּבְאֶחָד אֵין שַׁיָּךְ נֶגְדִּיּוּת, אֶלָּא כֻּלּוֹ טוֹב. "
