Chapter,Segment #,English,Hebrew
50,1,"Thought is in a person’s control to direct to wherever he wishes. And, as explained elsewhere, it is utterly impossible for two thoughts to be simultaneous.","הַמַּחֲשָׁבָה בְּיַד הָאָדָם לְהַטּוֹתָהּ כִּרְצוֹנוֹ לְמָקוֹם שֶׁהוּא רוֹצֶה, וְכַמְבֹאָר בְּמָקוֹם אַחֵר, שֶׁאִי אֶפְשָׁר שֶׁיִּהְיוּ שְׁנֵי מַחֲשָׁבוֹת בְּיַחַד כְּלָל,"
50,2,"Thus even if his mind occasionally flies off and wanders in other, foreign matters, a person has the power to direct it back, against its will, to the straight path, to think what is proper.","וַאֲפִלּוּ אִם לִפְעָמִים הוֹלֶכֶת מַחֲשַׁבְתּוֹ וּפוֹרַחַת וּמְשׁוֹטֶטֶת בִּדְבָרִים אֲחֵרִים וְזָרִים, הוּא בְּיַד הָאָדָם לַחֲזֹר וּלְהַטּוֹתָהּ בְּעַל־כָּרְחָהּ אֶל הַדֶּרֶךְ הַיָּשָׁר, לַחֲשֹׁב מַה שֶּׁרָאוּי."
50,3,"It is exactly like a horse that strays from the path and turns to another one. We grab hold of it by the reins or something similar, and bring it back, against its will, to the correct path. It is exactly the same with thought. It is possible to grab it against its will and bring it back to the proper path.","וְהוּא מַמָּשׁ כְּמוֹ סוּס שֶׁפּוֹנֶה מִן הַדֶּרֶךְ וְסָר לְדֶרֶךְ אַחֵר, שֶׁתּוֹפְסִין אוֹתוֹ בְּאַפְסָר וְכַיּוֹצֵא, וּמַחֲזִירִין אוֹתוֹ בְּעַל־כָּרְחוֹ אֶל הַדֶּרֶךְ הַיָּשָׁר, כְּמוֹ־כֵן בְּמַחֲשָׁבָה מַמָּשׁ, שֶׁיְּכוֹלִין לְתָפְסָהּ בְּעַל־כָּרְחָהּ לְהָשִׁיבָהּ אֶל הַדֶּרֶךְ הָרָאוּי:"
51,1,"The evil inclination continually comes against a person and arouses him to what it arouses him. And even if a person does not listen to it, but turns his back on [the evil inclination], it nevertheless comes against him a second, third and fourth time, and more. But if a person is strong-willed and determined in opposing the evil inclination, and does not turn to it in the least, then the evil inclination leaves him and goes on its way.","הַיֵּצֶר הָרָע נוֹקֵשׁ בָּאָדָם בְּכָל פַּעַם וּמְעוֹרְרוֹ לְמַה שֶּׁמְּעוֹרְרוֹ. וְאַף אִם אֵין הָאָדָם שׁוֹמֵעַ לוֹ וּפוֹנֶה עֹרֶף מִמֶּנּוּ, אַף־עַל־פִּי־כֵן הוּא נוֹקֵשׁ בּוֹ עוֹד פַּעַם שֵׁנִי וּשְׁלִישִׁי וּרְבִיעִי וְיוֹתֵר. אֲבָל אִם הָאָדָם הוּא חָזָק בְּדַעְתּוֹ וְעַקְשָׁן נֶגֶד הַיֵּצֶר הָרָע, וְאֵינוֹ פּוֹנֶה אֵלָיו כְּלָל, אֲזַי הַיֵּצֶר הָרָע מִסְתַּלֵּק וְהוֹלֵךְ לוֹ."
51,2,"The same is true of prayer; in regard to thoughts that come to distract, it is exactly the same. The thought comes a number of times, time after time, in order to confuse. One has to be strong, so as not to pay attention to it under any circumstances. And in this way, it leaves. See elsewhere regarding this.","וְכֵן בִּתְפִלָּה, בְּעִנְיַן הַמַּחֲשָׁבוֹת הַבָּאִים לְבַלְבֵּל, הוּא מַמָּשׁ כַּנַּ""ל, שֶׁהַמַּחֲשָׁבָה בָּאָה כַּמָּה פְּעָמִים, פַּעַם אַחַר פַּעַם, לְבַלְבֵּל. וְצָרִיךְ לִהְיוֹת חָזָק לִבְלִי לְהִסְתַּכֵּל עָלֶיהָ כְּלָל בְּשׁוּם אֹפֶן, וַאֲזַי תִּסְתַּלֵּק. וְעַיֵּן בְּמָקוֹם אַחֵר מִזֶּה:"
52,1,"Of necessity, tzaddikim are the subject of difficult questions. This is because the tzaddikim emulate their Creator, as is brought. Thus, just as difficult questions are raised about God, difficult questions are of necessity raised about the tzaddik, who corresponds to the Blessed One.","מַה שֶּׁקָּשֶׁה קֻשְׁיוֹת עַל הַצַּדִּיקִים, זֶהוּ מֻכְרָח לִהְיוֹת. כִּי הַצַּדִּיקִים מִתְדַּמִּים לְיוֹצְרָם, כַּמּוּבָא, וּכְמוֹ שֶׁקָּשֶׁה קֻשְׁיוֹת עַל הַשֵּׁם יִתְבָּרַךְ, כְּמוֹ־כֵן בְּהֶכְרֵחַ שֶׁיִּהְיֶה קָשֶׁה קֻשְׁיוֹת עַל הַצַּדִּיק, כִּי הוּא מִתְדַּמֶּה אֵלָיו יִתְבָּרַךְ:"
52,2,"Concerning the difficult questions raised about God, [the Rebbe] often said: On the contrary, that is precisely how it should be. There <i>should</i> be difficult questions concerning God. Given His greatness and exaltedness, it is fitting and becoming to Him. His prodigious greatness and exaltedness tower far above our minds. It is therefore certainly impossible for us to understand and comprehend His conduct intellectually. And so inevitably there will be difficult questions concerning God. For it is fitting and becoming the Creator that He tower above and be elevated beyond our minds, on account of which difficult questions arise. But if His conduct was as our minds prescribed, His mind would resemble ours, God forbid.","וּבְעִנְיָן הַקֻּשְׁיוֹת שֶׁקָּשֶׁה עַל הַשֵּׁם יִתְבָּרַךְ, מַרְגְּלָא בְּפֻמֵּהּ לוֹמַר: אַדְּרַבָּא, כָּךְ רָאוּי לִהְיוֹת דַּיְקָא, שֶׁיִּהְיוּ קֻשְׁיוֹת עַל הַשֵּׁם יִתְבָּרַךְ, וְכָךְ נָאֶה וְיָפֶה לוֹ יִתְבָּרַךְ לְפִי גְּדֻלָּתוֹ וְרוֹמְמוּתוֹ. כִּי מֵעֹצֶם גְּדֻלָּתוֹ וְרוֹמְמוּתוֹ, שֶׁהוּא מְרוֹמָם מְאֹד מִדַּעְתֵּנוּ, עַל־כֵּן בְּוַדַּאי אִי אֶפְשָׁר שֶׁנָּבִין וְנַשִּׂיג בְּשִׂכְלֵנוּ הַנְהָגָתוֹ יִתְבָּרַךְ. וְעַל־כֵּן בְּהֶכְרֵחַ שֶׁיִּהְיוּ עָלָיו יִתְבָּרַךְ קֻשְׁיוֹת, כִּי כָּךְ נָאֶה וְיָפֶה לְהַבּוֹרֵא יִתְבָּרַךְ, שֶׁיִּהְיֶה מְרוֹמָם וְנִשָּׂא מִדַּעְתֵּנוּ, שֶׁעַל־יְדֵי־זֶה קָשֶׁה הַקֻּשְׁיוֹת כַּנַּ""ל; וְאִם הָיָה הַנְהָגָתוֹ כְּפִי חִיּוּב דַּעְתֵּנוּ, אִם־כֵּן הָיָה, חַס וְשָׁלוֹם, דַּעְתּוֹ כְּדַעְתֵּנוּ:"
53,1,"The great value of thought has now become known to me. For thought is extremely precious. Entire things are literally made from it, [things] which will exist for as long as the worlds exist, the entire time that God….","גֹּדֶל יִקְרַת הַמַּחֲשָׁבָה נוֹדַע לִי עַתָּה. כִּי הַמַּחֲשָׁבָה יְקָרָה מְאֹד מְאֹד, שֶׁנַּעֲשֶׂה מִמֶּנָּה דְּבָרִים שְׁלֵמִים מַמָּשׁ, שֶׁיֵּשׁ לָהֶם קִיּוּם כָּל הַיָּמִים שֶׁיִּתְקַיְּמוּ הָעוֹלָמוֹת, כָּל זְמַן אֲשֶׁר הַשֵּׁם יִתְבָּרַךְ וְכוּ' וְכוּ'."
53,2,"Yet, wisdom is even more valuable. This is because thought is solely that which rises in one’s mind, but wisdom is that with which one erects constructs in one’s intellect. This is very precious.","וְחָכְמָה יָקָר יוֹתֵר, כִּי מַחֲשָׁבָה הוּא שֶׁעוֹלָה עַל מַחֲשַׁבְתּוֹ לְבַד, וְחָכְמָה הוּא שֶׁבּוֹנֶה בְּחָכְמָתוֹ בִּנְיָנִים בְּשִׂכְלוֹ, וְהוּא יָקָר מְאֹד,"
53,3,"The main thing is that it be truth. And even the simple Torah interpretation that one originates is also very great. It, too, must be truth. Conversely, when it is without truth, things are also made from it, to the contrary.","וְעִקָּר הַדָּבָר – שֶׁיִּהְיֶה בֶּאֱמֶת. וַאֲפִלּוּ פְּשָׁט שֶׁמְּחַדְּשִׁין, הוּא גַם־כֵּן דָּבָר גָּדוֹל מְאֹד, וְצָרִיךְ גַּם־כֵּן שֶׁיִּהְיֶה בֶּאֱמֶת. וְגַם לְהֵפֶךְ, כְּשֶׁהוּא בְּלֹא אֱמֶת, נַעֲשֶׂה מִמֶּנָּה גַם־כֵּן דְּבָרִים לְהֵפֶךְ:"
