Rashi Matches,Data
Rashi on Genesis 1:2:2,"3001@בראשית א,ב@תהו@אישטורדישו""ן@estordison@עילפון, הלם, מבוכה@ר' אה""ל 549 ועוד.$"
Rashi on Genesis 1:2:5,"3002@בראשית א,ב@מרחפת@אקוביטי""ר@acoveter@לכסות@$"
Rashi on Genesis 1:11:2,"3003@בראשית א,יא@דשא@אירבידי""ץ@erbediz@מעשב, מכלול העשבים@$"
Rashi on Genesis 1:24:3,"3004@בראשית א,כד@רמש ושרץ@קונמוברי""ש@conmovres@רוחשים@בשום אופן אין לקבל את פירושו של ברנדין conbres, ""אפעים"". לפנינו צורה קשורה עם הפועל conmovres (ר' אה""ל 914), המצביע על תנועה פנימית, בלתי-נראית לעין, אלא שקשה לזהות את הצורה הדקדוקית, אולי קונמוביאור""ש conmoverus?$"
Rashi on Genesis 1:27:1,"3005@בראשית א,כז@צלם@קוי""ן@coin@מטבע (הצורה הטבועה באסימון)@בדרך כלל, המלה מציינת את החרט, שבו טובעים את המטבע.$"
Rashi on Genesis 3:24:3,"3006@בראשית ג,כד@להט@למ""א@lame@להב@$"
Rashi on Genesis 4:18:1,"3007@בראשית ד,יח@ילד@ניישטר""א@neistre@להיוולד (גם ללדת)@$"
Rashi on Genesis 4:18:1,"3008@בראשית ד,יח@זריעת האיש@איניינדרי""ר@enjendrer@להוליד@הלע""ז מופיע פעמיים בפסקה.$"
Rashi on Genesis 4:23:3,"3009@בראשית ד,כג@(פצעי) [פצע]@נברידור""א@navredure@פצע@בדפוסים ""מקאדורה"", שהוא ודאי שיבוש. ואולי יש ליישב מציידור""א maciedure (מעיכה), ור' גם להלן (בראשית מ""ט, ה'). שם רש""י מביא את המלה היוונית מכייר""א (""סיף"").$"
Rashi on Genesis 11:3:2,"3010@בראשית יא,ג@הבה@אפרייליי""ר@apareilier@להיכון@$"
Rashi on Genesis 11:3:4,"3011@בראשית יא,ג@לבנים@טיולי""ש@tiules@רעפים@$"
Rashi on Genesis 14:14:2,"3012@בראשית יד,יד@וירק@ארמי""ר@armer@לצייד בנשק@חסר בדפוסים הרגילים, אבל נמצא בכתבי-היד ובדפוס הראשון.$"
Rashi on Genesis 14:14:2,"3013@בראשית יד,יד@חניכיו@איניציי""ר@inicier@לחנוך@רש""י אינו מתרגם את ""חניכיו"" אלא את הפועל שבשורשו. דרמסטטר-ברנדין מפענחים: אנציניי""ר ancinier, שהיה צריך להיות אינשיניי""ר ensenier (""ללמד""). אולם אין בכתבי-היד השי""ן המתבקשת (s). גם יש ב – inicier  שני המובנים של ""לחנוך"" ו""לחנך"". כתבי-יד אחדים כנראה כותבים אישטריני""ר estrener ""להשתמש בפעם הראשונה"".$"
Rashi on Genesis 15:2:1,"3014@בראשית טו,ב@ערירי@דישאנפנטי""ץ@desanfantez@חסר-ילדים@האל""ף מציינת מעין התחלת מלה, כי היה ברור לכותבים הרכב המלה:des- קידומת השלילה ו – enfant ""ילד"". הסיומת ב – z היא לשון רבים או לשון יחיד ביחסת הנושא.$"
Rashi on Genesis 19:17:5,"3015@בראשית יט,יז@המלט@אישמוציי""ר@esmucier@להיחבא, להינצל@$"
Rashi on Genesis 19:28:1,"3016@בראשית יט,כח@קיטר@טורק""א@torche@לפיד, אבוקה@$"
Rashi on Genesis 20:16:4,"3017@בראשית כ,טז@ונכחת@אישפרובי""ר@esprover@לבחון@$"
Rashi on Genesis 22:3:4,"3018@בראשית כב,ג@ויבקע@פינדר""א@fendre@לחטוב, לבקע@$"
Rashi on Genesis 23:13:3,"3019@בראשית כג,יג@נתתי@דונא""י@donai@נתתי@כוונתו של רש""י היא כפי הנראה להראות, שבצרפתית כמו בלשון המקרא אפשר לבטא בעבר פעולה, שטרם התקיימה, אבל נחשבת כאילו התקיימה כבר. שלושה כתבי-יד מראים את הצורה ב – ai. ברוב האחרים יש צורה ב – a, אך קשה להסביר אותה.$"
Rashi on Genesis 23:16:1,"3020@בראשית כג,טז@קנטרין@צינטינייר""ש@centeniers@משקלים של מאה מידות, מטבעות של מאה@רש""י מסביר את המלה מן המדרש של הפסוק, כי עפרון דרש מטבעות בעלות ערך גדול.$"
Rashi on Genesis 24:14:1,"3021@בראשית כד,יד@הכחת@אפרובי""ר@aprover@להראות בבירור@רש""י רוצה לקרב בתרגומו את המשמעויות השונות של השורש ""וכח"". ר' לעיל (מס' 3017) ""ונכחת"" esprover. וע' באה""ל מס' 1080.$"
Rashi on Genesis 24:17:2,"3022@בראשית כד,יז@הגמיאיני@הומי""ר@humer@לגמוא (לבלוע מתוך שאיפה)@ר' אה""ל מס' 92.$"
Rashi on Genesis 25:21:2,"3023@בראשית כה,כא@ויעתר@אינקריישמיני""ט@encreisement@ריבוי@רש""י מסתמך על שתי המשמעויות של הפועל הצרפתי encreistre, גם ""לגדול, לרבות"" גם ""להתל, להפריע, להימאס"" (ר' אה""ל מס' 2422) ומסביר כאן להרבות עד לזרא"", כלומר להפציר בכל הכוח.$"
Rashi on Genesis 25:25:2,"3024@בראשית כה,כה@אדרת@פלוקייד""א@flocheide@אריג צמרי@$"
Rashi on Genesis 26:14:1,"3025@בראשית כו,יד@עבדה@אובריינ""א@ovreine@מכלול העבודות@כדברי רש""י: ""עבודה משמע עבודה אחת, עבודה משמע פעולה רבה"". במלה הצרפתית הוא רואה אפוא שם קיבוצי לעומת oevre, שהיא ""עבודה אחת"".$"
Rashi on Genesis 26:21:1,"3026@בראשית כו,כא@שטנה@נוישימינ""ט@nuisement@נזק@$"
Rashi on Genesis 30:20:2,"3027@בראשית ל,כ@יזבלני@הירבירייריא""ה@אירוח, לינה@herberjerie@$"
Rashi on Genesis 30:32:1,"3028@בראשית ל,לב@נקד@פוינטור""א@pointure@ניקוד@ייתכן, שרש""י מתכוון לתרגם לא את התואר ""נקוד"" שבמקרא, אלא את השם ""נקודות"" שבפירושו, והלעז הוא שם קיבוצי המצביע על הרבה נקודות המצויות במקום אחד.$"
Rashi on Genesis 30:32:3,"3029@בראשית ל,לב@חום@רו""ש@ros@אדום@$"
Rashi on Genesis 30:37:1,"3030@בראשית ל,לז@לבנה@טרינבל""א@trenble@צפצפה רעדנית@רש""י מזהה את הלבנה עם הצפצפה הרעדנית (tremble), הנושאת המון פרחים לבנים. בעברית של היום מזהים את הלבנה עם עץ, שקליפתו לבנה (bouleau).$"
Rashi on Genesis 30:37:3,"3031@בראשיתך ל,לז@לוז@קולדר""א@coldre@אלסר@""עץ שגדלים בו אגוזים דקים"", כדברי רש""י, אולי העניין קשור עם שם הפרי בצרפתית של היום noisette, כלומר ""אגוז קטן""; יכול להיותף שכבר בימי רש""י היו משתמשים בכינוי זה, ליד השם הרשמי coldre. בכמה כתבי-יד יש גרסאות הקרובות למלה noisette, שאין עדות ידועה עליה לפני 1280.$"
Rashi on Genesis 30:37:4,"3032@בראשית ל,לז@ערמון@קשטיניי""ר@chastenier@עץ ערמון@$"
Rashi on Genesis 31:10:2,"3033@בראשית לא,י@ברדים@פיישי""ד@peised@מנומש@מלשון (pois) peis ""אפונה"", כלומר שיש בו כתמים בצורת אפונה. אלא שפירושו של רש""י, שהוא ממילא קשה להבנה, עולה בקושי בקנה אחד עם הלעז. אין לקבל את הגזרון (poix) peiz ""זפת"" ולדבר על מעין כתמי זפת, כי יש שי""ן ולא צד""י בכל הגרסאות.$"
Rashi on Genesis 31:34:1,"3034@בראשית לא,לד@כר@בשטי""ל@bastel@אוכף@כך כתוב ברוב כתבי-היד. באחדים מהם קוראים את הצורה הקרובה בש""ט ואין הבדל ביניהם (אולי bast  יותר גדול מ – bastel).$"
Rashi on Genesis 31:37:1,"3035@בראשית לא,לז@ויוכיחו@אפרובי""ר@aprover@לברר@ר' לעיל מס' 3021.$"
Rashi on Genesis 33:10:3,"3036@בראשית לג,י@ותרצני@אפיימינ""ט@apeiement@פיוס@$"
Rashi on Genesis 33:11:1,"3037@בראשית לג,יא@ברכתי@שלודי""ר@saluder@לשאול בשלום@$"
Rashi on Genesis 33:11:1,"3038@בראשית לג,יא@ברכתי@מו""ן שלו""ד@mon salud@שאילת שלומי@רש""י רואה ב""מנחה"" הזאת רק אות לברכת שלום והוא מתרגם קודם את המושג ואחר-כך את המלה שבפסוק.$"
Rashi on Genesis 33:13:2,"3039@בראשית לג,יג@עלות@אינפנטיי""ש@enfanteis@שיש להן ולדות@כפי הנראה תואר (מלטינית *infantix או כדומה), המציין את החיה, היולדת ולדות.$"
Rashi on Genesis 37:2:5,"3040@בראשית לז,ב@(דבתם)[דבה]@פרלידי""ץ@parlediz@דיבה, רכילות@מלשון parler ""לדבר"" עם סיומת קיבוצית: ""מכלול דיבורים"", ובריבוי יש מן השלילה.$"
Rashi on Genesis 38:16:1,"3041@בראשית לח,טז@ויט@דישטולי""ר@destolir@לסטות@בכתב-יד אחד: דישטורני""ר destorner.$"
Rashi on Genesis 40:1:3,"3042@בראשית מ,א@אפה@פישטו""ר@pestor@אופה (המייצר פת)@$"
Rashi on Genesis 40:10:1,"3043@בראשית מ,י@שריגם@וידי""ץ@wediz@ענף גפן@באה""ל הייתה לנו הצורה  wedile (מס' 67 ועוד), ""קנוקנת"", שהיא מילת הקטנה של wediz.$"
Rashi on Genesis 40:10:2,"3044@בראשית מ,י@סמדר@אישפני""ר@espanir@להנץ, להתפתח@רש""י מתאר את התפתחות הצמח מפרח לפרי. לשם כך הוא משתמש במלה ""סמדר"" משיר השירים (ב', י""ג וט""ו; ז', י""ג) ובצרפתית espanir, להיפתח לגמרי.$"
Rashi on Genesis 40:16:1,"3045@בראשית מ,טז@פת כסנין@אובלידי""ש@obledes@רקיקים@עוגות של בצק עדין. מעניין, שרש""י אינו מסביר כאן שום מלה מן הפסוק, אלא, כדי להורות על צורת הסלים שבפסוק, מביא עובדה מחיי יום-יום בצרפת, והלעז שייך לסיפור הזה.$"
Rashi on Genesis 41:2:2,"3046@בראשית מא,ב@אחו@מריש""ק@maresc@בִיצה@$"
Rashi on Genesis 41:3:1,"3047@בראשית מא,ג@דקות@טינבי""ש@tenves@דקות@$"
Rashi on Genesis 41:5:1,"3048@בראשית מא,ה@קנה@טודי""ל@tudel@צינור, גבעול@$"
Rashi on Genesis 41:5:2,"3049@בראשית מא,ה@בריאות@שייני""ש@seines@בריאות@$"
Rashi on Genesis 41:6:1,"3050@בראשית מא,ו@שדופת@השלידי""ש@hasledes@שרופות, מיובשות, שזופות@$"
Rashi on Genesis 41:6:2,"3051@בראשית מא,ו@קדים@ביש""א@bise@רוח חזקה, קרה ויבשה@$"
Rashi on Genesis 41:7:1,"3052@בראשית מא,ז@בריאות@שייני""ש@seines@בריאות@חזרה על מה שכתוב כבר בפסוק ה'. כפי הנראה להעז לא הופיע בכל כתבי-היד באותו מקום, באלה בפסוק ה' ובאלה בפסוק ז'.$"
Rashi on Genesis 41:14:1,"3053@בראשית מא,יד@בור@פוש""א@fose@חפירה@$"
Rashi on Genesis 41:15:2,"3054@בראשית מא,טו@תשמע@אינטינדר""א@entendre@להבין@בצרפתית של ימי-הביניים אין לפועל entendre@להבין@בצרפתית של ימי-הביניים אין לפועל entendre המשמעות של היום ""לשמוע"" – אז היו משתמשים לכך בפועל ""oir"". הלה כמעט נעלם מהשפה מפני ששורשו צומצם לתנועה אחת: ""o"".$"
