"""Gevurot Hashem 51:1""","Pesach Haggadah, Magid, Ha Lachma Anya 3"
"""Gevurot Hashem 51:2""","Pesach Haggadah, Magid, Ha Lachma Anya 3"
"""Gevurot Hashem 51:3""","Pesach Haggadah, Magid, Ha Lachma Anya 3"
"""Gevurot Hashem 51:4""","Pesach Haggadah, Magid, Ha Lachma Anya 3"
"""Gevurot Hashem 51:6""","Pesach Haggadah, Magid, Ha Lachma Anya 3"
"""Gevurot Hashem 51:5""","Pesach Haggadah, Magid, Ha Lachma Anya 3"
"""Gevurot Hashem 52:1""","Pesach Haggadah, Magid, Four Questions 1"
"""Gevurot Hashem 52:2""","Pesach Haggadah, Magid, Four Questions 2"
"""Gevurot Hashem 52:3""","Pesach Haggadah, Magid, Four Questions 2"
"""Gevurot Hashem 52:4""","Pesach Haggadah, Magid, We Were Slaves in Egypt 2"
"""Gevurot Hashem 52:5""","Pesach Haggadah, Magid, We Were Slaves in Egypt 2"
"""Gevurot Hashem 52:6""","Pesach Haggadah, Magid, We Were Slaves in Egypt 2"
"""Gevurot Hashem 52:8""","Pesach Haggadah, Magid, We Were Slaves in Egypt 2"
"""Gevurot Hashem 53:1""","Pesach Haggadah, Magid, Story of the Five Rabbis 1"
"""Gevurot Hashem 53:2""","Pesach Haggadah, Magid, Story of the Five Rabbis 2"
"""Gevurot Hashem 53:3""","Pesach Haggadah, Magid, Story of the Five Rabbis 2"
"""Gevurot Hashem 53:4""","Pesach Haggadah, Magid, Story of the Five Rabbis 2"
"""Gevurot Hashem 53:5""","Pesach Haggadah, Magid, The Four Sons 1"
"""Gevurot Hashem 53:6""","Pesach Haggadah, Magid, The Four Sons 2"
"""Gevurot Hashem 53:7""","Pesach Haggadah, Magid, The Four Sons 2"
"""Gevurot Hashem 54:1""","Pesach Haggadah, Magid, In the Beginning Our Fathers Were Idol Worshipers 1"
"""Gevurot Hashem 54:2""","Pesach Haggadah, Magid, In the Beginning Our Fathers Were Idol Worshipers 3"
"""Gevurot Hashem 54:3""","Pesach Haggadah, Magid, First Fruits Declaration 2"
"""Gevurot Hashem 54:4""","Pesach Haggadah, Magid, In the Beginning Our Fathers Were Idol Worshipers 3"
"""Gevurot Hashem 54:5""","Pesach Haggadah, Magid, First Fruits Declaration 2"
"""Gevurot Hashem 54:7""","Pesach Haggadah, Magid, First Fruits Declaration 3"
"""Gevurot Hashem 54:8""","Pesach Haggadah, Magid, First Fruits Declaration 3"
"""Gevurot Hashem 54:9""","Pesach Haggadah, Magid, First Fruits Declaration 4"
"""Gevurot Hashem 54:10""","Pesach Haggadah, Magid, First Fruits Declaration 5"
"""Gevurot Hashem 54:11""","Pesach Haggadah, Magid, First Fruits Declaration 5"
"""Gevurot Hashem 54:12""","Pesach Haggadah, Magid, First Fruits Declaration 6"
"""Gevurot Hashem 54:13""","Pesach Haggadah, Magid, First Fruits Declaration 6"
"""Gevurot Hashem 54:14""","Pesach Haggadah, Magid, First Fruits Declaration 6"
"""Gevurot Hashem 54:15""","Pesach Haggadah, Magid, First Fruits Declaration 6"
"""Gevurot Hashem 54:16""","Pesach Haggadah, Magid, First Fruits Declaration 7"
"""Gevurot Hashem 54:17""","Pesach Haggadah, Magid, First Fruits Declaration 11"
"""Gevurot Hashem 54:18""","Pesach Haggadah, Magid, First Fruits Declaration 12"
"""Gevurot Hashem 54:20""","Pesach Haggadah, Magid, First Fruits Declaration 13"
"""Gevurot Hashem 54:21""","Pesach Haggadah, Magid, First Fruits Declaration 14"
"""Gevurot Hashem 55:1""","Pesach Haggadah, Magid, First Fruits Declaration 17"
"""Gevurot Hashem 55:2""","Pesach Haggadah, Magid, First Fruits Declaration 18"
"""Gevurot Hashem 56:1""","Pesach Haggadah, Magid, First Fruits Declaration 20"
"""Gevurot Hashem 56:3""","Pesach Haggadah, Magid, First Fruits Declaration 23"
"""Gevurot Hashem 56:4""","Pesach Haggadah, Magid, First Fruits Declaration 20"
"""Gevurot Hashem 56:5""","Pesach Haggadah, Magid, The Ten Plagues 4"
"""Gevurot Hashem 57:1""","Pesach Haggadah, Magid, The Ten Plagues 5"
"""Gevurot Hashem 58:1""","Pesach Haggadah, Magid, The Ten Plagues 18"
