Nedarim 2a:1-4,<big><strong>כל</strong></big> כינויי נדרים כנדרים וחרמים כחרמים ושבועות כשבועות ונזירות כנזירות האומר לחברו מודרני ממך מופרשני ממך מרוחקני ממך שאני אוכל לך שאני טועם לך אסור מנודה אני לך ר''ע היה חוכך בזה,Meiri on Nedarim 2a:1,כל כנויי נדרים כנדרים חרמים כחרמים שבועות כשבועות נזירות כנזירות האומר לחבירו מודר אני ממך מופרש אני ממך מרוחק אני ממך שאיני אוכל לך שאיני טועם לך אסור מנודה אני לך ר' עקיבא היה חוכך
Nedarim 7b:6-7,כלום א''ר גידל אמר רב תלמיד חכם מנדה לעצמו ומיפר לעצמו פשיטא מהו דתימא אין חבוש מתיר עצמו מבית האסורין,Meiri on Nedarim 7b:4,וזהו ששאלו עליה היכי דמי והשיבו עליה כי הא דמר זוטרא כי הוה מיחייב בר בי רב שמתא משמת נפשיה
Nedarim 9b:5-6,אלא אחד פעם אחת בא אדם אחד נזיר מן הדרום וראיתיו שהוא יפה עינים וטוב רואי וקווצותיו סדורות לו תלתלים אמרתי לו בני מה ראית להשחית את שערך זה הנאה אמר לי רועה הייתי לאבא בעירי הלכתי למלאות מים מן המעיין ונסתכלתי בבבואה,Meiri on Nedarim 9b:1,בא אלי אחד מן הדרום וראיתיו שהיה יפה עינים וטוב רואי וקווצותיו סדורות לו תלתלים אמרתי לו בני מה ראית להשחית שער נאה כזה אמר לי רועה הייתי לאבא בעירי והלכתי למלאת מים מן המעין ונסתכלתי בבואה שלי ופחז עלי יצרי
Nedarim 12a:5,איזהו איסר האמור בתורה אמר הריני שלא אוכל בשר ושלא אשתה יין כיום שמת בו אביו כיום,Meiri on Nedarim 12a:3,עלי בשר זה או יין זה כיום שמת בו אביו כיום שמת בו רבו כיום שנהרג בו גדליה
Nedarim 13a:7-9,דשרי כי לא מקדיש ליה מי לא מיקדיש כאימרא כדירים תנא אימרא לאימרא כאימרא דירים לדירים כדירים עצים לעצים כעצים,Meiri on Nedarim 13a:2,נתפס הוא ונאסר בו וכן הדין בשאר התפסות הדומות לקרבן אימרא לאימרא כאימרא דירים לדירים כדירים עצים לעצים כעצים אשים
Nedarim 13b:5-7,מדבר עמך ולא קתני שאני מדבר עמך <br><br><big><strong>הדרן עלך כל כנויי</strong></big><br><br> מתני׳ <big><strong>ואלו</strong></big> מותרין חולין שאוכל לך כבשר חזיר כעבודה זרה כעורות לבובין כנבילות וטריפות כשקצים ורמשים כחלת אהרן וכתרומתו מותר,Meiri on Nedarim 13b:4,והוא שאמר ואלו מותרין חולין שאוכל לך כבשר חזיר כעבודה זרה כנבלות כטרפות כשקצים כרמשים כחלת אהרן וכתרומתו מותר האומר לאשתו הרי את עלי כאמא וכו' פותחין לו פתח ממקום
Nedarim 14b:1-2,הנודר בתורה לא אמר כלום במה שכתוב בה דבריו קיימין בה ובמה שכתוב בה דבריו קיימין קתני במה שכתוב בה דבריו קיימין בה ובמה שכתוב בה,Meiri on Nedarim 14b:1,הנודר בתורה לא אמר כלום במה שכתוב בה דבריו קיימין בה ובמה שכתוב בה דבריו קיימין והקשה קתני מציעתא במה שכתוב בה דבריו קיימין בה ובמה שכתוב בה
Nedarim 15a:8-9,רשאי להתירן בפניהם שנאמר לא יחל דברו תנן שאת נהנית לי עד הפסח אם תלכי לבית אביך עד החג הלכה לפני,Meiri on Nedarim 15a:3,המחברים שכתבו שאף בעבר הפסח ולא נהנית אסור להניחה לילך דברים מתמיהים הם אלא
Nedarim 18b:1-6,סתם נדרים להחמיר ופירושם להקל כיצד אמר הרי עלי כבשר מליח כיין נסך אם בשל שלמים נדר אסור אם בשל עבודה זרה נדר מותר ואם סתם אסור הרי עלי כחרם אם כחרם של שמים אסור ואם כחרם של כהנים מותר ואם סתם אסור הרי עלי כמעשר אם כמעשר בהמה נדר אסור ואם של גורן מותר ואם סתם אסור הרי עלי כתרומה אם כתרומת הלשכה נדר אסור ואם של גורן מותר ואם סתם אסור דברי רבי מאיר רבי יהודה אומר סתם תרומה ביהודה אסורה בגליל מותרת שאין אנשי גליל מכירין את תרומת הלשכה סתם חרמים ביהודה מותרין בגליל אסורין שאין אנשי גליל,Meiri on Nedarim 18b:1,סתם נדרים להחמיר ופירושן להקל כיצד אמר הרי עלי כבשר מליח וכיין נסך אם בשל שמים נדר אסור ואם של עבודה זרה מותר ואם סתם אסורין הרי עלי כחרם אם כחרם של שמים אסור ואם של כהנים מותר ואם סתם אסור הרי עלי כמעשר אם כמעשר בהמה נדר אסור ואם כשל דגן מותר ואם סתם אסור הרי עלי כתרומה אם כתרומת הלשכה נדר אסור ואם של גורן מותר ואם סתם אסור דברי ר' מאיר וחכמים אומרים סתם תרומה ביהודה אסורה ובגליל מותרת שאין אנשי הגליל מכירים את תרומת הלשכה סתם חרמים ביהודה מותרין ובגליל אסורין שאין אנשי הגליל מכירין
Nedarim 20a:9-10,משמתינן ליה: וחכמים אומרים פותחין לו פתח כו': תנא לעולם אל תהי רגיל בנדרים שסופך למעול בשבועות ואל תהי רגיל אצל עם הארץ שסופך להאכילך טבלים אל תהי רגיל אצל כהן עם הארץ שסופך להאכילך תרומה ואל תרבה שיחה עם האשה שסופך,Meiri on Nedarim 20a:4,חברה מקולקלת כל אחד לפי ענינו דרך הערה אמרו אל תהא רגיל אצל ישראל עם הארץ שסופו להאכילך טבלים ולא אצל כהן עם הארץ שסופו להאכילך תרומה אל תרבה שיחה עם האשה שסופך בא לידי זמה וכן אמרו כל הצופה בנשים סוף בא
Nedarim 20a:11,הויין לו בנים שאינן מהוגנין אמר רב יוסף ובאשתו נדה אמר רבי שמעון בן לקיש עקבה דקתני במקום הטינופת שהוא,Meiri on Nedarim 20a:4,יהא מסוה הבשת על מצחו תמיד דרך הערה אמרו בעבור תהיה יראתו על פניכם זו בושה לבלתי תחטאו מלמד שהבושה
