Parsha,Includes
Bereshit,1
Lech Lecha,2
Vayishlach,3
Bo,4-23
Beshalach,24
Yitro,25-41
Mishpatim,42-94
Terumah,95-97
Tetzaveh,98-104
Ki Tisa,105-113
Vayakhel,114
Vayikra,115-130
Tzav,131-148
Shmini,149-165
Tazria,166-172
Metzora,173-183
Achrei Mot,184-211
Kedoshim,212-262
Emor,263-325
Behar,326-349
Bechukotai,350-361
Nasso,362-379
Beha'alotcha,380-384
Sh'lach,385-387
Korach,388-396
Chukat,397-399
Pinchas,400-405
Matot,406-407
Masei,408-413
Devarim,414-415
Vaetchanan,416-427
Eikev,428-435
Re'eh,436-490
Shoftim,491-531
Ki Teitzei,532-605
Ki Tavo,606-611
Vayeilech,612-613
