OZ location	Talmud Location	DH Text	OZ Full Text	full talmud line
Ohr Zarua, Volume I 545:1<d>	Menachot 32b:4	תפלין ומזוזות נכתבות שלא מן הכתב 	תפלין ומזוזות נכתבות שלא מן הכתב 	תנאי היא דתניא ר' ירמיה אומר משום רבינו תפילין ומזוזות נכתבות שלא מן הכתב ואין צריכות שירטוט
Ohr Zarua, Volume I 545:2<d>	NULL	בפ' הקומץ רבה פסקי' והלכתא תפלין ל"ב שירטוט	<b>בפ' </b>הקומץ רבה פסקי' והלכתא תפלין ל"ב שירטוט ומזוזה בעי שרטוט ואידי ואידי נכתבות שלא מן הכתב וה"נ אמר בפ' הקורא את המגילה למפרע אביי שרי לי' (לרמי בר אבא) [לדבי בר חבו] למכתב תפלין ומזוזות שלא מן הכתב כו' מסקנא דהתם כדהכא. ופי' רבינו אליקים בפ' הקומץ רבה מגרס גריסן שכל אדם יודעו בעל פה ולא אתי למיטעי והוי כמין הכתב הלכך שרי לכותבם בע"פ אפי' שלא בשעת הדחק. אבל שאר דברים שבכתב אע"פ דשגורים בפיו הואיל ואינם שגורים בפי כל אסור לכותבו בע"פ אם לא בשעת הדחק. כההיא דפ' הקורא את המגילה למפרע דאמר רבב"ח א"ר יוחנן אסור לכתוב אות אחת שלא מן הכתב ופריך לי' מר' מאיר שכתב מגילה ע"פ דמשני שאני ר"מ דמיקיים בי' ועפעפיך יישירו נגדך. פי' שד"ת מיושרין בפיו ומוקי לה התם דוקא בשעת הדחק. וע"ז אנו סומכים שאנו קורין ק"ש ופרשת קרבנות ומזמורים ופ' ויושע בע"פ מפני שסגורין בפי הכל אע"ג דדברים שבכתב אסור לאומרן בע"פ כדאמ' בתמורה בפ' יש בקרבנות היחיד ובגיטין פ' הנזקין דרש ר' יהודה בר נחמני מתורגמני' דרשב"ל כתיב [כתב] לך את הדברי' האלה וכתיב כי ע"פ הדברי' האלה הא כיצד דברי' שבכתב אי אתה רשאי לאומרם בע"פ דברים שבע"פ אי אתה רשאי לאומרם בכתב. א"כ האיך אנו קוראים בכל יום דברים שבכתב על פה. ואומר ר"ת זצ"ל משום דמגרס גריסי כדאמר גבי תפלין ומזוזות ודוקא הני ששגורים בפי הכל שרי לאומרן בע"פ אבל שאר מקראות שאינם שגורים בפי הכל אע"פ ששגורים בפיו אסור לקרות ע"פ. כההיא דרפ"ק דב"ק דאייתי לקרא איך נחפשו עשו נבעו מצפוניו ואמ' מאי משמע כדמתרגם רב יוסף איכדין אתבליש עשו איגליין מטמרוהי: וכתב שם בתוספו' ריב"א להכי נקט בכל דוכתא כדמתרגם רב יוסף משום דרב יוסף סגי נהור הוה כדמוכח בהחובל ובמסכ' ברכות והיכי דהוה מטי לפסוק הוה מתרגם לי' ולא הוה קרי לשון עברית משמע דדברים שבכתב אסור לאומרם בע"פ והוה קרי כתרגום יונתן דאסור לתרגם פסוק מדעתו כדמוכח כקידושין. מ"מ הא למדת דאפי' הפסוק שגור בפיו אסור לקרותו בע"פ דהא רב יוסף דאפי' תרגום ידע בע"פ כש"כ עברי שידע ואפ"ה לא הוה קרי אלא לשון תרגום. וההיא דיומא פ' בא לו ודסוטה פ' אלו נאמרין דתנן גבי כה"ג שקורא ביוה"כ ובעשור שבחומש הפקודים בעל פה אע"פ שאין זה שגור בפי הכל כדמפ' בגמ' בפ' ואלו נאמרין דלא אפשר בענין אחר וה"ל שעת הדחק ושרי הואיל ושגור לו אע"פ שאינו שגור בפי הכל: 	NULL
Ohr Zarua, Volume I 546:1<d>	NULL	כתיבה תמה ותיקון האותיות 	כתיבה תמה ותיקון האותיות 	NULL
Ohr Zarua, Volume I 546:2<d>	NULL	תנן בהקומץ רבה ארבע פרשיות שבתפלין מעכבין זה	<b>תנן </b>בהקומץ רבה ארבע פרשיות שבתפלין מעכבין זה את זה ואפי' כתב אחר מעכבן ואמרי' בגמ' פשיטא אמר רב יהודה אמר רב לא נצרכה אלא לקוצו של יו"ד. ופריך הא נמי פשיטא. דפשיטא לי' לתלמודא דכל אות שאינה מתוקנת כהלכת' שחסירה אפי' קוץ אחד פסול כדמוכח הכא. והיכא שחסירה אפי' זיון אחר נמי פסולה כדאמר פ' הבונה תנא נתכוין לכתוב אות אחת ועלו בידו שתים חייב והתניא פטור. הא דבעי זיוני הא דלא בעי זיוני. הא למדת דכל אות שאינה מתוקנת כהלכתה אינה אות ולא מקרי כתב. הלכך פי' מורי הרב רבינו שמחה דע"ז סומכין שנהגו היתר לכתוב פסוק בכתבי הדיוטו' בלא שרטוט משום דכתיבה דקה שאנו כותבין שטרי הדיוטות אינו חשוב כתב שהרי אינו מתוקן כהוגן: 	NULL
Ohr Zarua, Volume I 547:1<d>	NULL	תיקון יוד 	תיקון יוד 	NULL
Ohr Zarua, Volume I 547:2<d>	NULL	תנן במתניתין אפי' כתב אחר מעכבן פשיטא אמר	<b>תנן </b>במתניתין אפי' כתב אחר מעכבן פשיטא אמר רב יהודה אמר רב לא נצרכה אלא לקוצו של יו"ד. פרש"ירגל של ימין וליתא דפשיטא דאין זה אות. ורבינו אליקים פי' קוצו של יו"ד מה שמשוך מראשו כלפי מטה דהיינו כתרו של יוד וכן פי' ר"ת כדאמר מפני מה כפוף ראשו. והא דאמ' בחלק נער יכתבם דהיינו עשרה שאם השליך נער אבן בקיר ונעשה רושם נעשי' יו"ד כעין יוד קאמר מפני מה נברא העולם הבא ביו"ד מפני שצדיקים שבו מועטים ומפני מה כפוף ראשו מפני שהצדיקים שבו כפוף ראשיהם מפני מעשיהם שאין דומין זה לזה: 	NULL
Ohr Zarua, Volume I 548:1<d>	NULL	תיקון ה 	תיקון ה 	NULL
Ohr Zarua, Volume I 548:2<d>	NULL	דרש ר' יהודה בר אילעאי מפני מה נברא	<b>דרש </b>ר' יהודה בר אילעאי מפני מה נברא עוה"ז בה' מפני שדומה לאכסדרה שכל הרוצה לצאת יצא מ"ט תלי' כרעיה פי' שאינו מחובר אל הגג למעלה דאותה נקודה שיש לה' בפנים תולין אותה באויר שאין דבוקה לגג למעלה. דאי הדר בתשובה מעלין לי' ומ"ט אית לי' תגא אמר הקב"ה אם חוזר בו אני קושר לו כתר. פרש"י תגא בסוף ה"י כזה  ורבינו תם פירש בתחלת ה"י  כמו תגא דדלי"ת בפ"ק דעירובין ובפרק נוטל בסוטה והרב רבינו שמשון כתב דנראה כפרש"י שהכתר לצד פתח התשובה ותגא דקו"ף כיוצא בו [דאמר] פרק הבונה מ"ט מהדר תגא דקוף בהדי ריש: 	NULL
Ohr Zarua, Volume I 549:1<d>	NULL	תיקון ח 	תיקון ח 	NULL
Ohr Zarua, Volume I 549:2<d>	Menachot 29b:6	אמר רב אשי חזינא להו לספרי דווקנא דחטרי	<b>אמר </b>רב אשי חזינא להו לספרי דווקנא דחטרי לי' ללגגי' דחי"ת כלומר חי הוא ברומו של עולם. פרש"י שמגביה רגל שמאלית של ח' עד למעלה כזה  וכן פי' רבינו אליקים זצ"ל וכן פי' בערוך ואין זה נראה לר"ת דא"כ תגא ה"ל למקרייה ולא גג. ותו דאמ' בפרק הבונה כגון שנטלו לגגו של ח' ועשה הימנו שני זיינין א"כ משמע דגגו של ח' כאמצע של חי"ת קאי ע"כ מפרש ר"ת דגגו של חי"ת כאמצע כזה  כמו חטרתא דגמלא וכן נמצא בשם הגאונים: 	אמר רבא שבעה אותיות צריכות שלשה זיונין ואלו הן שעטנ"ז ג"ץ אמר רב אשי חזינא להו לספרי דווקני דבי רב דחטרי להו לגגיה דחי"ת ותלו ליה לכרעיה דה"י
