Index Title,Ecclesiastes
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Ecclesiastes 1:1,"Słowa Koheleta, syna Dawida, króla w Jerozolimie. "
Ecclesiastes 1:2,"O, marność nad marnościami! rzekł Kohelet; o, marność nad marnościami! Wszystko marność! "
Ecclesiastes 1:3,"Cóż za pożytek człowiekowi z całego trudu swojego, którym się trudzi pod słońcem! "
Ecclesiastes 1:4,"Jedno pokolenie odchodzi, a drugie przychodzi; ale ziemia wiecznie pozostaje. "
Ecclesiastes 1:5,"A słońce wschodzi, a słońce znów zachodzi, i zdąża do miejsca swego, kędy ma wzejść. "
Ecclesiastes 1:6,"Idzie na południe, a zwraca się ku północy, wciąż krążąc idzie wiatr, a po wirach swoich wraca wiatr. "
Ecclesiastes 1:7,"Wszystkie rzeki idą do morza, wszakże morze się nie zapełnia: do miejsca, do którego rzeki idą, tam idą wciąż. "
Ecclesiastes 1:8,"Wszystkie rzeczy nużą się, żaden człowiek tego nie wypowie; oko nie nasyca się widzeniem, a ucho nie napełnia się słyszeniem. "
Ecclesiastes 1:9,"To, co było, to i będzie, a co się stało, to się stanie, a niemasz nic nowego pod słońcem. "
Ecclesiastes 1:10,"Jeśli jest rzecz, o którejby kto powiedzieć chciał: Patrz, to coś nowego! - już dawno to było za onych wieków, które przeszły przed nami. "
Ecclesiastes 1:11,"Niemasz wspomnienia o poprzednich, i o późniejszych, które nastaną, nie będzie wspomnienia u tych, którzy później jeszcze przyjdą. "
Ecclesiastes 1:12,"Ja, Kohelet, byłem królem nad Israelem w Jerozolimie. "
Ecclesiastes 1:13,"I zwróciłem serce moje na to, abym zbadał i wyśledził mądrością wszystko, co się dzieje pod niebem: czczy to popęd, który złożył Bóg w synach ludzkich, aby się nim trapili! "
Ecclesiastes 1:14,"Widziałem wszystkie sprawy, które się dzieją pod słońcem, a oto wszystko marność i pogoń za wiatrem. "
Ecclesiastes 1:15,"Co krzywe nie daje się wyprostować, a co brakuje nie może wejść w rachubę. "
Ecclesiastes 1:16,"I pomyślałem w sercu swojem, i rzekłem: Oto zdobyłem wielką i coraz wyższą mądrość ponad wszystkich, którzy byli przedemną w Jerozolimie, a serce moje przejrzało pełnię mądrości i wiedzy. "
Ecclesiastes 1:17,"Ale gdym zwrócił serce moje, abym uświadomił sobie czem mądrość i wiedza, szaleństwo i głupota - poznałem, że i to pogoń za wiatrem. "
Ecclesiastes 1:18,"Bo gdzie wiele mądrości, tam wiele zgryzoty, a kto mnoży wiedzę, mnoży cierpienie. "
Ecclesiastes 2:1,"Pomyślałem ja w sercu swojem: Nuż tedy doświadczę cię radością, a rozkoszuj się szczęściem! Ale zaprawdę, i to marność. "
Ecclesiastes 2:2,O śmiechu rzekłem: to szał! a o radości: do czegoż ta służy? 
Ecclesiastes 2:3,"Umyśliłem w sercu swojem, abym krzepił odtąd winem moje ciało, tak jednak, aby się serce mądrością kierowało, i abym chwycił się głupstwa, pókibym nie przejrzał coby najwłaściwszem było synom ludzkim czynić pod niebem, po wszystkie dni żywota ich. "
Ecclesiastes 2:4,"Wykonałem dzieła wielkie: pobudowałem sobie domy, zasadziłem sobie winnice. "
Ecclesiastes 2:5,"Pozakładałem sobie ogrody i parki, i zasadziłem w nich wszelkie drzewa owocowe. "
Ecclesiastes 2:6,"Urządziłem sobie stawy wodne, aby zraszać z nich sad porosły drzewami. "
Ecclesiastes 2:7,"Nakupiłem sobie niewolników i niewolnic, a posiadałem takich, co zrodzeni byli w domu. Stąd też, rogacizny i owiec posiadałem więcej niż wszyscy, którzy byli przedemną w Jerozolimie. "
Ecclesiastes 2:8,Nagromadziłem też sobie złota i srebra i najkosztowniejszych klejnotów królów i krain; sprowadziłem sobie śpiewaków i śpiewaczki i rozkosz synów ludzkich: pań mnóstwo. 
Ecclesiastes 2:9,"I tak stałem się wielkim i możniejszym od wszystkich, którzy byli przedemną w Jerozolimie; przyczem zostawała przy mnie i mądrość moja. "
Ecclesiastes 2:10,"Czegokolwiek też pożądały oczy moje nie wzbraniałem im; nie odmawiałem sercu mojemu żadnej radości, albowiem radowało się serce moje ze wszystkiej mej pracy, a był to udział mój ze wszystkiej mej pracy. "
Ecclesiastes 2:11,"Ale gdym spojrzał na wszystkie sprawy, które zdziałały ręce moje, i na trud, którym podejmował, aby je uskutecznić, a oto okazało się, że to wszystko marność i pogoń za wiatrem, a niemasz pożytku pod słońcem. "
Ecclesiastes 2:12,"Poczem zwróciłem się ku temu, aby rozejrzeć zarówno mądrość jak szał i głupotę; bo czemże by był człowiek, któryby mógł pójść za królem w tem co już uczyniono? "
Ecclesiastes 2:13,"I przekonałem się, że wyższość mądrości nad głupotą dorównywa wyższości światła nad ciemnością. "
Ecclesiastes 2:14,"Mądry ma oczy swe w głowie; głupi zaś postępuje w ciemności. Zarazem jednak poznałem, że jeden los ich wszystkich spotyka. "
Ecclesiastes 2:15,"I pomyślałem w sercu swojem: Los głupca spotka i mnie, nacóż tedy nabrałem tak dużo mądrości? I pomyślałem w sercu swojem: i to marność. "
Ecclesiastes 2:16,"Albowiem wspomnienia nie pozostanie po mędrcu jak po głupcu na wieki, ponieważ za dni przyszłości wszystko dawno w zapomnienie pójdzie; a czemuż to umiera mędrzec narówni z głupcem? "
Ecclesiastes 2:17,"I tak powziąłem nienawiść do życia, ponieważ nie podobały mi się sprawy, które się dzieją pod słońcem, bo wszystko marność i pogoń za wiatrem. "
Ecclesiastes 2:18,"I powziąłem nienawiść do całej mojej pracy, którąm się trudził pod słońcem, ponieważ zostawić ją muszę człowiekowi, który przyjdzie po mnie. "
Ecclesiastes 2:19,"A któż wie czy mądrym będzie czy głupim? A jednak będzie on władał całą moją pracą, którąm się trudził, a którąm mądrością uskutecznił pod słońcem - i to marność! "
Ecclesiastes 2:20,"Zwróciłem się tedy ku temu, aby wzbudzić zwątpienie w sercu mojem o wszystkiej pracy, którąm się trudził pod słońcem. "
Ecclesiastes 2:21,"Bo niejeden człowiek pracuje mądrze i rozumnie i sprawnie, a musi to innemu, który się tem nie trudził w udziale zostawić: i to marność i zło wielkie. "
Ecclesiastes 2:22,"Bo cóż zyska człowiek za całą pracę swoję i za zabiegi serca swego, którymi się trudzi pod słońcem? "
Ecclesiastes 2:23,"Wszystkie wszak dni jego cierpieniem, a zgryzota jego zajęciem; nawet w nocy nie odpoczywa serce jego. I to marność! "
Ecclesiastes 2:24,"Czyż nie najlepszem dla człowieka, aby jadł i pił i dogadzał duszy swojej, za pracę swoję: ale i to, jakem to zauważył, z ręki Bożej pochodzi. "
Ecclesiastes 2:25,Bo któżby mógł jeść a któż używać bez Niego? 
Ecclesiastes 2:26,"Bo człowiekowi, który Mu się spodobał, daje mądrość i wyrozumienie i radość; grzesznikowi zaś daje popęd, aby zbierał i gromadził, by zostawić to temu, który się Bogu spodoba. I to marność i pogoń za wiatrem. "
Ecclesiastes 3:1,"Wszystko ma porę swoję, a każde przedsięwzięcie swój czas pod niebem. "
Ecclesiastes 3:2,"Jest czas rodzenia się, i czas umierania; jest czas sadzenia, i czas wyrywania co sadzone. "
Ecclesiastes 3:3,"Zabijanie ma swój czas, i leczenie ma swój czas; burzenie ma swój czas, i budowanie ma swój czas. "
Ecclesiastes 3:4,Jest czas płaczu i czas śmiechu; czas biadania i czas pląsania. 
