Index Title,Habakkuk
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Habakkuk 1:1,"Rzecz, którą zwiastował Habakuk, prorok. "
Habakkuk 1:2,"Dopókiż o Wiekuisty, skarżyć się będę a nie wysłuchasz? wołać będę wobec gwałtu a nie wybawisz? "
Habakkuk 1:3,"Czemu pozwalasz mi spoglądać na bezeceństwo, a przypatrujesz się bezprawiu? Ucisk i zdzierstwo przedemną, a wciąż obecny ten, który swar i niezgodę wznieca. "
Habakkuk 1:4,"Dlatego strętwiał zakon, a nie występuje nigdy prawo na jaw, albowiem niegodziwy obmotał sprawiedliwego, i tak to wychodzi sąd przewrotny. "
Habakkuk 1:5,"Rozejrzcie się między narodami a zobaczcie! Zadziwcie się i zdumiejcie! Bo dzieło spełni się za dni waszych - nie uwierzylibyście, gdyby wam opowiadano. "
Habakkuk 1:6,"Albowiem oto dźwignę Ja Kasdejczyków, naród srogi i rączy, który po obszarach ziemi przeciąga, by zdobyć siedziby nie swoje. "
Habakkuk 1:7,"Groźny on i straszny, od niego samego wychodzi prawo i dostojeństwo jego. "
Habakkuk 1:8,"Szybsze niż pantery są rumaki jego, a chyższe niż wilki nad wieczorem; harcuja jezdni jego - a zdaleka nadciągają ci jezdni, nadlatują jako orły, śpieszące na żer. "
Habakkuk 1:9,"Wszyscy oni na łup wychodzą; żądza ich oblicza naprzód, a brańców gromadzą niby piasek. "
Habakkuk 1:10,"On zaś - on i z królów drwi, a książęta są na pośmiech u niego, wyśmiewa się z każdej warowni: usypuje ziemię i zdobywa ją. "
Habakkuk 1:11,"Tedy przechodzi jako wicher i ciągnie dalej - grzeszy jednak, który własną siłę mieni Bogiem swoim. "
Habakkuk 1:12,"Izali nie Ty od dawna Wiekuisty, mój Bóg, mój święty? Nie zginiem! Wiekuisty, na sąd go wyznaczyłeś, o opoko nasza, ku karceniu go ustanowiłeś. "
Habakkuk 1:13,"Ty, czyje oczy zbyt czyste, aby na zło spoglądały, a który na bezprawie patrzeć nie możesz - czemu przypatrujesz się przewrotnym, milczysz, gdy pochłania niegodziwiec sprawiedliwszego od siebie? "
Habakkuk 1:14,"Miałżebyś uczynić ludzi podobnymi do ryb w morzu, do robactwa, które pana niema. "
Habakkuk 1:15,"Wszystkich węda wyciąga, zagarnia ich niewodem swoim, zbiera ich do swej sieci; dlategoż się cieszy i raduje. "
Habakkuk 1:16,"Dlatego składa ofiary niewodowi swojemu, a pali kadzidła sieci swojej; bo dzięki im jest obfity jego udział, a tłusty jego pokarm. "
Habakkuk 1:17,Czyżby dlatego miał wciąż wypróżniać swój niewód a mordować ustawicznie i bez litości narody? 
Habakkuk 2:1,"Na strażnicy mojej stanę, a wstąpię na basztę, abym czekał i zobaczył co wyrzeknie do mnie, i co mi dalej odpowiedzieć po skardze mojej. "
Habakkuk 2:2,"Odpowiedział mi tedy Wiekuisty, i rzekł: Spisz to widzenie, a wyryj je wyraźnie na tablicach, aby je biegle odczytać było można. "
Habakkuk 2:3,"Bo jeszcze widzeniu temu pora wyznaczona; wszakże zbliża się ono szybko ku kresowi, a nie zawiedzie. Gdyby się odwlekało, czekaj na nie, gdyż niewątpliwie nadejdzie, a nie omieszka! "
Habakkuk 2:4,"Oto harda, nieuczciwa dusza w nim; ale sprawiedliwy mocą wiary swojej żyć będzie! "
Habakkuk 2:5,"A choć wino odurza człowieka wyniosłego, że spocząć nie może, zwłaszcza tego, który rozwiera jako przepaść pożądliwość swoję, a jako śmierć nasycić się nie wstanie, który ściągnął do siebie narody wszystkie, a wszystkie plemiona wokoło siebie zgromadził. "
Habakkuk 2:6,"Czyż jednak nie zaintonują wespół szyderczej pieśni i uszczypliwych baśni i gadek o nim, głosząc: Biada temu, który cudze dobro zgromadził - na jak długi to czas? - a który zastawami się obarczył. "
Habakkuk 2:7,"Czyż nie powstaną nagle wierzyciele twoi, a nie rozbudzą się ci, którzy cię szarpać poczną? A wtedy pójdziesz sam na łup im. "
Habakkuk 2:8,"Bo jakoś ty liczne narody ograbił, tak ograbią wszystkie narody ciebie, dla przelanej krwi ludzkiej, i dla gwałtu spełnionego nad krajem, miastem, i wszystkimi mieszkańcami jego. "
Habakkuk 2:9,"Biada temu, który niecny zysk w domu swym gromadzi, pragnąc wysoko założyć gniazdo swoje, i w ten sposób ujść z mocy złego. "
Habakkuk 2:10,"Hańbę tylko uradziłeś domowi twemu, tępiąc narody liczne, a grzesząc przeciw własnej duszy. "
Habakkuk 2:11,"Wszak kamień z muru krzyczy, a krokiew z pośród wiązań świadczy o tem. "
Habakkuk 2:12,"Biada temu, który buduje miasto krwią, a zakłada grody krzywdą. "
Habakkuk 2:13,"Azali to nie od Wiekuistego zastępów, aby trudziły się ludy dla ognia, a narody dla marności się nużyły. "
Habakkuk 2:14,"Bo napełnić się ma ziemia poznaniem chwały Wiekuistego, jako wodami, które dno morza pokrywają. "
Habakkuk 2:15,"Biada temu, który upaja bliźniego, nalewając mu gniew swój, tak aby go odurzył i napawał się nagością jego. "
Habakkuk 2:16,Nasycisz się hańbą zamiast czcią: pijże i ty sam i bądź otumaniony! Zwróci się do ciebie kielich w prawicy Wiekuistego wraz z sromotą na sławę twoję. 
Habakkuk 2:17,"Bo gwałt spełniony nad Libanem cię pokryje, i spustoszenie które zwierzęta w trwogę wprawiło, dla przelanej krwi ludzkiej i dla gwałtu spełnionego nad krajem, miastem i wszystkimi mieszkańcami jego. "
Habakkuk 2:18,"Do czegoż posłużyła kiedyś rzeźba, że ją mistrz jej wyrzeźbił, albo posąg i fałszywy wróżbita, że polegał mistrz na wytworze swoim; czyniąc bałwany nieme? "
Habakkuk 2:19,"Biada temu, który woła do drewna: ocuć się! obudź się, do martwego kamienia! Tenże by miał wskazówek udzielać? Wszakże powleczony on złotem i srebrem, a ducha żadnego w nim niema. "
Habakkuk 2:20,Ale Wiekuisty w przybytku Swoim świętym - przed Nim niechaj umilknie ziemia cała. 
Habakkuk 3:1,"Modlitwa Habakuka, proroka, na nutę hymnów. "
Habakkuk 3:2,"Wiekuisty, usłyszałem wieść o Tobie i zadrżałem! Wiekuisty, chciej dzieło Twoje w przebiegu lat wskrzesić, w przebiegu lat chciej je objawić! Wszakże w gniewie wspomnij o miłosierdziu! "
Habakkuk 3:3,"Bóg z Themanu nadchodzi, a Święty z góry Paran-Sela. Pokrywa się niebo majestatem Jego, a chwałą Jego napełnia się ziemia. "
Habakkuk 3:4,"Blask niby słońca się roztacza, promienie biją od boku Jego a tam siedziba Jego potęgi. "
Habakkuk 3:5,"Przed obliczem Jego idzie mór, a w ślad za nim ciągnie zaraza. "
Habakkuk 3:6,"Gdy powstaje wstrząsa ziemią, gdy spojrzy płoszy narody, i rozstępują się góry przedwieczne i opadają wzgórza starodawne. Po ścieżkach odwiecznych kroczy. "
Habakkuk 3:7,"Pod brzemieniem niedoli spostrzegam namioty kuszańskie, drżą opony ziemi Midjanitów. "
Habakkuk 3:8,"Czyżby przeciw strumieniom wspłonął Wiekuisty? Czyż przeciw strumieniom gniew Twój, albo przeciw morzu uniesienie Twoje, że pędzisz na twych rumakach, na rydwanie Twoim zwycięzkim? "
Habakkuk 3:9,Do naga ogołociłeś łuk Twój przeciw sprzysiężonym pokoleniom Omera-Sela. Strumienie wytoczyła ziemia. 
