Index Title,Haggai
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Haggai 1:1,"Roku wtórego Darjawesza, króla, miesiąca szóstego, pierwszego dnia miesiąca, doszło słowo Wiekuistego przez Haggaja proroka, Zerubabela, syna Szaltiela namiestnika Judy i Jehoszuę, syna Jehocadaka, arcykapłana, jak następuje: "
Haggai 1:2,"Tak rzecze Wiekuisty zastępów, głosząc: Lud ten powiada: Jeszcze nie nadszedł czas stawienia się, czas dla przybytku Wiekuistego, aby zbudowanym został! "
Haggai 1:3,"Przeto doszło słowo Wiekuistego przez Haggaja, głosząc: "
Haggai 1:4,"Czyż to właściwy czas dla was samych, abyście mieszkali w waszych domach taflowanych, gdy przybytek ten zburzony? "
Haggai 1:5,Teraz tedy rzecze tak Wiekuisty zastępów: Zwróćcie też uwagę waszą na koleje wasze! 
Haggai 1:6,"Wysiewacie dużo, ale zbiór jest mały; jadacie, ale nie do syta, pijecie, ale do upojenia nie starczy, ubieracie się, ale nie żeby który się ogrzał, kto zaś zarabia, zarabia dla trzosu dziurawego. "
Haggai 1:7,Tak rzecze Wiekuisty zastępów: Zwróćcie uwagę na koleje wasze! 
Haggai 1:8,"Wstąpcie w góry i zwieźcie drzewo i wznieście przybytek, abym upodobał go Sobie a był sławiony, rzecze Wiekuisty. "
Haggai 1:9,"Spodziewaliście się dużo, a oto dostawało się wam mało, a coście wnieśli do domu Ja je rozwiałem. A to czemu? rzecze Wiekuisty zastępów. Dla domu Mojego, który opustoszony, podczas gdy każdy z was około własnego domu swego zabiegi czyni. "
Haggai 1:10,"Przeto powstrzymuje nad wami niebo rosę, a powstrzymuje też i ziemia plon swój. "
Haggai 1:11,"I przyzwałem posuchę na tę ziemię, i na te góry, i na zboże i na moszcz i na oliwę i na każdy urodzaj ziemi, i na ludzi i na bydło i na każdą pracę rąk. "
Haggai 1:12,"Tedy usłuchał Zerubabel, syn Szaltiela i Jehoszua, syn Jehocadaka, kapłan najwyższy i cały ostatek ludu głosu Wiekuistego, Boga swego, i słów Haggaja, proroka, ponieważ go posłał Wiekuisty Bóg ich, gdyż obawiał się lud oblicza Wiekuistego. "
Haggai 1:13,"I rzekł Haggaj, poseł Wiekuistego, w poselstwie Wiekuistego do ludu, w tych słowach: Ja z wami, rzecze Wiekuisty: "
Haggai 1:14,"I wzbudził Wiekuisty ducha Zerubabela, syna Szaltiela, namiestnika judzkiego, i ducha Jehoszui, syna Jehocadaka, kapłana najwyższego, i ducha całego ostatka ludu, że przystąpili, by wykonać roboty około przybytku Wiekuistego zastępów, Boga swojego. "
Haggai 1:15,"Dnia dwudziestego czwartego, miesiąca szóstego, roku wtórego, Darjawesza króla. "
Haggai 2:1,"Siódmego miesiąca, dwudziestego i pierwszego dnia tegoż miesiąca, doszło słowo Wiekuistego przez Haggaja proroka, jak następuje: "
Haggai 2:2,"Oświadczże Zerubabelowi, synowi Szaltiela, namiestnikowi judzkiemu i Jehoszui, synowi Jehocadaka, kapłanowi najwyższemu i ostatkowi ludu, w tych słowach: "
Haggai 2:3,"Któryż z pośród was pozostał, co widział ten dom w pierwszej chwale jego? A jakim go teraz widzicie? Czyż nie jest on jakby niczem w oczach waszych? "
Haggai 2:4,"Teraz tedy nabierz mocy Zerubabelu! rzecze Wiekuisty; nabierz mocy Jehoszuo, kapłanie najwyższy! nabierz też mocy cały ludu tej ziemi, rzecze Wiekuisty, a dokonajcie, albowiem Ja z wami, rzecze Wiekuisty zastępów. "
Haggai 2:5,"Wedle umowy, którą zawarłem z wami, gdyście wychodzili z Micraim stanie też duch Mój wpośród was; nie obawiajcież się! "
Haggai 2:6,Albowiem tak rzecze Wiekuisty: Tylko jedna krótka jeszcze chwila a poruszę niebem i ziemią i morzem i lądem. 
Haggai 2:7,"I poruszę wszystkie narody, a nadejdą klejnoty wszystkich narodów i napełnię przybytek ten chwałą, rzecze Wiekuisty zastępów. "
Haggai 2:8,"Mojem bowiem jest srebro i mojem złoto, rzecze Wiekuisty zastępów. "
Haggai 2:9,"Większą będzie chwała tego przybytku przyszła, niż przeszła, rzecze Wiekuisty zastępów, bo złożę pokój na tem miejscu, rzecze Wiekuisty zastępów. "
Haggai 2:10,"Dwudziestego czwartego dziewiątego miesiąca, roku wtórego Darjawesza, doszło słowo Wiekuistego przez Haggaja, proroka, jak następuje: "
Haggai 2:11,Tak rzecze Wiekuisty zastępów: Zażądaj od kapłanów wyjaśnienia o takim wypadku: 
Haggai 2:12,"Oto niesie kto mięso poświęcone w pole odzieży swojej, a dotyka się potem tą połą chleba albo potrawy, albo wina, albo oliwy, albo jakiegobądź pokarmu - czyżby przez to poświęcony został? I odpowiedzieli kapłani i rzekli: Nie! "
Haggai 2:13,"Poczem rzekł dalej Haggaj: Gdyby jednak dotknął zwłokami zanieczyszczony czegokolwiek z tych rzeczy, czyżby przez to nieczystą została? I odpowiedzieli kapłani i rzekli: Nieczystą zostaje! "
Haggai 2:14,"Wtedy odparł Haggaj, i rzekł: Tak to jest z ludem tym, i z narodem tym przed obliczem Mojem, rzecze Wiekuisty, i tak z każdą sprawą rąk ich: Cokolwiek Mi tam w ofierze składają nieczystem jest! "
Haggai 2:15,A teraz zwróćcie też uwagę waszę od dnia dzisiejszego na przyszłość! Zanim poczęto kłaść kamień na kamieniu na przybytek Wiekuistego. 
Haggai 2:16,"Bywało, wtedy, że przystąpił kto do sterty (zawierającej wrzekomo) dwadzieścia (korcy) a znalazł dziesięć; że przystąpił kto do kadzi, aby naczerpał pięćdziesiąt wiader, a znalazł tylko dwadzieścia. "
Haggai 2:17,"Raziłem was śniecią i rdzą i gradem we wszystkich trudach rąk waszych, wszakże żaden z was nie nawrócił się do Mnie, rzecze Wiekuisty. "
Haggai 2:18,"Zwróćcie też uwagę waszę (na czas) od dnia tego i dalej, od dnia dwudziestego czwartego miesiąca dziewiątego, jako od dnia założenia przybytku Wiekuistego! Zwróćcie uwagę na to. "
Haggai 2:19,Czy pozostał jeszcze wysiew w spichlerzu? ale i winograd i drzewo figowe i granatowe i oliwne owocu nie przyniosły. Od dnia tego chcę błogosławić! 
Haggai 2:20,"Poczem doszło słowo Wiekuistego poraz wtóry Haggaja dnia dwudziestego czwartego tegoż miesiąca, jak następuje: "
Haggai 2:21,"Oświadcz Zerubabelowi, namiestnikowi Judy, i powiedz: Poruszę Ja niebo i ziemię. "
Haggai 2:22,"Wywrócę stolice królestw i zniweczę potęgę państw pogańskich. Wywrócę wozy i tych, którzy na nich jeżdżą i padną rumaki i harcujący na nich, każdy (rażony) mieczem drugiego. "
Haggai 2:23,"W on dzień, rzecze Wiekuisty zastępów, wezmę cię Zerubabelu, synu Szaltiela, sługo Mój, i zachowam cię jako sygnet: gdyż ciebie wybrałem, rzecze Wiekuisty zastępów. "
