Index Title,Job
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Job 1:1,"Żył niegdyś mąż w ziemi Uc, imieniem Ijob; a był to mąż nieskazitelny i prawy, bogobojny a stroniący od złego. "
Job 1:2,I urodziło mu się siedmiu synów i trzy córki. 
Job 1:3,"Składał się zaś dobytek jego z siedmiu tysięcy owiec, trzech tysięcy wielbłądów, pięciuset jarzm wołów, pięciuset oślic i bardzo licznej czeladzi; tak przewyższał ten mąż wszystkich mieszkańców Wschodu. "
Job 1:4,"I bywało, że urządzali synowie jego uczty w domu każdego z kolei; wtedy posyłali i zapraszali za każdym razem i trzy siostry swoje, aby jadły i piły wraz z nimi. "
Job 1:5,"Gdy tedy uczty te kolej swą ukończyły, posłał Ijob i poświęcił ich; następnie wstał wczesnym rankiem i składał dla każdego z nich całopalenie. Myślał bowiem Ijob: Może zgrzeszyły dzieci moje i zrzekły się Boga w sercu swem! Tak czynił Ijob regularnie. "
Job 1:6,"Otóż zdarzyło się pewnego razu, że przybyli synowie Boscy, aby stawić się przed Wiekuistym, a przybył też i szatan wpośród nich. "
Job 1:7,I zapytał Wiekuisty szatana: Zkąd przybywasz? I odpowiedział szatan Wiekuistemu i rzekł: Z wycieczki po ziemi i z pielgrzymki po niej. 
Job 1:8,"Rzekł tedy Wiekuisty do szatana: Czyś zwrócił uwagę na sługę mojego Ijoba? Albowiem równego mu nie masz na ziemi, tak nieskazitelnego i prawego, bogobojnego i stroniącego od zła. "
Job 1:9,Na to odparł szatan Wiekuistemu i rzekł: Alboż jest Ijob darmo bogobojnym? 
Job 1:10,"Alboż nie osłoniłeś go wraz z domem jego i wszystkiem co doń należy dokoła? Sprawom rąk jego błogosławiłeś, a dobytek jego rozmnożył się w kraju. "
Job 1:11,"Wszakże wyciągnij raz rękę Twoją, a dotknij tego wszystkiego co posiada, a pewnie otwarcie Cię się wyrzeknie. "
Job 1:12,"Rzekł tedy Wiekuisty do szatana: Otóż wszystko co doń należy jest w mocy twojej, wszakże jego samego nie dotykaj! I tak odszedł szatan z przed oblicza Wiekuistego. "
Job 1:13,"I zdarzyło się pewnego dnia, gdy właśnie synowie i córki jego ucztowali i zapijali wino w domu najstarszego brata swojego, "
Job 1:14,"Że przybiegł posłaniec do Ijoba zawiadamiając: Woły były przy orce a oślice pasły się w pobliżu, "
Job 1:15,"Gdy napadli Sabejczycy i zabrali je; sługi zaś wyrżnęli ostrzem miecza i uszedłem tylko sam jeden, aby cię powiadomić. "
Job 1:16,"Jeszcze ten mówił, gdy przybiegł inny i rzekł: Ogień Boży spadł z nieba i spalił trzody i sługi i pochłonął je, i uszedłem tylko sam jeden, aby cię powiadomić. "
Job 1:17,"Jeszcze ten mówił, gdy przybiegł inny i rzekł: Chaldejczycy wystawili trzy hufce, które napadły na wielbłądy i zabrały je; sługi zaś wyrżnęli ostrzem miecza, i uszedłem tylko sam jeden, aby cię powiadomić. "
Job 1:18,"Jeszcze ten mówił: gdy przybiegł inny i rzekł: Synowie i córki twoje ucztowali i zapijali wino w domu najstarszego brata swojego, "
Job 1:19,"Gdy oto zerwał się nagle gwałtowny huragan od onej strony pustyni i uderzył na cztery węgły domu, tak że nad młodymi ludźmi się zapadł a zginęli; uszedłem tylko sam jeden, aby cię powiadomić. "
Job 1:20,"Tedy powstał Ijob i rozdarł płaszcz swój i ostrzygł głowę swoję; poczem padł na ziemię i ukorzył się, "
Job 1:21,"I rzekł: Nagim wyszedł z łona matki mojej i nagim się tam wrócę: Wiekuisty dał, Wiekuisty też zabrał - błogosławione niechaj będzie imię Wiekuistego! "
Job 1:22,W tem wszystkiem nie zgrzeszył Ijob i nie rzucił złorzeczenia Bogu. 
Job 2:1,"Zdarzyło się tedy pewnego dnia, że przybyli synowie Boscy, aby się stawić przed Wiekuistym, a przybył i szatan między nimi, aby przed Wiekuistym się stawić. "
Job 2:2,"I zapytał Wiekuisty szatana: Zkąd przybywasz? I odpowiedział szatan Wiekuistemu, i rzekł: Z wycieczki po ziemi i z pielgrzymki po niej. "
Job 2:3,"Rzekł tedy Wiekuisty do szatana: Czyś zwrócił uwagę na sługę mojego Ijoba? Albowiem równego mu niemasz na ziemi, tak nieskazitelnego i prawego, bogobojnego i stroniącego od zła. Trwa on jeszcze w pobożności swojej, a tyś Mnie poduszczył, abym go gubił bez przyczyny. "
Job 2:4,"Na to odparł szatan Wiekuistemu i rzekł: Skórę za skórę - a wszystko co posiada człowiek, oddaje za życie swoje. "
Job 2:5,"Wszakże wyciągnij raz rękę Twoję, a dotknij kości i ciała jego, a pewnie otwarcie Cię się wyrzeknie! "
Job 2:6,"Rzekł tedy Wiekuisty do szatana: Otóż jest on w mocy twojej, tylko życia jego strzeż! "
Job 2:7,I tak odszedł szatan z przed oblicza Wiekuistego i uderzył Ijoba ropniem złośliwym od stopy do ciemienia. 
Job 2:8,"I wziął tenże skorupę, aby się skrobać nią, przyczem usiadł w pośrodku popieliska. "
Job 2:9,"Rzekła tedy doń żona jego: Bluźnij Bogu, a giń! "
Job 2:10,"On wszakże odpowiedział jej: Prawisz tak, jakby jakaś szalona prawiła. Dobre przyjęliśmy od Boga a mielibyśmy nie przyjmować i złego? W tem wszystkiem nie zgrzeszył Ijob usty swojemi. "
Job 2:11,"Gdy tedy usłyszeli trzej przyjaciele Ijoba o całem tem nieszczęściu, które przypadło na niego, wyruszyli każdy z siedziby swojej: Elifaz z Themanu, Bildad z Szuach i Cofar z Naamy i umówili się pospołu, aby pójść i okazać mu współczucie swoje i pocieszyć go. "
Job 2:12,"A gdy podnieśli oczy swoje w pewnem oddaleniu a nie poznali go, poczęli głośno płakać i rozdarli każdy płaszcz swój, i miotali proch ku niebu nad głowy swe. "
Job 2:13,"I tak siedzieli przy nim na ziemi siedm dni i siedm nocy a nie przemówił nikt słowa do niego, widzieli bowiem, że ból jego wzmaga się wielce. "
Job 3:1,Nareszcie otworzył Ijob usta swoje i przeklął dzień swój. 
Job 3:2,"I odezwał się, i rzekł: "
Job 3:3,"Bodajby zaginął dzień, któregom się urodził, i noc w której mówiono: poczęty chłopiec! "
Job 3:4,"Bodajby dzień ten ciemnym pozostał, bodajby nie pytał o niego Bóg w wysokości, a nie zaświecił nad nim promień jasny. "
Job 3:5,"Bodajby zachmurzyła go ciemność i pomroka śmiertelna a zawisnął nad nim obłok gęsty, a trwożyły go zaćmienia dzienne. "
Job 3:6,"Noc onę - niechaj ją ogarnia mrok, aby się nie zaliczała między doby roku a w poczet miesięcy nie weszła. "
Job 3:7,"Tak, bodajby noc ona pozostała bezpłodną, a nie przeniknął jej głos radości. "
Job 3:8,"Bodajby jej złorzeczyli zaklinacze losu, gotowi podrażnić potworę. "
Job 3:9,"Bodajby się zaćmiły gwiazdy jej brzasku, aby czekała świtu daremnie a nie zobaczyła nigdy rzęsy poranku. "
Job 3:10,"Ponieważ nie zawarła bram matczynego łona mojego, a nie skryła nędzy od oczu moich. "
Job 3:11,"Czemu nie zmarłem już w łonie matki, nie skonałem gdym wyszedł z żywota? "
Job 3:12,"Czemu podjęły mnie kolana, czemu piersi, abym je ssał? "
Job 3:13,"Leżałbym teraz i spoczywał, spałbym a zażywał spokoju, "
Job 3:14,"Wraz z królami i radcami ziemi, którzy sobie ruiny wystawiali, "
