Index Title,Judges
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Judges 1:1,"I stało się po śmierci Jozuego, iż zapytali się synowie Izraela Wiekuistego, mówiąc: któż z nas wyruszy pierwszy przeciw Kanaanitom, aby uderzyć na nich? "
Judges 1:2,I rzekł Wiekuisty: Juda wyruszy; oto podam kraj w moc jego. 
Judges 1:3,"Juda wszakże rzekł do brata swego Szymeona: Wyrusz ze mną do udziału mojego, abyśmy razem na Kanaanejczyków uderzyli, poczem wyruszę i ja z tobą do udziału twojego! I tak poszedł z nim Szymeon. "
Judges 1:4,"Wyruszył tedy Juda, i podał Wiekuisty Kanaanejczyków i Peryzejczyków w moc ich, tak że pobili ich w Bezek - dziesięć tysięcy ludzi. "
Judges 1:5,I zetknęli się z Adonibezekiem pod Bezek i uderzyli nań i pobili Kanaanejczyków i Peryzejczyków. 
Judges 1:6,"Adonibezek zaś ratował się ucieczką, puścili się tedy w pogoń za nim, a ująwszy go, poucinali mu wielkie palce u rąk i u nóg. "
Judges 1:7,"I rzekł Adonibezek: siedmdziesięciu królów z poucinanymi wielkimi palcami zbierało okruszyny pod stołem moim: jakom czynił, tak odpłacił mi Bóg! Poczem sprowadzili go do Jerozolimy i umarł tamże. "
Judges 1:8,Judejczycy bowiem uderzyli byli na Jerozolimę i zdobyli ją i porazili ostrzem miecza i oddali miasto na pastwę ognia. 
Judges 1:9,"Poczem pociągnęli synowie Judy, by uderzyć na Kanaanejczyków, osiadłych po górach i w krainie południowej i w nizinie. "
Judges 1:10,"I zwrócił się Juda przeciw Kanaanejczykom osiadłym w Hebronie - miano zaś Hebronu było przedtem Kirjath Arba - i pokonali Szeszaja, Achimana i Talmaja. "
Judges 1:11,"Ztamtąd zwrócił się przeciw mieszkańcom Debiru, - miano zaś Debiru było przedtem Kirjath Sefer. -  "
Judges 1:12,"I wyrzekł Kaleb: Ktoby pokonał Kirjath Sefer a zdobył je, temu oddam córkę moją, Achsę, za żonę. "
Judges 1:13,"I zdobył je Othniel, syn Kenaza, młodszy brat Kaleba; i oddał mu córkę swą Achsę za żonę. "
Judges 1:14,"I stało się, gdy się doń sprowadzała, że nakłoniła go, aby uprosił od ojca jakieś pole; potem ześlizgnęła się z osła, a gdy się Kaleb jej zapytał: Co ci jest? "
Judges 1:15,"Odpowiedziała: Darujże mi upominek pożegnalny; ponieważ wydałeś mnie do ziemi zeschłej, dajże mi tedy źródła wód! I tak oddał jej Kaleb źródła na wyżynie i źródła w nizinie. "
Judges 1:16,"A synowie Keni'ego, szwagra Mojżesza, wyruszyli byli wraz z Judejczykami z miasta palmowego do pustyni judzkiej, położonej na południe Aradu, i poszli tam i osiedli przy ludzie kenickim. "
Judges 1:17,Juda zaś pociągnął wraz z bratem swym Szymeonem i pokonali Kanaanejczyków osiadłych w Cefath i podali je zaklęciu; przeto nazwano imię miasta tego Horma. 
Judges 1:18,"Poczem zdobył Juda Gazę i dziedzinę jej, Aszkalon i dziedzinę jego i Ekron i dziedzinę jego. "
Judges 1:19,"I był Wiekuisty z Judą, tak że wziął krainę górską w posiadanie. Mieszkańców jednak doliny nie można było wypędzić, posiadali bowiem wojenne wozy żelazne. "
Judges 1:20,"I oddali Kalebowi Hebron, jako polecił był Mojżesz, skąd wypędził trzech potomków Enaka. "
Judges 1:21,"Wszakże Jebusytów, mieszkańców Jerozolimy, nie mogli synowie Binjamina wypędzić. I tak pozostali Jebusyci przy synach Binjamina w Jerozolimie aż po dziś dzień. "
Judges 1:22,"Ci też z domu Józefa wyruszyli ze swej strony ku Bethelowi, a był Wiekuisty z nimi. "
Judges 1:23,I kazali ci z domu Józefa wypatrzeć Bethel - imię zaś miasta tego było przedtem Luz. -  
Judges 1:24,"A ujrzawszy trzymający straż człowieka wychodzącego z miasta, rzekli doń: Wskaż-że nam najwygodniejsze wnijście do miasta, a wyświadczym ci łaskę! "
Judges 1:25,"Wskazał im tedy wnijście do miasta i porazili to miasto ostrzem miecza, człowieka zaś onego i całą rodzinę jego puścili wolno. "
Judges 1:26,Poczem udał się ów człowiek do ziemi chitejskiej i zbudował miasto i nadał mu miano Luz; takie jest miano jego aż po dzień dzisiejszy. 
Judges 1:27,"Nie wypędził też Manasze mieszkańców Beth Szean i osad jego przyległych, ani mieszkańców Taanachu i osad jego przyległych, ani mieszkańców Doru i osad jego przyległych, ani mieszkańców Ibleamu i osad jego przyległych, ani mieszkańców Megidda i osad jego przyległych. I tak udało się Kanaanejczykom utrzymać w tej okolicy. "
Judges 1:28,"Gdy jednak wzmógł się Izrael, uczynił Kanaanejczyków hołdownikami; wypędzić wszakże ich nie zdołał. "
Judges 1:29,Efraim też nie wypędził Kanaanejczyków osiadłych w Gezer; i tak utrzymali się Kanaanejczycy w pośrodku jego w Gezer. 
Judges 1:30,"Zebulun nie wypędził mieszkańców Kitronu i mieszkańców Nahalolu; i tak utrzymali się Kanaanejczycy w pośrodku jego, który ich jednak w końcu hołdownikami uczynił. "
Judges 1:31,"Aszer nie wypędził mieszkańców Akko ani mieszkańców Cydonu, następnie Achlabu, Achzybu, Helby, Afiku i Rechobu. "
Judges 1:32,"I tak osiedli Aszerydzi w pośród Kanaanejczyków, zamieszkałych w kraju, ponieważ wypędzić ich nie mogli. "
Judges 1:33,"Naftali nie wypędził mieszkańców Beth Szemeszu, ani mieszkańców Beth Anatu. I tak osiadł on w pośród Kanaanejczyków, zamieszkałych w kraju, wszakże mieszkańcy Beth Szemeszu i Beth Anatu stali się ich hołdownikami. "
Judges 1:34,Emorejczycy zaś wyparli synów Dana ku wzgórzu i nie pozwolili im zstąpić na nizinę. 
Judges 1:35,"I tak udało się Emorejczykom utrzymać w Har Heres, w Ajalonie i w Szaalbim; gdy się jednak wzmogła moc domu Józefa, stali się hołdownikami. "
Judges 1:36,"Dziedzina zaś Emorejczyka rozciągała się od stopni niedźwiadków, począwszy od Sela i wyżej w górę. "
Judges 2:1,"I wstąpił wysłaniec Wiekuistego od Gilgal do Bochim, i rzekł: wywiodłem was z Egiptu i sprowadziłem was do ziemi, którąm był zaprzysiągł ojcom waszym, i przyrzekłem iż nie złamię przymierza Mojego z wami na wieki. "
Judges 2:2,"Wam wszakże nie wolno zawierać przymierza z mieszkańcami tej ziemi, a powinniście raczej zburzyć ołtarze ich. Aleście nie usłuchali głosu Mojego - cóżeście uczynili! "
Judges 2:3,"Otóż powiadam wam: Nie wypędzę ich przed obliczem waszem, i będą gnębicielami waszymi, a bóstwa ich sidłami dla was. "
Judges 2:4,"I stało się, gdy wysłaniec Wiekuistego słowami temi przemawiał, że począł lud głośno płakać. "
Judges 2:5,Przeto nazwano imię miejscowości tej Bochim; i złożyli tam ofiary Wiekuistemu. 
Judges 2:6,"Gdy tedy Jozue lud pożegnał, zwrócili się synowie Izraela, każdy do dziedziny swojej, aby objąć kraj w posiadanie. "
Judges 2:7,"I służył lud Wiekuistemu po wszystkie dni Jozuego i po wszystkie dni starszych, którzy Jozuego przeżyli, a którzy widzieli wszystkie owe wielkie czyny Wiekuistego, jakie spełnił dla Izraela. "
Judges 2:8,"I umarł Jozue, syn Nuna, sługa Wiekuistego, w wieku lat sto dziesięć. "
Judges 2:9,"I pochowano go w obrębie dziedzicznej własności jego w Thymnath Heres na wzgórzu Efraim, na północ od góry Gaasz. "
