Index Title,Leviticus
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Leviticus 1:1,"I wezwawszy Mojżesza rzekł do niego Wiekuisty z przybytku zboru, w te słowa: "
Leviticus 1:2,"""Oświadcz synom Israela, a powiedz im: gdyby który z was chciał przynieść ofiarę Wiekuistemu: z bydła, rogacizny i trzód przyniesiecie ofiarę waszą. "
Leviticus 1:3,"Jeżeli ofiara jego całopalenie z rogacizny: samca zdrowego niechaj przyniesie; do wejścia przybytku zboru niechaj go sprowadzi, aby znalazł upodobanie przed Wiekuistym. "
Leviticus 1:4,"I położy rękę swą na głowę całopalenia, aby przyjętém było z upodobaniem, dla rozgrzeszenia go. "
Leviticus 1:5,"I zarzną cielca przed obliczem Wiekuistego i przyniosą synowie Ahrona, kapłani, krew, a pokropią krwią tą w około ofiarnicę, będącą u wejścia przybytku zboru; "
Leviticus 1:6,A zdjąwszy skórę z całopalenia pokrają je na części; 
Leviticus 1:7,"I nałożą synowie Ahrona, kapłana, ogień na ofiarnicę a ułożą drwa na ogniu; "
Leviticus 1:8,"I ułożą synowie Ahrona, kapłani, one części, z głową i tłuszczem na drwach, które na ogniu, na ofiarnicy. "
Leviticus 1:9,"A trzewa i golenie jego opłócze wodą, i puści z dymem kapłan to wszystko na ofiarnicy: całopalenie to, ogniowa ofiara, woń przyjemna Wiekuistemu. "
Leviticus 1:10,"A jeżeli z trzody ofiara jego, - z owiec albo z kóz na całopalenie, - samca zdrowego niechaj przyniesie. "
Leviticus 1:11,"I zarzną go po stronie ofiarnicy, ku północy, przed obliczem Wiekuistego; a pokropią synowie Ahrona, kapłani, krwią jego ofiarnicę, w około. "
Leviticus 1:12,"I rozrąbią go na części, a wraz z głową i tłuszczem ułoży je kapłan na drwach, które na ogniu, na ofiarnicy. "
Leviticus 1:13,"Trzewa zaś i golenie opłócze wodą, i przyniesie kapłan to wszystko i puści z dymem na ofiarnicy: całopalenie to, ogniowa ofiara, woń przyjemna Wiekuistemu. "
Leviticus 1:14,"A jeżeli z ptactwa całopalna ofiara jego Wiekuistemu, - niechaj przyniesie z turkawek albo z młodych gołębi ofiarę swoję. "
Leviticus 1:15,"I przyniesie ją kapłan do ofiarnicy i naderwie głowę jej i puści z dymem na ofiarnicy, wycisnąwszy krew jej przy ścianie ofiarnicy; "
Leviticus 1:16,"I odjąwszy gardziel z pierzem jej, rzuci ją podle ofiarnicy, ku stronie wschodniej, na popielisko. "
Leviticus 1:17,"I nadłamie ją w skrzydłach jej, nie odrywając, i puści ją z dymem kapłan na ofiarnicy, na drwach, co na ogniu: całopalenie to, ogniowa ofiara, woń przyjemna Wiekuistemu. "
Leviticus 2:1,"A gdyby kto chciał przynieść ofiarę śniedną Wiekuistemu, - przednia mąka niechaj będzie ofiarą jego; i poleje ją oliwą, i nałoży na nią kadzidła, -  "
Leviticus 2:2,"I przyniesie ją do synów Ahrona, kapłanów; a nabierze z niej tenże pełną garść swoję mąki i oliwy z wszystkiém kadzidłem jej, i puści z dymem kapłan, ten ""znak przypomnienia"", na ofiarnicy: ogniowa to ofiara, woń przyjemna Wiekuistemu. "
Leviticus 2:3,A pozostałe z owej ofiary śniednej będzie dla Ahrona i dla synów jego: świętem to świętości z ogniowych ofiar Wiekuistego. 
Leviticus 2:4,"A jeżeli przyniesiesz ofiarę śniedną z wypieczonego w piecu, będą to z przedniej mąki kołacze przaśne, zaczynione w oliwie, albo ołatki przaśne posmarowane oliwą. "
Leviticus 2:5,"Jeżeli zaś ofiarą śniedną z panwi ofiara twoja, - z mąki przedniej, zaczynionej w oliwie, przaśne niechaj będzie; "
Leviticus 2:6,Rozdrobisz ją na kawałki i polejesz ją oliwą: ofiara to śniedna. 
Leviticus 2:7,"A jeżeli ofiarą śniedną z rądla ofiara twoja, - z mąki przedniej z oliwą przyrządzoną będzie. "
Leviticus 2:8,"I przyniesiesz ofiarę śniedną, z tych rzeczy przyrządzoną, Wiekuistemu; i przedstawią ją kapłanowi, a odniesie ją na ofiarnicę. "
Leviticus 2:9,"A zdjąwszy kapłan ze śniednej ofiary ""znak przypomnienia"", puści ją z dymem na ofiarnicy: ogniowa to ofiara, woń przyjemna Wiekuistemu. "
Leviticus 2:10,A pozostałe z ofiary śniednej będzie dla Ahrona i dla synów jego: świętem to świętości z ogniowych ofiar Wiekuistego. 
Leviticus 2:11,"Żadna ofiara śniedna, którą przynosić będziecie Wiekuistemu, niechaj przyrządzaną nie będzie z kiszonego, gdyż żadnego zakisu i żadnego miodu nie puścicie z dymem jako ofiarę ogniową Wiekuistemu. "
Leviticus 2:12,"W ofierze pierwocin przynosić to możecie Wiekuistemu, ale na ofiarnicę nie wejdą, jako woń przyjemna. "
Leviticus 2:13,"Wszelką téż ofiarę twą śniedną solą posolisz; a nie pozbawisz soli przymierza Boga twojego, - śniednej ofiary twojej: przy każdej ofierze twojej zaofiarujesz sól. "
Leviticus 2:14,"A jeżeli przyniesiesz ofiarę z pierwocin Wiekuistemu, - kłosy suszone nad ogniem, krupę świeżą przyniesiesz w darze od pierwocin twoich. "
Leviticus 2:15,"I nalejesz na nią oliwy, i nałożysz na nią kadzidła: śniedna to ofiara. "
Leviticus 2:16,"I puści z dymem kapłan ""znak przypomnienia"" z krupy jej i z oliwy jej, ze wszystkiém kadzidłem jej: ogniowa to ofiara Wiekuistemu. "
Leviticus 3:1,"A jeżeli ofiarą opłatną ofiara jego, to jeżeli z rogacizny przynosi, - samca albo samicę zdrową niechaj przyniesie przed oblicze Wiekuistego. "
Leviticus 3:2,"I położy rękę swą na głowę ofiary swojej, i zarzną ją u wejścia do przybytku zboru, i pokropią synowie Ahrona, kapłani, krwią ofiarnicę w około. "
Leviticus 3:3,"I przyniesie z ofiary opłatnej, jako ofiarę ogniową Wiekuistemu, - łój pokrywający trzewa, i wszystek łój, który nad trzewami; "
Leviticus 3:4,"Obie téż nerki z łojem, który na nich, który nad połędwicami, i przeponę, która na wątrobie, wraz z nerkami ją oddzieli. "
Leviticus 3:5,"I puszczą to z dymem synowie Ahrona na ofiarnicy wraz z całopaleniem, co na drwach, na ogniu: ofiara to ogniowa, woń przyjemna Wiekuistemu. "
Leviticus 3:6,"A jeżeli z trzody ofiara jego na ""opłatną"" Wiekuistemu, - samca albo samicę zdrową niechaj przyniesie. "
Leviticus 3:7,Jeżeli jagnię przynosi na ofiarę swoję; niechaj przyniesie je przed oblicze Wiekuistego. 
Leviticus 3:8,"I położy rękę swą na głowę ofiary swojej, i zarzną ją u wejścia do przybytku zboru, i pokropią synowie Ahrona krwią jej ofiarnicę, w około. "
Leviticus 3:9,"I przyniesie z ofiary opłatnej jako ofiarę ogniową Wiekuistemu najlepszą część jej, - ogon cały, po samą krzyżową kość go odciąwszy, również łój pokrywający trzewa, i wszystek łój, który nad trzewami. "
Leviticus 3:10,"Obie téż nerki z łojem, który na nich, który na połędwicach, i przeponę, która na wątrobie, wraz z nerkami ją oddzieli. "
Leviticus 3:11,"I puści to z dymem kapłan na ofiarnicy, - pokarm to, ofiara ogniowa Wiekuistemu. "
Leviticus 3:12,"A jeżeli ofiara jego koza; niechaj przyniesie ją przed oblicze Wiekuistego, "
