Index Title,Song of Songs
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Song of Songs 1:1,Pieśń najprzedniejsza Salomona. 
Song of Songs 1:2,Gdyby mnie też pocałował jednym z pocałunków ust swoich! albowiem przyjemniejsze niż wino są pieszczoty twoje. 
Song of Songs 1:3,"Rozkoszne dla wonności są pachnidła twoje; niby rozlany olejek imię twoje, przeto umiłowały cię niewiasty. "
Song of Songs 1:4,"Pociągnij mnie za sobą; o, spieszmy się! - wprowadził mnie już król do komnat swoich. Będziemy się radowały i cieszyły tobą, wysławiały pieszczoty twoje bardziej niż wino; słusznie cię miłują! "
Song of Songs 1:5,"Śniada ja ale wdzięczna, o córy jerozolimskie! jako namioty Kedaru, jako opony Salomona. "
Song of Songs 1:6,"Nie baczcie, żem tak śniada, że mnie słońce opaliło. Synowie matki mojej wspłonęli gniewem na mnie; ustanowili mnie dozorczynią winnic - własnej winnicy mojej nie dozorowałam! "
Song of Songs 1:7,"Daj mi znać, o ty, którego umiłowała dusza moja: gdzie pasiesz, gdzie dajesz odpoczywać trzodzie swej w południe? Bo czemuż mam się błąkać jako zakwefiona przy stadach towarzyszy twoich? "
Song of Songs 1:8,"Jeśli tego nie wiesz, o najpiękniejsza z kobiet, wynijdźże w tropy trzód, a paś koźlątka twoje przy namiotach pasterzy. "
Song of Songs 1:9,"Do klaczy mojej u zaprzęgów Faraona porównywam cię, przyjaciółko moja. "
Song of Songs 1:10,"Cudne są licom twoim sznury klejnotów, szyi twojej kolje. "
Song of Songs 1:11,Sznury klejnotów złotych sprawim tobie z nakrapianiem srebrnem. 
Song of Songs 1:12,"Pokąd król w kole swym bawił, wydała narda moja woń swoję. "
Song of Songs 1:13,"Jako mieszek myrry jest mi luby mój, spoczywający na piersiach moich. "
Song of Songs 1:14,Jako kiść cypru jest mi luby mój na winnicach Engedi. 
Song of Songs 1:15,"O jakoś ty piękna, przyjaciółko moja; o jakoś ty piękna! Oczy twoje niby oczy gołębicy. "
Song of Songs 1:16,"Jakżeś ty piękny luby mój, i jak nadobny! a to łoże nasze, które zawsze się zieleni. "
Song of Songs 1:17,"Stropy domów naszych z cedrów, gonty nasze z cyprysów. "
Song of Songs 2:1,"Jam róża Saronu, lilja dolin. "
Song of Songs 2:2,"Jako lilja między cierniem, tak przyjaciółka moja między dziewicami. "
Song of Songs 2:3,"Jako jabłoń między drzewem leśnem tak luby mój między młodzieńcami. W cieniu jego bawiłam tak chętnie, a owoc jego słodkim był podniebieniu mojemu. "
Song of Songs 2:4,"Powiódł mnie do sali wina, a chorągwią jego nademną miłość. "
Song of Songs 2:5,"Pokrzepcie mnie tymi sokami, posilcie mnie temi jabłuszkami, bom chora z miłości. "
Song of Songs 2:6,"Lewica jego spoczywa pod głową moją, a prawica jego mnie pieści. "
Song of Songs 2:7,"Zaklinam was, o córy jerozolimskie na sarny i łanie polne: O, nie budźcie, nie rozbudzajcie miłości, póki nie zapragnie. "
Song of Songs 2:8,"Głos lubego mojego! Oto nadchodzi, sadzi przez góry, przeskakuje przez pagórki. "
Song of Songs 2:9,"Luby mój podobny do sarny albo do jelenia młodego. Już stanął za murem naszym, wygląda z okien, wypatruje z poza krat. "
Song of Songs 2:10,"Ozwał się luby mój, i rzekł do mnie: wstańże przyjaciółko moja, śliczna moja, a przyjdź! "
Song of Songs 2:11,"Bo oto przeszła zima, deszcz ustał i przeminął. "
Song of Songs 2:12,"Pączki się ukazują na ziemi, pora śpiewu nastała, a głos synogarlicy się rozlega w kraju naszym. "
Song of Songs 2:13,"Figowiec czerwieni niedojrzałe owoce swoje, a latorośle rozkwitłe niosą woń. Wstańże, przyjaciółko moja, śliczna moja, a przyjdź! "
Song of Songs 2:14,"Gołąbko moja w rozpadlinach skalnych, w szczelinach piętrzących się opok, ukaż mi oblicze twoje, niech usłyszę głos twój, bo słodki twój głos, a oblicze twe urocze. "
Song of Songs 2:15,"Schwytajcie nam lisiątka, liszki małe, niszczące winnice, gdy winnice nasze w rozkwicie. "
Song of Songs 2:16,"Mój luby jest mój, a jam jego, który pasie między liljami. "
Song of Songs 2:17,"Zanim wionie ochłodą dzień, a pomkną cienie, pocznij mój luby, a bądź podobny do sarny albo do jelenia młodego na rozpuklinach gór. "
Song of Songs 3:1,"Na łożu mojem w nocy szukałam tego, którego umiłowała dusza moja; szukałam go, alem go nie znalazła. "
Song of Songs 3:2,"I tak wstanę i okrążę miasto, po rynkach i po ulicach chcę szukać tego, którego umiłowała dusza moja; szukałam go, alem go nie znalazła. "
Song of Songs 3:3,"Napotkali mnie stróże, krążący po mieście: Tego którego umiłowała dusza moja, czyście go widzieli? "
Song of Songs 3:4,"Ale zaledwiem ich minęła, znalazłam tego, którego umiłowała dusza moja. Uchwyciłam się go, a nie puszczę, póki go nie zawiodę do domu matki mojej, do komnaty rodzicielki mojej. "
Song of Songs 3:5,"Zaklinam was, o córy jerozolimskie na sarny i łanie polne, o, nie budźcie, nie rozbudzajcie miłości, póki nie zapragnie! "
Song of Songs 3:6,"Któż to jest, co tam występuje z puszczy jako słupy dymu, owiane wonią myrry i kadzidła i wszelakiego proszku kramarzy? "
Song of Songs 3:7,Oto lektyka Salomona! Sześćdziesięciu rycerzy otacza ją z rycerzy Izraela. 
Song of Songs 3:8,"Wszyscy oni dzierżący miecz, wyćwiczeni w boju; każdy z mieczem przy boku dla grozy nocnej. "
Song of Songs 3:9,Palankin sporządził sobie król Salomon z drzewa libańskiego. 
Song of Songs 3:10,"Słupy jego poczynił ze srebra, poręcz jego ze złota, siedzenie z purpury, wnętrze jego wyściełane miłością cór jerozolimskich. "
Song of Songs 3:11,"Wynijdźcie, córy Cyonu, a napawajcie się widokiem króla Salomona, dyademu, którym uwieńczyła go matka jego w dzień jego zaślubin, i w dzień wesela serca jego. "
Song of Songs 4:1,"O, jakoś ty piękna, przyjaciółko moja, o jakoś ty piękna! Oczy twoje niby oczy gołębicy z poza zasłony twojej. Sploty twoje jako stado kóz ześlizgujących się z góry Gilead. "
Song of Songs 4:2,"Zęby twoje jako świeżo postrzyżone stado owiec wyszłe z pławiska, z których każda bliźnięta rzuca, a żadna nie roni. "
Song of Songs 4:3,"Jako sznur szkarłatny są wargi twoje, a usta twe nadobne. Jako płatek granatu skroń twoja z poza zasłony twojej. "
Song of Songs 4:4,"Szyja twoja jako wieża Dawida wzniesiona dla broni, tysiąc tarcz zawieszone na niej, wszystkie puklerze rycerzy. "
Song of Songs 4:5,"Obie piersi twoje jako jelonki młode, jako dwoje bliźniąt sarnich, które się pasą między liljami. "
Song of Songs 4:6,"Zanim wionie ochłodą dzień, a pomkną cienie, wnijdę na górę myrry, na pagórek kadzideł. "
Song of Songs 4:7,"Wszystkaś ty piękna, przyjaciółko moja, a niemasz skazy na tobie! "
Song of Songs 4:8,"Zemną z Libanu, narzeczono, zemną z Libanu pójdź! Spójrz z wierzchołka Amany, z wierzchołka Seniru i Hermonu, z jaskiń lwich, z wysokich legowisk lampartów. "
Song of Songs 4:9,"Uchwyciłaś mnie za serce, siostro moja, narzeczono! uchwyciłaś mnie za serce jednem spojrzeniem twojem, jednym łańcuszkiem szyjki twojej. "
