Index Title,Zechariah
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Zechariah 1:1,"Miesiąca ósmego, roku wtórego Darjawesza, doszło słowo Wiekuistego Zacharjasza, syna Berechji, syna Idego, proroka, głosząc: "
Zechariah 1:2,Rozgniewał się Wiekuisty srodze na ojców waszych. 
Zechariah 1:3,"Przeto oświadcz im: Tak rzecze Wiekuisty zastępów: Nawróćcie się do Mnie, rzecze Wiekuisty zastępów, a nawrócę się do was, rzecze Wiekuisty zastępów. "
Zechariah 1:4,"Nie bądźcie jako ojcowie wasi, których napominali prorocy dawniejsi, wołając: Tak rzecze Wiekuisty zastępów: Nawróćcie się też od dróg waszych niecnych i od postępków waszych zdrożnych, ale nie usłuchali i nie zważali na Mnie, rzecze Wiekuisty. "
Zechariah 1:5,Ojcowie wasi - gdzież są? a prorocy azali wiecznie żyć mogą? 
Zechariah 1:6,"Wszakże słowa i postanowienia Moje, którem był poruczył sługom Moim, prorokom - czyż nie dosięgły tak ojców waszych, że rozmyślili się i powiedzieć sobie musieli: Tak jak przedsięwziął Wiekuisty zastępów uczynić nam, wedle dróg i postępków naszych tak uczynił z nami! "
Zechariah 1:7,"Dnia dwudziestego czwartego, miesiąca jedenastego, to jest miesiąca szebat, roku wtórego Darjawesza, doszło słowo Wiekuistego Zacharjasza, syna Berechji, syna Idego, proroka, jak następuje: "
Zechariah 1:8,"Widziałem w nocy, a oto mąż jechał na koniu ryżym i zatrzymał się między mirtami, które w kotlinie, a po za nim konie ryże czerwonobrunatne i białe. "
Zechariah 1:9,"A gdy zapytałem: cóżby ci znaczyli, Panie? wtedy odpowiedział mi anioł mówiący ze mną: Pokażę ci co ci oznaczają. "
Zechariah 1:10,"Odpowiedział tedy ów mąż, stojący między mirtami, i rzekł: są to ci, których wysłał Wiekuisty, aby krążyli po ziemi! "
Zechariah 1:11,"Ci zaś odezwali się do anioła Wiekuistego, stojącego między mirtami, i rzekli: Krążyliśmy po ziemi, a oto wszystka ziemia w spokoju i ciszy spoczywa. "
Zechariah 1:12,"Tedy odezwał się anioł Wiekuistego, i rzekł: Wiekuisty zastępów! dopókiż nie zmiłujesz się nad Jerozolimą i miastami Judy, na które gniewasz się już siedmdziesiąt lat. "
Zechariah 1:13,"I odpowiedział Wiekuisty aniołowi mówiącemu ze mną słowami dobrotliwemi, słowami kojącemi. "
Zechariah 1:14,I rzekł do mnie anioł mówiący ze mną: Zwiastuj głośno i oświadcz: Tak rzecze Wiekuisty zastępów: Uniosłem się za Jerozolimą i Cyonem rzewniwością wielką. 
Zechariah 1:15,"A gniewem wielkim się obruszyłem na te ludy dufne, które, gdym się umiarkowanie zagniewał, samowolnie do niedoli pomagały. "
Zechariah 1:16,"Przeto rzecze tak Wiekuisty: Zwrócę się ku Jerozolimie w miłosierdziu, dom Mój zbudowany będzie w niej, rzecze Wiekuisty zastępów, a sznur mierniczy rozciągnie się nad Jerozolimą. "
Zechariah 1:17,"Dalej zwiastuj głośno a oświadcz: Tak rzecze Wiekuisty zastępów: Jeszcze obfitować będą miasta Moje w dobro, bo pocieszy jeszcze Wiekuisty Cyon a wybierze jeszcze Jerozolimę. "
Zechariah 1:18,"I podniosłem oczy moje i ujrzałem, a oto cztery rogi. "
Zechariah 1:19,"I zapytałem anioła mówiącego ze mną: Cóż mają te znaczyć? I odpowiedział mi: Są to rogi, które rozproszyły Judę i Israela i Jerozolimę. "
Zechariah 1:20,Poczem ukazał mi Wiekuisty czterech kowali. 
Zechariah 1:21,"A gdy zapytałem: Cóż mają ci uczynić? odpowiedział mi w tych słowach: Są to owe rogi, które rozproszyły Judę w ten sposób, że nie podnosił już nikt głowy swojej. Ci zaś przybyli, aby je zatrwożyć, aby strącić rogi tych narodów, które podniosły róg przeciw ziemi judzkiej, aby ją rozproszyć. "
Zechariah 2:1,"Poczem podniosłem oczy moje i ujrzałem, a oto mąż, w którego ręce był sznur mierniczy. "
Zechariah 2:2,Gdym tedy zapytał: Dokąd idziesz? odpowiedział mi: Aby rozmierzyć Jerozolimę i zobaczyć jaka jej szerokość i jaka jej długość. 
Zechariah 2:3,"Ale oto gdy wystąpił ów anioł, który mówił ze mną, ukazał się anioł inny naprzeciw niemu. "
Zechariah 2:4,"I rzekł do tegoż: Pobiegnij, oświadcz owemu młodzieńcowi tak: Jako miasto otwarte rozłoży się Jerozolima wskutek mnóstwa ludności i bydła w jej obrębie. "
Zechariah 2:5,"Ja zaś będę dla niej, rzecze Wiekuisty, murem ognistym wokoło i dostąpię chwały wpośród niej. "
Zechariah 2:6,"Nuże, uciekajcie z krainy północnej, rzecze Wiekuisty: bo jakby na cztery strony nieba rozproszyłem was, rzecze Wiekuisty. "
Zechariah 2:7,"Nuże Cyonie, który mieszkasz przy córze Babelu, uchodź! "
Zechariah 2:8,"Gdyż tak rzecze Wiekuisty zastępów: Po sławę wysłał mnie do narodów, które ograbiły was; bo kto się was dotyka, dotyka się źrenicy oka Jego! "
Zechariah 2:9,"Bo oto podniosę rękę Moję przeciw nim, aby stały się łupem poddanych swoich, i abyście poznały, że Wiekuisty zastępów mnie wysłał. "
Zechariah 2:10,"Wesel się i raduj, córo Cyonu! gdyż oto przychodzę i zamieszkam wpośród ciebie, rzecze Wiekuisty. "
Zechariah 2:11,"I przyłączy się wiele narodów do Wiekuistego w dzień ów, by się stać ludem Moim, wszakże tylko wpośród ciebie mieszkać będę, a poznasz, że Wiekuisty zastępów wysłał mnie do ciebie. "
Zechariah 2:12,I przyjmie Wiekuisty Judę jako udział swój na ziemi świętej i wybierze na nowo Jerozolimę. 
Zechariah 2:13,"Wtedy zamilknąć wszelkiemu ciału przed obliczem Wiekuistego, gdyż rozbudzi się z przybytku swego świętego. "
Zechariah 3:1,"I pokazał mi Jehoszuego, arcykapłana, stojącego przed aniołem Wiekuistego, i oskarżyciela, stojącego po prawicy jego, aby go oskarżał. "
Zechariah 3:2,"I rzekł Wiekuisty do oskarżyciela: Niech cię zgromi Wiekuisty, oskarżycielu, tak, niech cię zgromi Wiekuisty, który wybrał sobie Jerozolimę. Alboż nie jest jako głownia wyrwana z ognia? "
Zechariah 3:3,"Jehoszua zaś był ubrany w szaty nieczyste, gdy stał przed aniołem. "
Zechariah 3:4,"I odezwał się on i rzekł do stojących przed nim w te słowa: Zdejmcie te szaty nieczyste z niego! Do niego samego zaś rzekł: Patrz, zdejmuję z ciebie winę twoję, a oblekam cię w szaty zaszczytne. "
Zechariah 3:5,"I rzekłem: Niech włożą też zawój czysty na głowę jego. I włożono zawój czysty na głowę jego, gdy obleczono go w szaty. Anioł zaś Wiekuistego stał jeszcze przy tem. "
Zechariah 3:6,"I oświadczył anioł Wiekuistego Jehoszuemu, i rzekł: "
Zechariah 3:7,"Tak rzecze Wiekuisty zastępów: Jeżeli drogami Mojemi będziesz postępował i służby Mojej przestrzegał, a też i dom Mój sądził, a strzegł przedsieni Moich, wtedy zapewniam ci przystęp do tych, którzy tu stoją. "
Zechariah 3:8,"Słuchaj tedy Jehoszuo, arcykapłanie, ty i towarzysze twoi, którzy siedzą przed tobą - gdyż mężowie wróżby to są, - że oto sprowadzę dla sługi Mojego odróśl. "
