Ref,Expected Tag,Start Tag,End Tag,CSV Text
Jerusalem Talmud Berakhot 5:1,20a,2a,14d,"['@פרידה אחת של ענב כו\'.# — פי\' גרגיר אחד שבענבה או שברמון (ע\' ב\' נדה כ""ז א\' רש""י ד""ה א""א) שהרמון מלא גרגרין וכן בלשון המשנה מעשרות פ""ג מ""ט ופורט ברמון וד\' וט\' מתחלפות.', '@א""ר יוסי ומתניתא אמרה כן.# — פי\' בתמיה.', '@ותורמוסין לאו שלוקין הן.# כי אינו נאכל חי מחמת מרירות כדאיתא בבבלי ביצה כ""ה ב\'.', '@ר\' @נחמיה# (כצ""ל) אמר המוציא כו\'.# — בב""ב [ל""ח ב\'] הפלוגתא מחולפת ועי או""ז ח""א סימן קל""ט.', ""@ומברך עילוי ונפל מיניה.# — פי' ולקח אחר."", ""@עד כמה יפרוס.# — פי' כמה יבצע בשעת ברכת המוציא כדמוכח ברקח."", '@עד פחות מכזית.# צ""ל: @אפי\'# פחות מכזית (כן נראה שהיתה גירסת רקח סשכ""ט ומובא בב""י סקס""ז, וז""ל שם: שיעור בציעה אית דאמרין כזית ואית דאמרין פחות מכזית וע""ש, ומזה מוכח דלא כגירסת רא""פ, ופירושו עד כמה @יברך# דלמ""ד כזית לא יברך המוציא על פחות מכזית).']"
Jerusalem Talmud Berakhot 6:1,20b,2a,14d,"['@וכוללין של ירושלים בשל ארץ.# — לעיל פ""ב ה""ה [דף ה\' ע""א] הנוסח ""וכוללין של ירושלים @ושל# ארץ"", והוא ט""ס ע\' בבלי ברכות ט""ז א\' ותוספתא פ""ה.']"
Jerusalem Talmud Berakhot 6:1,20c,2a,14d,"['@החמיץ יינו כו\' בא לאוכלו אומר שהכל כו\'.# צ""ל: בא לשתותו כו\'.', '@היה דשתי חמר בתר בילני (גירסת מהרש""ס בי בני).# — פי\' אחרי המרחץ (ע\' ב\' שבת ק""מ א\'), ובמוסף הערוך ערך בלני פירש בלשון יוני שם כלל של פרי עץ ארז וע\' באו""ז ח""א סימן קס""ב דפירש בלני יין מבושל וזה רחוק.', '@בשבוע הבן מתניתא.# — צ""ל: @בשבועה כיני# (כי""ר: הכן) מתניתא באורחים הא בעל הבית כו\' (כן מובא בחדושי רשב""א כאן הביאו במה""פ. ועי מנהיג הל\' סעודה סימן ב\' שכתב בשם ירושלמי לא שנו אלא שאין להם בה""ב אבל יש להן בה""ב הכל פונים לבה""ב. ובאשכול ח""א סימן י""ח מובא כגירסא שלפנינו).']"
Jerusalem Talmud Berakhot 6:1,20d,2a,14d,"['@בשם ר\' יהושע מי שסוכתו.# — צ""ל: בשם ר\' @הושעיה# (כ""ה בפסיקתא דר""כ פסקא ל""ו, [וכ""ה בכי""ר כאן וגם להלן בה""ח: רבי תדאי בשם רבי הושעיה]).', '@מה דמר רב בשלא כו\'.# — צ""ל: מה דמר ר\' @הושעיה# בשלא כו\' (פי\' ובעת הקידוש כוון לאכול בבית זה שהוא אוכל עתה. ויותר נראה שבדברי ר""ה צ""ל: בשהיה בדעתו, והתוס\' גרסו ""במקום שקידש"" במקום ""בבית אחר"" והוא הנכון) כו\'. אומרת (פי\' מדברי ר\' מנא) שנחלקין (פי\' רב הושעיא ושמואל) בפירוש שאלו כו\'.', '@ה""ח אמר ר\' יונה חוץ ממי דקרים כו\'.# — צריך להחליף וכצ""ל: אמר רבי יוסי ולכל מים שהוא צמא להן (פי\' אע""פ שאינן מים פשוטין אלא חמוצים או מתוקים כמי פירות) א""ר יונה חוץ ממי דקרים, וגי\' הגר""א: ולכל מים שאין צמא להן (פי\' כגון דחנקתיה אומצא, ע\' בבלי מ""ה א\') אינו צריך לברך.', ""@אית תניי תני מי דקרים כו'.# — ע' בבלי שבת קיי אי וירושלמי שם.""]"
Jerusalem Talmud Shabbat 7:1,20a,2b,18a,"['@טריקסימון.# — הוא עולשין (כלאים פ""א ה""ב [כ""ז ע""א]).']"
Jerusalem Talmud Eruvin 1:1,14d,18b,26d,"[""@כדי לקבל אריח לאורכו.# — פי' אורכו לאורך הקורה, ובבבלי הגירסא ,לרוחבו ופירושו רוחבו לרוחב הקורה.""]"
Jerusalem Talmud Eruvin 2:1,14d,18b,26d,"['@אם היה דרך הרבים כו\'.# — צ""ל: ר\' יהודה אומר אם היה כו\' (וכן מוכח בגמרא וכן גירסת הבבלי).']"
Jerusalem Talmud Beitzah 1:1,66c,60a,63b,"['@והוה מסתמיך על תרין גותיין (פי\' סריסים וע\' הוריות רפ""ג ובפירוש שם) שרעון (פי\' שסריסיו הוחלקו ונפלו עי ערוך ערך שרע ב\') וזקפון (פי\' שר\' אבהו הגביהן והעמידן) כו\' מה הכין (פי\' למה לך סמיכה).#']"
Jerusalem Talmud Gittin 9:1,60c,43a,50d,"['@התחיל בסוף שתים# (פי\' שהניח שורה אחת חלק ובסוף שיטה שניח התחיל לחתום) וגמר בסוף ארבעה (פי\' שגם שיטה ג\' הניח חלק) כשר (פי\' שאינו פסול אא""כ הניח חלק שתי שיטות שלימות זו אחר זו).', '@ר\' יונה ור\' יוסי תריהון אמרין צריך להחזיר שתי שיטין מקום הכתב.# פי\' דין חדש הוא (ולא קאי אלעיל) שבשתי שיטין האחרונות שבשטר צריך להחזיר דברים מהשטר (ע\' בבלי ביב קס""א ב\' רק שיטה אחרונה) ור\' זעירא מבאר הדברים']"
Jerusalem Talmud Bava Kamma 1:1,64b,2a,7c,"[""@הכשרתי את נזקו.# פי' הוא נזקי ממונו ולא נזקי גופו כן מפרש הירושלמי שנזקי ממונו נקרא הכשר נזקין.""]"
