Row # 15,/שם ה״ח (דף ג׳ ע״ג),Previous # 14,/שם ה״ז (ג׳ סוע״ד)
Row # 599,/ה״א (מ״ו ג׳),Previous # 592,/שם ה״ז (מ״ח ב׳)
Row # 861,/ה״א (ב׳ ב׳),Previous # 857,/שם (ס״ה ד׳)
Row # 899,/שם (בשורה ט״ו מלמטה),Previous # 895,/שם (ג׳ ד׳)
Row # 901,/שם (ד׳ א׳),Previous # 899,/שם (בשורה ט״ו מלמטה)
Row # 1168,/שם (י״ח ב׳),Previous # 1160,/שם (י״ח ג׳)
Row # 1252,/שם (בסוף העמוד),Previous # 1246,/שם (כ״ב ד׳)
Row # 1253,/שם (כ״ג א׳),Previous # 1252,/שם (בסוף העמוד)
Row # 1255,/שם (בפיסקא אמר להן ר״ע),Previous # 1253,/שם (כ״ג א׳)
Row # 1258,/ה״א (כ״ג ב׳),Previous # 1255,/שם (בפיסקא אמר להן ר״ע)
Row # 1263,/שם (פיסקא מאימתי נותנין רשות),Previous # 1262,/שם (כ״ג ג׳)
Row # 1267,/שם (בפיסקא בה״ב שהיה שותף לשכנים),Previous # 1263,/שם (פיסקא מאימתי נותנין רשות)
Row # 1269,/שם (כ״ג ד׳),Previous # 1267,/שם (בפיסקא בה״ב שהיה שותף לשכנים)
Row # 1272,/שם (פיסקא האחין השותפין),Previous # 1269,/שם (כ״ג ד׳)
Row # 1274,/שם (פיסקא ה׳ חצרות פתוחות זו לזו),Previous # 1272,/שם (פיסקא האחין השותפין)
Row # 1276,/שם (כ״ד א׳),Previous # 1274,/שם (פיסקא ה׳ חצרות פתוחות זו לזו)
Row # 1279,/ה״א (כ״ד ב׳),Previous # 1277,/שם (פיסקא ב׳ חצרות זו לפנים מזו)
Row # 1907,/שם ה״י (ס״א ג׳),Previous # 1903,/שם (ס״ט ב׳)
Row # 2138,/שם (ס״ג א׳),Previous # 2134,/שם (פ״ב רע״ד)
Row # 2147,/ה״א (ב׳ ב׳),Previous # 2145,/שם ה״ט (פ״ג ד׳)
Row # 2990,/ה״א (ב׳ א׳),Previous # 2988,/שם (ס״ו ד׳)
Row # 3333,/שם הי״ד (ט״ז ד׳),Previous # 3323,/ה״א (י״ז ג׳)
Row # 3835,/ה״א (מ״ה ד׳),Previous # 3832,/שם (מ״ח ג׳)
