Shulchan Arukh - he,Shulchan Arukh - en,reference
הלכות דיינים,Jurisprudence,"Shulchan Arukh, Choshen Mishpat 1-27"
הלכות עדות,Testimony,"Shulchan Arukh, Choshen Mishpat 28-38"
הלכות הלואה,Loans,"Shulchan Arukh, Choshen Mishpat 39-74"
הלכות טוען ונטען,Plaintiff and Defendant ,"Shulchan Arukh, Choshen Mishpat 75-106"
הלכות גביית חוב מהיתומים,Estate Debt ,"Shulchan Arukh, Choshen Mishpat 107-110"
הלכות גביית חוב מנכסים משועבדים,Liens,"Shulchan Arukh, Choshen Mishpat 111-116"
הלכות אפותיקי,Mortgage Loans,"Shulchan Arukh, Choshen Mishpat 117-120"
הלכות העושה שליח לגבות חובו,Debt Collection,"Shulchan Arukh, Choshen Mishpat 121"
הלכות הרשאה,Authorizations,"Shulchan Arukh, Choshen Mishpat 122-128"
הלכות ערב,Guarantors,"Shulchan Arukh, Choshen Mishpat 129-152"
הלכות נזקי שכנים,Neighbor Disputes,"Shulchan Arukh, Choshen Mishpat 153-156"
הלכות שותפים בקרקע,Land Partnerships,"Shulchan Arukh, Choshen Mishpat 157-170"
הלכות חלוקת שותפות,Partnership Termination,"Shulchan Arukh, Choshen Mishpat 171:1-175:4"
הלכות מצרנות,Pre emption Rights,"Shulchan Arukh, Choshen Mishpat 175:5-175:63"
הלכות שותפים,Partnerships,"Shulchan Arukh, Choshen Mishpat 176-181"
הלכות שלוחין,Agents,"Shulchan Arukh, Choshen Mishpat 182-226"
הלכות אונאה ומקח טעות,Ona'ah,"Shulchan Arukh, Choshen Mishpat 227-240"
הלכות מתנה,Gifts,"Shulchan Arukh, Choshen Mishpat 241-249"
הלכות מתנת שכיב מרע,Deathbed Gifts,"Shulchan Arukh, Choshen Mishpat 250-258"
הלכות אבידה ומציאה,Lost Property,"Shulchan Arukh, Choshen Mishpat 259-271"
הלכות פריקה וטעינה ודין הולכי דרכים,Loading and unloading,"Shulchan Arukh, Choshen Mishpat 272"
הלכות הפקר ונכסי הגר,Ownerless Property,"Shulchan Arukh, Choshen Mishpat 273-275"
הלכות נחלות,Inheritances,"Shulchan Arukh, Choshen Mishpat 276-289"
הלכות אפוטרופוס,Executors,"Shulchan Arukh, Choshen Mishpat 290"
הלכות פקדון,Deposit,"Shulchan Arukh, Choshen Mishpat 291-302"
הלכות שומר שכר,Paid Bailee,"Shulchan Arukh, Choshen Mishpat 303-305"
הלכות אומנים,Skilled Labor,"Shulchan Arukh, Choshen Mishpat 306"
הלכות שוכר,Hiring,"Shulchan Arukh, Choshen Mishpat 307-319"
הלכות חכירות וקבלנות,Leases and Contracts,"Shulchan Arukh, Choshen Mishpat 320-330"
הלכות שכירות פועלים,Employing Labor,"Shulchan Arukh, Choshen Mishpat 331-347"
הלכות גניבה,Theft,"Shulchan Arukh, Choshen Mishpat 348-358"
הלכות גזילה,Robbery,"Shulchan Arukh, Choshen Mishpat 359-377"
הלכות נזיקין,Tort,"Shulchan Arukh, Choshen Mishpat 378-387"
הלכות מאבד ממון חבירו בידים ומוסר ומלשין,Mesirah,"Shulchan Arukh, Choshen Mishpat 388"
הלכות נזקי ממון,Monetary Damages,"Shulchan Arukh, Choshen Mishpat 389-419"
הלכות חובל בחבירו,Personal Injury,"Shulchan Arukh, Choshen Mishpat 420-427"
