Assumed to be correct references,Siftei Chachamim comment
Leviticus 2:1," When a person brings.@p3 “A person” [literally, “a soul”] is not mentioned regarding all the voluntary offerings except the meal-offering. Who is accustomed to bring a meal-offering? A poor person. Said God: I consider him as though he had offered his [own] soul. @d1His offering shall be of fine flour.@p3 Whoever says: @rr°@bbI am obligated [to bring] a meal-offering without specifying [which one] must bring a fine-flour meal-offering, @rr°@bbwhich is the first of the meal-offerings [mentioned], [special in that] its fistful is taken while it is [still] fine flour, as is explained in this section. Since five types of meal-offerings are mentioned here, and all of them are baked before the fistful is taken except for this one, therefore it is called a fine-flour meal-offering. @d1Fine flour.@p3 Fine flour comes only from wheat, as it is said, “fine wheat flour” and no meal-offering [uses] less than a tenth [of an @ITephah@it], as it is said, “a tenth [of an @ITephah@it] fine flour . . . per meal-offering” — a tenth for each meal-offering. @d1He shall pour oil upon it,@p3 on all of it, @d1and place frankincense upon it,@p3 on part of it. He places a fistful of frankincense on it on one side. Why do you say so? For there is no inclusion after inclusion in the Torah @rr°@bbbut to exclude. Another interpretation: Oil [is poured] on all of it, because it [= the oil] is mixed with it and its fistful is taken with it, as it is said, “[he takes from there its fistful] @rr°@bbfrom its flour and from its oil,” and the frankincense [is placed] on part of it, since it is not mixed with it and its fistful is not taken with it, as it is said, @d1with all its frankincense,@p3 for after he takes the fistful he gathers frankincense — all of it — from over it and burns it. @d1He shall pour, and he shall place, he shall bring [to the sons of Aharon],@p3 this teaches that pouring and mixing @rr°@bbare valid when done by a non-@ITkohein@it. "
Leviticus 3:1," Peace-offering. @p3[They are called peace-offerings] because they bring peace into the world. Another interpretation: “Peace-offerings” because they contain peace for the altar, for the @ITkohanim@it and for the owners. "
Leviticus 4:2," Any commandment of Adonoy. @p3Our Rabbis explained: A sin-offering comes only for something whose intentional violation [involves] @rr°@bba negative commandment and [the penalty] of @ITkareis.@it @d1One of these,@p3 part of one of them, such as one who writes on Shabbos, Shem of Shimon, @rr°@bbNoach of Nochor, Don of Doniel. "
Leviticus 5:1," And heard an oath,@p3 in a matter @rr°@bbin which he is a witness, for which they made him take an oath that if he knows some testimony for him [= one of the disputants] he must testify for him. "
Leviticus 6:2," Command Aharon.@p3 @hh צַו@ee , wherever it occurs is @rr°@bban expression of “urging,” [both] immediately @rr°@bband for [future] generations. Said Rabbi Shimon: It is all the more necessary for the Torah to urge [the fulfillment of a command] which involves @rr°@bbmonetary loss. @d1This is the law of the burnt-offering,@p3 this section comes to teach [the rules] regarding the burning of the fats and limbs [on the altar] that it is @rr°@bbvalid all night [long], and to teach regarding [sacrifices which became] invalid, which [of them], if taken up [to the altar], must be taken down [from there], and which [of them], if taken up [to the altar], need not be taken down, for every [mention of the word] @hh תּוֹרָה@ee [= teaching] comes to include [something new], [and in this case,] to say [that there is] one teaching for all that ascend [the altar], and even [those which became] invalid, @rr°@bbif they were taken up [to the altar], they need not be taken down. @d1It is the burnt-offering,@p3 to exclude [a male animal] which was with a woman and [a female animal] which was with a man, and similar cases, whose disqualification [did not occur] in the Holiness [= the Temple], [but] which became invalid before they came to the Temple courts. "
Leviticus 7:1," It is most holy.@p3 It is offered, @rr°@bbbut its exchange is not offered. "
Leviticus 8:2," Take Aharon.@p3 This section was said seven days before the setting up of the Tabernacle, @rr°@bbfor there is no earlier and later [= chronological order] in the Torah.@d1 Take Aharon,@p3 take him @rr°@bbwith [kind] words and draw him [to you]. @d1And the bull [for] the sin-offering, etc.@p3 These are mentioned in the section [which contains] the commands of the installation-sacrifices [in the @ITsidro@it] of Ve’atoh Tetzaveh. Now, on the first day of the installation-sacrifices He repeated [the commands] to urge him on during the [actual] fulfillment [of the command. "
Leviticus 9:1," It was on the @rr°@bbeighth day — @p3of the installation. That [was] Rosh Chodesh Nison, @rr°@bbthat very day on which the Tabernacle was set up, and it [= that day] @rr°@bbtook [the] ten crowns which are taught in Seder Olom. @d1and to the elders of Israel@p3 to announce to them that [it was] by Divine command [that] Aharon @rr°@bbentered [the Tabernacle] and served in the high priesthood, that they not say that he had entered into it on his own authority. "
Leviticus 10:2," A fire came forth.@p3 Rabbi Eliezer says: The sons of Aharon died @rr°@bbonly because they rendered halachic decisions in the presence of their master Moshe. Rabbi Yishmo’el says: @rr°@bbIntoxicated with wine they entered the Sanctuary. You should know [that this is true], for after their death He warned the survivors not to enter the Sanctuary [while] intoxicated with wine. [This] may be compared to a king who had a [faithful] member of his household, etc. as it is [explained] in Vayikro Rabbo. "
Leviticus 11:1," To Moshe and to Aharon.@p3 He told Moshe @rr°@bbto tell Aharon.@d1@p3 @d1Saying to them.@p3 He [= Moshe] said that he [= Aharon] should say to Elozor and to Isomor. Or is it that [he was] to tell Israel? When [the verse] says: “Speak to Bnei Yisroel,” that is the Divine Commandment to Israel; How then do I interpret [the phrase] “to say to them”? To the sons [of Aharon], Elozor and Isomor. "
