Assumed to be correct references,Siftei Chachamim comment
Numbers 2:2,"(ב)אתת.כל דגל יהיה לו אות מפה צבועה תלויה בו bצבעו של זה לא כצבעו של זה צבע כל אחד כגוון אבנו הקבועה בחשן ומתוך כך יכיר כל אחד את דגלו תנחומא במדבר יב) דבר אחר באותות לבית אבותם באות שמסר להם יעקב אביהם bכשנשאוהו ממצרים שנאמר בראשית נ, יב)ויעשו בניו לו כן כאשר צום יהודה ויששכר וזבולן ישאוהו מן המזרח וראובן ושמעון וגד מן הדרום וכו' כדאיתא בתנחומא בפרשה זו:נגד.bמרחוק מיל כמו שנאמר ביהושע יהושע ג, ד)אך רחוק יהיה ביניכם וביניו כאלפים אמה שיוכלו לבא בשבת משה ואהרן ובניו והלוים חונים בסמוך לו תנחומא שם ט) "
Numbers 3:1,"(א)אלה תולדת אהרן ומשה.ואינו מזכיר אלא בני אהרן ונקראו תולדות משה לפי שלמדן תורה מלמד שכל המלמד את בן חבירו תורה מעלה עליו הכתוב כאלו ילדו סנהדרין יט, ב) יום דבר ה' את משה.נעשו אלו התולדות שלו bשלמדן מה שלמד מפי הגבורה:"
Numbers 4:2,"(ב)שא את ראש וגו'.מנה מהם את הראויין bלעבודת משא והן מבן שלשים ועד בן חמשים שנה והפחות משלשים לא נתמלא כחו מכאן אמרו אבות ה, כא)בן שלשים לכח והיותר על בן חמשים כחו מכחיש מעתה:"
Numbers 5:2,"(ב)ו את בני ישראל וגו'.bפרשה זו נאמרה ביום שהוקם המשכן ושמנה פרשיות נאמרו בו ביום כדאיתא במסכת גיטין בפרק הנזקין ס, א_ב) ישלחו מן המחנה.bשלש מחנות היו שם בשעת חנייתן. תוך הקלעים היא מחנה שכינה. חניית הלוים סביב כמו שמפורש בפרשת במדבר סיני לעיל א, נ)היא מחנה לויה. ומשם ועד סוף מחנה הדגלים לכל ארבע הרוחות היא מחנה ישראל. הצרוע נשתלח bחוץ לכולן. הזב מותר במחנה ישראל ומשולח מן השתים. וטמא לנפש מותר אף בשל לויה ואינו משולח אלא bמשל שכינה. וכל זה דרשו רבותינו מן המקראות במסכת פסחים סז, א_ב) מא לנפש.דמסאב לטמי נפשא דאנשא אומר אני שהוא bלשון עצמות אדם בלשון ארמי והרבה יש בבראשית רבה י, א. כח, ב. עח, א. ועוד)אדריאנוס שחיק טמיא שחיק עצמות:"
Numbers 6:2,"(ב)י יפלא.יפריש למה נסמכה פרשת נזיר לפרשת סוטה לומר לך bשכל הרואה סוטה bבקלקולה יזיר עצמו מן היין שהוא מביא לידי ניאוף סוטה ב, א) דר נזיר.אין נזירה בכל מקום אלא פרישה אף כאן שפירש מן היין: הזיר לה'.להבדיל עצמו מן היין לשם שמים נדרים ט, ב. ספרי כב) "
Numbers 7:1,"(א)יהי ביום כלות משה.כלות כתיב (ר""ל בפת""ח ולא כלות בשו""א ודו""ק) יום הקמת המשכן היו ישראל ככלה הנכנסת לחופה במדרש רבה. תנחומא נשא כ) לות כתיב.בצלאל ואהליאב וכל חכם לב עשו את המשכן ותלאו הכתוב במשה bלפי שמסר נפשו עליו לראות תבנית כל דבר ודבר כמו שהראהו בהר להורות לעושי המלאכה ולא טעה בתבנית אחת וכן מצינו בדוד לפי שמסר נפשו על בנין בית המקדש שנאמר תהלים קלב, א_ב)זכור ה' לדוד את כל ענותו אשר נשבע לה' וגו' לפיכך נקרא על שמו שנאמר מלכים_א יב, טז)ראה ביתך דוד תנחומא נשא יג) יום כלות משה להקים.ולא נאמר ביום הקים מלמד שכל שבעת ימי המלואים היה משה מעמידו ומפרקו ובאותו היום העמידו ולא פרקו לכך נאמר ביום כלות משה להקים אותו היום כלו הקמותיו וראש חודש ניסן היה bבשני נשרפה הפרה בשלישי הזו הזיה ראשונה bובשביעי גלחו גיטין ס. ספרי מד) "
Numbers 8:2,"(ב)העלתך.למה נסמכה פרשת המנורה לפרשת הנשיאים. לפי שכשראה אהרן חנוכת הנשיאים חלשה אז דעתו כשלא היה עמהם בחנוכה לא הוא ולא שבטו אמר לו הקב""ה חייך שלך גדולה משלהם שאתה מדליק ומטיב את הנרות: העלתך.bעל שם שהלהב עולה כתוב בהדלקתן לשון עליה שצריך להדליק עד שתהא שלהבת עולה מאליה שבת כא, א)ועוד דרשו רבותינו ספרי נט)מכאן bשמעלה היתה לפני המנורה bשעליה הכהן עומד ומטיב: ל מול פני המנורה. ל מול נר האמצעי שאינו בקנים אלא בגוף של מנורה: אירו שבעת הנרות.ששה שעל ששת הקנים שלשה המזרחיים פונים למול האמצעי bהפתילות שבהן וכן שלשה המערביים ראשי הפתילות למול האמצעי ולמה כדי שלא יאמרו לאורה הוא צריך תנחומא בהעלתך ה) "
Numbers 9:1,"(א)חדש הראשון.פרשה שבראש הספר לעיל א, א)bלא נאמרה עד אייר למדת שאין סדר מוקדם ומאוחר בתורה פסחים ו, ב)ולמה לא פתח בזו מפני שהוא גנותן של ישראל ספרי סד)bשכל ארבעים שנה שהיו ישראל במדבר לא הקריבו אלא פסח זה בלבד: "
Numbers 10:2,"(ב)שה לך.(שיהיו תוקעין לפניך כמלך דברים לג, ה)ויהי בישורון מלך): שה לך. שלך (עשה לך אתה עושה ומשתמש בהם ולא אחר) שם) מקרא העדה. שתרצה לדבר עם הסנהדרין ושאר העם ותקראם לאסוף אליך תקראם על ידי חצוצרות: למסע את המחנות.bבשעת סלוק מסעות תתקעו בהם לסימן נמצאת אתה אומר על פי שלשה היו נוסעים על פי הקב""ה ועל פי משה ועל פי חצוצרות מלאכת המשכן פי""ג) קשה.מהעשת תעשה בהקשת הקורנס ספרי עב) "
Numbers 11:1,"(א)יהי העם כמתאננים.bאין העם אלא רשעים וכן הוא אומר שמות יז, ד)מה אעשה לעם הזה ואומר ירמיה יג, י)העם הרע הזה. וכשהם bכשרים קרואים עמי שנאמר שמות ז, טז)שלח עמי מיכה ו, ג)עמי מה עשיתי לך ספרי פה) מתאננים.אין מתאוננים אלא לשון עלילה מבקשים עלילה האיך לפרוש מאחרי המקום וכן הוא אומר בשמשון שופטים יד, ד)כי תואנה הוא מבקש ספרי שם) ע באזני ה'.תואנה שהיא רעה באזני ה' שמתכוונים שתבא באזניו ויקניט אמרו אוי לנו bכמה לבטנו בדרך הזה שלשה ימים שלא נחנו מענוי הדרך: יחר אפו.אני הייתי מתכוין לטובתכם שתכנסו לארץ מיד: קצה המחנה.במוקצין שבהם לשפלות אלו ערב רב רבי שמעון בן מנסיא אומר bבקצינים שבהם ובגדולים: "
