Assumed to be correct references,Siftei Chachamim comment
Leviticus 2:1,"[1]A meal-offering without specifying. Otherwise, it should say: “When a person brings a meal-offering to Adonoy, if his offering shall be of fine flour,” and afterwards (v. 4): “And when you bring a meal-offering that has been baked in an oven,” as it does concerning the burntoffering (1:3): “If his offering is a burnt offering [of cattle],” [and afterwards (v. 10): “If his offering is from flocks of sheep,”] and then (v. 14): “[If his burnt-offering to Adonoy is] of fowl.” Rather, it must be that the reason it says in a definitive fashion is to convey that whoever says: I am obligated [to bring] a meal-offering without specifying [which one] must bring a fine-flour meal offering. Which is the first. Rashi does not mean to say because it is the first [mentioned], for if so, one who volunteers to bring a burnt offering [without specifying] should have to bring specifically from cattle. Rather, this is what it means: He brings the fine flour meal-offering which is the first of the meal-offerings, and not from one of the other four meal-offerings that are from fine flour as well. Rashi gives the reason why the fine flour meal-offering is called the first, more than other meal-offerings, and says because its fistful is taken while it is [still] fine flour, but all the other four meal-offerings have their fistfuls taken only after they are baked. Although the halachah follows the view of the Sages (Menachos 104b) who said he [one who volunteers to bring a meal-offering without specifying] may bring from whichever [mealoffering] he wants, [nevertheless,] since this is closer to the verse’s plain meaning, Rashi’s way is to explain it this way even though it is not in accordance with the halachah. But to exclude. Meaning: Each [mention of the word] “upon it” in Scripture is to include. Therefore, the Sages derived from the first inclusion “upon it” that he shall put the oil on all of the fine flour and mix thoroughly together. From the second “upon it,” which would now be an inclusion after an inclusion — and there is no inclusion after inclusion but to exclude — they derived that he should place the frankincense on part of the flour, and it is not required that he put it on all of the flour, for it does not need to be mixed thoroughly. Rather, he puts it on the fine flour in one place, and at the time of burning the fistful, he gathers the frankincense from there and burns both of them together. From its flour and from its oil. I.e., since it is written: “He takes from there its fistful from its flour and from its oil,” we hear that the oil was mixed thoroughly with the fine flour, which excludes with regard to frankincense, where it is written: “With all its frankincense.” From this we hear that the frankincense is not taken as a fistful with the fine flour, because it is impossible to take all the frankincense with one fistful. Rather, after he takes the fistful [he gathers the frankincense]. Are valid when done by a non-kohein. Meaning: Rashi knows that “pouring” [is valid when done by a non-kohein] because it is written: “He shall pour oil upon it ... he shall bring it to the sons of Aharon.” Perforce, before he brings it to the kohein, he is permitted to put oil upon it, thus it implies that even a non-kohein may “pour.” “Mixing” also [can be done by a non-kohein] as demonstrated from what is written (v. 5) regarding a panbaked meal-offering: “mixed with oil,” and afterwards it is written (v. 6): “and pour oil on it.” Perforce, since the pouring is after the mixing, and since the pouring is valid with a non-kohein, as we explained, so certainly the mixing, which precedes the pouring, is valid if done by a non-kohein (Re”m). Rashi mentioned pouring and mixing but did not mention the placing of the frankincense and the bringing, which were mentioned explicitly in the verse, because he mentions a matter through which the meal-offering is done, which excludes placing [the frankincense] because the meal-offering is not done with it, for he gathers the frankincense from it afterwards, and similarly, the meal-offering is not done through the bringing [either] (Gur Aryeh). "
Leviticus 3:3,"[3]The fat on the stomach. Meaning: The fat on the small intestines are included [as well] by kal vachomer, since they have two signs of forbidden [fats]: They are spread like a garment and they have a detachable membrane. Rabbi Akiva, though, says only the [fat on the] small intestines [are included] because they have two signs: They are spread like a garment and they have a detachable membrane, but [the fats] on the stomach are not spread like a garment, but rather are many pieces of fat [that are attached to the stomach]. The word תותב means a garment, as the Targum Onkeles [writes in Shemos 22:26] היא שמלתו = היא תותביה."
Leviticus 4:2,"[2]A negative commandment and kareis. This excludes circumcision and Pesach, which only have kareis [but are positive commandments; also, not for something whose intentional violation is a negative commandment alone, such as not harvesting the corners of the field, and most of the Torah’s other negative commandments]; and not something which is a negative commandment and punishable by execution by a Beis Din, but not kareis, such as one who strikes his father or mother, one who kidnaps an Israelite, or the rebellious elder; and not for something whose intentional violation is a negative commandment and has the penalty of kareis, but it does not involve an active deed, such as one who curses his father, conspiring witnesses, a blasphemer, a sorcerer, an enticer or one who causes others to worship idols, or a false prophet. All these were learned from what it is written [regarding idol worship] (Bamidbar 15:29): “One law shall apply to anyone who sins inadvertently,” and it is written (ibid. 30): “But if a person should act highhandedly (intentionally) ... [and that soul shall be cut off from among its people].” The Torah compares (hekeish) all the inadvertent transgressions of the Torah and the inadvertent transgression of idolatry in that they are liable for its intentional violation the penalty of kareis and for its unintentional violation, a sin-offering. Noach of Nochor. Because it is written, “from one [of these],” it implies that even a part [of one of them]. We should not say [that one who writes on Shabbos] even one letter, because we derive from the word “one” as well, i.e., as if Scripture wrote, “one,” which would imply [he writes on Shabbos] the entire name. Therefore, [in resolution] we say that he is liable only if he writes Shem of Shimon, which is both, a whole name in itself, and also part of another name. "
Leviticus 5:1,"[1]In which he is a witness. This is derived from “He is a witness,” which is redundant [since the verse had already stated “he heard an oath” and continues with “or saw or knew”]; it excludes a witness who heard [secondhand] from another witness, a relative, or an invalid [witness] — even though he hears an oath [demanding testimony] he is exempt. Also, it teaches: “And he is a witness” — now, at the time of the oath, he is a witness in the matter, [but if they made him take an oath that if he will become aware of testimony in the future that he must testify, he is exempt]. "
Leviticus 6:2,"[2]An expression of “urging.” Rashi explains in the Gemara (Kiddushin 29a) that [זירוז means] one should be quick and vigorous. You might ask: Why does Rashi not explain this above on the verse in Parshas Tetzaveh (Shemos 27:20)? The answer is: [There,] the urging is a result of the special expertise needed to harvest the olives from the olive tree’s top [branches] and to crush them in a mortar so there will be no sediment. And for generations. [Rashi knows this] from what is written (Devarim 3:28): “Command Yehoshua and strengthen him” — [the addition of the word “and strengthen him” shows that] this is an expression of “urging.” “And for generations” — it is written in Parshas Emor (24:2-3): “Command the children of Israel and let them take [pure olive] oil ... from evening until morning before Hashem, continually, as an everlasting statute throughout your generations,” this stipulates “for generations.” “Immediately” — it says in Parshas Behaloscha (Bamidbar 8:3): “Aharon did so; he lit the lamps toward the face of the menorah, as Hashem had commanded...” — this denotes “immediately.” Monetary loss. I.e., [Rabbi Shimon is saying] it is specifically in a place where there is monetary loss that it needs to write צו for urging, but where there is no monetary loss it does not need to write צו, even if it is an expression of urging, immediately and for future generations. And [according to this] Rabbi Shimon disagrees [with the Tanna Kama]. [You might ask:] It says here צו even though there is [seemingly] no monetary loss! The answer is: Since the kohanim do not have any benefit from the burntoffering besides its skin, and that was only given to the kohein who brought the burnt-offering, therefore it is called a monetary loss as well. However, Re’m writes that Rabbi Shimon is not coming to argue on the words of the Tanna Kama. Rather, he is coming to add and say that the primary reason that Scripture uses the expression “command” is because there is monetary loss. However, when there is no monetary loss [although there is urging, immediately and for future generations,] the word צו is not applicable. The same applies when there is no urging, immediately and for future generations, although there is monetary loss, the expression צו is not applicable, etc. (see there, where Re’m dwells at length). [You might ask:] It is written regarding the apportioning of Eretz Yisroel (Bamidbar 34:2): “Command (צו) the children of Yisroel,” although there is no monetary loss! The answer is: Since the entire people of Yisroel were disparate with regard to the conquering of the Land, for one tribe took a larger portion than another, and some took a portion in the hills and some in the plains, it is also considered, in some aspect, a monetary loss. Re’m, however, explains the entire matter differently, examine it and choose for yourself. Meaning: Rashi is answering the question: Why does it say this, specifically here? All the offerings are applicable immediately and for future generations! He answers: All the offerings have a benefit for the kohanim in that they receive a portion of the sacrifice. Therefore, each kohein will hurry and not be indolent in the Divine service, so that he will not be preempted by someone else. This however, does not apply to a burnt-offering, which is entirely burnt, and the kohanim did not receive any of the meat. Therefore, I might think they would be indolent with it. This then would be a monetary loss for the kohein of that watch. Therefore, it says צו, an expression of urging (Divrei Dovid). Nachalas Yaakov explains that regarding other offerings they bring only the blood and the fats [to the altar] and the meat is eaten by the kohanim. Thus, their benefit is large and their effort is minimal. This is not so concerning the burnt-offering, for a lot of effort is involved [in bringing it to the altar] and its benefit is minimal — [they receive] only the hide — therefore, it requires urging. Rashi is answering the question: The laws of the burnt-offering were already set down in Parshas Vayikro! Rather, it comes to teach... (Gur Areyeh). Valid all night. Rashi knows this from the end of the verse, where it is written: “All night, until the morning.” It is [from there] he derives this. If taken up, need not be taken down. This is because the altar sanctifies them. It is written afterwards: “It is the burnt-offering” — which comes to exclude, implying “it” and not another. [This implies that some of them, even if they were taken up must be taken down. When is this so?] Rashi explains [later]: “It is the burnt-offering, to exclude [a male animal] which was with a woman and [a female animal] which was with a man, and similar cases, whose disqualification [did not occur] in the Holiness [=the Temple].” Rashi is saying that these could have been disqualified before they were sanctified, [and therefore, even if they went up on the altar must be taken down,] but other invalid sacrifices, for instance, those that became impure, or other disqualifications that are inapplicable until after they had become sanctified, [if they were taken up they need not be taken down]. Toras Kohanim lists all these [examples], and Re’m cites them. Re’m writes: You might ask: Why do we need this exclusion: “It is the burnt-offering” — to exclude [a male animal] which was with a woman and [a female animal] which was with a man that if they went up on the altar they must be taken down? They were already excluded by Scripture in the verse (1:2): “From an animal” in Parshas Vayikro. Since they were excluded there, [to teach] that they are not sanctified, why do we need the exclusion here — that if they went up on the altar they must be taken down? It is obvious that since they are not sanctified, they are not sacred, and certainly they must be taken down from the altar. The Sages already answered this in the Gemara (Nidah 41a), that [two verses are needed, one for a non-sacred animal that he tries to sanctify — that it will not be sanctified, and] one verse for a sanctified animal, that although he sanctified it originally, if it went up on the altar it must come down, [since it was invalidated in a way that could have happened before it became sanctified]. "
Leviticus 7:1,"[1]But its exchange is not. Meaning: The exchanged animal itself is not sacrificed, nevertheless, it becomes holy and does not go out to become non-sacred. It is left to graze until it develops a blemish. Then, it is sold and its value is used to buy a voluntary offering."
Leviticus 8:2,"[2]For there is no earlier. The erecting of the Mishkan was on Rosh Chodesh Nissan, and this was on the twenty-third of Adar. The explanation of (v. 35): “At the entrance of the Tent of Meeting you shall sit ... for seven days” is: In the place of the entrance of the Tent of Meeting, since for the entire seven days they would erect it and take it apart [and when it was taken apart there was no entrance’]. On Rosh Chodesh the Mishkan was erected and not taken apart, except during their travels. With words. This is not from an expression of לקיחה (taking); this has already been explained in Parshas Bereishis (20:15) and other places (Bereishis 43:15, and more)."
Leviticus 9:1,"[1] Eighth [day] of the installation. Since it is written at the end of Parshas Tzav: “At the entrance of the Tent of Meeting you shall sit day and night... Aharon and his sons fulfilled...” after which it is written: “And it was on the eighth day,” it surely refers to what came precedes it, those seven days, for we expound the juxtaposition [of the verses]. Furthermore, we can say that Scripture comes to elucidate and not to be unclear. Why, then, does it not specify which day it was? Rather, it must have been the eighth day (Rosh Chodesh Nison) of the installation, and it does not need to specify since it was juxtaposed to that verse. That very day. Rashi is answering the question: The verse comes to tell us when this happened, when it says: “And it was on the eighth day,” but we still do not know in which month the eighth day of installation was, or the date of the month. Because of this Rashi explains that it was Rosh Chodesh Nison. And Rashi means to say: The verse does not need to tell us that, for surely it was Rosh Chodesh Nison, because the Mishkon was erected on that very day, as it clearly says in Parshas Pekudei (Shemos 40:2). Since we have found that there was holiness on Rosh Chodesh Nison, then this [the eighth day of installation] was surely on Rosh Chodesh Nison as well, for we should assume that holiness occurs on a holy day. The verse relied on [this rationale], and it therefore did not specify the date. Additionally, Rashi is answering the question: How do we know the rationale to assume holiness occurs on a holy day — that [we should say] the verse relies on this logic? Therefore Rashi explains: And it took ten crowns which are taught in Seder Olom, i.e., we say in Seder Olam that this day took ten crowns. Why, though, did Hashem let it have all these virtues more than the other months? Perforce, it must be: This day was sanctified beforehand for the sake of the erection of the Mishkon, and we assume holiness occurs on a holy day. Took ten. For this reason it uses the indicative ה, the special eighth day, because of the ten crowns that it took. And they are: 1) The first day of the act of Creation, 2) first of the [Roshei] Chodashim, 3) first day of the princes’ [sacrifices], 4) first day of kehunah, 5) first day of Temple service, 6) of the fire descending, 7) of eating the sacrifices, 8) for the prohibition of individual altars, 9) for the presence of the Shechinoh in Yisroel, 10) for blessing the people of Yisroel. Entered and served. Rashi is answering the question: Why did he call the elders of Israel? We cannot say he wanted to speak to them so that they would tell the people of Israel to bring their offerings, because it is written afterwards (v. 3): “To Bnei Yisroel you [Aharon] shall speak, saying...” To the elders, however, Moshe said nothing! Therefore, Rashi explains: “To announce to them...” [You might ask:] Above, in the previous parshah, it is written (8:5): “Moshe said to the congregation, ‘This is the edict that Adonoy commanded,’” upon which Rashi explains: “You should not say that [it is] for my honor and for my brother’s honor [that] I do this.” If so, why does he need to announce to them a second time that it was by Divine command that Aharon entered to serve? The answer is: Here, Moshe came to let them know that it is by Divine command that Aharon entered to serve even as a kohein godol, which is a different service than the service of an ordinary kohein (Re’m). [Alternatively,] the answer is: There, it refers to what they did during the seven days of installation, but here it refers to what he did on the eighth day. This is why Moshe mentioned above: “[You should not say that it is] for my honor” and here he speaks on Aharon’s behalf alone (Nachalas Yaakov)."
Leviticus 10:2,"[2]Only because they rendered. This raises a difficulty: There is no [liability for] punishment without a warning! I will answer this difficulty in the next comment. Intoxicated with wine they entered. [According to this] the explanation of “which He had not commanded them” is not the reason for their deaths. Rather, it only informs that they volunteered themselves to bring the incense, and not that He commanded them, as He had commanded Aharon (9:2): “Take, for yourself, a young calf...” And the explanation of (16:1): “[After the death of two sons of Aharon] in their coming close (בקרבתם),” is: At the time of their bringing an offering, and not that they had died because of [using] a strange fire. Rather, the main reason for their death was because they were intoxicated with wine. If it were not that Hashem wanted to be sanctified by means of Nodov and Avihu, they would not have died now, even though death had already been decreed upon them at the time they peered [See Shemos 24:11, Rashi there: “They envisioned Hashem.” They (Nodov and Avihu) gazed at Him insolently while engaged in eating and drinking]. Similarly, they would not have died on this day which was a joyous occasion for Israel, if they had not rendered a halachic decision on this day. (See more about this in the following). Gur Aryeh answers that [although death was already decreed at the time of Matan Torah] since Hashem’s anger passes, as it is written (Yishayahu 26:20): “Hide for almost a moment, until the anger passes,” and since that anger had passed, another cause was necessary to be liable for death. Re’m poses another difficulty: They were liable for death from the time of the Golden Calf, as punishment for Aharon, and Moshe’s prayer only helped for half the decree — that two [of Aharon’s four] sons would die [see Rashi 10:12]. Nachalas Yaakov answers: According to the assumption that Aharon’s sons would die solely for the sin of the Golden Calf, Elozor and Isomor should have died, for they were presumably less righteous than, and they did not have as much merit as, Nodov and Avihu. Gur Aryeh answers: We find concerning the wicked that if they continue the deeds of their forefathers, Hashem punishes them for their forefathers’ deeds, so too, concerning a completely righteous person. If his son does any sin, Hashem punishes him for the deeds of his father, and if the son does not sin at all, Hashem does not bring the sin of the righteous man upon the son. This [concept] necessitates that when the sons sin, it is added to the forefathers’ sins and then the sons are punished even for the sin of the forefathers. [Thus,] the sin of the sons together [with the sin of the forefathers] causes the punishment. See Kitzur Mizrachi where he brings additional views: Rabbi Yossi HaGelili said: For drawing close, in which they entered the innermost (Holy of Holies) they died. Rabbi Akiva said: For drawing close, in that they brought a strange fire they died. Rabbi Elazar ben Azaryah said: Because of both reasons they died. Bar Kappara said in the name of Rabbi Yirmeyah ben Eliezer: Because of four things they died: 1) For coming close, 2) for the offering that they brought without being commanded, 3) for the strange fire, a fire from the Beis HaKirayim (house of ovens), and 4) because they did not ask advice from one another. "
Leviticus 11:1,"[1]To tell Aharon. Thirteen instances of “speaking” are recorded in the Torah [directed] to Moshe and Aharon, and thirteen exclusions corresponding to them, [in order] to teach you that Hashem did not speak to Aharon but to Moshe alone, as mentioned above in Parshas Vayikro. Although Rashi already explains above in Parshas Vayikro (1:1), he explains here again so that you will not explain that as a reward for “Aharon was silent” Aharon merited that the Divine word was specially [directed] to him alone, together with Moshe, as he merited regarding the laws of those intoxicated by wine. Furthermore, we can explain that although in general the Divine word was spoken simultaneously by the two of them — that was when they spoke to Israel. Here, however, Moshe told Aharon that he alone would be the messenger to tell them (Nachalas Yaakov). "
