Assumed to be correct references,Siftei Chachamim comment
Leviticus 2:1," מנחה סתם.@sp דאל""כ הל""ל ונפש כי תקריב קרבן מנחה לה' אם סלת יהיה קרבנו ואח""כ כי תקריב קרבן מנחה וכו' מאפה תנור וכו' כמו גבי קרבן עולה אם עולה קרבנו וגו' ואח""כ מן העוף וגו' אלא ודאי לזה אמר בלשון ספק לומר האומר הרי עלי מנחה סתם מביא מנחת סולת: @psשהיא הראשונה.@sp אינו ר""ל לפי שהיא הראשונה דא""כ המתנדב עולה יהיה דוקא בן בקר אלא ה""ק מביא מנחה סולת שהיא הראשונה שבמנחות לא משאר הד' מנחות שגם הם מסולת ונותן טעם למה נקראת הראשונה מנחת סולת יותר משאר מנחות ואמר מפני שהיא נקמצת כשהיא סולת וכל השאר הד' מנחות אינן נקמצות רק אחר אפייתן ואף דהלכתא כחכמים שאמרו מאיזה שירצה יקריב מפני שזה קרוב לפשוטו דרך הרב לפרש אף שכנגד ההלכה: @psאלא למעט.@sp פירוש כי כל עליה שבמקרא רבוי הוא ולפיכך דרשו מרבוי עליה קמא שיתן השמן על הסולת כלה ויבללנה עמה ומרבוי דעליה בתרא דה""ל רבוי אחר רבוי ואין רבוי אחר רבוי אלא למעט דרשו בו שמניח הלבונה על מקצתה ואינה טעונה על כלה שאין צריך לבללה אלא מניחה על הסלת במקום אחד ובשעת הקטרת הקומץ מלקט הלבונה משם ומקטירם עמה: (שם) @psמסלתה ומשמנה.@sp כלומר דכתיב וקמץ משם מלא קמצו מסלתה ומשמנה ש""מ שהוא נבלל עם הסלת לאפוקי גבי לבונה כתיב על כל לבונתה ש""מ שאינה נקמץ עמה שא""א לקמוץ את כל הלבונה אלא לאחר שקמץ וכו': @psכשרים בזר.@sp ר""ל יציקה מוכח מדכתיב ויצק עליה שמן והביאה אל בני אהרן, א""כ ש""מ קודם שהביאה לכהן מותר ליתן עליה שמן, א""כ משמע אפי' זר. ובלילה מוכח מדכתיב במנחת מחבת בלילה בשמן וגו' והדר כתיב ויצק עליה, א""כ ש""מ שהיציקה אחר בלילה ויציקה כשרה בזר כדפירש, וכ""ש בלילה שהוא קודם יציקה שהיא כשרה בזר. [ג""א] מה שאמר יציקה ובלילה ולא זכר הנתינה של לבונה והבאה שנזכרת בפירוש בכתוב מפני שזכר דבר שהמנחה נעשית על ידו לאפוקי נתינה אין המנחה נעשה שהרי אח""כ מלקט הימנה וכן הבאה אין זה מעשה שהמנחה נעשה על ידם: "
Leviticus 3:3," חלב שעל הקבה.@sp פירוש וכ""ש שעל הדקים שיש בה שני סימנים של אסור שהן תותב וקרום ונקלף ואר""ע דדוקא דקים משום שיש בה שני סימנים תותב וגם קרום ונקלף אבל שעל הקיבה אינו תותב אלא חתיכות חתיכות חלב יש ופירוש תותב שמלה כמו היא שמלתו מתרגמינן היא תותביה: "
Leviticus 4:2," לאו וכרת.@sp לאפוקי מילה ופסח דאין בו אלא כרת ולא על דבר שיש בו לאו ומיתת ב""ד ולא כרת כגון מכה אביו ואמו וגונב נפש מישראל וזקן ממרא ולא על שזדונו לאו וכרת ואין בו מעשה כמו מקלל אביו ועדים זוממים ומגדף ומכשף והמסית ומדיח ונביא שקר ולמדו כל זה מדכתיב תורה אחת יהיה לכם לעושה בשגגה וכתיב והנפש אשר תעשה ביד רמה הוקשה שגגת כל התורה לשגגת ע""ז שחייבים על זדונו כרת ועל שגגתו חטאת: @psנח מנחור.@sp מדכתיב מאחת משמע אפילו מקצת וא""ל אפילו אות אחת דדרשינן ג""כ אחת כלומר כאלו כתיב אחת דמשמע שם כולו לכן אמרינן דאינו חייב אלא עד שיכתוב שם משמעון שהוא שם שלם והוא מקצת השם: "
Leviticus 5:1," שהוא עד בו.@sp מוהוא עד יתירה יליף לאפוקי בעד מפי עד או קרוב או פסול אע""פ ששמע קול אלה פטור וללמד עוד והוא עד טעה בשעת השבועה שהוא עד בדבר וכו': "
Leviticus 6:2," לשון זירוז.@sp פירש""י בגמרא שיהא מהיר וזריז. וא""ת ולמה לא פי' רש""י זה לעיל אקרא דפרשת תצוה, די""ל דהזירוז בא משום שצריך אומנות יתירה לגרגרו בראש הזית ולכותשו במכתשת שיהא בלי שמרים: @psולדורות.@sp מדכתיב צו את יהושע וחזקהו ואמצהו, זהו זירוז. ולדורות כתיב בפרשת אמור צו את בני ישראל ויקחו אליך שמן וגו', מערב עד בוקר לפני י""י תמיד חקת עולם לדורותיכם, הרי לדורות. מיד כתיב בפרשת בהעלותך, ויעש כן אהרן אל מול פני המנורה העלה נרותיה כאשר צוה י""י וגו', וזהו מיד: @psחסרון כיס.@sp כלומר, דוקא במקום שיש חסרון כיס צריך לכתוב צו לזירוז, אבל במקום שאין חסרון כיס אינו צריך לכתוב צו, אפילו אם הוא זירוז מיד ולדורות. ורבי שמעון פליג. והא דכתיב הכא צו אע""פ שאין כאן חסרון כיס, י""ל כיון שאין הכהנים נהנים מן העולה אלא עור העולה, והיא גם היא אינה נלקחת אלא לכהן המקריב אותה, מש""ה נקראת ג""כ חסרון כיס. והרא""ם כתב שרבי שמעון לא בא לחלוק על דברי ת""ק, אלא להוסיף בא, ואמר שהסבה היותר גדולה שאמר הכתוב לשון צווי אינה אלא מפני שיש בה חסרון כיס, אבל כשאין בה חסרון כיס לא תבא שם מלת צו. וה""ה אם אין בה זירוז מיד ולדורות, אע""פ שיש שם חסרון כיס לא תבא עליו מלת צו וכו', ע""ש כי האריך. והא דכתיב צו את בני ישראל גבי חילוק של ארץ ישראל אע""פ שאין שם חסרון כיס, י""ל דכיון דכל ישראל היו שוין לענין כיבוש הארץ, ושבט אחד לקח חלק יותר גדול משל חבירו, ויש שלקח חלקו בהרים ויש שלקח במישור, נקרא נמי בצד מה חסרון כיס ודוק. והרא""ם פירש כל הענין בפירוש אחר, עיין עליו ואתה תבחר. [ד""ד] פי' דקשה לרש""י למה נאמר דוקא כאן דבר זה, דהא כל הקרבנות נוהגים מיד ולדורות. לזה תירץ דכל הקרבנות יש בהם הנאה לכהנים במה שמגיע לחלקם מן הקרבן, לכן בודאי יזדרז כל אחד ולא יתעצל בעבודה, שמא יקדימו אחר. משא""כ בעולה שכולה כליל ואין לכהנים חלק בבשרה, ה""א שיתעצל בה, וזהו חסרון כיס לכהן של אותו משמר, ע""כ אמר צו בלשון זירוז. והנח""י פירש שבשאר קרבנות אין מקרבין רק הדם והחלב, והבשר נאכל לכהנים, נמצא הנאתה מרובה וטרחתה מועטת. משא""כ גבי עולה שטרחתה מרובה והנאתה מועטת אלא עורה, לכן צריך זירוז: [ג""א] דק""ל דהא תורת העולה כבר נאמר בפרשת ויקרא אלא בא ללמד: @psכשר כל הלילה.@sp פירוש הוכחתו מסיפא דקרא, דכתיב ביה כל הלילה עד הבקר, הוא דקדייק: @psעלו לא ירדו.@sp משום שהמזבח מקדש אותן. וכתיב בתריה, היא העולה למעוטי דמשמע היא ולא אחרת. ופירש""י היא העולה מיעט את הרובע ואת הנרבע וכיוצא בהן, שלא היו פסולם בקודש, ר""ל שיכול להיות שהיו פסולים קודם הקדש, אבל שאר פסולים כגון שנטמאו או שאר דברים א""א אלא לאחר הקדש. ובת""כ חשיב לכולהו. והרא""ם מביאן ע""ש. כתב הרא""ם, וא""ת ל""ל האי מיעוטא דהיא העולה למעט רובע ונרבע שאם עלו ירדו, והלא כבר מעטן הכתוב מן הקרא דמן הבהמה וגו' בפרשת ויקרא, וכיון דמיעטן מהתם דלא קדשו ל""ל למעוטי הכא, דאם עלו ירדו, פשיטא, כיון דלא קדשו חולין נינהו, ופשיטא דירדו. כבר תירצו בגמרא פרק יוצא דופן דאיצטריך קרא לבהמת קדשים אף על גב דקדש להו מעיקרא אם עלו ירדו, עד כאן לשונו: "
Leviticus 7:1," ואין תמורתו.@sp פירוש, אינה קריבה היא עצמה, ומכל מקום קדושה חלה עליה ולא נפקא לחולין ותרעה עד שיפול בה מום, ואז תמכר ויפלו דמיה לנדבה: "
Leviticus 8:2," שאין מוקדם.@sp דהקמת המשכן היה בר""ח ניסן וזה היה בכ""ג דאדר, ופי' ופתח אהל מועד תשבו שבעת ימים, ר""ל במקום פתח אוהל מועד, לפי שכל שבעת הימים היה מעמידו ומפרקו ובר""ח הוקם המשכן ולא נפרק כ""א בעת המסעות: @psבדברים.@sp לא מלשון לקיחה, וכבר הוא מבואר בפרשת בראשית ובמקומות אחרים: "
Leviticus 9:1," שמיני למלואים.@sp מדכתיב בסוף פרשת צו ופתח אוהל מועד תשבו שבעת ימים וגו' ויעש אהרן ובניו וגו', ואחר כך כתיב ויהי ביום השמיני, ודאי קאי אמה שלפניו, אאותן שבעת ימים דדרשינן סמיכות: ועי""ל דלא בא הכתוב לסתום אלא לפרש, ולמה לא פירש איזה יום הוה, אלא ודאי ח' למילואים הוא, ולא צריך לפרש כיון דסמיך ליה. @psבו ביום.@sp דקשה ליה כיון שהפסוק בא להגיד לנו באיזה זמן היה ענין זה באמרו ויהי ביום השמיני עדיין אין אנו יודעים באיזה חודש היה שמיני למלואים או בכמה לחודש. על זה פירש הוא ר""ח ניסן, ור""ל דהפסוק לא צריך להגיד דודאי הוא ר""ח ניסן, דהא הוקם המשכן בו ביום כמו שמפורש באלה פקודי, וכמו שמצינו דהיה קדושה בר""ח ניסן ודאי זה היה גם כן בר""ח ניסן, דתלינן קדושה ביום קדוש, ועל זה סמך הפסוק, לכך סתם זמנו, ותו קשה לרש""י מנ""ל דסברא הא דתלינן קדושה ביום קדוש דהפסוק סמוך על זו הסברא, ועל זה פירש ונטל עשר עטרות השנויות בסדר עולם, רצה לומר דהא אמרינן בסדר עולם דאותו היום נטל עשר עטרות, ולמה הניח הקב""ה לו כל המעלות יותר משאר חדשים, אלא לאו ש""מ מדזה היום היה מקודש כבר להקמות המשכן, תלינן קדושה ביום קדוש: @psונטל עשר.@sp ומ""ה קאמר בה""א הידיעה השמיני המיוחד משום הי' עטרות שנטל, ואלו הן, ראשון למעשה בראשית, ראשון לחדשים, ראשון לנשיאים, ראשון לכהונה, לעבודה, לירידת האש, לאכילת קדשים, לאיסור הבמות, לשכון שכינה בישראל, לברך את ישראל: @psנכנס ומשמש.@sp דקשה לרש""י למה קרא זקני ישראל, אין לומר שרצה לדבר להן שיאמרו לישראל להקריב קרבנם, דהא כתיב אחריו ואל בני ישראל תדבר לאמר וגו', אבל להם לא היה משה מדבר כלום, ועל זה פירש להשמיעם וכו', ואע""פ דלעיל בפרשה הקודמת כתיב ויאמר משה אל העדה זה הדבר אשר צוה ה', ופרש""י שלא תאמרו לכבודי ולכבוד אחי אני עושה, א""כ למה צריך להשמיעם שנית שעל פי הדיבור נכנס לשמש. וי""ל, דהכא בא לאשמועינן שעל פי הדיבור נכנס לשמש אף כהונה גדולה, שהיא עבודה אחרת מעבודת כהן הדיוט: [נח""י] יש לומר דהתם מיירי במה שעשה תוך ז' ימי מלואים, והכא מיירי בעד מה שעשה בשמיני, וזהו דנקט לעיל לכבודי, וכאן מדבר בעד אהרן לבדו: "
Leviticus 10:2," אלא ע""י שהורו.@sp מה שקשה על זה והא אין עונש בלא אזהרה, אפרשנו בסמוך: @psשתויי יין נכנסו.@sp ופירוש אשר לא צוה אותם אינו סיבת מיתתם, אלא להודיע שמעצמם התנדבו בו ולא שצוה אותם כמו שצוה את אהרן קח לך עגל וגו', ופירוש בקרבתם בעת קרבתם, ולא שבעבור אש זרה מתו, אלא עיקר מיתתם היה מפני שתויי יין, ולולי שרצה הקב""ה להתקדש על ידם לא הי' מיתתם עכשיו, אע""פ שכבר נגזרה עליהם מיתה בשעה שהציצו. וכן לא היו מתים ביום זה שהיה שמחה לישראל אם לא הורו הלכה ביום זה, עיין עוד מזה לקמן: והג""א מתרץ כיון דעברו פנים של זעם כמו שכתוב חבי כמעט רגע עד יעבור זעם, כיון שעבר אותו פנים של זעם צריך להגרמת מיתה ענין אחר. הרא""ם הקשה עוד, דהא מזמן העגל נתחייבו מיתה בשביל עונש אהרן, ותפילת משה הועילה מחצה שימותו שני בניו: והנח""י מתרץ דאס""ד משום חטא העגל בלבד מתו ה""ל למות אלעזר ואתמר דמסתמא לא היו כ""כ צדיקים ולא היה להם זכות כל כך כמו נדב ואביהוא: והג""א, י""ל דכמו שאצל הרשע כשאוחזין מעשה אבותם משלם להם הקב""ה מעשה אבותם, כך בצדיק גמור אם בנו עשה שום חטא משלם לו מעשה אביו, ואם לא חטאו הם כלל אין מביא על בנו חטא הצדיק, לכך צריך ג""כ שיהיה חטא לבנים, וכאשר יש חטא לבנים ואז יתוסף על חטא האבות ונענשו הבנים אף על חטא האבות, וחטא הבנים גרם ביחד להענישם: ועיין בקצ""מ כי שם הביא עוד דעת ר' יוסי הגלילי, שאמר על הקריבם שנכנסו לפני ולפנים מתו, ור' עקיבא שאמר על הקריבה שהקריבו אש זרה מתו, ור' אלעזר בן עזריה שאמר שמפני שניהם מתו, ודברי בר קפרא שאמר בשם ר' ירמיה בן אליעזר בשביל ארבע דברים מתו, על הקריבה, ועל ההקרבה שהקריבו קרבן שלא נצטוו, ועל אש זרה אש מבית הכירים הכניסו, ועל שלא נטלו עצה זה מזה: "
Leviticus 11:1," שיאמר לאהרן.@sp די""ג דברות נאמרו בתורה אל משה ואל אהרן, וכנגדן כתיב י""ג מיעוטין למעט שלא דבר הקב""ה עם אהרן אלא עם משה לבדו, כדלעיל פרשת ויקרא: [נח""י] ואע""פ שכבר פירש""י לעיל פרשת ויקרא חזר ופירש כאן כדי שלא תפרש שבשכר וידם אהרן זכה שנתייחד גם עליו הדבור עם משה כמו שזכה גבי שתוי יין. עי""ל אע""פ שבעלמא יצא הדבור מבין שניהם, היינו כשהיו מדברים לישראל, אבל כאן משה אמר לאהרן שיהי' הוא לבדו השליח לאמר אליהם: "
