Mishnah Location	Last Used Talmud Location	Mishnah Text
Berakhot 3:1	Berakhot 17b:13	מִי שֶׁמֵּתוֹ מוּטָל לְפָנָיו, פָּטוּר מִקְּרִיאַת שְׁמַע, מִן הַתְּפִלָּה וּמִן הַתְּפִלִּין. נוֹשְׂאֵי הַמִּטָּה וְחִלּוּפֵיהֶן וְחִלּוּפֵי חִלּוּפֵיהֶן, אֶת שֶׁלִּפְנֵי הַמִּטָּה וְאֶת שֶׁלְּאַחַר הַמִּטָּה, אֶת שֶׁלַּמִּטָּה צֹרֶךְ בָּהֶן פְּטוּרִים, וְאֶת שֶׁאֵין לַמִּטָּה צֹרֶךְ בָּהֶן חַיָּבִין. אֵלּוּ וָאֵלּוּ פְּטוּרִים מִן הַתְּפִלָּה: 

Berakhot 3:2	Berakhot 17b:14	קָבְרוּ אֶת הַמֵּת וְחָזְרוּ, אִם יְכוֹלִין לְהַתְחִיל וְלִגְמֹר עַד שֶׁלֹּא יַגִּיעוּ לַשּׁוּרָה, יַתְחִילוּ. וְאִם לָאו, לֹא יַתְחִילוּ. הָעוֹמְדִים בַּשּׁוּרָה, הַפְּנִימִים פְּטוּרִים, וְהַחִיצוֹנִים חַיָּבִין: 

Berakhot 3:3	Berakhot 17b:15	נָשִׁים וַעֲבָדִים וּקְטַנִּים פְּטוּרִין מִקְּרִיאַת שְׁמַע וּמִן הַתְּפִלִּין, וְחַיָּבִין בִּתְפִלָּה וּבִמְזוּזָה, וּבְבִרְכַּת הַמָּזוֹן: 

Berakhot 3:4	Berakhot 20b:1	בַּעַל קֶרִי מְהַרְהֵר בְּלִבּוֹ וְאֵינוֹ מְבָרֵךְ, לֹא לְפָנֶיהָ וְלֹא לְאַחֲרֶיהָ. וְעַל הַמָּזוֹן מְבָרֵךְ לְאַחֲרָיו, וְאֵינוֹ מְבָרֵךְ לְפָנָיו. רַבִּי יְהוּדָה אוֹמֵר, מְבָרֵךְ לִפְנֵיהֶם וּלְאַחֲרֵיהֶם: 

Berakhot 3:5	Berakhot 22b:13	הָיָה עוֹמֵד בַּתְּפִלָּה, וְנִזְכַּר שֶׁהוּא בַעַל קְרִי, לֹא יַפְסִיק, אֶלָּא יְקַצֵּר. יָרַד לִטְבֹּל, אִם יָכוֹל לַעֲלוֹת וּלְהִתְכַּסּוֹת וְלִקְרוֹת עַד שֶׁלֹּא תָנֵץ הַחַמָּה, יַעֲלֶה וְיִתְכַּסֶּה וְיִקְרָא. וְאִם לָאו, יִתְכַּסֶּה בַמַּיִם וְיִקְרָא. אֲבָל לֹא יִתְכַּסֶּה, לֹא בַמַּיִם הָרָעִים וְלֹא בְמֵי הַמִּשְׁרָה, עַד שֶׁיַּטִּיל לְתוֹכָן מָיִם. וְכַמָּה יַרְחִיק מֵהֶם וּמִן הַצּוֹאָה, אַרְבַּע אַמּוֹת: 

