דיני קריאת שמע 	א	1	3	Laws of Reading the 'Shema'
דיני תפלה ונ"כ ודיני קריאת התורה ואפטרתא 	ד	4	28	Laws of Prayer, the Priestly Blessing, the Torah Reading and the Haftara
דיני ברכות 	כט	29	39	Laws of Blessings
דיני תלמוד תורה 	מ	40	43	Laws of Torah Study
דיני ציצית ותפילין ומזוזה וס"ת 	מד	44	52	Laws of Tsitsit (Fringes), Tefilin, Mezuzah and Torah Scrolls
דיני שבת 	נג	53	72	Laws of Shabbat
דיני עירוב ותחומין 	עג	73	77	Laws of Eruv and Perimeters
דיני יו"ט וחוה"מ 	עח	78	88	Laws of Holidays and Intermdiary Festival Days
דיני סוכה לולב ואתרוג 	פט	89	100	Laws of the Sukkah, the Lulav and the Etrog (Four Species)
דיני חנוכה ופורים 	קא	101	112	Laws of Channukah and Purim
דיני פסח 	קיג	113	139	Laws of Pesach (Passover)
דיני ר"ה ושופר 	קמ	140	145	Laws of Rosh Hashanah and Shofar
דין יוה"כ וט"ב ושאר תעניות 	קמו	146	158	Laws of Yom Kippur, the 9th of Av and Other Fast Days
דיני שחיטה וטריפה ובשר בחלב ושאר איסורי מאכלות 	קנט	159	187	Laws of Ritual Slaughter, Tereifah, Meat and Milk and Other Forbidden Foods
דיני חלה וחדש וכלאי הכרם 	קפח	188	200	Laws of Challah, New Grain and Forbidden Mixtures of the Vineyard
דיני יין נסך 	רא	201	206	Laws of Forbidden Wine 
דיני נשים וסבלונות וקדושין 	רז	207	218	Laws of Women, Wedding Presents and Betrothals
דיני חליצה ויבום 	ריט	219	227	Laws of Chalitzah and Levirate Marriage
דיני גיטין 	רכח	228	238	Laws of Divorce Bills
דיני עדות אשה ויחודה 	רלט	239	244	Laws of Testimony for Wives and Yichud (Isolation) 
דיני נדה וטבילה ומקוה 	רמה	245	258	Laws of Menstruants, Immersion and Mikveh
דיני נט"י 	רנט	259	261	Laws of Washing of the Hands
דיני פו"ר 	רסב	262	263	Laws of Procreation
דיני מילה 	רסד	264	266	Laws of Circumcision
דיני פדיון הבן ופדיון בכור בהמה 	רסז	267	271	Laws of Redeeming the Firstborn Son and Redeeming the Firstborn Animal
דיני הקדש וגדרים ותקנות 	רעב	272	282	Laws of Sanctification, Vows and Ordinances
דיני ט"כ ואבילות והשחתת זקן 	רפג	283	295	Laws of Impurity of the Priests, Mourning and Cutting of the Beard
דיני שעטנז וכלאים ודיני סירוס 	רצו	296	299	Laws of Forbidden Mixtures and Laws of Animal Castration
דיני ריבית ושמיטה 	ש	300	304	Laws of Interest and the Sabbatical Year
דיני תובע ונתבע ודיני שטרות והרשאה ופקדון 	שה	305	335	Laws of Claimants and Defandants and Laws of Contracts, Authorization and Property Deposit
דיני מצרנות וחלוקת בתים וחזקת קרקעות 	שלו	336	340	Laws of Neighbors' Property Claims, Division of Estates and Landholdings
דיני מסים ושאר גביות	שמא	341	346	Laws of Taxes and collections
דיני אפטרופוס ויתומים 	שמז	347	349	Laws of Guardians and Orphans
דיני מתנת שכיב מרע 	שן	350	352	Laws of the Gift of a Dying Person
דיני עדות 	שנג	353	354	Laws of Testimony
