Hebrew Name,Range of Simanim,English Name
הלכות שחיטה,א-כז,Laws of Slaughtering
הלכות כיסוי הדם,כח,Laws of Covering Blood
הלכות טריפות,כט-ס,Laws of Unfit Animals
הלכות מתנות כהונה,סא,Laws of Priestly Gifts
הלכות אבר מן החי,סב,Laws of a Limb from a Live Animal
הלכות בשר שנתעלם מן העין,סג,Laws of Meat that was Unobserved
הלכות חֵלֶב,סד,Laws of Prohibited Fat
הלכות דם,סה-סח,Laws of Blood
הלכות מליחה,סט-עח,Laws of Salting
הלכות בהמות וחיות טהורות,עט-פ,Laws of Domesticated and Undomesticated Animals
הלכות דברים היוצאים מן החי,פא,Laws of Things that Come from a Live Animal
הלכות סימני העוף,פב,Laws of Birds
הלכות דגים,פג,Laws of Fish
הלכות תולעים,פד-פה,Laws of Insects
הלכות ביצים,פו,Laws of Eggs
הלכות בשר בחלב,פז-צז,Laws of Meat and Milk
הלכות תערובות,צח-קיא,Laws of Mixtures
הלכות מאכלי גויים,קיב-קכב,Laws of Non-Jewish Food
הלכות יין נסך,קכג-קלח,Laws of Libational Wine
הלכות עבודה זרה,קלט-קנח,Laws of Idolatry
הלכות ריבית,קנט-קעז,Laws of Interest
הלכות חוקות הגויים וכישוף,קעח-קפב,Laws of Idolatrous Practices
הלכות נדה,קפג-ר,Laws of a Menstruant
הלכות מקוואות,רא-רב,Laws of Ritual Baths
הלכות נדרים,רג-רלה,Laws of Vows
הלכות שבועות,רלו-רלט,Laws of Oaths
הלכות כיבוד אב ואם,רמ-רמא,Laws of Honouring One's Father and Mother
הלכות כבוד רבו ותלמיד חכם,רמ-רמא,Laws of Honouring One's Rabbi and a Torah Scholar
הלכות תלמיד חכם,רמב-רמג,Laws for a Torah Scholar
הלכות תלמוד תורה,רמה-רמו,Laws of Torah Study
הלכות צדקה,רמז-רנט,Laws of Charity
הלכות מילה,רס-רסו,Laws of Circumcision
הלכות עבדים,רסז,Laws of Slaves
הלכות גרים,רסח-רסט,Laws of Converts
הלכות ספר תורה,ער-רפד,Laws of a Torah Scroll
הלכות מזוזה,רפה-רצא,Laws of a Mezuzah
הלכות שילוח הקן,רצב,Laws of Sending Away the Mother Bird
הלכות חדש,רצג,Laws of New Grain
הלכות ערלה,רצד,Laws of Three Year Old Trees
הלכות כלאים,רצה-שד,Laws of Grafting
הלכות פדיון בכור,שה-שכא,Laws of Redeeming the Firstborn
הלכות חלה,שכב-של,Laws of Separating From Dough
הלכות תרומות ומעשרות,שלא,Laws of Tithes
הלכות מתנות עניים וכהונה,שלב-שלג,Laws of Gifts to the Poor and the Priesthood
הלכות נידוי וחרם,שלד,Laws of Taboo and Excommunication
הלכות ביקור חולים,שלה-שלט,"Laws of Visiting the Sick, Healing and One Who Is Dying of Deathly Illness"
הלכות קריעה,שמ,Laws of Rending One's Clothes
הלכות אונן קבורה וטומאת כהנים,שמא-שעד,"Laws Prior to Burial, Burial and Impurity of Priests"
הלכות אבילות,שעה-תג,Laws of Mourning
