Index Title,Bader-Jewishspritualheroes-Vol2.
Version Title,"Commentary on the Torah by Ramban (Nachmanides). Translated and annotated by Charles B. Chavel. New York, Shilo Pub. House, 1971-1976"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002108945/NLI
Version Notes,
"Bader-Jewishspritualheroes-Vol2., Introduction.1","A<small>NY TREATISE ON THE</small> A<small>MORAIM</small> must begin with the Amoraim of Palestine who were the direct heirs of the Tanaim and the last link in the long chain of the development of the oral law which stretched from the days of the Men of the Great Synagogue down to their time. <sup>*)</sup><i class=""footnote"">*) For a better enlightment of the subject, we have to repeat that a teacher of the ""Mishna"" was called ""Tana"" (plural: ""Tanaim"") and a teacher of the ""Gemara"" was called ""Amora"" (plural: ""Amoraim"").</i> The Amoraim of Babylonia, on the other hand, marked the beginning of a new historical epoch for the Jews of that country which continued for centuries after the spark of spiritual life expired in Palestine."
"Bader-Jewishspritualheroes-Vol2., Introduction.2","With the completion of the Mishna, whose authority was recognized both in Palestine and in Babylonia, the Jewish law assumed its final form. In both countries the Mishna was recognized as the deciding factor in all problems of life, but the subsequent development of the laws followed different lines in each country. None, however dared to question the interpretations of the Tanaim even when these concerned Biblical verses which had no direct relationship to religious problems."
"Bader-Jewishspritualheroes-Vol2., Introduction.3","When we consider the teachings of the Tanaim and Amoraim it becomes obvious, that they sought to establish a worthy continuation to the teachings of the prophets, who aimed to elevate the ethics of the Jews to the highest possible level. They therefore interpreted the commandments of the Torah in such a manner as to inculcate the people with feelings of justice, love of peace and love of one's neighbor. This aim caused some of the scholars to believe that study of the Torah and the fulfillment of its commandments was most important in life even though one did not agree with the commandments. Others said that after the coming of Messiah all commandments would be done with and there would no longer be any need for written laws. <sup>1)</sup><i class=""footnote""><span dir=""rtl"">1) נדה ס""א ב׳, מדרש תהלים פּרשה נ""ו.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Introduction.4","There is a Midrash extant which declares that those Jews who had left Egypt and wandered in the desert belonged to a ""generation of knowledge,"" because they possessed a measure of civilization and not, as might be assumed, they were untutored slaves who had just acquired freedom. Many critics ironically nod their heads at sight of this Midrash, but on closer observation of the commandments of the Torah it becomes obvious that those Jews possessed a high measure of culture."
"Bader-Jewishspritualheroes-Vol2., Introduction.5","Like other civilized peoples of that time, the Jews understood the art of cloth making while still in Egypt. Even if we assume that their garments were not made of the finest stuffs, skill was nevertheless required to weave the linen of which their garments were made. They understood the art of agriculture and the various occupations involved in it such as plowing, sowing, harvesting, threshing, grinding and baking. They also were acquainted with animal husbandry and its attendant occupations. While still in bondage they built houses and cities and they learned to bake bricks out of clay. Woodwork, masonry, metal work, wine making and hunting were also not strange to them. They knew how to find water in the depths of the earth and how to maintain fires. They made decorations out of precious metals and they pressed oil out of olives."
"Bader-Jewishspritualheroes-Vol2., Introduction.6","In their social relationships they maintained a civilized system of order which included representatives and judges, policemen and arrests. They understood how to divide time into weeks, months and years. In commerce they used money as is obvious from the stories of Abraham's purchase of the cave of Machpelah and of Jacob's purchase of a tract of land from the sons of Chamor for which he paid 100 Kesitah. In general we may say that the people of that time possessed a high level of intelligence and that the Jews were not behind the times. When other nations were governed by laws we may assume that the Jews did not live in lawlessness."
