Index Title,The Minor Tractates of the Talmud V2
Version Title,"The Minor Tractates of the Talmud, trans. A. Cohen, London: Soncino Press, 1965"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002035163/NLI
Version Notes,
"Tractate Tefillin, Introduction.1","<small>THE NAME</small><br/><i>Tefillin</i>, 'phylacteries', is one of the 'Seven Minor Tractates' in the narrower sense (see Introduction to <i>Sefer Torah</i>). It is the plural of <i>tefillah</i>, a noun derived from the root TFL, 'to attach', which is similar to the Syriac TFLTA, meaning 'attachment, hanging'. They are so named on account of their being worn on the arm and on the head. Another proposed derivation is from PLL, 'to argue, prove', because they are evidence that the name of God is called upon Israel (cf. Deut. XXVIII, 10, Tosafoth Men. 33b <i>s.v. leṭoṭafoth</i>). A third suggested derivation is from the root PLA', 'separation, distinction'. The <i>tefillin</i> are a constant reminder that Israel must separate themselves from all evil thoughts and deeds."
"Tractate Tefillin, Introduction.2",<small>SHAPE AND CONTENTS OF THE <i>TEFILLIN</i></small>
"Tractate Tefillin, Introduction.3","A <i>tefillah</i> is made of leather, shaped into a quadrangular capsule with a base of thick skin, <i>tithura</i>, on one side of which is a hollow rim, <i>ma'barta</i>, through which a leather strap, <i>rezu'ah</i>, is passed. One <i>tefillah</i> is worn on the arm and the other on the head. Both must be black; but while the top and the sides of the hand-<i>tefillah</i> are smooth, those of the head-<i>tefillah</i> are grooved, being composed of four compartments with an ordinary letter <i>shin</i> on the right side and a specially formed <i>shin</i> with four heads on the left."
"Tractate Tefillin, Introduction.4","The middle of the strap of the head-<i>tefillah</i> is formed into a loop big enough to encircle the head, with the <i>tefillah</i> hanging from it above the forehead. At the back of the head the strap is made into a knot, shaped like the letter <i>daleth</i>, from which the two ends of the strap hang down in front of both shoulders and reaching below the waist (see the illustrations in J.E. X, pp. 22, 24)."
"Tractate Tefillin, Introduction.5","One end of the strap of the hand-<i>tefillah</i> is made into a noose with a knot representing the letter <i>yod</i>. The other is threaded through the <i>ma'barta</i> and then through the noose so that the knot adjoins the capsule while the loop is fastened round the left arm with the <i>tefillah</i> resting on the biceps facing the heart. The longer end of the strap is then wound seven times round the lower part of the left arm, ending with coils round the hand and two fingers, to represent the letters <i>shin</i> and <i>daleth</i> which, together with <i>the yod</i> mentioned, form the divine name <i>Shaddai</i>, 'Almighty'. The <i>shin</i> on the head-<i>tefillah</i>, the <i>daleth</i> knot at the back of the head and the <i>yod</i> knot of the hand-<i>tefillah</i> also constitute the same divine name. In each capsule four passages from Scripture, enumerated in the tractate, are inserted."
"Tractate Tefillin, Introduction.6",<small>ORIGIN OF THE PRECEPT</small>
