Index Title,Menachot
Version Title,"Talmud Bavli. German trans. by Lazarus Goldschmidt, 1929 [de]"
Language,en
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Menachot 2a:1,"<sup>i</sup> <b>J</b>EDES S<small>PEISOPFER, VON DEM DER</small> H<small>AUFE AUF EINEN ANDEREN</small> N<small>AMEN</small><sup>1</sup><i class=""footnote"">Auf den Namen einer anderen Speisopferart; cf. Lev. 2,5ff.</i><small>ABGEHOBEN WORDEN IST, IST TAUGLICH</small><sup>2</sup><i class=""footnote"">Der Haufe ist auf zuräuchern u. das Zurückbleibende darf gegessen werden.</i>, <small>NUR WIRD ES DEM</small> E<small>IGENTÜMER NICHT ALS</small> P<small>FLICHTOPFER ANGERECHNET, AUSGENOMMEN SIND DAS</small> S<small>ÜND</small>-S<small>PEISOPFER</small><sup>3</sup><i class=""footnote"">Das nicht als Gelübde od. freiwillige Spende, sondern wegen einer begangenen Sünde (wenn seine Mittel zu einem Schlachtopfer nicht ausreichen; cf. Lev. 5,11) dargebracht wird.</i> <small>UND DAS</small> E<small>IFERSUCHTS</small>-S<small>PEISOPFER</small><sup>4</sup><i class=""footnote"">Gf. Num. 5,12ff.</i>. 
"
Menachot 2a:2,"H<small>AT MAN VOM</small> S<small>ÜND</small>-S<small>PEISOPFER ODER VOM</small> E<small>IFERSUCHTS</small>-S<small>PEISOPFER DEN</small> H<small>AUFEN AUF EINEN ANDEREN</small> N<small>AMEN</small><sup>5</sup><i class=""footnote"">Auf den Namen eines anderen Opfers, als Spende od. Gelübde.</i> <small>ABGEHOBEN ODER AUF EINEN ANDEREN</small> N<small>AMEN IN DAS</small> G<small>EFÄSS GETAN, HINGEBRACHT ODER AUFGERÄUCHERT, ODER AUF SEINEN</small> N<small>AMEN UND EINEN ANDEREN</small> N<small>AMEN, ODER AUF EINEN ANDEREN</small> N<small>AMEN UND SEINEN</small> N<small>AMEN, SO SIND SIE UNTAUGLICH</small>. 
"
Menachot 2a:3,"A<small>UF SEINEN</small> N<small>AMEN UND EINEN ANDEREN</small> N<small>AMEN, ZUM</small> B<small>EISPIEL: AUF DEN</small> N<small>AMEN EINES</small> S<small>ÜND</small>-S<small>PEISOPFERS UND EINES FREIWILLIGEN</small> S<small>PEISOPFERS; AUF EINEN ANDEREN</small> N<small>AMEN UND SEINEN</small> N<small>AMEN: AUF DEN</small> N<small>AMEN EINES FREIWILLIGEN</small> S<small>PEISOPFERS UND EINES</small> S<small>ÜND</small>-S<small>PEISOPFERS</small>.
"
Menachot 2a:4,"GEMARA. Weshalb heißt es ‘nur’, es sollte doch heißen: ‘und’ wird es dem Eigentümer nicht als Pflichtopfer angerechnet!? – 
"
Menachot 2a:5,"Folgendes lehrt er uns: allerdings wird es dem Eigentümer nicht als Pflichtopfer angerechnet, das Speisopfer aber ist an sich tauglich, und man darf daran<sup>6</sup><i class=""footnote"">Bei der weiteren Herrichtung.</i> nichts ändern. Dies nach Raba, denn Raba sagte, wenn man ein Brandopfer auf einen anderen Namen geschlachtet hat, dürfe man nicht auch das Blut auf einen anderen Namen sprengen. 
"
Menachot 2a:6,"Wenn du willst, ist dies zu begründen, und wenn du willst, aus einem Schriftverse zu entnehmen. Wenn du willst, ist dies zu begründen: sollte man denn, weil man dabei einmal falsch verfahren hat, fortfahren und weiter falsch verfahren!? 
"
Menachot 2a:7,"Wenn du willst, aus einem Schriftverse zu entnehmen: <sup>7</sup><i class=""footnote"">Dt. 23,24.</i><i>den Ausspruch deiner Lippen sollst du halten und entsprechend handeln, wie du dem Herrn, deinem Gott, gelobt hast, die freiwillige Gabe &amp;c</i>. Wieso freiwillige Gabe, es ist ja Gelobtes: er nennt es Gelobtes und er nennt es freiwillige Gabe!? Vielmehr, hast du so verfahren, wie du gelobt hast, so ist es Gelobtes, wenn aber nicht, so ist es eine freiwillige Gabe, 
"
Menachot 2b:1,"und auch bei einer freiwilligen Gabe darf nicht falsch verfahren werden.
"
Menachot 2b:2,"Es wäre anzunehmen, daß unsere Mišna nicht die Ansicht R. Šimo͑ns vertritt, denn es wird gelehrt: R. Šimo͑n sagte: Alle Speisopfer sind, wenn der Haufe auf einen anderen Namen abgehoben worden ist, tauglich, und sie werden dem Eigentümer als Pflichtopfer angerechnet, 
"
Menachot 2b:3,"weil Speisopfer nicht den Schlachtopfern gleichen: hebt man den Haufen ab von einem Pfannenopfer<sup>8</sup><i class=""footnote"">Über die verschiedene Art der Zubereitung des Speisopfers vgl. Lev. 2,1ff.</i> auf den Namen eines Tiegelopfers<sup>8</sup><i class=""footnote"">Über die verschiedene Art der Zubereitung des Speisopfers vgl. Lev. 2,1ff.</i>, so beweist die Zubereitung, daß es ein Pfannenopfer ist, wenn ein trockenes auf den Namen eines umgerührten, so beweist die Zubereitung, daß es ein trockenes ist; 
"
Menachot 2b:4,"anders aber verhält es sich bei den Schlachtopfern: bei allen erfolgt das Schlachten gleichmäßig, bei allen erfolgt das Sprengen gleichmäßig und bei allen erfolgt die [Blut]aufnähme gleichmäßig. 
"
Menachot 2b:5,"Allerdings kann nach R. Aši<sup>9</sup><i class=""footnote"">Dessen Erklärung bezieht sich auf einen weiter folgenden Widerspruch, in dem RŠ. sich befindet.</i>, welcher sagt, eines<sup>10</sup><i class=""footnote"">Die Lehre, daß der Eigentümer mit einem Speisopfer auf einen anderen Namen seiner Pflicht genüge.</i>gelte von dem Falle, wenn man den Haufen von einer Pfanne auf den Namen eines Tiegels<sup>11</sup><i class=""footnote"">Ohne den Namen des Opfers zu nennen; in diesem Falle ist die falsche Absicht ohne Wirkung.</i>abhebt, und eines<sup>12</sup><i class=""footnote"">Die Lehre, daß der Eigentümer damit seiner Pflicht nicht genüge.</i>gelte von dem Falle, wenn man den Haufen von einem Pfannenopfer auf den Namen eines Tiegelopfers<sup>13</sup><i class=""footnote"">Die falsche Absicht ist dann von Wirkung.</i>abhebt, 
"
Menachot 2b:6,"unsere Mišna von einem Opfer auf den Namen eines Opfers<sup>14</sup><i class=""footnote"">Wenn man das Opfer genannt hat, u. hinsichtl. eines solchen Falles pflichtet auch RŠ. bei, daß der Eigentümer sich seiner Pflicht nicht entledigt habe.</i>sprechen, wie ist es aber nach Rabba<sup>9</sup><i class=""footnote"">Dessen Erklärung bezieht sich auf einen weiter folgenden Widerspruch, in dem RŠ. sich befindet.</i>und Raba zu erklären? 
"
Menachot 2b:7,"Wollte man erwidern, nach der Erklärung Rabbas<sup>15</sup><i class=""footnote"">Ebenso erkläre man auch den Widerspruch zwischen der Mišna u. der Lehre RŠ.s.</i>, eines gelte von der Verwechselung des Opfers und eines gelte von der Verwechselung des Eigentümers<sup>16</sup><i class=""footnote"">Wenn der Haufe auf den Namen eines anderen abgehoben worden ist; nur in diesem Falle genügt der Eigentümer nicht seiner Pflicht.</i>, 
"
Menachot 2b:8,"so spricht ja unsere Mišna von der Verwechselung des Opfers, denn er lehrt: auf seinen Namen und auf einen anderen Namen, zum Beispiel: auf den Namen eines Sünd-Speisopfers und eines freiwilligen Speisopfers!? 
"
Menachot 2b:9,"Und wollte man erwidern, nach der Erklärung Rabas<sup>15</sup><i class=""footnote"">Ebenso erkläre man auch den Widerspruch zwischen der Mišna u. der Lehre RŠ.s.</i>, eines, wenn man den Haufen von einem Speisopfer auf den Namen eines Speisopfers abhebt, und eines, wenn man den Haufen von einem Speisopfer auf den Namen eines Schlachtopfers abhebt<sup>17</sup><i class=""footnote"">In diesem Falle genüge der Eigentümer seiner Pflicht nicht.</i>, 
"
Menachot 2b:10,"so spricht ja unsere Mišna von einem Speisopfer auf den Namen eines Speisopfers, denn er lehrt: auf einen anderen Namen und auf seinen Namen: auf den Namen eines freiwilligen Speisopfers und eines Sünd-Speisopfers!? – Am richtigsten ist es vielmehr, daß nach Rabba und Raba unsere Mišna nicht die Ansicht R. Šimo͑ns vertritt.
"
Menachot 2b:11,"Ich will auf einen Widerspruch hinweisen, in dem R. Šimo͑n sich befindet. Es wird gelehrt: R. Šimo͑n sagte:<sup>18</sup><i class=""footnote"">Lev. 6,10.</i><i>Es ist hochheilig, gleich dem Sündopfer und dem Schuldopfer</i>; manches<sup>19</sup><i class=""footnote"">Speisopfer, wovon der angezogene Schriftvers spricht.</i>gleicht dem Sündopfer und manches gleicht dem Schuldopfer; 
"
Menachot 2b:12,"das Sünd-Speisopfer gleicht dem Sündopfer, daher ist es, wenn der Haufe auf einen anderen Namen abgehoben worden ist, gleich dem Sündopfer untauglich, und das freiwillige Speisopfer gleicht dem Schuldopfer, daher ist es, wenn der Haufe auf einen anderen Namen abgehoben worden ist, gleich dem Schuldopfer<sup>20</sup><i class=""footnote"">Stalt <span dir=""rtl"">וכאשם מה</span> ist richt. <span dir=""rtl"">כאשם ומה</span> zu lesen.</i>tauglich; 
"
Menachot 2b:13,"und wie ferner das Schuldopfer<sup>21</sup><i class=""footnote"">Auf einen anderen Namen.</i>tauglich ist und nicht wohlgefällig<sup>22</sup><i class=""footnote"">Den Eigentümer vor Gott, dh. er genügt damit nicht seiner Pflicht.</i>macht, ebenso ist auch das freiwillige Speisopfer<sup>21</sup><i class=""footnote"">Auf einen anderen Namen.</i>tauglich und macht nicht wohlgefällig<sup>23</sup><i class=""footnote"">Während RŠ. in der oben angezogenen Lehre lehrt, daß ein solches Speisopfer wohlgefällig mache.</i>. 
"
Menachot 2b:14,"Rabba erwiderte: Das ist kein Widerspruch; eines gilt von der Verwechslung des Opfers und eines gilt von der Verwechslung des Eigentümers<sup>16</sup><i class=""footnote"">Wenn der Haufe auf den Namen eines anderen abgehoben worden ist; nur in diesem Falle genügt der Eigentümer nicht seiner Pflicht.</i>. 
"
