Index Title,Kinnim
Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929"""
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Mishnah Kinnim 1:1,"<b>D</b>AS V<small>OGEL</small>-S<small>ÜNDOPFER</small><sup>1</sup><i class=""footnote"">fn366,Cf. Zeb. Fol. 64b.</i> <small>IST UNTERHALB UND DAS</small> V<small>IEH</small>-S<small>ÜNDOPFER</small> <folio>Fol.22</folio> <small>IST OBERHALB HERZURICHTEN</small><sup>2</sup><i class=""footnote"">fn367,Dh. das Blut ist unterhalb bezw. oberhalb des Altars, der durch einen roten Strich geteilt war, zu sprengen.</i>; <small>DAS</small> V<small>OGEL</small>-B<small>RANDOPFER IST OBERHALB UND DAS</small> V<small>IEH</small>-B<small>RANDOPFER IST UNTERHALB HERZURICHTEN</small>. H<small>AT MAN BEI DEM EINEN ODER DEM ANDEREN ANDERS VERFAHREN</small>, <small>SO IST ES UNTAUGLICH</small>. <small>FOLGENDES IST DIE ORDNUNG BEIM</small> V<small>OGELPAARE</small><sup>3</sup><i class=""footnote"">fn368,Hebr. <span dir=""rtl"">קן</span>, Vogelnest; die Mehrzahl <span dir=""rtl"">קינון</span> bezeichnet das als Vogelopfer darzubringende Taubenpaar, Turteltauben od. junge Tauben, u. zwar stets eine als Sündopfer u. eine als Brandopfer (cf. Lev. 5,7 uö.). Freiwillige Taubenopfer, auch einzelne (cf. Lev. 1,14) wurden als Brandopfer dargebracht. Hier wird vornehmlich von den Taubenpaaren gesprochen, die Frauen gelegentlich ihrer Entbindung (cf. Lev. Kap. 12) darzubringen haben.</i>: <small>DAS</small> P<small>FLICHTOPFER EINES ALS</small> S<small>ÜNDOPFER UND EINES ALS</small> B<small>RANDOPFER</small>, <small>DAS GELOBTE UND DIE FREIWILLIGE GABE NUR ALS BRANDOPFER</small>. <small>GELOBTES IST ES</small>, <small>WENN JEMAND SAGT</small>: <small>ICH NEHME AUF MICH</small>, <small>EIN BRANDOPFER</small> [<small>DARZUBRINGEN</small>]; <small>EINE FREIWILLIGE</small> G<small>ABE IST ES</small>, <small>WENN JEMAND SAGT</small>: <small>DIES SEI EIN</small> B<small>RANDOPFER</small>. W<small>ELCHEN</small> U<small>NTERSCHIED GIBT ES ZWISCHEN DEM</small> G<small>ELOBTEN UND DER FREIWILLIGEN</small> G<small>ABE</small>? F<small>ÜR DAS</small> G<small>ELOBTE IST MAN</small>, <small>WENN ES VERENDET ODER GESTOHLEN WIRD</small>, <small>ERSATZPFLICHTIG</small>, <small>FÜR DIE FREIWILLIGE</small> G<small>ABE IST MAN</small>, <small>WENN ES VERENDET ODER GESTOHLEN WIRD</small>, <small>NICHT ERSATZPFLICHTIG</small>."
Mishnah Kinnim 1:2,"II. I<small>ST EIN</small> S<small>ÜNDOPFER UNTER</small> B<small>RANDOPFER GERATEN</small>, <small>ODER IST EIN</small> <folio>Col.b</folio> B<small>RANDOPFER UNTER</small> S<small>ÜNDOPFER GERATEN</small>, <small>SELBST EINES UNTER EINE</small> M<small>YRIADE</small>, <small>SO SIND ALLE VERENDEN ZU LASSEN</small>. I<small>ST EIN</small> S<small>ÜNDOPFER UNTER</small> P<small>FLICHTOPFER</small><sup>4</sup><i class=""footnote"">fn369,Von denen noch nicht bestimmt worden ist, welche als Sündopfer u. welche als Schuldopfer.</i> <small>GERATEN</small>, <small>SO SIND NUR SO VIELE TAUGLICH</small>, <small>WIE</small> S<small>ÜNDOPFER IN DEN</small> P<small>FLICHTOPFERN ENTHALTEN</small><sup>5</sup><i class=""footnote"">fn370,Sind es beispielsweise zusammen 5 Tauben, so können nur 2 als Sündopfer dargebracht werden, eine 3. kann schon zu einem anderen Paare gehören; ebenso kann keine als Brandopfer verwendet werden, da eine sicher Sündopfer ist.</i> <small>SIND</small>. D<small>ESGLEICHEN SIND</small>, <small>WENN EIN</small> B<small>RANDOPFER UNTER</small> P<small>FLICHTOPFER GERATEN IST</small>, <small>NUR SO VIELE TAUGLICH</small>, <small>WIE</small> B<small>RANDOPFER IN DEN</small> P<small>FLICHTOPFERN ENTHALTEN SIND</small>, <small>EINERLEI OB DIE</small> P<small>FLICHTOPFER MEHR UND DIE FREIWILLIGEN WENIGER</small>, <small>OB DIE FREIWILLIGEN</small><sup>6</sup><i class=""footnote"">fn371,Die Brandopfer.</i> <small>MEHR UND DIE</small> P<small>FLICHTOPFER WENIGER</small>, <small>ODER BEIDE IN GLEICHER</small> A<small>NZAHL SIND</small>."
Mishnah Kinnim 1:3,"III. D<small>IES GILT NUR VON</small> P<small>FLICHTOPFERN UND FREIWILLIGEN</small>, <small>WENN ABER NUR</small> P<small>FLICHTOPFER</small><sup>7</sup><i class=""footnote"">fn372,Taubenpaare ohne Bezeichnung, welche als Sündopfer u. welche als Schuldopfer.</i> <small>MITEINANDER VERMISCHT WORDEN SIND</small>, <small>EINES VON DIESER UND EINES VON JENER</small><sup>8</sup><i class=""footnote"">fn373,Gewöhnlich sind es Wöchnerinnen, die Taubenpaare darzubringen haben; cf. Lev. 12,8.</i>, <small>ZWEI VON DIESER UND ZWEI VON JENER</small>, <small>DREI VON DIESER UND DREI VON JENER</small>, <small>SO IST DIE</small> H<small>ÄLFTE TAUGLICH</small><sup>9</sup><i class=""footnote"">fn374,Von einer der beiden Frauen, der bestimmt diese Anzahl gehört; sie hat eine als Sündopfer u. eine als Brandopfer darzubringen.</i> <small>UND DIE</small> H<small>ÄLFTE UNTAUGLICH</small>; <small>WENN EINES VON DIESER UND ZWEI VON JENER</small>, <small>DREI VON DIESER UND ZEHN VON JENER UND HUNDERT VON EINER ANDEREN</small>, <small>SO SIND NUR DIE WENIGSTEN</small><sup>10</sup><i class=""footnote"">fn375,Diejenige Frau, die unter den vermischten die wenigsten Taubenpaare hat.</i><small>TAUGLICH</small>. E<small>INERLEI OB SIE EINES</small> N<small>AMENS SIND ODER ZWEIER</small> N<small>AMEN</small><sup>11</sup><i class=""footnote"">fn376,Wenn beispielsweise die einen Wöchnerinnenopfer u. die anderen Flußbehaftetenopfer sind.</i>, <small>OB SIE VON EINER</small> F<small>RAU SIND</small><sup>12</sup><i class=""footnote"">fn377,Aus verschiedenem Anlaß.</i><small>ODER VON ZWEI</small> F<small>RAUEN</small><sup>12</sup><i class=""footnote"">fn377,Aus verschiedenem Anlaß.</i>."
Mishnah Kinnim 1:4,"IV. W<small>AS HEISST EINES</small> N<small>AMENS</small>? W<small>EGEN EINER</small> G<small>EBURT UND EINER</small> G<small>EBURT</small>, <small>WEGEN EINES</small> B<small>LUTFLUSSES UND EINES</small> B<small>LUTFLUSSES</small>, <small>SO IST DIES EINES</small> N<small>AMENS</small>. W<small>AS HEISST ZWEIER</small> N<small>AMEN</small>? W<small>EGEN EINER</small> G<small>EBURT UND WEGEN EINES</small> B<small>LUTFLUSSES</small>. W<small>AS HEISST VON ZWEI</small> F<small>RAUEN</small>? E<small>INE WEGEN EINER</small> G<small>EBURT UND EINE WEGEN EINER</small> G<small>EBURT</small>, <small>EINE WEGEN EINES</small> B<small>LUTFLUSSES UND EINE WEGEN EINES</small> B<small>LUTFLUSSES</small>, <small>SO IST DIES EINES</small> N<small>AMENS</small>. W<small>AS HEISST ZWEIER</small> N<small>AMEN</small>? E<small>INE WEGEN EINER</small> G<small>EBURT UND EINE WEGEN EINES</small> B<small>LUTFLUSSES</small>. R. J<small>OSE SAGTE</small>: W<small>ENN ZWEI</small> F<small>RAUEN IHRE</small> V<small>OGELPAARE VERMISCHT</small><sup>13</sup><i class=""footnote"">fn378,Wenn sie die Bestimmung, welche als Sündopfer u. welche als Brandopfer, dem darbringenden Priester überlassen haben.</i><small>GEKAUFT ODER DAS</small> G<small>ELD FÜR IHRE</small> V<small>OGELPAARE DEM</small> P<small>RIESTER GEGEBEN HABEN</small>, <small>SO KANN DER</small> P<small>RIESTER NACH</small> B<small>ELIEBEN</small><sup>14</sup><i class=""footnote"">fn379,Die Frauen aber können nicht mehr bestimmen, weil dies nur beim Einkaufe od. bei der Heiligung erfolgen kann, sonst aber erst bei der Darbringung durch den Priester.</i> <small>EINES ALS</small> S<small>ÜNDOPFER UND EINES ALS</small> B<small>RANDOPFER DARBRINGEN</small>, <small>EINERLEI OB EINES</small> N<small>AMENS ODER ZWEIER</small> N<small>AMEN</small><sup>12</sup><i class=""footnote"">fn377,Aus verschiedenem Anlaß.</i>."
Mishnah Kinnim 2:1,"<folio>Fol.23</folio> <b>I</b>ST <small>VON EINEM UNBEZEICHNETEN</small> T<small>AUBENPAARE</small><sup>1</sup><i class=""footnote"">fn380,Wenn die beiden Tauben noch nicht bezeichnet worden sind, welche als Sündopfer u. welche als Brandopfer.</i> <small>EINE</small> T<small>AUBE IN DIE</small> L<small>ÜFTE ENTFLOGEN ODER UNTER VERENDENZULASSENDE</small><sup>2</sup><i class=""footnote"">fn381,Cf. supra I.2.</i>, <small>ODER IST EINE VON IHNEN VERENDET</small>, <small>SO HOLE MAN EINEN</small> P<small>ARTNER FÜR DIE ANDERE</small>. I<small>ST SIE UNTER DARZUBRINGENDE ENTFLOGEN</small>, <small>SO IST SIE UNTAUGLICH UND MACHT NOCH EINE ANDERE</small><sup>3</sup><i class=""footnote"">fn382,Wörtl. entsprechende, zu ihr als Paar gehörende; wird weiter erklärt.</i> <small>UNTAUGLICH</small>. D<small>IE ENTFLOGENE</small> T<small>AUBE IST NÄMLICH UNTAUGLICH UND MACHT NOCH EINE ANDERE UNTAUGLICH</small>."
Mishnah Kinnim 2:2,"II. Z<small>UM</small> B<small>EISPIEL</small>. W<small>ENN VON ZWEI</small> F<small>RAUEN DIE EINE ZWEI</small> T<small>AUBENPAARE HAT UND DIE ANDERE ZWEI</small> T<small>AUBENPAARE HAT</small>, <small>UND EINE VON DENEN DER EINEN ZU DENEN DER ANDEREN FLIEGT</small>, <small>SO MACHT SIE EINE</small><sup>4</sup><i class=""footnote"">fn383,Von den 3 zurückbleibenden kann nur ein Paar dargebracht werden, ebenso von den 5 der anderen nur 2 Paare.</i> <small>BEIM</small> F<small>ORTFLIEGEN UNTAUGLICH</small>; <small>KOMMT EINE ZURÜCK</small>, <small>SO MACHT SIE WIEDER EINE BEIM</small> Z<small>URÜCKFLIEGEN</small><sup>5</sup><i class=""footnote"">fn384,Möglicherweise ist es eine andere, sodaß auch von den 2 Paaren der anderen nur eines vollständig ist.</i> <small>UNTAUGLICH</small>; <small>FLIEGT WEITER EINE HIN UND</small> [<small>EINE</small>] <small>ZURÜCK</small>, <small>SO ENTSTEHT DADURCH KEIN</small> N<small>ACHTEIL MEHR</small>, <small>DENN AUCH WENN SIE ALLE UNTER EINANDER GERATEN SIND</small>, <small>SIND ES NICHT WENIGER ALS ZWEI</small><sup>6</sup><i class=""footnote"">fn385,Sc. Paare, die eine Frau unter den vermischten hat.</i>."
