Index Title,Moed Katan
Version Title,"Talmud Bavli. German trans. by Lazarus Goldschmidt, 1929 [de]"
Language,en
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Moed Katan 2a:1,"<b>M</b>AN <small>DARF DAS</small> R<small>IESELFELD</small><sup>1</sup><i class=""footnote"">Für das die natürliche Bewässerung nicht ausreicht.</i> <small>AM</small> H<small>ALBFESTE UND IM</small> S<small>IEBENTJAHRE</small> <sup>i</sup> <small>BEWÄSSERN</small>, <small>SOWOHL AUS EINER ERSTMALIG TÄTIGEN</small><sup>2</sup><i class=""footnote"">Mit der man vor dem Feste gar nicht gerechnet hatte.</i> Q<small>UELLE ALS AUCH AUS EINER NICHT ERSTMALIG TÄTIGEN</small> Q<small>UELLE; MAN DARF ABER NICHT BEGIESSEN MIT</small> R<small>EGEN- ODER</small> Z<small>UGBRUNNENWASSER, 
</small>"
Moed Katan 2a:2,"AUCH DARF MAN KEINE K<small>REISFURCHEN UM DIE</small> W<small>EINSTÖCKE MACHEN</small>. R. E<small>LEA͑ZAR B.</small> A͑<small>ZARJA</small> <sup>ii</sup> <small>SAGT, MAN DÜRFE AM</small> H<small>ALBFESTE UND IM</small> S<small>IEBENTJAHRE KEINEN</small> W<small>ASSERGRABEN NEU ERRICHTEN; DIE</small> W<small>EISEN SAGEN, MAN DÜRFE IM</small> S<small>IEBENTJAHRE EINEN</small> W<small>ASSERGRABEN NEU ERRICHTEN UND AM</small> H<small>ALBFESTE VERFALLENE AUSBESSERN</small>. 
"
Moed Katan 2a:3,"M<small>AN DARF BESCHÄDIGTE</small> W<small>ASSER</small>[<small>BEHÄLTER</small>] <small>AUF ÖFFENTLICHEN</small> P<small>LÄTZEN AUSBAGGERN</small>. F<small>ERNER DARF MAN</small> W<small>EGE</small>, S<small>TADTPLÄTZE UND</small> T<small>AUCHBÄDER AUSBESSERN, ALLE ÖFFENTLICHEN</small> A<small>RBEITEN VERRICHTEN</small>, G<small>RÄBER BEZEICHNEN UND WEGEN DER</small> M<small>ISCHFRUCHT STREIFEN</small><sup>3</sup><i class=""footnote"">Streifzüge aussenden, die für die Entfernung der Mischfrucht zu sorgen haben.</i>.
"
Moed Katan 2a:4,"GEMARA. Wenn dies schon von einer erstmalig tätigen Quelle gilt, bei der zu berücksichtigen ist, [das Bett] könne zusammenfallen, wozu braucht dies von einer nicht erstmalig tätigen Quelle gelehrt zu werden, bei der das Zusammenfallen nicht zu berücksichtigen ist!? – 
"
Moed Katan 2a:5,"Ich will dir sagen, dies ist nötig; würde er es nur von einer erstmalig tätigen Quelle gelehrt haben, so könnte man glauben, nur aus einer solchen sei es bei einem Rieselfelde erlaubt und bei einem feuchten verboten, weil [das Bett] zusammenfallen kann, aus einer nicht erstmalig tätigen Quelle aber, wo das Zusammenfallen nicht zu berücksichtigen ist, sei es auch bei einem feuchten Felde<sup>4</sup><i class=""footnote"">Wobei kein großer Schaden zu berücksichtigen ist.</i>erlaubt, 
"
Moed Katan 2a:6,"so lehrt er uns, daß sowohl aus einer erstmalig tätigen Quelle als auch aus einer nicht erstmalig tätigen Quelle, dies nur bei einem Rieselfelde erlaubt ist, nicht aber bei einem feuchten. – 
"
Moed Katan 2a:7,"Woher ist es erwiesen, daß šalaḥ<sup>5</sup><i class=""footnote"">Das dürre, künstlich bewässerte Feld heißt <span dir=""rtl"">בית השלחין</span>, was hier von <span dir=""rtl"">שלהי</span> <i>müde, matt sein</i> abgeleitet wird; das feuchte, natürlich bewässerte Feld heißt <span dir=""rtl"">בית הבעל</span> von <span dir=""rtl"">בעל</span> <i>begatten</i> abgeleitet.</i> ‘dürr’ heißt? – Es heißt: <sup>6</sup><i class=""footnote"">Dt. 25,18.</i><i>als du erschöpft und müde warst</i>, was wir übersetzen: als du <i>mešalhe</i> und müde warst. – 
"
Moed Katan 2a:8,"Woher ist es erwiesen, daß (bet-ha) baa͑l<sup>5</sup><i class=""footnote"">Das dürre, künstlich bewässerte Feld heißt <span dir=""rtl"">בית השלחין</span>, was hier von <span dir=""rtl"">שלהי</span> <i>müde, matt sein</i> abgeleitet wird; das feuchte, natürlich bewässerte Feld heißt <span dir=""rtl"">בית הבעל</span> von <span dir=""rtl"">בעל</span> <i>begatten</i> abgeleitet.</i> ‘niederlassen’<sup>7</sup><i class=""footnote"">Od. Bewohnen, Beiwohnen; der Regen läßt sich auf die Erde nieder, wohnt ihr bei.</i> heißt? – Es heißt :<sup>8</sup><i class=""footnote"">Jes. 62,5.</i><i>wie ein Jüngling einer Jungfrau beiwohnt [jiba͑l]</i>, was wir übersetzen wie ein Jüngling sich mit einer Jungfrau niederläßt, so werden sich deine Kinder in dir niederlassen. – 
"
Moed Katan 2a:9,"Wer lehrt, es sei nur des Schadens wegen [erlaubt], nicht aber des Gewinnes wegen, und auch wenn des Schadens wegen, sei die mühevolle Arbeit verboten? 
"
Moed Katan 2a:10,"R. Hona erwiderte: Es ist R. Elie͑zer b. Ja͑qob, denn wir haben gelernt: R. Elie͑zer b. Ja͑qob sagt, man dürfe [am Festtage] das Wasser von einem Baume zum anderen leiten, nur nicht das ganze Feld bewässern<sup>9</sup><i class=""footnote"">Diese Lehre spricht von einem natürlich bewässerten Felde.</i>. – 
"
Moed Katan 2a:11,"Vielleicht sagt R. Elie͑zer dies, nur des Gewinnes wegen nicht, sagte er dies etwa auch von der mühevollen Arbeit des Schadens!? 
"
Moed Katan 2a:12,"Vielmehr, erwiderte R. Papa, es ist R. Jehuda, denn es wird gelehrt: Man darf aus einer erstmalig tätigen Quelle sogar ein feuchtes Feld bewässern – so R. Meír: R. Jehuda sagt, man dürfe nur das Rieselfeld bewässern, das verdorben worden ist. R. Elea͑zar b. A͑zarja sagt, nicht so und nicht so. Noch mehr sagte R. Jehuda: Man darf am Halbfeste keinen Wassergraben leiten und seinen Garten oder sein zerstörtes [Feld] bewässern. 
"
Moed Katan 2a:13,"Was heißt ‘zerstört’: wollte man sagen, wirklich zerstört, wozu bewässert man es!? Vielmehr ist mit Abajje zu erklären, wenn seine bisherige Quelle zerstört worden ist, und es jetzt eine andere<sup>10</sup><i class=""footnote"">In diesem Falle würde ein Schaden entstehen.</i>hat. 
"
Moed Katan 2a:14,"R. Elea͑zar b. A͑zarja sagt, nicht so und nicht so, einerlei, ob dessen [bisherige] Quelle zerstört worden ist oder nicht, aus einer erstmalig tätigen Quelle ist es verboten. – 
"
Moed Katan 2a:15,"Wieso, vielleicht sagt R. Jehuda, bei einem Rieselfelde wohl und bei einem feuchten nicht, nur von einer erstmalig tätigen Quelle, 
"
Moed Katan 2b:1,"weil [dessen Bett] zusammenfallen kann, bei einer nicht erstmalig tätigen Quelle aber, bei der das Zusammenfallen nicht zu berücksichtigen ist, ist es auch bei einem feuchten Felde [erlaubt]!? – 
"
Moed Katan 2b:2,"Wem willst du demnach diese Lehre addizieren!? Vielmehr ist es nach R. Jehuda, einerlei ob aus einer erstmalig tätigen Quelle oder einer nicht erstmalig tätigen, nur bei einem Rieselfelde [erlaubt] und bei einem feuchten nicht, und nur deshalb lehrt er es von einer erstmalig tätigen Quelle, um dir die weitgehendste Ansicht R. Meírs hervorzuheben, daß es sogar aus einer erstmalig tätigen Quelle auch bei einem feuchten Felde erlaubt sei.
"
Moed Katan 2b:3,"Es wurde gelehrt: Wegen welcher [Hauptarbeit<sup>11</sup><i class=""footnote"">Cf. Sab. Fol. 73a.</i>] ist derjenige zu warnen<sup>12</sup><i class=""footnote"">Die verbotene Handlung ist nur dann strafbar, wenn der Täter gewarnt wurde.</i>, der am Šabbath jätet oder Pflanzen bewässert? – Rabba sagt, wegen Pflügens, und R. Joseph sagt, wegen Säens. 
"
Moed Katan 2b:4,"Rabba sprach: Meine Ansicht ist einleuchtender; die Tätigkeit des Pflügens besteht darin, daß man die Erde lockert, und auch dieser lockert die Erde. R. Joseph sprach: Meine Ansicht ist einleuchtender; die Tätigkeit des Säens besteht darin, daß man Früchte wachsen macht, und auch dieser macht Früchte wachsen. 
"
Moed Katan 2b:5,"Abajje sprach zu Rabba: Gegen dich ist ein Einwand zu erheben und gegen R. Joseph ist ein Einwand zu erheben. Gegen dich ist ein Einwand zu erheben: nur wegen Pflügens und nicht auch wegen Säens!? Gegen R. Joseph ist ein Einwand zu erheben: nur wegen Säens und nicht auch wegen Pflügens!? 
"
Moed Katan 2b:6,"Wolltest du sagen, wenn es zwei [Tätigkeiten] sind, sei man nur wegen einer schuldig, so sagte ja R. Kahana, daß, wenn jemand [einen Baum] beschneidet und des Holzes bedarf, er zweimal schuldig sei, einmal wegen Pflanzens und einmal wegen Mähens!? – 
"
Moed Katan 2b:7,"Das ist ein Einwand. 
"
Moed Katan 2b:8,"R. Joseph wandte gegen Rabba ein: Wer Mischpflanzen jätet oder [mit Erde] bedeckt, erhält Geißelhiebe; R. A͑qiba sagt, auch wer sie stehen läßt. 
"
Moed Katan 2b:9,"Einleuchtend ist dies nun nach meiner Ansicht, es gehöre zum Säen, denn das Säen von Mischsaat ist verboten; aber ist denn, nach deiner Ansicht, es gehöre zum Pflügen, bei der Mischsaat das Pflügen verboten!? 
"
Moed Katan 2b:10,"Dieser erwiderte: Wegen des Stehenlassens. – 
"
Moed Katan 2b:11,"Wenn er aber im Schlußsatze lehrt: R. A͑qiba sagt, auch wer sie stehen läßt, so erfolgt es ja nach dem ersten Tanna nicht wegen Stehenlassens!? – 
"
Moed Katan 2b:12,"Die ganze Lehre ist von R. A͑qiba und dies ist eine Begründung: wer Mischpflanzen jätet oder mit Erde bedeckt, erhält Geißelhiebe wegen des Stehenlassens, denn R. A͑qiba sagt, auch wer sie stehen<sup>13</sup><i class=""footnote"">Erhalte Geißelhiebe wegen Mischfrucht.</i>läßt. – 
"
