"Mei HaShiloach, Volume I, Chanuka 1","“What is Chanuka?” (<i>Shabbat</i> 21b). It is written (Tehillim, 119: 105), “Your word is a candle to my feet, and light for my path.” “A candle to my feet,” meaning that the blessed God bestows the words of Torah in a way that “His Kingship in all of His dominion” (Tehillim, 103:19) is recognized in each detail of action. “A light for my path” means that the blessed God illuminates a special recognition also in a general way, for “the kingdom is His.” (It is written this way) because a candle is something specific, and light something general. The blessed God created the world in general, and divided it into three categories—time, place, and person. It is written (Tehillim, 139:16), “He fashioned days, and it is in one of them” (usually understood that when He created each of the six days of creation He knew everything, every detail, that would ever happen in that day for all time to come).<br/>This means that in these three categories, He chose in particular the choicest element through which to illuminate in a revealed way a specific light and the recognition of His sovereignty, may it be blessed. In the category of place, He created the world in general, where the land of Israel is sanctified above the whole earth. (See Mishna <i>Kelim</i>, Ch. 1:6.) Jerusalem sanctified above all the land of Israel, the five-hundred-square cubits of the temple mount sanctified above Jerusalem, and the courtyard and chamber sanctified above them all. In this very place He commanded to light the Menorah in order to illuminate this particular recognition in this specific place. In the category of time He created the six days of creation, in particular the day of Shabbat, and then we also find the commandment to kindle the light of Shabbat. In the category of person He chose specifically the nation of Israel out of all the nations. For now, until the final refinement (<i>birrur</i>) in Israel, He chose the tribe of Levi, and among them the Cohanim, and among them the High Priest, and gave him in particular the commandment to light the Menorah.<br/>In the days of the Hasmoneans, the Holy One, blessed be He, shone into them from the illumination of the future, for at that time he merited <i>Malchut</i>, kingship. In the same way that it will be revealed by means of Moshiach ben David, when the process of refinement will be completed, and then the chosen tribe will be Yehuda. So then, when the Hasmoneans merited this <i>Malchut</i>, the light of the recognition of the chosenness of each individual soul in Israel was greatly increased. Resulting from the miracle that was made with the Menorah, an individual candle (illumination) was established for the chosenness of each individual soul in Israel.<br/>This is as King David said (Tehillim, 87:6), “God will count, when He writes down the nations, and for Zion He will say each one born to her.” “Count, when He writes down the nations,” for with the nations, God’s Providence is only for the endurance of the species, like other parts of creation. “And for Zion He will say each one born to her” is that for Israel the Providence of the Holy One, blessed be He, is for each individual soul, each one born to her. The verse continues, “and He will establish her at the highest,” means that for every one born to Israel, immediately upon birth, there is a recognition that the choicest soul has been born anew, and this is as it is said, “a candle for every one.” This is the difference of opinion between the house of Shammai and the house of Hillel, meaning just how the final <i>birrur</i>, refinement, will be in Israel, and how to light the Chanuka candles, which hint at this. The house of Shammai asserts that we light all eight on the first night, and remove a candle each night, which represents the refinement as destroying the waste, decreasing and continuing until the <i>Kedusha</i> (holiness) remains, completely clarified. The house of Hillel asserts that we add and continue, adding a candle each night, for here the principle is to cause the <i>Kedusha</i> to spread forth at all times, and from this it follows that the waste will be nullified.<br/>This is also the meaning of the Halacha for the time of lighting the candles “from the setting of the sun until the foot [<i>regel</i>] finishes from the market,” meaning that (with lighting) no force of habit [<i>hergel</i>] will be found in any soul in Israel. This is the mitzvah to light it in the doorway of the house from outside, meaning that the candle—this recognition discussed above—should illuminate every step with intent for the sake of Heaven. And of what is said (<i>Shabbat</i>, 21b), “until the wood-sellers will leave the market [who would stay after everyone else had left to gather leftover wood],” which means, when the final clarification in Israel will be completed.<br/>Concerning this it is explained in the tractate <i>Yevamot</i> (17b), “they established six thousand archers [who went and raped the daughters of Jerusalem at the time of the destruction],” meaning that their seed was mixed into Israel, and this is the principal reason for the lengthening of the exile. When this becomes clarified, then the will of the blessed God will be explicit before us, and this is “from the setting of the sun,” for the sun hints at the principles of the words of Torah, and in the future these principles will not be necessary; rather the blessed God will cause an effluence of explicit understanding to each one in Israel for each specific action. This is as it is said, “a Chanuka candle that is placed above ten cubits is invalid,” which is true for a <i>sukkah</i> and a <i>mavoy</i> (an open street or alley, concerning its width in the laws of Eruvin, symbolic Shabbat boundaries). (So for the three general divisions of existence) the Chanuka candle represents person, <i>sukkah</i> represents place, and the <i>mavoy</i> (in the laws of Shabbat) represents time, for the choicest of times is Shabbat."
"Mei HaShiloach, Volume I, Rosh Hashanah 1","[From the “Tiferet Yosef” of Mordechai Yosef Elazar of Radzin, Great Grandson of the Mei HaShiloach]"
"Mei HaShiloach, Volume I, Rosh Hashanah 2","<i>“Blow in the month the shofar, in the covering of the new moon of the day of our festival.”</i> (Tehillim, 81:4)<br/>It is written in the Holy Zohar (Vayechi, 226b), “it is taught that it is the beginning of the year of the king.” Everything is included in the beginning of the intention. If at the outset of something one turns to the blessed God, thus all the resulting adventures will be included in the initial intention. As we find in the Midrash (Kohollet Rabba, 7), “‘The end of something is better than its beginning’ means really that the end of something is good when it is good from the beginning.” This also teaches of what we find in the Gemara (<i>Baba Metsia</i>, 85b), “Rabbi Chaya said to Rabbi Chanina … ‘I have made it so the Torah will not be forgotten from Israel. First I sowed flax, and made of it nets. Then with the nets I trapped some deer, from which I fed their meat to the orphans. From their skins I made scrolls, on which I wrote the five books of the Torah. Then I went to a town and found five children, and taught each one a book of the Torah. Then I found six children, and taught each one of the six orders of Mishna. Then I told them, I am leaving, and will return. Before I do, I want you to teach the Torah and the Mishna to each other. This is what I have done so the Torah would not be forgotten from Israel.’”<br/>This means that since from the beginning of the actions of Rabbi Chaya that the Gemara described, his great intention was so that the Torah would not be forgotten from Israel, then accordingly it is all called in his name. For this is the principle that everything goes after the first intention. And this is the matter with “<i>mitzvot</i> need intention,” meaning that even after the intention, when a man starts the action of the mitzvah, the light dresses itself in the forms of actions, and the light becomes hidden. But for this, it needs the intention, so that everything goes after the intention, and this is in the realm of man. And so it is with the blessed God, as it were. For in truth, the beginning of the intention of the creation was as it is written (Tehillim, 89), “For I said that I will found the world on <i>Chesed</i> [Loving-kindness].” This means that the beginning of God’s will to create the world was for Israel, for Israel was the first to raise up in His thought. Even though He established afterward many different “garments,” in creation before the utterance, “Let us make a man,” still with God, this too was, as it were, included in the beginning. That is, if man goes in the way of Divine service, he will eventually arrive at this initial will of Israel being the first to arise in His thought. And this is also the mitzvah of blowing the shofar on Rosh Hashanah, because on this day the light of the blessed God begins to dress itself in garments.<br/>This is the meaning of “blow the shofar in the month, on the day of our festival in the covering of the new moon,” on which the Gemara comments (<i>Rosh Hashanah</i>, 40b), “on which festival does the moon cover itself? I would say Rosh Hashanah.” For there it is at the point of the beginning where God’s holy will begins to cover itself in hidden garments. And at that point we have the mitzvah of the shofar. For the shofar is the inner voice, and the Holy Zohar says (Pinchas, 128b), “there is no speech [<i>Dibbur</i>—the practical execution of the soul’s will] without voice [<i>Kol</i>—the inner soul and will itself], and there is no voice without speech. This is true in the world of <i>Atsilut</i> (the closest spiritual realm to the Infinite, where there is no separation and no existence of evil, rather all pure emanation ex nihilo). Yet in the world of separation [our own imperfect world] there is voice without speech.” This means that (at the moment of blowing the shofar on Rosh Hashanah) man will immediately accept the blessed God’s reign over him before the light begins to dress itself in the garments that we call speech. Once done, of their own accord all the adventures and details of the entire year will be included in this beginning."
"Mei HaShiloach, Volume I, Rosh Hashanah 3","<i>“In the seventh month on the first of the month ….”</i> (Bamidbar, 29:1)<br/>It is written (Shmuel 1, Ch. 25, when David haMelech opened to Naval in peace), “and you shall say thus to the living, ‘<i>co lechai</i>’”, and it says on this in the Holy Zohar (Vayera, 23b), “this day was the festival of Rosh Hashanah, and it is because of the Holy One, blessed be He, it is said, ‘<i>co lechai</i>,’ ‘thus to the living,’ meaning you must connect <i>co</i> to <i>chai</i>, to the source on which all life depends.” <i>Co</i>, “thus,” denotes that which remains in one’s apprehension after one engages in serving God, as it is written concerning Avraham Avinu (<i>Bereshit</i>, 15:5), “<i>co yihye za’areicha</i>, thus will be your seed.”<br/>This means that Avraham Avinu wanted to apprehend the remnant that remained after the service that he had performed. For he knew well that from God’s point of view something was left over from all his actions of service, yet he wanted a clear apprehension of it, so God said to him. “This [<i>co</i>] will be your seed after you,” that you will understand that you need to connect your service in this world to the primordial will of God with the creation. This means that from God’s perspective there is a king without a people, as we say in “Adon Olam,” “the Master of the world who reigned before anything was created.” Yet only from the side that He wanted to improve his creation, the blessed God created the understanding in the human intellect that there is no king without a people to make him king. From the side of the created intellect man must accept upon himself the yoke of God’s kingship in his apprehension. And after the act of service he must connect this apprehension to a place that is above all orders of service.<br/>We find in the Holy Zohar (<i>Bamidbar</i>, 2), “at the time when humankind was of the ‘two faces,’ [see the first of the two creations of man, in <i>Bereshit</i> 1:27, where it says, “male and female He created them”] male and female were connected as one.” This means that there was no veil separating the creation and the light of the blessed God. And all of the creation had an explicit understanding that all who separated from the Torah were as much as separating from life itself. So from this kind of understanding there is no room for man’s service. Yet the blessed God wants to improve his creation and desires that man will have a way to serve Him. For this reason there was the <i>nesira</i>, the separation of female from male, on Rosh Hashanah. And this separation is as it is written (<i>Bereshit</i>, 2:21), “and God cast a deep slumber on man and he slept.”<br/>This means that he created a veil separating the creation and the light of the blessed God. Thus man must break the veil and understand as it was before the separation. As it says in the Holy Zohar (<i>Lech L’cha</i>, 85b), “when souls go out they go out as male and female as one, afterward they are separated, and God rejoins them in union according to the service of man.” And it is said in the Holy Zohar (<i>Bamidbar</i>, 2b), “before, the female was united on her side,” meaning that there was no veil to cause separation. “And afterward they separated,” means that the blessed God established separating veils. “And God rejoins them according to man’s service” means that according to how much man works in Divine service to break the veil, accordingly he will see the connection that he has with the light of the blessed God as it was before the separation.<br/>This is, “Blow the shofar in the month, in the covering of the new moon on the day of our festival,” that all the other festivals occur on the full moon, meaning that the blessed God turns to His creation, that His creation should have an understanding of his light. But on this festival it is “in the covering,” as it says in the Holy Zohar (<i>Shoftim</i>, 275b), “that the moon covers itself,” meaning that the creation does not recognize the light of the blessed God. And this is the mitzvah of blowing the shofar, where by means of this mitzvah man may connect his apprehension of this world with God’s primordial will.<br/>And this is why it said above in the Zohar, “this day [that David approached Naval with peace] was the day of the festival of Rosh Hashanah, where one must connect <i>co</i> [thus] with <i>chai</i> [life].” That on this day, by means of blowing the shofar, we may break the separating veil that came into existence with the separation (<i>nesira</i>, of male and female), and we raise and connect the apprehension of this world to <i>chai</i>, life. Which itself is God’s primordial will in creation, which is above and beyond any order of Divine service. Thus we can connect everything created to the source on which all life depends."
"Mei HaShiloach, Volume I, Rosh Hashanah 4","<i>“And it was, after these words, that E-lohim tested Avraham.”</i> (Bereshit, 22:1)<br/>It is written (Tehillim, 60:6), “You have given a banner to those who fear You, that it may be displayed because of the truth, selah.” (Or as R. Hirsch translates, “to raise themselves to its height before the might of wisdom.”) What does it mean, “after these words?” The Gemara explains:<br/>And it was, after these words, that God tested Avraham. What is meant by “after”? Rabbi Yochanan said in the name of Rabbi Yossi ben Zimra, “After the words of Satan, as it is written, ‘And the child grew, and was weaned. And Avraham made a great feast the same day that Yitschok was weaned.’ Thereupon Satan said to the Almighty; ‘Master of the Universe! To this old man did you graciously promise a child at the age of a hundred, yet of all that banquet which he prepared, he did not have one turtle-dove or pigeon to sacrifice before You! Has he not done anything on honor of his son!’ God answered, ‘Yet were I to say to him, “Sacrifice your son before Me,” he would do so immediately.’” Right after this, “God tested Avraham.”<br/>The Satan brought forth the great accusation, “how does Avraham deserve that God should act with him in a way above the power of nature?” This is “<i>nissa et Avraham</i>—and he tested Avraham.” <i>Nissa</i> in Hebrew means both to test, and also to raise or elevate. In other words, the blessed God elevated the entire system of the creation, and showed that He did this according to correct judgment. He showed the creation that Avraham himself was the principle of the entire creation, and by means of him the blessed God effuses life to the entire creation. He showed them that the entire word was created only to command this, as it says in the Midrash (Rabba, <i>Lech L’cha</i>, 39), “even ships that were sailing in the sea were blessed [or protected] because of our Forefather Avraham.” It is asked in the Midrash, “But did they not contain forbidden wine? The proverb says, ‘Vinegar cheapens wine.’ Wherever Gentile wine is available, Jewish wine is cheap.” That is to say, that he was the main principle of all of the creation, so much that even that from which benefit is forbidden was blessed because of him. This is all because Avraham would serve God in a way that was above nature. In truth, God never said specifically to him, “slaughter your son.” (God said, “<i>ha’alehu sham l’olah</i>,” “raise him there as an offering.”)<br/>The Zohar comments on this (<i>Vayeira</i>, 120a), “the Divine utterance came to him as a mirror that does not illuminate [signifying a lower level of prophecy].” As it is written in the Midrash (Rabba, <i>Vayeira</i>, 56), “Avraham was perplexed. Avraham asked of Hashem ‘Yesterday You said to me, Your seed will be called in Yitschok, and today You say, take your only son, and raise him.’” The meaning is, if he had the tendency of the love of a father for his son according to the way of nature, he could have understood the blessed God’s command to have been, “Raise him as an offering, but do not slaughter him.” But rather, he served God in a way outside of the realm of nature, and removed all natural tendencies of the love of a father for his son. The blessed God showed the creation that exactly because of this, the blessed God deals with him in a way that is above nature. After this Avraham prayed (<i>Bereshit</i>, 22:14), “as it is said to this day, on the mountain God is seen.”<br/>That is, he prayed to the blessed God that from that day on it would no longer be necessary for anyone to suffer this kind of supernal patience (or perhaps, the suffering he had to go through to serve God above nature). Rather, whenever his seed after him would want to recognize His blessed light, then the blessed God would immediately illuminate him. This is as it is said in the Midrash (Rabba, <i>Vayigash</i>, 94), “we look up, and it is if the ashes of Yitschok are piled on the altar.” This means that Avraham’s prayer was effective, that something remained of Avraham’s supernal patience permanently instilled in all generations to come, so they would not need to suffer his kind of patience."
"Mei HaShiloach, Volume I, Rosh Hashanah 5","<i>“… E-lohim tested Avraham.”</i> (Bereshit, 22)<br/>It is written in the Holy Zohar (<i>Vayeira</i>, 120a), “the test was in an <i>aspaclaria d’la meira</i>, a glass that does not illuminate.” Truly, when a man stands and has a revealed and explicit understanding that all comes from You and is given from Your hand, then it cannot be said that this service can be called in the name of the man. For there is nothing remarkable in this, as it is written in the Holy Zohar (<i>Shmini</i>, 38a), “he sent a gift to the house of the King, and He showed him that he took from the house of the King and gave it back to the King.” Furthermore, it is written in the Midrash (Rabba, <i>Emor</i>, 27) on the verse (Iyov, 41:3), “Who has preceded me, that I should repay him, all that is under the heavens is Mine.” “Who could praise Me before I gave him a soul with which to praise?” It is only because the blessed God desires to forever improve his creations, and that His service should be called in the name of the one who does it—the work of the hands of the man—that He concealed this revelation from man. Thus man does not have an explicit awareness of this (that all that he gives to God was originally taken from God), and it seems to man that he has what to give.<br/>Then after, when man manages to break through by means of his service, and has a clear awareness that at present it is the blessed God’s will that what he has be returned before the blessed God, then this service is considered as the work of the man himself and called in his name. Concerning this, Avraham’s test was called “a mirror that does not illuminate.” This is as it is written in the Midrash (Rabba, <i>Vayeira</i>, 56), “Avraham was perplexed. Avraham asked of Hashem ‘Yesterday You said to me, Your seed will be called in Yitschok, and today You say, take your only son, and raise him.’” He was confronted with contradictory utterances from God, and if he had even a small tendency of the natural love of a father from his son in this world, then he could have resolved it by saying, “He commanded me to offer Yitschok, but not to slaughter him.” Rather, Avraham Avinu removed himself from all natural tendencies of the love of a father for his son and fulfilled the will of the blessed God. This was the essence of his test. We find that from the side of Avraham Avinu the life of Yitschok Avinu was already considered as nothing, and his entire life remained from the Divine utterance, “do not send your hand against the child.” (In other words, Avraham had become a complete vessel for God’s will, as expressed in each Divine communication.<br/>So when God said, “raise your son as a sacrifice,” that was Avraham’s entire purpose in the world, in a supernatural way, as explained. Then when God said, “do not send your hand,” this became his entire purpose. Betsalel.) In these words, the blessed God showed that His entire will desired the life of Israel. This is the meaning of Avraham’s prayer that follows, “where it is said unto this day, on the mountain God is seen.” In other words, he prayed that the blessed God would always show the deep connection that was in force at the time of the binding of Yitschok, a connection that desires the life of Israel. This is as it is written in the Midrash (Rabba, <i>Vayigash</i>, 94), “we look up, and it is if the ashes of Yitschok are piled on the altar.”<br/>This is to say, that Avraham’s prayer was successful, that the desire for the life of Israel is, as it were, always before God’s eyes. Concerning this we pray “today,” on Rosh Hashanah, on the binding of Yitschok to his progeny, “Today, remember with compassion.” The end of the blessing we recite in the service reads, “Blessed is He who remembers the Covenant.” This means that from the time of the binding of Yitschok, the blessed God was thoroughly connected to Israel in the desire for the life of Israel. This is the meaning of the blessing ending, “Blessed is He who remembers the Covenant.” For concerning the blessing of a fast it is written in the Gemara (<i>Ta’anit</i>, 15), “He who answered us at the Sea of Reeds… Blessed is He who remembers the forgotten.”<br/>The whole matter of a miracle is because man forgets. For truly, on the day Adam was created, he saw the ocean raging and swelling, and his reaction was as if he was witnessing the miracle of the splitting of the Sea of Reeds. Yet since man is a forgetful creature, and has become accustomed to the nature of this world and the motion of the sea, when finally the Sea of Reeds split it was seen as a miracle. A miracle is only when man is awoken from the forgetting, which causes him not to see that everything is coming from the blessed God. Yet when one witnesses a miracle, he wakes up and sees this. This is how our blessing of “Blessed is He who remembers the forgotten” is only from our point of view, for with the blessed God, “there is no forgetting before His throne of Glory.” Of Him we bless, “Blessed is He who remembers the Covenant.”"
"Mei HaShiloach, Volume I, Five Scrolls, Ruth 1",
"Mei HaShiloach, Volume I, Five Scrolls, Ruth 2","<i>“Let your eyes be on the field where they are reaping ….”</i> (Ruth, 2:9)<br/>“Let your eyes be on the field” means the ability to expand outward. “Where they are reaping” means that surely it will be completed for the good. There is sowing, and there is reaping. “Sowing” is when one first accepts upon himself the yoke of the sovereignty of heaven. At that time he must constrict himself against running after the object of his lust. This is as it is said (in the third section of the <i>Shema</i>, concerning <i>tsitsit, Bamidbar</i>, 15:36), “so you will not seek out after your eyes and after your hearts.” On this it is said in the Tehillim (126:5), “those who sow in tears [will reap in joy].” “Tears” signifies constriction. This is understood in the laws of <i>truma</i> (tithes). The Gemara comments on the verse (<i>Shemot</i>, 22:28), “do not delay in giving the produce of your winepresses (<i>Dima’acha</i> the same as the word for tears, which Rashi says refers to required tithes).” There it says that even one grain of wheat that must be tithed is mixed into a measure of wheat that is exempt, then the whole measure must be tithed.<sup>1</sup><i class=""footnote"">Hence the word for tear, <i>Dima’a</i>, signifies constriction and limitation.</i><br/>This all concerns the time of sowing. However, in the time of reaping, when man’s heart is sufficiently refined, and he only desires that which is God’s will, then man is permitted to extend as befits his will. On this it says, “let your eyes be on the field where they reap,” meaning that in the time of reaping it is permitted to seek out after your eyes.<sup>2</sup><i class=""footnote"">Or, where your desires lead you.</i> “Field” signifies expansion into one’s desires. This is why Eisav was described as (<i>Bereshit</i>, 25:27) “a man of the field,” for he went after his heart with all of his desires. However, when one’s heart is not yet purified, it is forbidden to expand outward. Then at the time when his heart is refined, it is called “the scent of a field that God has blessed.”<sup>3</sup><i class=""footnote"">Which Yitschok said of Yaakov when he blessed him.</i>"
"Mei HaShiloach, Volume I, Five Scrolls, Ruth 3","<i>“God shall pay you for your work, and your reward shall be complete ….”</i> (Ruth, 2:12)<br/>In the Midrash on Ruth it is written (Ruth Rabba, 5:4), “Rav Chasa said, [the reward is given] because you will take shelter under the wings of the Divine Presence.” “Your reward shall be complete” means that every action will be called in your name, whether in thought or in deed. Yet truly, the realm of thought is in the hands of the blessed God. Therefore Rav Chasa said, “because you came to take shelter under His wings,” namely, that of your own initiative you came to take refuge with God and to ascribe all your actions to the blessed God. Therefore the blessed God responds in kind, by calling even thoughts<sup>4</sup><i class=""footnote"">Which should be the province of God.</i> the actions of man. This is the meaning of the name of Rav Chasa, for there is a principle that the sages of the Talmud are called in the name of their teaching. <i>Chasa</i>, is directly related to “<i>Chusa</i>—taking refuge,” as in “taking refuge in the shadow of His wings.” This is as it is written in the Midrash (Shir HaShirim Rabba, 23:25), “what is ‘with the crown with which His mother crowned Him.’ (Shir HaShirim 3)? This is likened to a king who loved his daughter so much, that he was not satisfied with calling her ‘daughter’ or ‘sister,’ and could only thoroughly express his love for her when he called her ‘his mother.’ [For there are various verses where God likens Israel to a daughter or a sister, and here in the present verse He calls Israel ‘His mother.’]”<br/>Since David haMelech had said (Divrei haYamim 1, 29:14), “all things have come from You, from Your own hand have we given to You,” meaning that he ascribed all the actions of man to the blessed God, for this precisely, “He [God] could thoroughly express his love for her until He called her ‘His mother.’ ” “Mother” means thought (as the mother gives birth to the child, so does thought give birth to action). Thus even the realm of thought will then be called in your name. This is as it is written in the Midrash (<i>Bamidbar</i> Rabba, 12:18), “it told to Moshe concerning the sacrifices which they brought at the inauguration of the Tabernacle, “take from them.”<sup>5</sup><i class=""footnote"">The princes knew what to offer, each a bull, and every two a wagon, which had not even been told to Moshe. Thus Moshe feared that the <i>Shechina</i> had departed from them and rested on the princes. Thus God reassured Moshe, saying, “take from them.” See the Mei HaShiloach, last selection in <i>Parshat Nasso</i>, for more on this.</i> Moshe Rabeynu’s mind had weakened when he saw that the action of the princes. Then the blessed God told him to take that which the princes had brought, for this was the work of their hands. Thus the prince Netanel ben Tsoar had raised (presented) this advice, for he knew that, “God had placed wisdom in his mouth” (Mishlei, 2:6). For this, the matter was called in their name, as explained in its place in <i>Parshat Nasso</i> (last selection)."
"Mei HaShiloach, Volume I, Five Scrolls, Ecclesiastes 1",
