"Meir, I Orah Hayyim.1.1",<i>Q</i>. Is it proper to wear <i>zizith</i> (fringes) made of flax?
"Meir, I Orah Hayyim.1.2","<i>A</i>. No, flaxen <i>zizith</i> are permitted to be worn only with a flaxen <i>talith</i>. But since it is not proper to wear a flaxen <i>talith</i> (cloak), one must never wear flaxen <i>zizith</i>."
"Meir, I Orah Hayyim.1.3",S<small>OURCES</small>: Pr. 444; cf. L. 230.
"Meir, I Orah Hayyim.2.1","<i>Q</i>. If a person has a burn on his arm, how can he put on the phylactery of the arm?"
"Meir, I Orah Hayyim.2.2","<i>A</i>. There is enough room on the arm for two phylacteries; he can therefore, put it either above or below his burn."
"Meir, I Orah Hayyim.2.3",S<small>OURCES</small>: Cr. 40; Pr. 425.
"Meir, I Orah Hayyim.3.1","<i>Q</i>. Must a person who puts on only the phylactery of the head say both blessings [<i>Lehaniah Tefilin</i>, and <i>Al Mitsvat Tefilin</i>]?"
"Meir, I Orah Hayyim.3.2","<i>A</i>. Authorities differ on this law, Rashi requiring one blessing and R. Amram and R. Tam requiring two blessings. I am inclined to agree with the last two that he must say both blessings."
"Meir, I Orah Hayyim.3.3","S<small>OURCES</small>: Cr. 41; Pr. 424; Rashba I, 874."
"Meir, I Orah Hayyim.4.1",<i>Q</i>. Is a person who has had a nocturnal pollution permitted to put on the phylacteries?
"Meir, I Orah Hayyim.4.2","<i>A</i>. The custom is widely accepted to permit such a person to study the Torah, to recite his prayers, and to put on his phylacteries."
"Meir, I Orah Hayyim.4.3",S<small>OURCES</small>: Cr. 37; cf. L. 223–4.
"Meir, I Orah Hayyim.5.1","Phylacteries which lost their square shape through age and use must be reshaped before they can be used. But <i>zizith</i> (fringes) are fit for use at any time if, when they were made, they were of the required shape and size."
"Meir, I Orah Hayyim.5.2",S<small>OURCES</small>: Pr. 68.
