"Meir, I Civil Actions, A Shohet's Inadvertence(xx).1","In the city of Brest, Lithuania, Isaac the <i>Shohet,</i> who was also cantor, inadvertently sold a part of a kosher lamb to a gentile and a terefah one to a Jew. Luria, satisfied that it was but a slip, decided that Isaac could not be disqualified as shohet on this ground."
"Meir, I Civil Actions, A Shohet's Inadvertence(xx).2","A certain faction opposed to Luria then convened a <i>bet-din</i> with Rabbi Abraham as head, and in Luria's absence passed judgment upon Isaac that he was not to be trusted to act as shohet any longer. The congregation then pleaded with Isaac to serve as cantor only. It was before the high holidays. Isaac consented to officiate as cantor only, with the understanding that on Luria's return they would send him the minutes of the bet-din to review their decision."
"Meir, I Civil Actions, A Shohet's Inadvertence(xx).3","When Luria returned, however, Rabbi Abraham and his faction declined to submit their decision to Luria for review. Moreover, immediately after the Sukkot festivals had passed, they did not allow Isaac to conduct the services at the synagogue even as cantor, on the allegation that he was not acceptable to the congregation."
"Meir, I Civil Actions, A Shohet's Inadvertence(xx).4","Some members of the congregation regarded the act of discharging Isaac as cantor even more wrongful than that of disqualifying him as shohet, and they urged Rabbi Abraham to submit the case to Luria. Rabbi Abraham, however, maintained the justice of his decision, and refused to submit the case. In order to prove himself just, Rabbi Abraham tried to besmirch Isaac's character by relating certain unbecoming events in Isaac's career as shohet. However, when he failed to convince Luria that no injustice had been done to Isaac, especially concerning his discharge as cantor, Abraham admitted that Isaac had not forfeited the confidence of the congregation sufficiently to disqualify him as cantor. Yet, he said, he himself could not reverse his decision without first consulting his party, but he promised that on the next day he would send Luria the decision of the bet-din. But Rabbi Abraham sent a delegation to Luria instead of the minutes, and at the same time his faction closed the synagogue. A few days later, a local official (probably Rabbi Abraham's father)<xref rid=""fn110"">1</xref> ordered them to reopen the synagogue, and told them: ""Let the house of God not be closed; and as for the cantor, let the rabbis of Lithuania decide whether or not he is fit to continue the services at the synagogue."" Thereupon they submitted the minutes of their decision to Luria."
"Meir, I Civil Actions, A Shohet's Inadvertence(xx).5",<i>Q</i>. 1. Could the congregation disqualify Isaac as shohet?
"Meir, I Civil Actions, A Shohet's Inadvertence(xx).6",2. Could the congregation discharge Isaac as cantor?
"Meir, I Civil Actions, A Shohet's Inadvertence(xx).7",<i>A</i>. 1. The congregation has the right to disqualify Isaac as their shohet because he himself agreed thereto.
"Meir, I Civil Actions, A Shohet's Inadvertence(xx).8","2. The congregation cannot dismiss him as cantor, even if they offer him a full year's salary, unless he is really not acceptable to the entire congregation. In case the entire congregation objects to having the services conducted by Isaac, he should be paid his salary until the end of the year, according to the terms of his contract."
"Meir, I Civil Actions, Arbitration Without Kinyan(iv).1","Isaac Zeligman of Wilna, holding a grant from a Polish king to collect taxes in the city of Polotsk, agreed voluntarily (in accordance with a decision reached by a court of arbitration in Wilna, in the year 1545 or 1555) to allow his partner Jonah a quarter interest in the royal grant. In consideration thereof, Jonah agreed to pay fifty <i>shok,</i> and produce sureties within thirty days to guarantee timely payment of the taxes to be collected by him. Accordingly, Jonah sent an agent with fifty shok, but Zeligman now sought to withdraw from the agreement. He disregarded the decision of the Jewish court and refused to accept the money."
"Meir, I Civil Actions, Arbitration Without Kinyan(iv).2",The settlement of the court of arbitration had not been accompanied by <i>kinyan</i>. The arbiters now sent the case to Luria and asked him:
"Meir, I Civil Actions, Arbitration Without Kinyan(iv).3",<i>Q</i>. Is the decision of the court of arbitration binding on Isaac Zeligman although it was made without <i>kinyan?</i>
"Meir, I Civil Actions, Arbitration Without Kinyan(iv).4","<i>A</i>. Kinyan is necessary to bind the decision of a court of arbiters only in cases of compulsory arbitration when the parties are forced to an agreement through an outside agency, or when arbitration is offered by the judges of the court instead of a <i>Din Torah</i>. But when arbitration has been agreed upon before by both litigants voluntarily, kinyan is not essential to make the decision binding."
"Meir, I Civil Actions, Arbitration Without Kinyan(iv).5","Therefore, since Isaac Zeligman agreed to the decision of the court of his free will, the decision is binding and final."
"Meir, I Civil Actions, Competition and Indirect Damages(lxxxix).1","Abraham, a relative of Luria, who held a royal grant for many years as tax collector, was outbidden by his competitors. His debtors then refused to pay the outstanding accounts. Abraham demanded that his competitors recompense him for his lost debts, or return to him the farming of the taxes. A court of learned rabbis decided the case in Abraham's favor. But a certain rabbi advised the others that since competition is legal, they did not have to return the royal grant to Abraham, nor did they have to pay for the damages he had sustained—because the damages were caused by them indirectly, and indirect damages are not recoverable under Jewish law. They then refused to submit to the decision of the court, whereupon Abraham sent the case to Luria."
"Meir, I Civil Actions, Competition and Indirect Damages(lxxxix).2",<i>Q</i>. Could one recover damages based upon the above stated facts?
"Meir, I Civil Actions, Competition and Indirect Damages(lxxxix).3","<i>A</i>. The right of competition is not statutory. It was only established by a <i>takkanah</i> in compliance with the rules and regulations of the various governments. And the takkanah permits competition only where the out-bidden party might sustain a loss of prospective profits, but it does not allow competition if other losses might be caused to the losing party. The latter is then protected by the laws against unfair competition."
"Meir, I Civil Actions, Competition and Indirect Damages(lxxxix).4","Therefore, either Abraham should be given back the farming of the taxes, or if his competitors insist on the right granted to them by the takkanah, then they must pay him the damages he sustained."
"Meir, I Civil Actions, Conditional Sale of Real Property(ii).1","2. A, contemplating moving from his town to another locality, offered his house for sale to B at a price less then the market value, but on condition that the sale should become void in case he be forced to remain in town. The sale was then executed by the payment of the agreed sum in the presence of two witnesses, whereupon A repeated his stipulation. The deed of conveyance, however, which A afterwards delivered to B, was drawn without the reddendum, and in the presence of two other witnesses."
