Commentary on Song of Songs 1:1:1,"<b>The Song of Songs:</b> The most pleasant of canticles, the choicest of songs; words of might recited by the Throne of Glory,<sup>35</sup><i class=""footnote""> Usually understood by Kabbalists as referring to <i>malkhut</i>, the tenth <i>sefirah</i>, the feminine-receptive aspect of the Godhead.</i> day to day expressing utterance, standing in prayer in good order arrayed, its speech lucid, in all things well ordered and sure."
Commentary on Song of Songs 1:1:2,"<b>Which is Solomon’s:</b> This is a name designating the Holy One, blessed be He. As it is written: “Gideon built there an altar to the Lord and called it ‘the Lord of peace’” [Judges 6:24]. This is the meaning of the statement of our Sages of blessed memory: “The song which the Holy One blessed be He recites daily.”<sup>36</sup><i class=""footnote""> Canticles Rabbah 6:12. The Song is thus sung by <i>tiferet</i> and <i>malkhut</i>, bridegroom and bride within the Godhead.</i>"
Commentary on Song of Songs 1:2:1,"<b>Oh let him kiss me:</b> These are the Glory’s<sup>37</sup><i class=""footnote""> The Glory is <i>tiferet</i>, the masculine pole of creative energy in the realm of divine emanation.</i> words, full of longing, desiring to make its ascent, to adhere to the light of the supernal luminescence to which nothing else is like. It ascends in thought and idea and thus speaks in third person. The kiss symbolizes the joy attained by the soul in its adhesion to the source of life and the additional infusion of the holy spirit.<sup>38</sup><i class=""footnote""> Source of life (<i>mekor ha-ḥayyim</i>) and holy spirit (<i>ruaḥ ha-kodesh</i>) generally symbolize <i>ḥokhmah</i> in Geronan sources.</i> Thus the verse specifies “kisses.” For each and every sefirotic power<sup>39</sup><i class=""footnote""> Literally <i>sibah</i> or cause.</i> receives consciousness and a superabundance from that sweet light and pure refulgence. When it speaks to the Glory, gateway to the entities [i.e., the <i>sefirot</i>], it speaks in third person."
Commentary on Song of Songs 1:2:2,"<b>For your love is better</b> [<i>tovim</i>] <b>than wine:</b> This emanated light expands over me because it comes from You, that is to say, it is derived from “wine,” from divine Wisdom called “I,” the rung of supernal luminescence. All desire and will is to ascend and adhere to Wisdom."
Commentary on Song of Songs 1:2:3,"<b>For your love is better</b> [<i>tovim</i>] <b>than wine:</b> The phrase “is better” [<i>tovim</i>] refers to the outpouring and amplification of that clear light, which divides and shines in all directions.<sup>40</sup><i class=""footnote""> The word <i>tovim</i> is plural: your love is an improvement upon the wine of <i>ḥokhmah</i>, as it flows in multiple directions.</i> As it says: “when Aaron lights <i>[behetivo]</i> the lamps” [Exod. 30:8]—which the Aramaic translation renders as “kindles.” Such also is the meaning of “God saw that the light was good” [Gen. 1:4].<sup>41</sup><i class=""footnote""> “Goodness” is the ongoing flow of light from lamp to lamp, the ceaseless flow of divine life, through the <i>sefirot</i> and into the world.</i>"
Commentary on Song of Songs 1:3:1,"<b>Your oils are of fine aroma:</b> He calls the effulgent flow from the Glory, the gateway to the entities, “aroma.” From there it increases and flows down into the seventy branches that surround the central column. Counting it, there are seventy-one. Because of this, the text says: “from the kisses of his mouth”: from that very light.<sup>42</sup><i class=""footnote""> Each of the branches is “kissed” or nourished directly from His mouth, from <i>tiferet</i> or the central column.</i>"
Commentary on Song of Songs 1:3:2,"<b>Your name is like oil poured forth:</b> Your name is like fine oil, poured from one vessel into another. The seventy names are emanated from the seven <i>sefirot. tiferet</i> and the Crown<sup>43</sup><i class=""footnote""> The term here is ‘atarah, referring to <i>malkhut</i>, the last of the ten <i>sefirot</i>.</i> are for Israel, the singular people, for Israel nurse from the trunk of the tree, <i>tiferet</i> and Crown, all joined as one. But its aroma travels a great distance. So too Your name increases and is poured forth as pure light to <i>shekhinah</i>, which is contained and sealed into all.<sup>44</sup><i class=""footnote""> It would seem that a distinction is made here between ‘atarah, the tenth sefirah, and <i>shekhinah</i>, which is the indwelling presence of God in the world, as in the older rabbinic sources. The passage is however difficult.</i> Counting her they are seventy-two. This is the meaning of “therefore the maidens love you.”"
Commentary on Song of Songs 1:4:1,"<b>Draw me after you:</b> The Glory says: “May it be your will that I might ascend towards you.” <b>Let us run:</b> When the middle column [the Glory] ascends, all of the branches ascend with it. When it receives a superabundance of blessing, all of them are blessed, as I will explain further on."
Commentary on Song of Songs 1:4:2,"He calls forth, saying: <b>The king has brought me to his chambers.</b> His desire is that I should ascend and enter his chambers by means of his paths whose number is thirty-two. And upon my entrance: <b>We will delight and rejoice.</b> This joy consists of the additional infusion of the holy spirit into the seventy-two names of the Holy One, blessed be He."
Commentary on Song of Songs 1:4:3,"<b>We will savor it</b> [<i>nazkirah</i>]: <i>Nazkirah</i> is derived from <i>azkarah</i>,<sup>45</sup><i class=""footnote""> The memorial offering of flour and frankincense providing a <i>reaḥ niḥ oaḥ</i>, a “pleasing odor to the Lord.”</i> for the soul’s delight is derived from the pleasure of scent."
Commentary on Song of Songs 1:4:4,"<b>The upright</b> [<i>meisharim</i>] <b>love you:</b> By the upright Solomon refers to the simple infants and sucklings lacking complexity [<i>harkavah</i>], as it says: “it is You who have established the upright” [Ps. 99:4]. <b>Love you:</b> The goal of their desire and intention is to ascend and adhere to the place from which they draw nourishment.<sup>46</sup><i class=""footnote""> <i>Mekom yenikatam</i>: literally “the place from which they nurse.”</i> Our sages have accordingly instituted liturgical blessings, the recitation of the Sanctus, and the affirmation of divine unity so as to draw forth and emanate the energies of the Fathers [<i>ḥesed, gevurah, tiferet</i>] to the other <i>sefirot</i>, their children. With respect to this matter and in accord with the interpretation which I have provided here, our Sages have stated in the Midrash to Canticles: ‘“The King has brought me to his chambers’: These are the chambers of the Garden of Eden.”"
