"The Early Prophets, Joshua, 1.1","Setting the Stage: The opening chapter is a fitting beginning to the book, focusing as it does on key themes to come but also purposely linking up with the ideas and vocabulary of the previous book, Deuteronomy. For example, as Polzin (1980) and others have noted, vv.3–7 contain almost literal citations of Deut. 11:24–25 and 31:7–8. And just as in an earlier example of this phenomenon, where the opening words of Leviticus take us back to the book of Exodus, thus aligning itself within the Five Books, so Joshua’s beginning assures us that the words of Deuteronomy will be fulfilled. This is further reinforced by the vocabulary in Chap. 1, featuring such Deuteronomic phrases as “the servant of YHWH” (v.1), “Be strong and courageous” (v.6), and the obvious multiple repetitions of “give” and “land,” which support both YHWH’s long-standing promise to the Israelites and Yehoshua’s worthiness to succeed Moshe. Nelson likens the chapter to the account of a “royal installation,” not that of a general’s commissioning, and thus it is, appropriately, societal leadership which stands at the center here, as indeed it will throughout the four-book sequence of The Early Prophets. So what could have been a time of instability—the predicted outcome of succession after a great leader has died—is treated by the text in a manner that gives weight to the new leader."
"The Early Prophets, Joshua, 1.2","The boundaries cited here are at best ideal borders as conceived at a later period. They do not correspond to any known historical reality, in the Bible or elsewhere. But the language is reminiscent of Assyrian imperial thinking, an influence that appears throughout the first half of the Bible. The generalities of the boundaries—wilderness, mountains (“the Levanon”), river, and sea—are typically used in Assyrian records to indicate a king’s vast rule (see Wazana 2003)."
"The Early Prophets, Joshua, 1.3","The simple word “all” recurs throughout this chapter, signifying alternately the whole people, the army, the land to be conquered, and the sum total of God’s stipulations and teachings. Clearly the text wishes to impress on the audience that following “all” of God’s laws will lead to possession of “all” the land."
"The Early Prophets, Joshua, 1.4","From v.12 to the end of the chapter, the text introduces an issue that will never fully be resolved in Joshua. Two and a half tribes out of the twelve request permission to remain on the east bank of the Jordan, in the fertile region known as Gil’ad. On condition that they aid the others in conquering the west bank of Canaan, Yehoshua grants their wish. It is fulfilled in the first part of Chap. 12, but, as the opening of Chap. 22 demonstrates, biblical Israel was apparently ambivalent about the occupation of the eastern territory."
"The Early Prophets, Joshua, 1.5","1:1 Now it was, after the death of Moshe, the servant of Y<small>HWH</small>,"
"The Early Prophets, Joshua, 1.6","that Y<small>HWH</small> said to Yehoshua son of Nun, the attendant of Moshe, saying:"
"The Early Prophets, Joshua, 1.7",2 Moshe my servant is dead.
"The Early Prophets, Joshua, 1.8","So-now, arise, cross this Jordan,"
"The Early Prophets, Joshua, 1.9","you and all this people,"
"The Early Prophets, Joshua, 1.10","into the land that I am giving to them, to the Children of Israel."
"The Early Prophets, Joshua, 1.11","3 Every place that the sole of your foot shall tread,"
"The Early Prophets, Joshua, 1.12","to you I have given it,"
"The Early Prophets, Joshua, 1.13",as I promised Moshe;
"The Early Prophets, Joshua, 1.14","4 from the Wilderness and this Levanon up to the Great River, the River Euphrates,"
"The Early Prophets, Joshua, 1.15","all the land of the Hittites as far as the Great Sea, toward the coming in of the sun,"
"The Early Prophets, Joshua, 1.16",shall be your territory.
"The Early Prophets, Joshua, 1.17","5 No man will stand up before you, all the days of your life;"
"The Early Prophets, Joshua, 1.18","as I was with Moshe, I will be with you,"
"The Early Prophets, Joshua, 1.19","I will not desert you, I will not abandon you!"
"The Early Prophets, Joshua, 1.20",_____________
"The Early Prophets, Joshua, 1.21","1:1 <b>Moshe:</b> Pronounced <i>mo-SHEH;</i> traditional English “Moses.” <b>Y<small>HWH</small>:</b> As explained above in “On Using This Book,” the name of God in the Hebrew Bible, whose pronunciation is not precisely known, is traditionally transcribed as “the Lord.” Here it is printed according to the way it appears in the Hebrew text, and the reader may choose how to say it (other possibilities include “the Eternal,” <i>“Adonai,”</i> etc.). <b>the servant of Y<small>HWH</small>:</b> The use of this title links the beginning of Joshua to the conclusion of Deuteronomy (34:5), emphasizing the unbroken continuity between Moshe and his successor. The term is also attached to David and some of the kings of Judah who followed him, indicating the concept of the sacred task of the biblical leader (Gray 1986). Regarding Moshe it is used fourteen times in the book of Joshua, a significant patterned number (two times seven). <b>Yehoshua:</b> Pronounced <i>yeho-SHOO-ah;</i> trad. English “Joshua.” <b>the attendant of Moshe:</b> Yehoshua’s title already when we first meet him in Exod. 24:13."
"The Early Prophets, Joshua, 1.22","2 <b>arise, cross:</b> Kimhi understands this (starting with Heb. <i>q-y-m</i>) in the spirit of “go cross,” or “go ahead and cross.”"
"The Early Prophets, Joshua, 1.23","3 <b>Every place … to you I have given it:</b> This probably reflects an ancient legal practice of walking out a boundary to establish ownership of territory; see also Gen. 13:14–17, where God has Avraham do the same (Fishbane). The repetition of “give” in the chapter emphasizes that, in ancient legal language, this is a land grant."
"The Early Prophets, Joshua, 1.24","4 <b>this Levanon:</b> Pronounced <i>leh-vah-NOHN;</i> trad. English “Lebanon,” the “white” mountain range to the north of Israel, from which the present-day country derives its name. <b>the land of the Hittites:</b> Most of the references to “Hittites” in the Bible, and Assyrian documents, seem to refer to a localized Canaanite group, which may or may not be related to the more prominent Hittite kingdoms farther north. <b>the Great Sea:</b> The Mediterranean. <b>territory:</b> Heb. <i>gevul</i> can also, as often throughout the book, mean “border, boundary.”"
"The Early Prophets, Joshua, 1.25",5 <b>No man will stand up before you:</b> No one will be able to stand against you. <b>not desert you … not abandon you:</b> A new expression of God’s reassurance; Moshe had been told on several occasions that “I will be with you.”
"The Early Prophets, Joshua, 2.1","The Spies and Their Hostess: Instead of launching into details about the beginning of a military campaign, as ancient Near Eastern battle accounts conventionally do, the Bible here presents a dramatic story with multiple interests. By focusing on a central character, the prostitute Rahav, who is the only named personality in the narrative (Nelson), the text is able to convey the fear in which the citizens of Jericho hold the Israelites, the practical problems and tensions of conquest, and, above all, the hand of God in what is to come. Rahav’s humanity, unexpected as it is, moves the narrative from a dry reconnaissance account to one of emotional depth."
"The Early Prophets, Joshua, 2.2","The story also introduces a key theme in Joshua: trying to explain why some Canaanites are still living among the Israelites in the audience’s time. And since loyalty to God is to be a major factor in the Israelites’ coming military actions, it makes sense to start with a story about Rahav’s and the soldiers’ loyalty to one another."
"The Early Prophets, Joshua, 2.3","Fishbane draws attention to the repetition of “send” in the narrative, which marks both “principal actions … and the main spatial units.” But there is more. The repeating vocabulary of the chapter emphasizes, on the one hand, what one would expect—“spies,” “look over,” “search out,” and “seek”—but also the aforementioned “loyalty” (<i>hesed</i>), and, most notably, a verb which in the Torah is often connected to acknowledgment of God’s power by foreigners: “know” (see v.9). In addition, as McCarthy has shown, the vocabulary of fear in vv.9 and 11—“dread,” “quivering,” and “our hearts melted”—recalls phraseology used in the ancient Near East of a common and potent image, the Divine Warrior."
"The Early Prophets, Joshua, 2.4","The Israelites achieve their first, and perhaps most stunning, victory, then, not through advanced strategy but via the hand of God, and it is typically manifested through an actor of low social status, Rahav. Liberation from bondage in the book of Exodus began with decisive action taken by women (the midwives, Moshe’s mother and sister, and Pharaoh’s daughter); the conquest of the Promised Land opens similarly."
"The Early Prophets, Joshua, 2.5","6 Be strong and courageous,"
"The Early Prophets, Joshua, 2.6",for you yourself will cause this people to inherit the land
"The Early Prophets, Joshua, 2.7",that I swore to your fathers to give them.
"The Early Prophets, Joshua, 2.8",7 Only: be exceedingly strong and courageous
"The Early Prophets, Joshua, 2.9",to take care to observe exactly the Instruction that Moshe my servant commanded you;
"The Early Prophets, Joshua, 2.10","do not turn aside from it, right or left,"
"The Early Prophets, Joshua, 2.11",in order that you may prosper wherever you go.
"The Early Prophets, Joshua, 2.12",8 This Record of the Instruction is not to depart from your mouth—
"The Early Prophets, Joshua, 2.13","you are to recite it day and night,"
"The Early Prophets, Joshua, 2.14",in order that you may take care to observe
"The Early Prophets, Joshua, 2.15",exactly what is written in it;
"The Early Prophets, Joshua, 2.16","for then you will make your way prosper,"
"The Early Prophets, Joshua, 2.17",then you will excel.
"The Early Prophets, Joshua, 2.18",9 Have I not commanded you:
"The Early Prophets, Joshua, 2.19",be strong and courageous!?
"The Early Prophets, Joshua, 2.20","Do not be terrified, do not be dismayed,"
"The Early Prophets, Joshua, 2.21","for with you is Y<small>HWH</small> your God, wherever you go!"
"The Early Prophets, Joshua, 2.22","10 So Yehoshua commanded the officials of the people, saying:"
"The Early Prophets, Joshua, 2.23","11 Cross through the midst of the camp and command the people, saying:"
"The Early Prophets, Joshua, 2.24","Prepare yourselves provisions,"
"The Early Prophets, Joshua, 2.25","for in another three days, you will be crossing this Jordan"
"The Early Prophets, Joshua, 2.26",to come to take possession of the land that Y<small>HWH</small> your God is giving you to possess.
"The Early Prophets, Joshua, 2.27","12 Now to the Re’uvenites and to the Gadites and to the half tribe of Menashe, Yehoshua said, saying:"
"The Early Prophets, Joshua, 2.28","13 Be mindful of the word that Moshe the servant of Y<small>HWH</small> commanded you, saying:"
"The Early Prophets, Joshua, 2.29","Y<small>HWH</small> your God is granting you rest, and will give you this land;"
"The Early Prophets, Joshua, 2.30","14 your wives, your little-ones, and your livestock will stay"
"The Early Prophets, Joshua, 2.31","in the land that Moshe gave them across the Jordan,"
