l,a,n,g,u,a,g,e
s,e,r,v,e,r
v,e,r,s,i,o,n,T,i,t,l,e
v,e,r,s,i,o,n,S,o,u,r,c,e
Torah.1,A<small>CKNOWLEDGMENTS</small>
Torah.2,"I<small>T IS AN IMPOSSIBLE TASK TO ADEQUATELY THANK ALL THOSE WHO HAVE HELPED IN THIS</small> long-term project, in ways great and small. I will therefore have to content myself with mentioning mostly the more recent recipients of my gratitude, with apologies to others for omitting their names."
Torah.3,"First and foremost I should like to thank Professor Edward L. Greenstein of the Jewish Theological Seminary of America, who since before the onset of the Schocken project has given me encouragement, used my material in teaching, and been overly generous with his time and expert advice, particularly philological. He has articulated the rationale for this translation in his writings, and has been a solid support and appropriately meticulous critic in many conversations over the years. Beginning with the book of Exodus, he has also served as painstaking chief reader of my manuscript; I have adopted numerous suggestions of his in both the text and the accompanying material. Our discussions on many words (such as <i>nidda</i> in Lev. 12:2 and <i>yovel</i> in Lev. 25:10) proved decisive for me. That said, all responsibility for what appears in these pages is mine alone."
Torah.4,"Bonny Fetterman at Schocken Books has supplied endless patience, good cheer, and creative solutions to nasty logistical problems of production. Her counsel and support go back many years, and were crucial in getting me through the long haul. Arthur Samuelson, who originally signed me for this project, has returned to Schocken exactly in time to handle the final product’s entry into the world. I am glad to have his energy and expertise on board."
Torah.5,"Professor Steven Hall, as a graduate student at Brandeis University, was of considerable help to me in procuring secondary materials, particularly on Leviticus and Numbers."
Torah.6,"Being on sabbatical in 1993–94 in Israel afforded me the opportunity for a final push on the last three books. I wish to thank the staff at Hebrew Union College in Jerusalem for their kindness in providing me with a well-supplied and quiet library in which to work near my home; the Hebrew University Library was of course also quite helpful. I am also grateful to Avivah Zornberg for the opportunity to attend weekly study sessions with her; her mastery of midrashic and medieval material and their profundities helped to stimulate my rather “plain meaning’-oriented brain in ways which may not be apparent in my text but which are there nevertheless. Lastly, I have the sad task of expressing gratitude too late in print to Joy Ungerleider Mayerson, who died in 1994. As head of the Dorot Foundation, she was kind enough to supply me with a grant for the year to finish this work. As a patroness of many important cultural and religious activities and institutions, she will be profoundly missed."
Torah.7,"I am deeply grateful to all those who over the years have written me or communicated verbally about their experiences using my texts in various settings. This concentrated use of the material—whether in college classes on the humanities, religious schools, synagogue or church services, or private or family study groups—has been a prime influence on my desire and ability to forge ahead with this work."
Torah.8,"Several colleagues deserve mention here for stimulating my thinking and for sharing in the spirit of the project. I should like to thank Professor Lawrence Rosenwald for the wonderful experience of collaborating on the translation and presentation of <i>Scripture and Translation</i>, Buber and Rosenzweig’s collected essays on the Bible and its rendering into German. I am also grateful to Professors Susan Handelman and Lewis Glinert for their insights over the past year, and to Drs. F. J. Hoogewoud and Martin Kessler for introducing me to the work of Dutch scholars, kindred spirits in their approach to the biblical text."
Torah.9,"Two scholars were particularly gracious as this project came to a close: Professor Marc Brettler, who shared with me the galleys of his fine study, <i>The Creation of History in Ancient Israel</i>, and suggested various materials relating to the book of Deuteronomy; and Professor Jeffrey Tigay, who permitted me to see a draft version of his major new commentary on Deuteronomy (to appear as the final volume of the <i>JPS Torah Commentary</i> series). In connection with the latter, I wish also to thank Dr. Ellen Frankel of the Jewish Publication Society for her quick and helpful response."
Torah.10,"I continue to benefit greatly from my colleagues in the Department of Foreign Languages and Literatures at Clark University; their warmth and collegiality around issues of language, identity, and culture are a source of nourishment to me. I wish also to thank the university administration for faculty development funds that they provided me early in the process of translating the final three books."
Torah.11,"I am grateful to many friends who over the years have followed my work with interest and encouragement. Chief among these is William Novak, whose meaningful support and advice have stretched from 1971 to the present."
