I Samuel 1:1,"<b>Ramatayim:</b> Possibly Rama (“Height”), a location frequently associated with Shemuel in the text; it was north of Jerusalem, near the border of what became Israel, the Northern Kingdom. <b>Tzofim:</b> “Watchmen,” but McCarter (1980), following Driver, judges the text corrupt here, and posits “a Tzufite,” after Elkana’s ancestor later in the verse, <b>the highlands of Efrayim:</b> The geographical backbone of what became the Northern Kingdom. <b>Elkana:</b> The name means “God Acquires/Creates.” His son Shemuel will not grow up with his parents, perhaps hinted at here."
I Samuel 1:2,<b>Hanna:</b> Pronounced <i>hahn-NAH;</i> trad. English “Hannah.” <b>Peninna:</b> Pronounced <i>pe-nin-NAH;</i> trad. English “Peninnah.”
I Samuel 1:3,"<b>from year to year</b> (see also v.7, “year after year”): This phrase had occurred in the last chapter of Judges; such links between adjacent texts occur from time to time in the Bible, <b>bow down:</b> This posture of worship, also used in approaching a superior, is on the knees, usually with “nostrils to the earth.” Y<small>HWH</small>: As explained above in “On Using This Book,” the name of God in the Hebrew Bible, whose pronunciation is not precisely known, is traditionally transcribed as “the Lord” and the like. Here it is printed according to the way it appears in the Hebrew text, and the reader may choose how to say it (for example, “The Eternal” or <i>“Ado-nai</i>”). Y<small>HWH</small> <b>of the Forces-On-High:</b> In <i>The Early Prophets</i> this title has a military ring; <i>tzeva’ot</i> may also refer to the concept of a heavenly council of gods from earlier mythological traditions. <b>Shilo:</b> Pronounced <i>shee-LO;</i> trad. English “Shiloh,” one of the important pre-Jerusalem shrines, situated in the highlands of Efrayim. <b>Hofni … Pin’has:</b> Pronounced <i>hof-NEE</i> and <i>pin-HASS.</i> Like a number of early Israelite priestly names, these are Egyptian in origin. Pin’has is trad. English “Phineas” and means “dark-skinned.”"
I Samuel 1:4,"<b>… and she wept … :</b> The narrative picks up from v.4, on a day that Elkana was offering sacrifices; everything in between is the background to Hanna’s weeping."
I Samuel 1:5,"<b>better … than ten sons:</b> As Alter (1999) points out, Elkana’s question is both empathetic and off the mark; how could he understand a barren mother’s feelings?"
I Samuel 1:6,"<b>Eli:</b> Pronounced <i>ay-LEE.</i> <b>throne:</b> Unlike in modern usage, Heb. <i>kissei</i> tends to mean more than a simple “chair” in the Bible. <b>great-hall:</b> Used here to denote the sanctuary."
I Samuel 1:7,"<b>see:</b> The preposition used with the Hebrew verb adds an element of feeling, connoting “look sympathetically.” <b>your maidservant:</b> Referring to oneself in the third person is used in the Bible when one addresses a superior. <b>I will give him to Y<small>HWH</small> … no razor:</b> Hanna here alludes to the Nazirite laws of Num. 6, where in fulfillment of a religious vow, a person would not shave (there are additional provisions and prohibitions). Shemuel, like Shimshon (Judg. 13–16) before him, appears to be Nazirite for life, a concept not found in the Numbers text."
I Samuel 1:8,<b>in the presence of</b> Y<small>HWH</small>: This phrase usually indicates a sacred location or building.
I Samuel 1:9,"<b>took her for a drunkard:</b> Praying, as well as reading and writing, was not a silent activity in the ancient world, hence Eli’s mistaken assessment of Hanna."
I Samuel 1:10,"<b>pouring out my soul:</b> An extremely strong expression; usually in the Bible, the objects of pouring are blood or anger. Here it is also a nice play on imagery, since Hanna has just rightly denied that she has been drinking. Generally I avoid “soul” for Heb. <i>nefesh,</i> which in the Bible does not mean the opposite of “body,” but here, the English has the connotation of “feelings.”"
I Samuel 1:11,"<b>the turning of days:</b> Or “the turning of the year,” namely, a year later. <b>Shemuel:</b> Pronounced <i>sheh-moo-AYL;</i> trad. English “Samuel.” <b>requested:</b> As noted in the Commentary, this verb, <i>sh-’-l,</i> is really associated with the name of Sha’ul (Saul) (see v.28, where “lent-on-request” is vocalized <i>sha’ul</i>)."
I Samuel 1:12,"<b>forever:</b> Permanently, as per her promise in v.11. <b>weaned:</b> Probably around the age of three."
I Samuel 1:13,"<b>three-year-old bull:</b> Following LXX; MT (the standard Hebrew text) has “bulls, three.” <b><i>efa:</i></b> Pronounced <i>ay-FAH.</i> It was a dry measure, perhaps fifteen liters. <b>though the lad was [just] a lad:</b> The Hebrew is strange here; one manuscript of LXX suggests a longer text, describing the family’s pilgrimage."
I Samuel 1:14,<b>lend-him-on-request:</b> Since Heb. <i>sh-’-l</i> can also mean “lend.” <b>they:</b> So ancient versions; MT has “he.”
I Samuel 2:1,<b>my horn is raised:</b> See also <small>V.10.</small> McCarter (1980) notes that “the exalted horn is … a visible sign of success.” See also the use of the image in Bil’am’s blessings in Num. 23:22.
I Samuel 2:2,"<b>rock:</b> Rocks and stones appear frequently in the Bible as symbols of solidity and permanence—for instance, as monuments—and are thus appropriate images for God’s dependability."
I Samuel 2:3,"<b>endure:</b> LXX; MT has “cease.” <b>seven:</b> The number of wholeness or perfection, in the Bible and elsewhere in the ancient Near East."
I Samuel 2:4,"<b>Sheol:</b> Pronounced <i>sheh-OHL.</i> The biblical underworld. Unlike the later concepts of heaven and hell, it appears to be simply a subdued place where the dead rest (see Chap. 28 below), similar to the Greek Hades."
I Samuel 2:5,<b>destitute … dunghill:</b> The Hebrew is not alliterative. <b>world:</b> Or “mainland.”
I Samuel 2:6,"<b>moan:</b> See Levine; <i>d-m-m</i> sometimes has this meaning, as opposed to the traditional “are silent.”"
I Samuel 2:7,<b>king:</b> An anachronism which nicely foreshadows the major concern of the book. <b>anointed one:</b> A synonym for “king”; the verb refers to the practice of consecrating a ruler by pouring oil on his head.
I Samuel 2:8,"<b>base fellows:</b> It is difficult to find an appropriate modern English translation for the phrase; “ne’er-do-wells,” “lowlifes,” or “scoundrels” are older equivalents. Some later scholars have translated the term <i>beliyaal</i> as a devil figure, “Belial.” <b>know:</b> In a deep sense. In solely human contexts, it can refer to sexual relations."
I Samuel 2:9,"<b>fork:</b> Others, “flesh hook.”"
I Samuel 2:10,<b>and would strike … :</b> He would plunge the fork into the vat.
I Samuel 2:11,"<b>not … boiled flesh … only raw:</b> By not burning away the fat first, as was the ritual requirement, the lads were committing an act of sacrilege (see Lev. 3:16–17)."
I Samuel 2:12,"<b><i>efod:</i></b> Pronounced <i>ay-FODE,</i> an apron-like priestly garment which covered the torso, described in Exod. 28:6ff."
I Samuel 2:13,"<b>cloak:</b> Shemuel’s adult cloak will play an important role in his relationship with Sha’ul, the king whom he will later anoint."
I Samuel 2:14,<b>their:</b> So ancient versions; MT has “his.”
I Samuel 2:15,"<b>Indeed:</b> 4QS<sup>a</sup> has, more likely, “And.” <b>took account:</b> The same expression is used regarding the previously barren Sara in Gen. :1. <b>in the presence of:</b> Reading <i>lifnei, as</i> in 4QS<sup>a</sup> and LXX, in place of MT’s ’<i>im</i>, “with.”"
I Samuel 2:16,"<b>to all Israel:</b> Thus stressing the serious nature of their offenses. <b>they were lying with the women:</b> Alter notes the appetite parallels between food and sex which are roundly condemned in this chapter. <b>acting-as-a-workforce:</b> That is, serving at various tasks at the sanctuary. <b>Tent of Appointment:</b> A pre-Temple sanctuary, identified here with the one the Israelites carried around in the wilderness after the Exodus."
I Samuel 2:17,"Y<small>HWH</small> <b>desired to have them die:</b> Here, as elsewhere, the book is moving toward the establishment of the monarchy, so Eli’s sons have to be removed from the picture."
I Samuel 2:18,"<b>Father’s House:</b> A social unit smaller than a tribe, similar to an extended family."
