I Kings 1:1,1
I Kings 1:2,2
I Kings 1:3,3
I Kings 1:4,4
I Kings 1:5,5
I Kings 1:6,6
I Kings 1:7,7
I Kings 1:8,8
I Kings 1:9,9
I Kings 1:10,10
I Kings 1:11,11
I Kings 1:12,13
I Kings 1:13,14
I Kings 1:14,16
I Kings 1:15,17
I Kings 1:16,21
I Kings 1:17,30
I Kings 1:18,33
I Kings 1:19,34
I Kings 1:20,35
I Kings 1:21,36
I Kings 1:22,38
I Kings 1:23,39
I Kings 1:24,40
I Kings 1:25,41
I Kings 1:26,42
I Kings 1:27,50
I Kings 1:28,51
I Kings 1:29,52
I Kings 2:1,1
I Kings 2:2,2
I Kings 2:3,4
I Kings 2:4,5
I Kings 2:5,6
I Kings 2:6,7
I Kings 2:7,8
I Kings 2:8,9
I Kings 2:9,11
I Kings 2:10,13
I Kings 2:11,15
I Kings 2:12,16
I Kings 2:13,20
I Kings 2:14,22
I Kings 2:15,24
I Kings 2:16,25
I Kings 2:17,27
I Kings 2:18,28
I Kings 2:19,29
I Kings 2:20,31
I Kings 2:21,32
I Kings 2:22,34
I Kings 2:23,36
I Kings 2:24,37
I Kings 2:25,38
I Kings 2:26,39
I Kings 2:27,42
I Kings 2:28,44
I Kings 3:1,1
I Kings 3:2,2
I Kings 3:3,3
I Kings 3:4,4
I Kings 3:5,5
I Kings 3:6,7
I Kings 3:7,9
I Kings 3:8,10
I Kings 3:9,15
I Kings 3:10,26
I Kings 3:11,27
I Kings 3:12,28
I Kings 4:1,2
I Kings 4:2,3
I Kings 4:3,5
I Kings 4:4,6
I Kings 4:5,7
I Kings 4:6,8
I Kings 4:7,17
I Kings 4:8,18
I Kings 4:9,19
I Kings 4:10,20
I Kings 5:1,1
I Kings 5:2,2
I Kings 5:3,4
I Kings 5:4,5
I Kings 5:5,6
I Kings 5:6,8
I Kings 5:7,10
I Kings 5:8,11
I Kings 5:9,12
I Kings 5:10,15
I Kings 5:11,17
I Kings 5:12,20
I Kings 5:13,25
I Kings 5:14,26
I Kings 5:15,28
I Kings 5:16,32
I Kings 6:1,1
I Kings 6:2,2
I Kings 6:3,3
I Kings 6:4,5
I Kings 6:5,6
I Kings 6:6,7
I Kings 6:7,8
I Kings 6:8,9
I Kings 6:9,11
I Kings 6:10,16
I Kings 6:11,17
I Kings 6:12,18
I Kings 6:13,20
I Kings 6:14,23
I Kings 6:15,24
I Kings 6:16,29
I Kings 6:17,31
I Kings 6:18,36
I Kings 6:19,37
I Kings 6:20,38
I Kings 7:1,2
I Kings 7:2,5
I Kings 7:3,7
I Kings 7:4,8
I Kings 7:5,13
I Kings 7:6,14
I Kings 7:7,15
I Kings 7:8,17
I Kings 7:9,18
I Kings 7:10,20
I Kings 7:11,21
I Kings 7:12,23
I Kings 7:13,25
I Kings 7:14,26
I Kings 7:15,27
I Kings 7:16,28
I Kings 7:17,30
I Kings 7:18,32
I Kings 7:19,34
I Kings 7:20,36
I Kings 7:21,38
I Kings 7:22,40
I Kings 7:23,46
