II Kings 1:1,1
II Kings 1:2,2
II Kings 1:3,3
II Kings 1:4,5
II Kings 1:5,8
II Kings 1:6,9
II Kings 1:7,10
II Kings 1:8,12
II Kings 1:9,13
II Kings 1:10,17
II Kings 2:1,1
II Kings 2:2,3
II Kings 2:3,6
II Kings 2:4,8
II Kings 2:5,11
II Kings 2:6,12
II Kings 2:7,14
II Kings 2:8,20
II Kings 2:9,21
II Kings 2:10,22
II Kings 2:11,23
II Kings 2:12,24
II Kings 3:1,2
II Kings 3:2,4
II Kings 3:3,7
II Kings 3:4,8
II Kings 3:5,11
II Kings 3:6,13
II Kings 3:7,15
II Kings 3:8,17
II Kings 3:9,19
II Kings 3:10,21
II Kings 3:11,22
II Kings 3:12,24
II Kings 3:13,25
II Kings 3:14,26
II Kings 3:15,27
II Kings 4:1,1
II Kings 4:2,8
II Kings 4:3,12
II Kings 4:4,13
II Kings 4:5,16
II Kings 4:6,23
II Kings 4:7,25
II Kings 4:8,27
II Kings 4:9,28
II Kings 4:10,29
II Kings 4:11,34
II Kings 4:12,35
II Kings 4:13,39
II Kings 4:14,40
II Kings 4:15,41
II Kings 4:16,42
II Kings 4:17,43
II Kings 5:1,1
II Kings 5:2,3
II Kings 5:3,6
II Kings 5:4,7
II Kings 5:5,8
II Kings 5:6,10
II Kings 5:7,13
II Kings 5:8,16
II Kings 5:9,17
II Kings 5:10,18
II Kings 5:11,20
II Kings 5:12,24
II Kings 5:13,26
II Kings 6:1,5
II Kings 6:2,6
II Kings 6:3,8
II Kings 6:4,10
II Kings 6:5,11
II Kings 6:6,13
II Kings 6:7,18
II Kings 6:8,19
II Kings 6:9,21
II Kings 6:10,23
II Kings 6:11,25
II Kings 6:12,26
II Kings 6:13,28
II Kings 6:14,30
II Kings 6:15,32
II Kings 6:16,33
II Kings 7:1,1
II Kings 7:2,2
II Kings 7:3,4
II Kings 7:4,8
II Kings 7:5,9
II Kings 7:6,13
II Kings 7:7,15
II Kings 8:1,1
II Kings 8:2,3
II Kings 8:3,6
II Kings 8:4,9
II Kings 8:5,10
II Kings 8:6,11
II Kings 8:7,13
II Kings 8:8,15
II Kings 8:9,16
II Kings 8:10,18
II Kings 8:11,19
II Kings 8:12,21
II Kings 8:13,22
II Kings 8:14,25
II Kings 8:15,26
II Kings 8:16,27
II Kings 8:17,28
II Kings 8:18,29
II Kings 9:1,2
II Kings 9:2,4
II Kings 9:3,13
II Kings 9:4,14
II Kings 9:5,17
II Kings 9:6,19
II Kings 9:7,20
II Kings 9:8,21
II Kings 9:9,22
II Kings 9:10,23
II Kings 9:11,24
II Kings 9:12,25
II Kings 9:13,26
II Kings 9:14,27
II Kings 9:15,30
II Kings 9:16,31
II Kings 9:17,33
II Kings 9:18,36
II Kings 10:1,1
II Kings 10:2,2
II Kings 10:3,3
II Kings 10:4,6
II Kings 10:5,10
II Kings 10:6,11
II Kings 10:7,12
II Kings 10:8,13
II Kings 10:9,15
II Kings 10:10,17
II Kings 10:11,18
II Kings 10:12,19
II Kings 10:13,20
II Kings 10:14,21
II Kings 10:15,22
II Kings 10:16,25
II Kings 10:17,26
II Kings 10:18,32
II Kings 10:19,33
II Kings 10:20,35
II Kings 11:1,2
II Kings 11:2,4
II Kings 11:3,6
II Kings 11:4,8
II Kings 11:5,9
II Kings 11:6,10
II Kings 11:7,11
II Kings 11:8,12
II Kings 11:9,14
II Kings 11:10,15
II Kings 11:11,16
II Kings 11:12,18
II Kings 11:13,20
II Kings 12:1,2
II Kings 12:2,5
