א,ב,"(מג""א ס""ק ד) הן בקיץ. נ""ב פירוש שוות, ולתפילה חושבין שעות זמניות וק""ל. [עיין שו""ת חתם סופר אורח חיים סימן קצ""ט מה שכתב על דבר סתם שעות המוזכרות בש""ס ופוסקים בדוכתי טובא, והאריך לבאר ענין שעות זמניות ושעות שוות, ושמצינו כמה פעמים שעה שהוא רק זמן מועט]:","@11במג""א ס""ק ד' @33הן בקיץ נ""ב פי' שוות ולתפילה חושבין שעות זמניות וק""ל [ע' ח""ס או""ח סי' קצ""ט מ""ש ע""ד סתם שעות המוזכרות בש""ס דפוסקים בדוכתי טובא והאריך לבאר ענין שעות זמניות ושעות שוות ושמצינו כמה פעמים שעה שהוא רק זמן מועט:"
,ז,"(מג""א ס""ק יא) דחלילה לצדיקים. נ""ב ועיין ש""ך יורה דעה סימן (ר""ט) [רלט] ס""ק כ""ח ומ""ש שם על הגליון יז]:","@11(שם ס""ק י""א) @33דחלילה לצדיקים נ""ב ועיין ש""ך יו""ד סי' ר""ט ס""ק כ""ח ומ""ש שם על הגליון:"
ג,יב,"(מג""א ס""ק יב) אבל לא בפני עכו""ם. נ""ב אפשר דצ""ל אפילו לא בפני גוי, ואתי שפיר הראיה דמייתי ממסכת ע""ז דף מ""ז עיין שם. ונראה אבל לא בפני עבודה זרה ממש משום פוער עצמו לפעור ואפילו אין עבודתה בכך אסור, וצ""ע:","@11במג""א ס""ק י""ב @33אבל לא בפני גוי. נ""ב אפשר דצ""ל אפי' לא בפני גוי ואתי שפיר הראיה דמייתי ממס' ע""ז דף מ""ז ע""ש ונראה אבל לא בפני ע""ז ממש משום פוער עצמו לפעור ואפי' אין עבודתה בכך אסור וצ""ע:"
ד,א,"(מג""א ס""ק א) חייב מיתה. כבר צווחו קמאי על זה, ועיין מהר""ם מלונזאנו בספר שתי ידות בדרך חיים [צה, א] שהכחיש זה:","@11במג""א ס""ק א' @33חייב מיתה כבר צווחו קדמאי על זה ועיין מהר""ם מלונזאני בספר שתי ידות ודרך חיים שהכחיש זה:"
ח,ג,"(מג""א ס""ק ד) ועיין סימן י' סעיף ו' . נ""ב סעיף י""א כצ""ל:","@11במג""א ס""ק ד' @33ועיין סי' י' סעיף ו' נ""ב סעיף י""א כצ""ל:"
,ט,"(מג""א ס""ק יא) נ""ב אע""ג דהתם בא להוציא מחזקת איסור אבר מן החי, כמו שכתב המ""א לקמן סימן תל""ז [ס""ק ד] ע""ש, מכל מקום התם הוי רוב מצויין מומחים, ורוב בני אדם בודקים בתיהם כדין, ורוב עדיף מחזקת איסור. ואפילו הכי אמרינן דאותו עדיפות שיש להרוב על החזקה, לא מועיל לכתחילה היכא דאיכא לברורי, והוא הדין נמי הכא בציצית דליכא רק חזקה ולא רוב, צריך לברר. מה שאין כן בטריפות דהוי רובא כשרין. וק""ל:","@11(שם) @33ס""ק י""א כמ""ש ביו""ד סי' א', נ""ב אע""ג דהתם בא להוציא מחזקת איסור אבר מן החי כמ""ש המנ""א לקמן סי' תל""ז ע""ש מ""מ התם הוי רוב מצויין מומחים ורוב בני אדם בודקים בתיהם כרין ורוב עדיף מחזקת איסור ואפי' הכי אמרינן דאותו עדיפות שיש להרוב על החזקה לא מועיל לכתחלה היכא דאיכא לברורי וה""ה נמי הכא בציצית דליכא רק חזקה ולא רוב צריך לברר משא""כ בטריפות דהוי רובא כשרין וק""ל:"
,יב,"(מג""א ס""ק יד) נ""ב דיש לברך כצ""ל:","@11(שם) @33ס""ק י""ד דאין לברך. נ""ב דיש לברך כצ""ל:"
ט,ד,"(מג""א ס""ק ד) בצמר גפן ופשתן. נ""ב וצמר. כצ""ל:","@11במג""א ס""ק ד' @33בצמר גפן ופשתן, נ""ב וצמר כצ""ל:"
,ו,"(מג""א ס""ק ח) נ""ב ויש לחלק, דהכא אין עיקר הבגד ראוי לציצית אלא על ידי הכנפות, והוה ליה כנפות עיקר, ולא בטלו לגבי בגד:","@11(שם) @33ס""ס ח' עיין סי' י' ס""ד, נ""ב ויש לחלק דהכא אין עיקר הבגד ראוי לציצית: אלא על ידי הכנפות והו""ל כנפו' עיקר ולא בטלו לגבי בגד:"
יא,ב,"(שו""ע סעיף ב)","@11מחבר סעי' ב' @33להרא""ש כשר, נ""ב עיין ד""מ:"
,,"(ט""ז ס""ק ב) דתניא בספרי נ""ב נראה לי כוונת תשובת הרמב""ם [שו""ת פאר הדור סימן כא] שבב""י [טו, א ד""ה וצריך]. דהקשה הרמב""ם לפי הספרי בודאי שצריכים חוט כפול ששה, דהרי אין גזירה שוה למחצה, וכיון דסתם ש""ס פרק בתרא דעירובין [צו, ב] לא קאמר כגון שכפל ששה, דכולי האי ודאי לא טרח אינש, ומדלא שני הכי, ש""מ דקים להו דרבנן פליגי ארבי שמעון דספרי, ולא ילפינן גזירה שוה, ורק שזורים נהגו עלמא משום נוי, ולא מגזירה שוה כלל, וצדקו דברי הרמב""ם לפענ""ד:","@11(שם) @33ט""ז ס""ק כ' דתניא בספרי נ""ב נ""ל כוונת תשובת הרמב""ם שבב""י דהקשה הרמב""ם לפי הספרי בודאי שצריכים חוט כפול ששה דהרי אין גז""ש למחצה וכיון דסתם ש""ס פרק בתרא דעירובין לא קאמר כגון שכפל ששה דכולי האי ודאי לא טרח אינש ומדלא שני הכי ש""מ דקים להו דרבנן פליגי אר""ש דספרי ולא ילפינן גז""ש ורק שזורים נהגו עלמא משום נוי ולא מגז""ש כלל וצדקו דברי הרמב""ם לפענ""ד:"
,ח,"(מג""א ס""ק יב) נ""ב וצ""ע מריש פרק ראשית הגז [חולין קלה, א], וע""ש בתוספות יום טוב משנה ב' [ד""ה לא]. וכהאי גוונא הקשו התוספות בעבודה זרה דף מ""ו [ע""ב] ד""ה כל, ותירוצם לא שייך הכא וצ""ע:","@11(שם במג""א ס""ק י""ב). @33נ""ב וצ""ע מריש פרק ראשית הגז וע""ש בתוס' יו""ט משנה ב'. וכה""ג הקשו התוס' בע""ז דף מ""ו ד""ה כל ותירוצם לא שייך הכא וצ""ע:"
,ט,"(מג""א ס""ק יג) סוף כלאים. נ""ב וי""ל דסבירא ליה לבעל העיטור כהרמב""ם פ""א מהלכות ציצית הלכה (ז') [ו] דכתב ויהיה אחד משמונה חוטין תכלת ושבעה חוטין לבן. וכן כתב ב""י [יד, ב ד""ה מצות] בשמו, דחוט אחד עושה חצי לבן וחצי תכלת, נמצא שאינו מכניס התכלת כי אם לנקב אחד, ואין בו אלא תכיפה אחת, ואי לאו שקושר קשר עליון ליכא כלאים. ואולי סבירא ליה להרמב""ם כהעיטור והיה קשה לו קושית המ""א, ומזה הוכיח שיטתו דליכא אלא חצי תכלת, ולא כהראב""ד שם, ע""ש. וק""ל:","@11(שם ס""ק י""ג) @33סוף כלאים. נ""ב וי""ל דס""ל לבעל העיטור כהרמב""ם פ""א מהלכות ציצית הלכה ז' דכתב ויהיה אחד משמונה חוטין תכלת ושבעה חוטין לבן וכ""כ ב""י בשמו דחוט א' עושה חצי לבן וחצי תכלת נמצא שאינו מכניס התכלת כי אם לנקב א' ואין בו אלא תכיפ' אחת ואי לאו שקושר קשר עליון ליכא כלאים, ואולי ס""ל להרמב""ם כהעיטור והיה קשה לו קושית המג""א ומזה הוכיח שיטתו דליכא אלא חצי תכלת ולא כהראב""ד שם ע""ש וק""ל:"
יב,א,"(שו""ע סעיף א) שמא נפסק. נ""ב שמעתי מקשים, נימא כל דפריש מרובא פריש. ונראה לי דהרי אין אנו דנים על הנתקין שאינן לפנינו, אלא על החוטין התלוין והם קבועים, וכמחצה על מחצה דמי:","@11במחבר סעיף א' @33שמא נפסק. נ""ב שמעתי מקשים נימא כל דפריש מרובא פריש, ונ""ל דהרי אין אנו דנים על הנתקין שאינן לפנינו אלא על החוטין התלוין והם קבועים וכמחצה על מחצה דמי."
