Yeriot Shlomo on Torah, Devarim 1	@11מה שפירש"י יוסיף יי' עליכם וגו' @22זו משלי אבל הוא יברך כו' קשה ס"ס מה השיב להן מ"מ נתן קצבה לברכתו ומה תועלת בברכתו ונראה לי דה"פ זו משלי כלומר אני מוסיף על ברכת יי' שיהיה אלף פעמי' ר"ל מה שאתם עתידים להיות בברכת ה' יוסיף ה' עוד עליכם אלף פעמים וזהו מה שאמר זו משלי כו' ודוק מהרש"ל ועיין בפירש"י דספר שמואל ב' סימן כ"ד בפסוק ויאמר יואב דשם משמע דלא כוותיה ע"ש כנ"ל . 	NULL
Yeriot Shlomo on Torah, Devarim 2	@11בד"ה נכנס אחרון כו' @22והקשה מורי מהר"ל מפראג נר"ו הלא אסור לעשות כן מדכתיב גבי זקן ויראת כדאיתא בקידושין לכך פירש הוא דלכך נכנס אחרון משום שאין דרך כבוד לת"ח שימתין הוא על אחרים ויצא ראשון משום שאין כבוד שילכו ממנו ויניחו אותו לבד ולפ"ז הא דכתבו הרמב"ם והטור ואין שבח נתלמיד חכם שיכנס באחרונה א"כ עדיין הקושיא במקומה עומדת דהכא אמרינן שהת"ח יכנס באחרונה ואלו הרמב"ם והטור כתבו שאין שבח לת"ח שיכנס באחרונה וצ"ל לפי' מורי דודאי נכנס אחרון משום כבודו אבל מ"מ לא יהיה מחשבתו כדי שיעמדו מלפניו כך צ"ל לפי דעתו אמנם ג"כ לפירש הרא"ם ז"ל י"ל דודאי הת"ח לא יכנס באחרונה כדי שלא יעמדו לפניו והא דאמרי' הכא נכנס אחרון היינו שהעם מחויבין לחלוק לו כבוד ולקרות לו באחרונה לב"ה כדי שיהא נכנס אחרון וכל העם עומדים בכניסתו וכן יאמרו לו שיצא ראשון כדי שיהיו כל העם עומדין ביצאתו כנ"ל ליישב דברי הרא"ם ז"ל אמנם בספרי שלנו ובילקוט נאמר נכנס ראשון ויצא אחרון ובודאי כך היתה גירסתם של הרמב"ם והטור לכך כתבו ואין שבח לת"ח שיכנס באחרונה ומצאתי בספר ישן נושן מוכתב על קלף דלכך יצא אחרון כדי שכל העם ימתינו עליו וילוו לביתו ואפשר דכפשוטו הוא דלכך יצא אחרון כדי שלא יעמדו מלפניו ביציאתו ודוק כנ"ל:	Mizrachi, Deuteronomy 1:15:4
Yeriot Shlomo on Torah, Devarim 3	@11בד"ה ויאמרו כו' בסופו @22ובאמ' לדעתי שהרא"ם ז"ל לא דק שרש"י ז"ל כתב שמה שנאמר בפר' דברים ויאמרו טובה הארץ לא היתה הכוונה רק על יהושיע וכלב לפי שהמרגלי' האחרים מעולם לא אמרו על הארץ שהיא טובה אבל אמרו זבת חלב ודבש היא ולא אמרו טובה היא רק יהושיע וכלב שנאמר ויהושיע בן נון וכלב בן יפונה מן התרים וגו' טובה הארץ מאד כי לא תקרא הארץ טובה בהיות ארץ זבת חלב ודבש אדרבה ארץ אוכלת יושביה ואין מקום לטענת הרא"ם על רש"י לשון ספר מעשה יי':	Mizrachi, Deuteronomy 1:25:1
Yeriot Shlomo on Torah, Devarim 4	@11בד"ה אבל משילוח מרגלים כו' ז"ל פענח רזא @22הקשה מהר"ח הרי אשכחן טובא וידבר יי' אל משה ותירץ דמצות עשה ודאי נאמרו בלשון וידבר אבל היכא דאינה מצוה לא נאמרה רק באמירה בר מהכא והדיבור יותר בחוזק ומפורסם מן האמירה דדיבור בקושי הוא כדכתיב דיבר אדוני הארץ אתנו קשות עכ"ל @22ולפ"ז ג"כ יתורץ קושיו' הרא"ם ז"ל אך תימה דהא הכא ג"כ מצוה היא וצ"ע אמנם במקצת ספרים וכן בדפוס פראג גרסי ברש"י אבל משלוח מרגלים ועד כאן לא נאמר בפ' זו וידבר יי' ור"ל דבפר' דברים לא נאמר משילוח מרגלים וע"כ לשון דיבור רק לשון אמירה א"נ אף דמקודם נאמרו לשון דיבור לא נתייחד עמו בדיבו' בלשון חיבה כו' וכן משמע מלשון רש"י דבס"פ בג' פרקים דגרסי' שם עד שלא כלו מתי מדבר לא היה דיבור עם משה ופרש"י שם לא היה הדיבור עם משה ביחוד וחיבה דכתיב וידבר יי' אלי לאמור אלי נתייחד בדיבור ואע"ג דמיקמי הכי כתיבי קראי וידבר איכא דאמרי לא היה פה אל פה אלא בחזיון לילה עכ"ל ודוק כנ"ל:	Mizrachi, Deuteronomy 2:18:1
Yeriot Shlomo on Torah, Devarim 5	@11בסה"ד נכתב בצידו @22ואין זה קושיא כי כל מקום שכתו' דיבר אצל יי' מיוחד הוא חיבה בפרט כשמספר הדיבור מה שמדבר עמו עיין בפר' כי תשא גבי וידבר יי' אל משה גבי מעשה עגל ועיין בתחילת פר' וארא מהרש"ל:	NULL
Yeriot Shlomo on Torah, Devarim 6	@11מה שפירש"י תחת כל השמים @22למד שעמדה חמה למשה ביום מלחמת עוג כו' תימה דמקרא זה איירי במלחמת סיחון ולמה הזכיר עוג והאמת דבגמ' פר' אין מעמידין נאמר סתמא שעמדה חמה למשה ושם פירש"י במלחמת סיחון ע"כ נראה דט"ס הוא בכאן וצ"ל ביום מלחמת סיחון ובבחיי פר' זו נאמר ג"כ במלחמת עוג ובודאי ג"כ ט"ס הוא כנ"ל:	NULL
Yeriot Shlomo on Torah, Devarim 7	@11בד"ה כאשר עשו כלה כו' @22לא קאי אלא אעמוני ובפר' כי תצא פירש הרמב"ן בהדיא דטעמא דעל דבר אשר לא קדמו אתכם לא קאי אלא אעמוני וטעמא דאשר שכר עליך קאי אמואבי ע"ש כנ"ל:	Mizrachi, Deuteronomy 2:30:1
Yeriot Shlomo on Torah, Vaetchanan 1	@11מה שפירש"י לא תנאף אין לשון ניאוף כו' @22מקשין העולם הלא כבר פירש"י זה בפר' יתרו ולמה חזר ופיר' זה בכאן יותר מבכל עשרת הדברות ונראה לי שלא תימא משנה תורה לאסופי קאי ולא תנאף דהכא איירי אפילו בזנות פנויה ונאמ' ג"כ שיהיה באזהרת לא תנאף לכך פירש"י שאין לשון לא תנאף אלא בא"א אבל בפנויה אינו בלאו והא דלא מפרש ג"כ דלא תגנוב איירי בגונב נפשו' שלא נאמר דאיירי בגונב ממון משום דמשנה תורה לאסופי קאתי משום דלא נ"מ בזה דבגניבות ממון ג"כ הוא בלאו מדכתיב לא תגנבו משא"כ בזנות דפנויה דאינו בלאו כנ"ל ובביאורי מהר"י העכנג ז"ל ראיתי משום דכתיב כאן לא תרצח ולא תנאף בוי"ו וה"א לא תרצח הבעל ולא תנאף עם אשתו וא"כ איירי בפנויה לכך הוצרך לפרש דאיירי בא"א ודוק:	NULL
Yeriot Shlomo on Torah, Vaetchanan 2	@11מה שפירש"י מזוזת חסר כתיב שאין צריך אלא אחת @22אין הפירוש שאם היו הרבה פתחים לבית אחד אינו חייב אלא במזוזה אחת דבהדיא פסקי' בגמ' דכל השערים חייבין במזוזה חוץ ממקצתן השנוי' שם אלא ה"פ שאם לא היה לבית רק פצים אחד דהיינו מזוזה אחת אפ"ה חייב הבית במזוזה והיינו כר"מ דבפ' הקומץ רבה ואף שחכמים פליגי עליה התם וס"ל דאינו חייב במזוזה אלא כשיש לבית שני מזוזות מ"מ תפש רש"י כר"מ משום דתלמודא מייתי שם דרבי ישמעאל ור"ע ס"ל כר"מ אבל מהרר"א מפראג ז"ל הגיה ברש"י שא"צ אלא על אחת ור"ל שאין עושין מזוזה רק במזוזה אחת של הבית ולא נימא שעושין שני מזוזות בשני מזוזות הבית ולא נהירה דפשיטא דאין עושין שתי מזוזות בשני מזוזות הבית מדאיצטריך ביתך דדרשינן מיניה במנחות דרך ביאתך וכי עקר אינש כרע' דימינ' עקר ברישא ועוד קשה לפי פירושו דדין זה לא אישתמט לא בתלמוד ולא בשום מדרש אמנם בספר ישן והוא פיר' על הספרי מצאתי שהבין ג"כ דאיירי במזוזה הנכתבת ולא מיירי במזוזת הבית וכתב עוד וא"ת טעמא למזוזה אחת ל"ל תפ"ל מדכתיב ביתך דדרשינן דרך ביאתך כו' וי"ל דאי לאו טעמא למזוזה אחת לא הוה דרשינן דרך ביאתך מן הימין א"נ ה"א לעולם ליבעי שני מזוזות והא דקאמר דרך ביאתך מן הימין היינו להניח בימין ברישא עכ"ל וז"ל הבחיי ודרשו רז"ל מזזת כתיב שאין צריך מזוזה אלא באחת כלומר מצד אחד בלבד והוא צד ימין וזהו שאמרו ביתך דרך ביאתך זהו מימין כניסתך דכי עקר אינש כרע' דימינא עקר ברישא ע"כ והיינו כפירש מהר"א ז"ל דלעיל כנ"ל:	NULL
Yeriot Shlomo on Torah, Vaetchanan 3	@11בד"ה מבית עבדים כו' @22אלא עבדים ולא נהירא אלא דקשה לרש"י הלא לא היו עבדים רק לפרעה וקרא משמע שהיו עבדים לעבדי' וכן פרש"י גופא בהדיא בפ' וישמע יתרו ע"ש כנ"ל:	Mizrachi, Deuteronomy 6:12:1
