Yeriot Shlomo on Torah, Bereshit 1	@11בד"ה ומה טעם כו' ולפי זה כו' @22נ"ב ולי נראה דה"ק אפילו אם ת"ל שמחוייב להתחיל בספירת האבו' ותולדותיהן איך נתייחסו ולספר כל מקרה שלהן וכל גילגוליהן עד שקבלו התורה ס"ס מ"ט פתח בבראשית ודוק מהרש"ל 	Mizrachi, Genesis 1:1:3
Yeriot Shlomo on Torah, Bereshit 2	@11בד"ה משום כח כו' הוא משכר כו' @22נ"ב ולי נראה דאם ירושת הארץ היתה גזילה ובמול ח"ו א"כ תפול התורה וישראל בכללה ודוק מהרש"ל. 	Mizrachi, Genesis 1:1:4
Yeriot Shlomo on Torah, Bereshit 3	@11בד"ה בראשית כו' אפשר לפרש @22נ"ב ונ"ל דה"ק אף אם תרצה לדרוש אחר פשוטו מ"מ מוכרח אתה להודו' מה שדרשו רבותינו דאם לא כן למה לא כתבה התורה כפשוטה או לא היה לו לכתוב אלא בבריאת אלהים את השמים ואת הארץ כו' ודוק מהרש"ל. 	Mizrachi, Genesis 1:1:8
Yeriot Shlomo on Torah, Bereshit 4	@11בד"ה ה"ג בראשית כו' ואחר זה יבאר @22נ"ב ואני קבלתי דה"פ תחילת בריאת של שמים וארץ כלומר צורך ותיקון שלהם כאשר היותם תהו ובהו כו' מה היתה תחילת הבריאה אור כלומר דרך משל אם החדר בנוי כל ד' דפנות ועדיין לא בנוי מבפנים מה תחילת בניינו החלונות ומשום הכי כתב ויאמר הקב"ה שהוא הבנאי האמיתי יהי אור ודוק מהרש"ל:	Mizrachi, Genesis 1:1:10
Yeriot Shlomo on Torah, Bereshit 5	@11בד"ה בראשי' כו' והרי"ש בחולם @22נ"ב גם בנוסחא שלנו אינו כן מהרש"ל:	NULL
Yeriot Shlomo on Torah, Bereshit 6	@11בד"ה ולא נאמר כו' שאמר בסוף @22נ"ב ותימה א"כ מה היינו דקאמר רש"י אחר כך ודוק לכן נ"ל דה"ק ע"כ לא ברא את העולם במדת הדין דא"כ כבר היה העולם כלה ולא היה ארך אפים ושום ריצוי אלא ע"כ בהכרח ברא השם במדת הרחמי' א"כ למה לא נאמר ברא יי' ודוק מהרש"ל:	Mizrachi, Genesis 1:1:17
Yeriot Shlomo on Torah, Bereshit 7	@11בד"ה תהו שאדם כו' אינו פי' של מלת ובהו כו' @22נ"ב אבל לי נראה שודאי רש"י פי' אחר דקדוק לשון הקודש ואל תשגיח בדברי אונקלוס או בדברי ב"ר שהם מפרשים לפי תואר הענין ובעבור זה פי' רש"י ריקות וצדות כלומר להודיע שלשון צידות שפי' התרגום על תהו אינו לפי דקדוק לשון הקודש אלא אף הוא משמש בבהו אבל תהו לשון המתאה את האדם ומשמם אותו בבלבול הדעת ואינו כלשון שממה שנופל עליו ריקות ודוק מהרש"ל:	Mizrachi, Genesis 1:2:1
Yeriot Shlomo on Torah, Bereshit 8	@11בד"ה כסא הכבוד כו' שלא יתכן לפרש כו' @22נ"ב ולי נראה שעל הרוח ממש של הקב"ה אינו שייך לו יחוד מקום וגבול מה שאין כן בכסא הכבוד לפי דעת המקובלים ואל תשגיח בדעת הפילוסוף ודוק והעיקר נראה בעיני שאין שייך לומר רוח אצל השם אם לא כשמשפיע על האדם אבל לא שיהיה עומד בעצמו כמו כאן ורוח אלהים מרחפת על פני המים דאם כן הוה מורכב הוא והרוח שבו ודוק הטיב מהרש"ל:	Mizrachi, Genesis 1:2:3
Yeriot Shlomo on Torah, Bereshit 9	@11בד"ה לפי סדר כו' בב"ר אמרו כו' @22נ"ב פי' מאחר שלא כתב שני ימים ג' ימים ודוק מהרש"ל:	Mizrachi, Genesis 1:5:1
Yeriot Shlomo on Torah, Bereshit 10	@11בד"ה שאף על פי כו' ברא את @22נ"ב אין צורך לפי מה שפרשתי לעיל מהרש"ל:	Mizrachi, Genesis 1:6:1
