masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Beitzah,עמודי ירושלים,1,0,1b,"@11עגל @33שנולד ביו""ט כו'. הגע בעצמך כו'. עי' בקרבן העדה מה שפירש והוא פי' רחוק ודחוק. וגם לפי פירושו נשאר הירושלמי בקושיא וגם לשון הגע עצמך לא משמע שיהיה קושיא אולם ראה נא מ""ש הרב המאירי בפי' לביצה (ד""ו) בביאור הירושלמי ויאירו עיניך:","עגל שנולד ביו""ט כו'",Jerusalem Talmud Beitzah 1:1:5,"עגל שנולד בי""ט מותר שהוא מתיר עצמו לשחיטה רבי זעירא בעי מעתה מדברית תהא מותרת שהיא מתרת עצמה בשחיטה צבייה תהא מותרת שהיא מתרת עצמה בשחיט' חזר ר' זעירה ואמר עגל מאתמול הוא גומר ברם הכא בו ביום נגמרה בו ביום נולדה א""ר בא אתייא כמאן דאמר הבהמה יולדת לחדשים מקוטעין ברם כמאן דאמר בהמה יולדת לחדשים מסויימין הגע עצמך שסיים אימתי עלה עליה זכר גוזל שנולד ביום טוב מותר שהוא מתיר עצמו בשחיטה לא כן תני ביצים שריקימו גוזלים שלא העלו עליהן כנפים אסורין משום שקץ ואין לוקין עליהם משום נבלה ואמר רבי חגי ואפילו שחטן א""ר אבון תיפתר באילין דנפקין וכנפיהון עליהן"
Beitzah,עמודי ירושלים,1,0,2a,"@11אסורות @33משום שקץ ואין לוקין עליהן משום נבילה כ' הקה""ע דלא אתי איסור נבילה וחל על איסור שרץ וצ""ע דהא נבילה הוי איסור מוסיף דהא איסור שרץ נפקע אח""כ כשיהיה לו נוצות ואיסור נבילה הוא לעולם אבל נראה הכוונה משום נבילה דאין לוקין דעדיין לאו בשר היא וכמבואר בתהה""א (בית שני שער ד') ולשיטות בעה""ת שסובר שאית בי' משום נבילה צריכין לפרש הירושלמי כמו שפי' הפר""ח ביו""ד (סי' פ""ו ס""ק כ""ב) ועמ""ש עלי' הפרי תואר (סי' ט""ו סק""א) יע""ש:",אסורות משום שקץ ואין לוקין עליהן משום,Jerusalem Talmud Beitzah 1:1:5,"עגל שנולד בי""ט מותר שהוא מתיר עצמו לשחיטה רבי זעירא בעי מעתה מדברית תהא מותרת שהיא מתרת עצמה בשחיטה צבייה תהא מותרת שהיא מתרת עצמה בשחיט' חזר ר' זעירה ואמר עגל מאתמול הוא גומר ברם הכא בו ביום נגמרה בו ביום נולדה א""ר בא אתייא כמאן דאמר הבהמה יולדת לחדשים מקוטעין ברם כמאן דאמר בהמה יולדת לחדשים מסויימין הגע עצמך שסיים אימתי עלה עליה זכר גוזל שנולד ביום טוב מותר שהוא מתיר עצמו בשחיטה לא כן תני ביצים שריקימו גוזלים שלא העלו עליהן כנפים אסורין משום שקץ ואין לוקין עליהם משום נבלה ואמר רבי חגי ואפילו שחטן א""ר אבון תיפתר באילין דנפקין וכנפיהון עליהן"
Beitzah,עמודי ירושלים,1,0,5b,"@11מקיש @33על שובכה ואמר יזכה לי שובכי למחר. עי' בשירי קרבן שהניח בצ""ע ממה שפסק בש""ע (סי' תצ""ז) דאם א""צ אלא לא' לא מהני אם מזמין כל השובך ע""ש ולק""מ דהא אנן לא קיי""ל כהך ירושלמי וכמו שמוכח מדברי התוס' ביצה (ל""ד ב' ד""ה ואומר). וע' שו""ת רדב""ז (ח""ה ס' ש""א קצ""ח) שהאריך להוכיח כן דלא קיי""ל כהך ירושלמי יעו""ש:",מקיש על שובכה ואמר יזכה לי שובכי,Jerusalem Talmud Beitzah 1:4:4,"ב""ה אומרים עומד ואומר זה וזה אני נוטל. מחלפה שיטתון דרבנן דתנינן תמן וחכמים אומרים עד שירשום ויאמר מיכן ועד כאן והכא אינון אמרין הכן עוד אינון אית להון חומר הוא בדבר שיש בו רוח חיים א""ר יוסה בי רבי בון לוי מקש על שובכה ואמר יזכה לי שובכי למחר:"
Beitzah,עמודי ירושלים,1,0,7a,"@11מולח @33הכא ומולח הכא. הפני משה פי' דקאי אמה שחברייא אמרו בשם רב דמולח חתיכה גדולה אע""פ שאינו יכול לאכול אלא דבר מועט ע""ז אמר ר' אחא שהכי מורה רב דדוקא ע""י הערמה מותר שאומר שאני אוכל מכאן מעט כו' ע""ש וליתא דהפי' בירושלמי שקאי על מליחת העור שמולח הבשר ע""ג העור מכאן מעט ואח""כ מולח מכאן מעט עד שהוא מולח את כל העור כולו וכן פירשו הרי""ף והרא""ש וכ""ה בר""מ ה' יו""ט (פ""ג ה""ד). וע' בחי' הרב המאירי לביצה (די""א ע""א) שהביא יש מפרשים הירושלמי כפי' הפני משה ודחה זה ואמר שאין דבריהם כלום ופי' כמ""ש וע' בשער המלך פ""א מהל' יו""ט ה""ד:",מולח הכא ומולח הכא,Jerusalem Talmud Beitzah 1:6:3,"ב""ש אומרים אין נותנין את העור: שוין שלא יגרדנו מה אנן קיימין אם במחובר לו כגופו הוא אם בפרוש הדא היא דאמר ר' יעקב בר אחא חיננא קרתחייה בשם ר' הושעיה דיסיקיא שיש בתוכה מעות נותן עליה ככר ומטלטלה כהדא אנטיכי נפלת על ר' ירמיה בשובתא והשבון עליה ורימינה לא שהלכה כרבי הושעיה אלא בגין רבי ירמיה דלא יסכן: שוין שלא ימלחנו תני אבל הוא מולח עליו בשר לצלי חברייא בשם רב מולח הוא אדם דבר מרובה אע""פ שאינו יכול לוכל ממנו אלא דבר ממועט ר' אחא בשם רב מולח ומערים מולח ומערים מלח הכא ומלח הכא עד דו מלח כוליה:"
Beitzah,עמודי ירושלים,1,0,8a,"@11מאן @33דעבד טבאת לא שחק לה מאתמול. ע' מה שפי' הקרבן עדה וביאורו דחוק. והעיקר דצ""ל שחק לה מאתמול וכן ראיתי בא""ז ה' יו""ט (סי' של""ט) שהעתיק כן ומה דאיתא בירושלמי שחק מרק קונדוטין ביו""ט פי' הקה""ע אם שחק מרק של קונדיטין ואין הבנה לזה איך שוחקין מרק. אולם ברור דט""ס וצ""ל שחק טרא קונדוטין היינו כיון דהוא היה עבדא דנשיאה שאל אלה אם מרין שחק קונדוטין וכ""ה בא""ז יע""ש:",מאן דעבד טבאת לא שחק לה מאתמול,Jerusalem Talmud Beitzah 1:9:3,"שמואל שחק על סיטרא דמדוכתא רב אמר כל הנידוכין נידוכין כדרכן רב חונה ר' ירמיה ר' אימי בשם רבי יוחנן השום והשלחליים והחרדל נידוכין כדרכן רבי אבהו בשם רבי יוחנן העושה אלונתין בשבת חייב משום מרקיה הא ביום טוב מותר רבי חזקיה בשם רבי ירמיה העושה אלונתין ביום טוב אסור משם מרקה יצחק דיהבא שאל לרבי יוחנן מהו מישחוק קונדיטון ביומא טבא א""ל שרי וייב לי ואנא שתיא רבי אבהו בשם ר' יהושע בן לוי שרי ר' זעירא בעא קומי רבי אבהו מאן דעביד טבאות לא שחיק ליה מאיתמל א""ל אין מחלפה שיטתיה דרבי אבהו הכא הוא אמר שרי והכא הוא אמר אסור אלא בגין דרבי אבהו ידע דר' זעירה מחמר ואינון מחמרים בגין כן הוא עבד דכוותהון אית דבעי מימר הכין א""ל מאן דבעי דייא טב לא שחק ליה מן דאיתמל ר' זעירה שאל לקלה דרומה עבדיה דרבי יודן נשייא שחק הוא מרק קונדיטון ביומא טבא א""ל אין וכל מיני סיקריקין ר' יצחק ר' לעזר בשם רבי אימי אבוי דרבי אבודמא דציפורי מה פליגין ליתן לצלי הא לקדירה מותר ר' נחום א""ר שמואל בר אבא בעי הדא אטריתא ליבש אסור לקדירה מותר על יד על יד צריכה:"
Beitzah,עמודי ירושלים,1,0,9a,"@11חיטים @33שהם מאכל עססיות. כ' השירי קרבן ובבלי הגירסא לעשות מהן לידיות ופרש""י מאכל חיטין וכ""כ הערוך מיהו אם הוא מאכל כל אדם מ""ע דת""ק דאסור עכ""ל. ונעלם ממנו לשון ה""ה (פ""ה מהל' יו""ט ה""ו) שכ' שכיון שרוב התבואות הן עומדין לטחינה אזלינן בתר רובא שהרואה יאמר דהוא מוליך אותם לטחון ע""ש וא""ש ומה שהשיג ע""ד הרא""ש כ' העירו בזה החמד משה והא""ר:",חיטים שהם מאכל עססיות,Jerusalem Talmud Beitzah 1:11:3," תני משלחין חטים שהן מאכל עסיסיות פול שהוא מאכל נדיות שעורים שהן מאכל בהמה לא כן תני שמם ר""ש (שמות יב) לכל נפש אף נפשות בהמה בכלל אתיא דר""ש כשיטת ר' עקיבה רבו כמה דר' עקיבה אמר לכל נפש אף נפשות בהמה בכלל כן ר""ש אומר לכל נפש אף נפשות בהמה בכלל:"
Beitzah,עמודי ירושלים,1,0,10a,"@11הדא @33אמרה אע""פ שאין בהם כזית. הב""י הביא בשם הירושלמי דע""ת צריך פת כביצה. ותמה השירי קרבן דאנה מצאו דבר זה וכן הקשה הבינה לעתים (פ""ו ה""ג). ולא ידענא מאי קושיא ע' בא""ז (ה יו""ט סי' שמ""ז) ובמרדכי שכתבו בירושלמי שלפני כתוב ע""ת כך הוא נוטל פת כביצה כו' ע""ש מבואר דכן היתה גירסתם בירושלמי:","הדא אמרה אע""פ שאין בהם כזית",Jerusalem Talmud Beitzah 2:1:5,"רבי חייה רבה עלה לביתו אמרין ליה אנשינן מערבה אמר לון אית הכא טלופחין מן איתמל אמרין ליה אין הדא אמרה אפילו מין א' אית הוה בהון תרדין הדא אמרה אע""פ שאין בהן כזית אית הוה בהון שיעורה הדא אמרה אינו צריך להתנות אמר רב חסדא תניי היה לו לרבי חייה הגדול"
Beitzah,עמודי ירושלים,1,0,10a,"@11תניי @33היה לו לר""ח הגדול. ע' שירי קרבן מה שתמה על המרדכי ולא ראה שכבר העיר בזה היש""ש ביצה (פ""ב סי' ח') ע""ש:","תניי היה לו לר""ח הגדול",Jerusalem Talmud Beitzah 2:1:5,"רבי חייה רבה עלה לביתו אמרין ליה אנשינן מערבה אמר לון אית הכא טלופחין מן איתמל אמרין ליה אין הדא אמרה אפילו מין א' אית הוה בהון תרדין הדא אמרה אע""פ שאין בהן כזית אית הוה בהון שיעורה הדא אמרה אינו צריך להתנות אמר רב חסדא תניי היה לו לרבי חייה הגדול"
Beitzah,עמודי ירושלים,1,0,14b,"@11דמאי @33מדבריהם וראיית טריפה מדבריהם. כ' השירי קרבן וקשה דלמא שאני דמאי שצריך לעשות מעשה ולהפריש תרומה וגם צריך שיאמר בפירוש נראה כמתקן משא""כ בראיית טריפה כו' ע""ש ולא ידענא מאי קושיא דמ""ש דבדמאי צריך דיבור הוא תימה דאפילו תרומה ודאית נטלת במחשבה כמבואר בגיטין דל""א ובש""ע יו""ד (סי' של""א ס""ח) גם מ""ש דצריך מעשה הנה א""צ רק לציין מקום ועכ""ז אסור. וע' תה""ד (סי' רנ""ד) ולק""מ:",דמאי מדבריהם וראיית טריפה מדבריהם,Jerusalem Talmud Beitzah 3:4:2,"מחלפה שיטתיה דר' יודה דתנינן תמן ר' יהודה אומר אם לא היתה נבילה מערב שבת אסורה לפי שאינה מן המוכן והכא הוא אמר הכין ר' יודה כדעתיה דר' יודה אמר אין המומחה תורה רבי חונה בשם רבי אבא דר' יודה היא דרבי יודה עבד ראיית בכור כראיית טריפה כמה דאת אמר תמן רואין את הטריפה בי""ט ודכוותה רואין את הבכור ביום טוב רבי יודן בעי דמאי מדבריהם וראיית טריפה מדבריהן כמה דאת אמר רואין את הטריפה ביום טוב ודכוותה מפרישין את הדמאי ביום טוב ר' אבהו בשם רבי יוסי בן חנינה כל שמומו ניכר מערב יום טוב ולא התירו מומחה אלא ביום טוב אין זה מן המוכן והא תני עגל בכור שנולד מן הטריפה בי""ט מותר אמר רב חסדא תיפתר שעבר המומחה וראהו אתא עובדא קומי ר' אימי וסבר מימר ר' יודה ור' שמעון הלכה כר' יודה אייתי רב הושעיה מתניתא דבר קפרה מדרומא ותנא וחכמים אומרים כל שמומו ניכר מבערב יום טוב ולא התירו מומחה אלא ביום טוב אין זה מן המוכן וקיבלה וחזר ביה"
Beitzah,עמודי ירושלים,1,0,14b,"@11תני @33אומר הוא אדם לחבירו כו'. ע' בא""ז ה' עירובין (סי' ק""מ) שכ' בשם רב שמואל בר' נטרונאי דהיה גירסתו בירושלמי הזה בזה""ל אומר אדם לחנוני ישראל תן לי כלה של תבלין אצל טבח ישראל הרגיל אצלו תן לי ירך אצל פטם ישראל הרגיל אצלו תן לי תור או גוזל אצל נתחום ישראל הרגיל אצלו תן לי ככר אצל חנוני ישראל הרגיל אצלו תן לי נ' אגוזים ועשרה ביצים עכ""ל היתה נוסחתו בשינוי ממה שלפנינו:",תני אומר הוא אדם לחבירו כו',Jerusalem Talmud Beitzah 3:4:3,"אותו ואת בנו שנפלו לבור ר' ליעזר אומר יעלה את הראשון על מנת לשחוט וישחוט והשני עושין לו פרנסה במקומו שלא ימות ר' יהושע אומר יעלה את הראשון ע""מ לשחוט ולא ישחוט ויערים ויעלה את השני אע""פ שלא חישב לשחוט אחד מהן מותר ר' בון בר חייה בעי מחלפה שיטתיה דר' ליעזר תמן הוא אמר מותר להערים והכא הוא אמר אסור להערים תמן משום בל יראה ובל ימצא והכא מה אית לך מחלפה שיטתיה דרבי יושוע תמן הוא אמר אסור להערים והכא הוא אמר מותר להערים א""ר אידי כאן שבות וכאן חייב חטאת א""ר יוסה בי רבי בון הכא כדי לחוס על ניכסיהן של ישראל תמן מה אית לך ר' יצחק ורבי יאישה חד כהדין וחד כהדין:"
