masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Shabbat,עמודי ירושלים,1,0,4a,"@11אין תימר פיו ופיו כו' @33עי' מה שפירשו הקה""ע והפ""מ ועיין בחדושי הר""ן שבת (ד""ה ע""א) שפי' הירושלמי באופן אחר וזה לשונו ונראה פירושא דרבנן דקיסרין סברי דאפי' זרק בימין וקלט בשמאל קא מיבעיא ליה לר' יוחנן ומספקא ליה אי הוי פטור או לא. אין תימא פיו ופיו בתמיה כלומר שאכל חצי זית חלב וחזר ואכל חצי זית אחר דהוא חייב והכא נמי דכותיה וליחייב אפ""ה לא דמי דהתם כיון שאכלה כאחד היא ומצטרפת האכילה אבל הכא נהי דביד שמאל קלט מ""מ ידו היא והרי היא כאלו קלט בימין ופטור או דילמא כיון שקלטה בשמאל חייב. ור' מונא בעי לר' יודן מעתה איכא לאקשויי דכיון דאמרת דאלו זרק בימין וקלט בשמאל חייב משום דדמי לשנים שזה זורק וזה קולט א""כ הוציא כגרוגרת בשתי ידיו יהא פטור משום שנים שעשו מלאכה אחת ואמר ליה ר' חייא בר אדא והדא היא בעשותה בתמיה לא כן היחיד שעשה וכו' כנ""ל:",אין תימר פיו ופיו כו' עי' מה,Jerusalem Talmud Shabbat 1:1:14,"ר' יוחנן בעי היה עומד בר""ה וזרק וקידם וקלטה מהו. ולאו מתני' היא קלטה אחר קלטה כלב או שנשרפה פטור. ר' שמואל בשם ר' זעירא בחוטף כן הא אם קלט חייב. מה בין נחה לארץ לנחה לתוך ידו. תמן למה הוא חייב. תמן הוא זרק ואחר קיבל. ברם הכא הוא זרק הוא קיבל. ותהא פשיטא ליה שהוא פטור. אילו זרק בימין והוציא וקלט בשמאל שמא אינו חייב מן הדין פיו. ופיו לאו כאחר הוא. וכא שמאלו כאחר הוא. א""ר יודן פשיטא ליה לר' יוחנן שזרק בימין וקלט בשמאל שהוא חייב. ומה צריכה ליה בזורק בימין וקלט בימין. רבנן דקיסרין ר' שמי בשם ר' אחא אפילו זרק בימין וקלט בשמאל צריכה לה חייב. אין תימר פיו. ופיו כיון שאוכלה כאחר הוא. ברם הכא ידו כאחר הוא. ר' מנא בעי מעתה הוציא כגרוגרת בשתי ידיו יהא פטור משום שנים שעשו מלאכה אחת. א""ל ר' חייא בר אדא ודא הוא בעשותה. ולא כן תני יחיד שעשאה חייב. שנים ג' שעשו פטורין."
Shabbat,עמודי ירושלים,1,0,6a,"@11הדא אמרה אפילו חשיכה @33עי' בשירי קרבן שכתב בשם ש""ג בשם צפנת פענת דמדקרי למנחה חשיכה קרינן ק""ש בזמן מנחה והוא מראב""ן (סי' קכ""ב) וראיתי להפני יהושע בק""א לברכות שכתב דכיון דהאי סמוך למנחה מוקמינן בתלמודא דידן דמיירי במנחה גדולה א""כ מוכח דגם בזמן מנחה גדולה קרינן ק""ש ע""ש ואיני יודע מניין לו להפנ""י שהירושלמי מוקי למתני' דמיירי במנחה גדולה אדרבה לפי השני טעמים שנתנו בירושלמי וכן ממה דאמרו הא ר""י והא רבנן משמע להדיא דמוקים להמשנה במנחה קטנה וכמ""ש ג""כ המראה הפנים ותלמודא דילן דמוקי במנחה גדולה אינו מבואר דקרינן למנחה סמוך לחשיכה וא""כ דברי הרב פני יהושע אינם מוכרחים כלל וז""ב:",הדא אמרה אפילו חשיכה עי' בשירי קרבן,Jerusalem Talmud Shabbat 1:2:2,אנן תנינן סמוך למנחה. תני ר' חייא סמוך לחשיכה. מתניתין צריכה למתניתי' דרבי חייא מתני' דר' חייא צריכה למתניתין. אילו תנא רבי חייא ולא תנינן אנן הוינן אמרין לא אלא חשיכה הא מנחה לא הוי צורכה למתניתין או אילו תנא ר' חייא ולא תנינן אנן הוינן אמרין כולהן דתנינן מנחה מנחה. וכולהן דתנינן חשיכה חשיכה. מן מה דתניתה מנחה ותניתה רבי חייא רובה חשיכה הדא אמרה אפילו חשיכה דתנינן דבתרה מנחה היא. רבי חנניה בן אחוי דרב הושעיה אמר מתניתין בעמי הארץ. מן מה דתני ר' חייא בחבירין. רבנן דקיסרין אמרין מתניתי' כר' יהודה מן מה דתני ר' חייא כרבנן:
Shabbat,עמודי ירושלים,1,0,8b,"@11תני רשב""ג אומר התינוקת מתקינן להם ראשי פסוקיהן כו' @33ואילן לא בעיי דיטפי בוצינא. עי' בפני משה שפי' שיש מחלוקת בין התינוקת שאלו רוצים שיכבה הנר מאליו ולא יטו ואלו רוצים דלא יכבה וא""כ מסתמא מוחין זה בזה והוא דחוק דמאן יימר שינצחו אלו את אלו. ומצאתי לרבינו נסים גאון בספר המפתח (ד' כ""ט א') שהביא הירושלמי הזה וכתב וז""ל ופי' דבריהם כי התינוקות יתרחקו מן הקריאה ויאהבו שיכבה הנר ואנו בטוחים בהם כי הם לא יטו את הנר ולפיכך הותר להם לקרות לאור הנר דליכא למיחש שמא יטו אבל החזן לא יקרא דחיישינן שמא יטה לפי שלא ירצה שיכבה הנר לפיכך מבטלין התינוקת מן הקריאה עכ""ל והקה""ע כיון לפי' הזה מדעתי:","תני רשב""ג אומר התינוקת מתקינן להם ראשי",Jerusalem Talmud Shabbat 1:3:8,"באמת אמרו וכו'. א""ר לעזר כל מקום ששנינו באמת הלכה למשה מסיני. מהו מתקן ראשי פרקים פסקין. תני רשב""ג אומר התינוקות מתקינין להן ראשי פסקיהן לאור הנר. מיי כדון אילין בעיי דיטפי בוצינא. ואילין לא בעיי דיטפי בוצינא:"
Shabbat,עמודי ירושלים,1,0,9a,"@11עמדו להן מלמטה והיו הורגין בתלמידי הלל @33כתב הקרבן העדה אלו היו רוצין לעלות אבל חס ושלום לא היו הורגין אותן נ""ל עכ""ל. ונ""ל סעד לדבריו מדברי ר' סעדיה גאון שכתב ע""ד הקראים שכתבו שהיה הריגה בין בית שמאי ובית הלל ורב סעדיה כתב שלא נמצא כן בתלמוד וע""ז השיבו הקראים דמבואר כן בירושלמי. אולם לפי פי' הקה""ע א""ש דברי ר' סעדיה:",עמדו להן מלמטה והיו הורגין בתלמידי הלל,Jerusalem Talmud Shabbat 1:4:3,"תנא ר' יהושע אונייא תלמידי ב""ש עמדו להן מלמטה והיו הורגין בתלמידי ב""ה. תני ששה מהן עלו והשאר עמדו עליהן בחרבות וברמחים."
Shabbat,עמודי ירושלים,1,0,9a,"@11עד פיתן ועל גבינתן @33בספר העתים גרס ועל חמאותיהן כאשר כתב בשמו הסמ""ג הובא בב""י יו""ד (סי' קט""ו) וכן ראיתי באגור בה' בישולי עכו""ם. אך הפוסקים כתבו שלא נמצא כן בירושלמי. ועי' בתשב""ץ (ח""ב סי' י') שכתב שגם גבינתן הוא ט""ס דלא גזרו בי""ח דבר על הגבינה ע""ש. ומה שמבואר בירושלמי על כבושיהן כו' ועל מלוחיהן. כתב הקה""ע כבושיהן דגים וירק הכבושים במים דחיישינן שמא נתן הדגים בחומץ כו' מלוחיהן שמלחו העכו""ם עכ""ל. והנה צ""ל דס""ל להירושלמי דגם מלוח עכו""ם אסרו כמו מבושל וכר' יוחנן בש""ס ע""ז (ל""ח ב') וא""כ למה הוצרך לומר דכבוש אסור שמא נתן הדגים בחומץ ולפ""ז היכא דידעינן דלא עירב חומץ מותר ובאמת לפי שיטת הירושלמי אסור כבוש דהוי כמבשל וכ""ש הוא ממלוח ועי' בפר""ח ביו""ד (סי' קי""ג ס""ק כ""א). ומה דאיתא בירושלמי עדותן כתב הקה""ע וז""ל וקשה הא מה""ת עכו""ם פסול לעדות כדכתיב עד שקר העד כו' ועכו""ם לאו אחיו הוא ואפילו במסל""ת פסול מדאורייתא אלא דרבנן הקילו בעדות אשה להכשיר מסל""ת א""כ גזירתן למה עכ""ל. ונ""ל ליישב זה לא מיבעיא לפי שיטת חכמי הצרפתים ההובא בתשב""ץ (ח""א סי' ע""ח) דמה""ת כשרים עכו""ם לעדות שלא מצינו רמז בשום מקום לפסול אותן רק מדרבנן פסולים משום דמסתמא משקרי פשיטא דא""ש דברי הירושלמי ואפי' לפ""מ שהתשב""ץ השיג עליהם וס""ל דמה""ת פסולים מ""מ במלתא דעבידא לגלויי מהימנא מה""ת וכמ""ש בתשב""ץ (ח""א סי' פ""ב) דלהכי בעדות אשה מהימנא מה""ת (וי""ל דהסוברים דרק מדרבנן מהימנא בעדות אשה היינו לפי שחשבו זה ללא עבידא לגלויי בודאי. עשו""ת ריב""ש סי' קנ""ה ושיבת ציון סי' ל""ח אבל במילתא דבודאי עבידא לגלויי מהימן מה""ת) ומ""מ לשאר דברים פסולים אף דעבידא לגלויי כמו לענין קידוש החודש עי' ברמב""ם פ""ג מהקה""ת והיינו מדרבנן ולזה כיון הירושלמי דבאותו יום גזרו עליהן. ושוב נדפס גליון הש""ס וע""ש מ""ש בזה. והנה מבואר כאן דפיתן הואי מגזירת י""ח דבר וכן בישולי עכו""ם והוא מדרבנן והוא פשוט בש""ס ופוסקים. ע""כ מאד נפלאתי על ספר קב הישר (פרק ע""ה) שכתב שם וז""ל דראיתי מכשילה גדולה מה ששולחין לצלות בשר לא""י ושתים רעות עושין חדא דעוברים על האיסור יחוד שגזרו שמואל ודוד ועוד דכיון דאין הישראל מסייע לאופה הוא אסור מדאורייתא כו' ואוכלין איסור דאורייתא וכן כפל שם עוד הפעם דהוא איסור דאורייתא והוא מן התימה דהוא רק מגזירת י""ח דבר גם מה שכתב דאיסור יחוד עם עכו""ם שמואל ודוד גזרו הוא גם כן תמוה דדוד ושמואל גזרו רק יחיד ישראלית ועם עכו""ם הוא מגזירת שמאי והלל וזה פשוט:",עד פיתן ועל גבינתן בספר העתים גרס,,
Shabbat,עמודי ירושלים,1,0,13a,"@11בשבת ובאבל ובע""ז הלכה כרשב""א @33כתב הקה""ע בשבת הא דאמרן ולא ראה דברי הבה""ג והרמב""ן בתורת האדם ובמלחמות ה' פ""ג דמ""ק וכנמ""י שהעתיקו הירושלמי בכלל גדול ובלפני אידיהן ובאבל מבואר דלא כפירושו וביאור הירושלמי עי' ביד מלאכי כלל ב' וראיתי ביד דוד בשבת (י""ז ב) שכתב בשם היד מלאכי דפי' שבת הוא הך דקיבולת והא ליתא דזה הוא פי' לפני אידיהן דשם מוזכר דינא דקיבולת:","בשבת ובאבל ובע""ז הלכה כרשב""א כתב הקה""ע",Jerusalem Talmud Shabbat 1:8:3,"תני אומנין עכו""ם שהיו עושין עם ישראל בתוך ביתו של ישראל אסור ובתוך בתיהן מותר. א""ר שמעון בר לעזר במה דברים אמורים בקיבולת. אבל בשכר יום אסור. במה דברים אמורים בתלוש מן הקרקע. אבל במחובר לקרקע אסור. ובעיר אחרת בין כך ובין כך מותר. מהו בין כך ובין כך מותר בין בתלוש ובין במחובר. בין בשכיר בין בקיבולת. א""ר אילא בין בתלוש בין במחובר ובלבד בקיבולת. ר""ש בר כרסנה בשם ר' אחא בשבת ובאבל ובע""ז הלכה כר""ש בן אלעזר."
Shabbat,עמודי ירושלים,1,0,13a,"@11הדא דתימא במלחמת הרשות אבל במלחמת חובה אפילו בשבת כו' @33עי' ביפה מראה שנתקשה דמנ""ל שהיה בשבת דלמא לא היה הז' ימים רצופין ע""ש מה שדחק בזה ולק""מ דהא יהושע החרים השלל לפי שהיה בשבת כמבואר במדרש במדבר פי""ד וא""כ מוכח דהוי בשבת והכתוב הוא כפשוטו וע""ש ביפ""מ שכתב ואין להקשות מאי אריא משום דיריחו הוי מלחמת חובה אפילו במלחמת הרשות אם התחילה ג' ימים קודם השבת אין מפסיקין דהקפת העיר לאו התחלת מלחמה הוי אלא ביום השבת שנכנסו לעיר התחילו במלחמה עכ""ל. ומזה יש להעיר על מה שהניח הוא בצ""ע ביפ""ת בב""ר (פרשה ע') על מה שאמרו שם בבני רחל ולאה מלחמת בנה של זו דוחה שבת כו' וכתב היפה מראה דהכוונה על יריחו והקשה דהא ביום א' התחילו וקיי""ל אם התחילו ג' ימים קודם השבת אין מפסיקין ואפי' במלחמת הרשות עכ""ל דמאי קושיא הא הוא בעצמו כתב דההיקף לא הוי התחלה. תו יש להעיר עליו על מה דנראה מדבריו בד""ה עד רדתה דמוקמי ליה במלחמת חובה וכ""כ ביפ""ת והוא תמוה דהא האי פרשה דכי תצור במלחמת הרשות הכתוב מדבר כמבואר בספרי שם וכ""ה להדיא בבבלי שבת (ד' י""ט ע""א) אין צרין על עיירות של עכו""ם פחות משלשה ימים קודם לשבת ואם התחילו אין מפסיקין וכן היה שמאי אומר עד רדתה אפילו בשבת מבואר דהאי רדתה מיירי במלחמת הרשות דקודם ג' ימים מותר להלחם וממילא נדע דלדבר מצוה מותר אפי' בשבת כמו במפליגין בספינה דלדבר מצוה מותר אפי' בשבת וכן בירושלמי הפי' דעד רדתה קאי על הרישא דמיירי במלחמת הרשות וכן פי' הפני משה יהוא ברור דלא כהיפ""ת. וראיתי להרב חידושי הלכות דברים תמוהים בעיני שבע""ז (ד' כ""ה ע""א) הקשה דמאי חילול היה במלחמת עי כיון דהוי מלחמת חובה וכתב וז""ל דאיתא בירושלמי דיריחו נמי הוראת שעה היתה והכי אמרינן התם אם יאמר לך אדם למה חלל יהושע את השבת אמר הקב""ה אני אמרתי לו וסבות את העיר ז""פ כה תעשון ז' ימים ואין ז' ימים בלא שבת והא דדרשינן עד רדתה ואפילו בשבת היינו בהתחילו במלחמה ג' ימים. קודם שבת עכ""ל והוא תמוה דהא להדיא אמרינן כאן הדא דתימא במלחמת הרשות אבל במלחמת חובה אפי' בשבת מבאר דבמלחמת מצוה אפילו בשבת מותר ועי' ברמב""ם פ""ב מה' שבת הכ""ה וה' מלכים פ""ו הי""א ובכ""מ ולח""מ שם. ועיין במ""כ במדרש רבה (פי""ד) על מה דאיתא התם דחללו את השבת כתב המ""כ וכ""ה בירושלמי פ""ק דשבת ויליף ליה התם מדכתיב עד רדתה אפילו בשבת. ושגה בזה דעד רדתה לא אתיא לאוריי אלא דמלחמת הרשות מותר אפי' בשבת ומה ענין זה לדברי המדרש דהתם. וצל""ע ע""ד שו""ת רדב""ז (ח""ד סי' ע""ז) שכתב שם להקשות על הרז""ה שסובר שמותר לצאת בשיירא למדבר ג' ימים קודם השבת אפי' ביודע בודאי שיחלל השבת וכתב וז""ל ותו קשיא לן דא""כ צריך לפרש האי דאין צרין על עיירות של עכו""ם במלחמת הרשות דוקא ואע""ג דבהכי איירי קרא דכתיב עד רדתה מ""מ ה""ל לפרושי דבמלחמת מצוה מותר כדפירשו בהך ברייתא בד""א לדבר הרשות אבל לדבר מצוה שפיר דמי עכ""ל ונפלאתי ע""ז דהא באמת כן אמר בירושלמי דדוקא לרשות ולמצוה מותר אפילו בשבת ובש""ס דילן לא הוצרכו לפרש דממילא נדע כמו בספינה וצע""ג:",הדא דתימא במלחמת הרשות אבל במלחמת חובה,Jerusalem Talmud Shabbat 1:8:6,"אין מקיפין על עיר של עכו""ם פחות מג' ימים קודם לשבת. הדא דתימר במלחמת הרשות. אבל במלחמת חובה אפילו בשבת שכן מצינו שלא נכבשה יריחו אלא בשבת דכתיב (יהושוע ו) כה תעשה ששת ימים. וכתיב וביום השביעי תסובו את העיר שבע פעמים. וכתיב עד רדתה אפילו בשבת:"
Shabbat,עמודי ירושלים,1,0,19a,"@11מכיון שהוא רוצה באכולן כמבשל הוא. @33עי' במראה הפנים שהקשה אמאי לא משני כן בבבלי יבמות (ד' ל""ג) ע""ש שדחק דמשמע זר ששימש אפי' כ""ש ובאמת אין צורך לזה דלש""ס דילן באמת אינו מחייב משום מבשל וכדמוכח ממ""ש רש""י שבת (ד' ע""ז) שכתב דשדא סכתא כו' לייבשו מוכח דאם מניחו שישרוף אינו מחייב משום מבשל ולהכי לא משני כן בש""ס דילן ועי' בנשמת אדם ה' שבת כלל כ' סק""ב:",מכיון שהוא רוצה באכולן כמבשל הוא,Jerusalem Talmud Shabbat 2:5:9,"זר ששימש במקדש בשבת ובעל מום ששימש בטומאה. רבי חייא רובא אמר שתים. בר קפרא אמר אחת. מתיב בר קפרא לר' חייא רובא עבודה שהכהן מותר בה זר מחייב עליה. ומותיב לה והוא מתייב ליה והרי קמיצה עד שלא נקמצה אסורה לזה ולזה. משנקמצה אסורה לזרים ומותרת לכהנים. א""ל שנייא היא דכתיב (ויקרא כב) וכל זר לא יאכל קדש. והרי מליקה עד שלא נמלקה אסורה לזה ולזה משנמלקה אסורה לזרים ומותרת לכהנים. א""ל שנייא היא דכתיב (ויקרא כב) וכל זר לא יאכל קדש. והרי מליקה עד שלא נמלקה אסורה לזה ולזה משנמלקה אסורה לזרים ומותרת לכהנים. א""ל שנייא היא דכתיב (שם) וכל זר לא יאכל קדש. הרי טבל עד שלא נתקן אסור לזה ולזה. משניתקן אסור לזרים ומותר לכהנים. א""ל שנייא היא דכתיב וכל זר לא יאכל קדש. אמרין נצא לחוץ ונלמד. נפקון ושמעון. ר' יוסי אומר שתים. ר""ש אומר אחת. מאן דמר אחת משום זרות. ומאן דמר שתים אחת משום זרות. חורנייתה למה. משום שחיטה. והרי שחיטה בזר כשירה. אלא משום הילוך זריקה וקבלה אינה אלא שבות. הוי לית טעמא אלא משום איכול איברים ופדרים שהיו מתאכלין על גבי המזבח כל הלילה. על דעתיה דר' יודא דו אמר משום מבעיר ניחא. על דעתיה דר' יוסי דו אמר משום מבשל מה בישול יש כאן. מכיון שהוא רוצה באכולן כמבשל הוא:"
Shabbat,עמודי ירושלים,1,0,23b,"@11נחשדו להיות ממלין אותן עצים כו' @33כתב השירי קרבן ק""ק מאי איסורא איכא ואפשר כו' ע""ש ובמח""כ נעלם ממנו דברי הרשב""א שבת (ד""מ ע""א) שכתב דכיון דנקבים פתוחין והוא דולק והולך בעודו רוחץ בו ודאי אתי לחתויי ולפיכך אסור בדולק בשבת ולק""מ:",נחשדו להיות ממלין אותן עצים כו' כתב,Jerusalem Talmud Shabbat 3:3:7,"מעשה שעשו אנשי טבריא כו'. בראשונה היו סותמין את הקמין מע""ש ונכנסים ורוחצין בשבת נחשדו להיות ממלין אותו עצים מערב שבת והיא דליקה והולכת בשבת. ואסרו להן רחיצה והתירו להן זיעה. נחשדו להיות נכנסין ורוחצין ואמרו מזיעין היינו ואסרו להן רחיצה וזיעה. היו שם שתי אמבטיות אחת של מתוקין ואחת של מלוחין. נחשדו להיות מגלין את הנסרין ורוחצין במתוקין והן אומרים במלוחין רחצנו ואסרו להן את הכל. כיון שנתגדרו היו מתירין להן והולכין. מתירין להן והולכין. עד שהתירו להן מי מערה וחמי טבריא. ולא התירו הבאת לונטיות. ומי התיר הבאת לונטיות רבי חנינא בן עקיבה. דתני ג' דברים התיר ר' חנינא בן עקיבה. התיר עצה שבים. והתיר כצוצרה. והתיר הבאת לונטיות."
Shabbat,עמודי ירושלים,1,0,27a,"@11תני אם התנה מותר כו' @33בשירי קרבן הניח בצ""ע על הרמב""ן שהביא הר""ן ס""פ כירה דאיך יפרש הירושלמי אם לא שנאמר דלא היה כתוב לפניו מן הא דמה חמית מימר כו' עד מאן תנא ומדבריו אין נראה כן וצ""ע עכ""ל. אולם בהגלות אלינו דברי הרמב""ן בחי' לשבת (מ""ה א') מבואר שם להדיא דלא היה כתוב לפניו כן בירושלמי ואין כאן עיון כלל:",תני אם התנה מותר כו' בשירי קרבן,Jerusalem Talmud Shabbat 3:7:11,מאן אית כל המיוחד לאיסור אסור לא רבי מאיר הוי מאן תנא אם התנה עליו מותר רבי שמעון. אבל כוס וקערה ועששית אף על פי שכבו אסור ליגע בהן. רבי טבי בשם רב חסדא אפי' כרבי שמעון דו אמר תמן מותר מודי הוא הכא שהוא אסור. שאם אומר את לון שהוא מותר אף הוא מכבה אותן ומשתמש בהון.
